Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-07-06,87084,2025070604000071,CHL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Naasa Securities Co. Ltd.,15,338.0,5070.0,2025-07-06 11:01:19.385070
2025-07-06,85552,2025070604000496,CHL,Imperial Securities Company Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,433,340.5,147436.5,2025-07-06 11:07:00.578063
2025-07-06,83923,2025070604000979,CHL,Nepal Investment And Securities Trading Private Limited,Sani Securities Company Ltd.,40,341.0,13640.0,2025-07-06 11:11:39.717600
2025-07-06,83903,2025070604000984,CHL,Nepal Investment And Securities Trading Private Limited,Capital Max Securities Ltd,10,341.0,3410.0,2025-07-06 11:11:44.022096
2025-07-06,83590,2025070604001084,CHL,Nepal Investment And Securities Trading Private Limited,Capital Max Securities Ltd,20,341.0,6820.0,2025-07-06 11:12:27.739453
2025-07-06,82797,2025070604001279,CHL,Sani Securities Company Ltd.,Elite Stock House Limited,20,341.0,6820.0,2025-07-06 11:14:19.744733
2025-07-06,82545,2025070604001337,CHL,Imperial Securities Company Pvt. Ltd.,Online Securities Pvt. Ltd.,67,340.5,22813.5,2025-07-06 11:14:49.599211
2025-07-06,82544,2025070604001338,CHL,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,10,340.5,3405.0,2025-07-06 11:14:49.599301
2025-07-06,81921,2025070604001500,CHL,Imperial Securities Company Pvt. Ltd.,Online Securities Pvt. Ltd.,23,340.0,7820.0,2025-07-06 11:16:17.839400
2025-07-06,81912,2025070604001504,CHL,Imperial Securities Company Pvt. Ltd.,Asian Securities Private Ltd.,300,340.0,102000.0,2025-07-06 11:16:19.432684
2025-07-06,81779,2025070604001547,CHL,Imperial Securities Company Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,500,340.0,170000.0,2025-07-06 11:16:42.034468
2025-07-06,81581,2025070604001586,CHL,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,600,340.0,204000.0,2025-07-06 11:17:09.429618
2025-07-06,81484,2025070604001601,CHL,Imperial Securities Company Pvt. Ltd.,Online Securities Pvt. Ltd.,47,340.0,15980.0,2025-07-06 11:17:21.932827
2025-07-06,81246,2025070604001692,CHL,Thrive Brokerage House Pvt. Ltd,Online Securities Pvt. Ltd.,13,338.1,4395.3,2025-07-06 11:18:00.230741
2025-07-06,80824,2025070604001848,CHL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Online Securities Pvt. Ltd.,35,338.0,11830.0,2025-07-06 11:19:10.708259
2025-07-06,80823,2025070604001849,CHL,Primo Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,50,338.0,16900.0,2025-07-06 11:19:10.708384
2025-07-06,80717,2025070604001897,CHL,Nepal Investment And Securities Trading Private Limited,Online Securities Pvt. Ltd.,15,338.0,5070.0,2025-07-06 11:19:23.863876
2025-07-06,80313,2025070604002018,CHL,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,10,338.0,3380.0,2025-07-06 11:20:35.110172
2025-07-06,80174,2025070604002061,CHL,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,20,337.0,6740.0,2025-07-06 11:20:58.787280
2025-07-06,80115,2025070604002078,CHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Aryatara Investment & Securities,70,336.3,23541.0,2025-07-06 11:21:13.937268
2025-07-06,79941,2025070604002150,CHL,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,30,336.3,10089.0,2025-07-06 11:21:44.218029
2025-07-06,79796,2025070604002200,CHL,INDEX SECURITIES LIMITED,Aryatara Investment & Securities,380,336.2,127756.0,2025-07-06 11:22:11.501293
2025-07-06,79503,2025070604002299,CHL,INDEX SECURITIES LIMITED,Blue Chip Securities Ltd,500,336.3,168150.0,2025-07-06 11:23:01.013831
2025-07-06,79265,2025070604002349,CHL,INDEX SECURITIES LIMITED,Nepal Stock House (PVT) Ltd.,20,336.2,6724.0,2025-07-06 11:23:40.520601
2025-07-06,79264,2025070604002350,CHL,Kohinoor Investment & Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,100,336.1,33610.0,2025-07-06 11:23:40.520679
2025-07-06,79263,2025070604002351,CHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Nepal Stock House (PVT) Ltd.,40,336.0,13440.0,2025-07-06 11:23:40.520718
2025-07-06,79258,2025070604002353,CHL,Imperial Securities Company Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,100,336.0,33600.0,2025-07-06 11:23:41.453745
2025-07-06,79141,2025070604002382,CHL,S.P.S.A. Securities Limited,Kohinoor Investment & Securities Pvt. Ltd.,40,335.8,13432.0,2025-07-06 11:24:00.832158
2025-07-06,79017,2025070604002407,CHL,Neev Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,40,336.0,13440.0,2025-07-06 11:24:23.367068
2025-07-06,78949,2025070604002424,CHL,S.P.S.A. Securities Limited,Naasa Securities Co. Ltd.,10,335.8,3358.0,2025-07-06 11:24:32.283428
2025-07-06,78422,2025070604002561,CHL,Neev Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,336,336.0,112896.0,2025-07-06 11:26:04.808433
2025-07-06,78421,2025070604002562,CHL,Vision Securities Pvt. Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,10,336.0,3360.0,2025-07-06 11:26:04.808540
2025-07-06,78379,2025070604002580,CHL,Sundhara Securities Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,100,336.0,33600.0,2025-07-06 11:26:14.871556
2025-07-06,78316,2025070604002613,CHL,S.P.S.A. Securities Limited,Agrawal Securities (PVT) Ltd.,50,335.8,16790.0,2025-07-06 11:26:23.777786
2025-07-06,78315,2025070604002614,CHL,SUN SECURITIES PVT LTD,Agrawal Securities (PVT) Ltd.,100,335.7,33570.0,2025-07-06 11:26:23.777891
2025-07-06,78314,2025070604002615,CHL,Kohinoor Investment & Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,150,335.0,50250.0,2025-07-06 11:26:23.777977
2025-07-06,78313,2025070604002616,CHL,Linch Stock Market Ltd.,Agrawal Securities (PVT) Ltd.,100,335.0,33500.0,2025-07-06 11:26:23.778040
2025-07-06,78312,2025070604002617,CHL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,100,335.0,33500.0,2025-07-06 11:26:23.778112
2025-07-06,78207,2025070604002646,CHL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,100,335.0,33500.0,2025-07-06 11:26:44.961586
2025-07-06,78206,2025070604002647,CHL,Oxford Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,200,335.0,67000.0,2025-07-06 11:26:44.961652
2025-07-06,78205,2025070604002648,CHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,173,335.0,57955.0,2025-07-06 11:26:44.961704
2025-07-06,78204,2025070604002649,CHL,Online Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,100,335.0,33500.0,2025-07-06 11:26:44.961735
2025-07-06,78203,2025070604002650,CHL,South Asian Bulls Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,100,335.0,33500.0,2025-07-06 11:26:44.961788
2025-07-06,78202,2025070604002651,CHL,Himalayan Securities Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,100,335.0,33500.0,2025-07-06 11:26:44.961844
2025-07-06,78088,2025070604002690,CHL,Neev Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,1000,335.0,335000.0,2025-07-06 11:27:02.186088
2025-07-06,78076,2025070604002698,CHL,Aryatara Investment & Securities,Cristal Kanchanjanga Securites Pvt. Ltd.,100,335.0,33500.0,2025-07-06 11:27:05.317691
2025-07-06,78038,2025070604002707,CHL,Sri Hari Securities Pvt. Ltd.,SUN SECURITIES PVT LTD,500,333.3,166650.0,2025-07-06 11:27:19.406559
2025-07-06,78037,2025070604002708,CHL,Dynamic Money Managers Securities Pvt. Ltd.,SUN SECURITIES PVT LTD,100,333.1,33310.0,2025-07-06 11:27:19.406606
2025-07-06,77921,2025070604002739,CHL,Sundhara Securities Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,10,335.0,3350.0,2025-07-06 11:27:42.217631
2025-07-06,77902,2025070604002741,CHL,Dynamic Money Managers Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,45,333.1,14989.5,2025-07-06 11:27:44.026686
2025-07-06,77784,2025070604002783,CHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,100,333.4,33340.0,2025-07-06 11:28:11.490133
2025-07-06,77783,2025070604002784,CHL,Neev Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,400,333.2,133280.0,2025-07-06 11:28:11.490274
2025-07-06,77782,2025070604002785,CHL,Dynamic Money Managers Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,1455,333.1,484660.5,2025-07-06 11:28:11.490310
2025-07-06,77781,2025070604002786,CHL,Imperial Securities Company Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,100,333.0,33300.0,2025-07-06 11:28:11.490348
2025-07-06,77780,2025070604002787,CHL,Sundhara Securities Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,300,333.0,99900.0,2025-07-06 11:28:11.490375
2025-07-06,77779,2025070604002788,CHL,Linch Stock Market Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,200,333.0,66600.0,2025-07-06 11:28:11.490404
2025-07-06,77778,2025070604002789,CHL,Online Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,40,333.0,13320.0,2025-07-06 11:28:11.979603
2025-07-06,77777,2025070604002790,CHL,Naasa Securities Co. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,76,333.0,25308.0,2025-07-06 11:28:12.755529
2025-07-06,77420,2025070604002904,CHL,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,200,333.0,66600.0,2025-07-06 11:29:27.244047
2025-07-06,77187,2025070604002982,CHL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,300,333.0,99900.0,2025-07-06 11:30:09.976159
2025-07-06,77033,2025070604003029,CHL,Aryatara Investment & Securities,Oxford Securities Pvt. Ltd.,50,334.0,16700.0,2025-07-06 11:30:31.987359
2025-07-06,76719,2025070604003096,CHL,Aryatara Investment & Securities,Oxford Securities Pvt. Ltd.,100,334.0,33400.0,2025-07-06 11:31:15.377777
2025-07-06,76560,2025070604003143,CHL,Kohinoor Investment & Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,40,334.0,13360.0,2025-07-06 11:31:49.022750
2025-07-06,76057,2025070604003292,CHL,Neev Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,206,333.5,68701.0,2025-07-06 11:33:15.403161
2025-07-06,75188,2025070604003549,CHL,Citizens Share Broker Limited,Naasa Securities Co. Ltd.,10,334.3,3343.0,2025-07-06 11:35:57.860365
2025-07-06,74863,2025070604003626,CHL,Citizens Share Broker Limited,Sani Securities Company Ltd.,10,334.3,3343.0,2025-07-06 11:36:54.905039
2025-07-06,73983,2025070604003873,CHL,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,100,334.7,33470.0,2025-07-06 11:39:26.432958
2025-07-06,73982,2025070604003874,CHL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Online Securities Pvt. Ltd.,50,334.7,16735.0,2025-07-06 11:39:26.433093
2025-07-06,73841,2025070604003904,CHL,Market Securities & Exchange (PVT) Ltd.,Online Securities Pvt. Ltd.,10,334.7,3347.0,2025-07-06 11:39:44.908880
2025-07-06,73800,2025070604003909,CHL,Citizens Share Broker Limited,Online Securities Pvt. Ltd.,190,334.6,63574.0,2025-07-06 11:39:51.729133
2025-07-06,73790,2025070604003912,CHL,Opal Securities Investment (PVT) Ltd.,Online Securities Pvt. Ltd.,20,334.7,6694.0,2025-07-06 11:39:54.053305
