Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-06,86488,2025070603000362,JFL,Kalika Securities Pvt. Ltd.,Sewa Securities Pvt. Ltd.,18,494.1,8893.8,2025-07-06 11:03:48.239979
2025-07-06,86273,2025070603000434,JFL,Asian Securities Private Ltd.,Aryatara Investment & Securities,10,501.0,5010.0,2025-07-06 11:04:36.266380
2025-07-06,86272,2025070603000435,JFL,Asian Securities Private Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,15,503.1,7546.5,2025-07-06 11:04:36.266502
2025-07-06,85790,2025070603000604,JFL,Aryatara Investment & Securities,ABC Securities Private Limited,100,503.0,50300.0,2025-07-06 11:06:08.817530
2025-07-06,85716,2025070603000627,JFL,Aryatara Investment & Securities,ABC Securities Private Limited,20,503.0,10060.0,2025-07-06 11:06:24.945858
2025-07-06,85503,2025070603000679,JFL,Aryatara Investment & Securities,Online Securities Pvt. Ltd.,144,502.0,72288.0,2025-07-06 11:07:10.345978
2025-07-06,85502,2025070603000680,JFL,Aryatara Investment & Securities,ABC Securities Private Limited,80,503.0,40240.0,2025-07-06 11:07:10.346068
2025-07-06,85501,2025070603000681,JFL,Aryatara Investment & Securities,Kumari Securities Private Limited,50,503.0,25150.0,2025-07-06 11:07:10.346101
2025-07-06,85299,2025070603000730,JFL,Aryatara Investment & Securities,Trishakti Securities Public Limited,50,503.0,25150.0,2025-07-06 11:07:43.391562
2025-07-06,85275,2025070603000732,JFL,Aryatara Investment & Securities,Aryatara Investment & Securities,469,503.0,235907.0,2025-07-06 11:07:46.673290
2025-07-06,85027,2025070603000779,JFL,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,20,503.0,10060.0,2025-07-06 11:08:25.976759
2025-07-06,84891,2025070603000820,JFL,Sani Securities Company Ltd.,Neev Securities Pvt. Ltd.,80,503.0,40240.0,2025-07-06 11:08:54.223436
2025-07-06,84865,2025070603000832,JFL,Neev Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,10,503.0,5030.0,2025-07-06 11:08:58.253317
2025-07-06,84555,2025070603000926,JFL,Naasa Securities Co. Ltd.,Neev Securities Pvt. Ltd.,47,502.0,23594.0,2025-07-06 11:10:02.309638
2025-07-06,84554,2025070603000927,JFL,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,153,502.9,76943.7,2025-07-06 11:10:02.309759
2025-07-06,84533,2025070603000942,JFL,Neev Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,10,502.9,5029.0,2025-07-06 11:10:04.736788
2025-07-06,84532,2025070603000943,JFL,Kumari Securities Private Limited,Siprabi Securities Pvt. Ltd.,10,502.9,5029.0,2025-07-06 11:10:05.350473
2025-07-06,84175,2025070603001039,JFL,Sani Securities Company Ltd.,Sumeru Securities Pvt. Ltd.,10,500.0,5000.0,2025-07-06 11:11:04.003781
2025-07-06,84109,2025070603001055,JFL,Aryatara Investment & Securities,Sweta Securities Private Limited,40,502.0,20080.0,2025-07-06 11:11:16.399067
2025-07-06,83753,2025070603001176,JFL,Midas Stock Broking Company Private Limited,Kumari Securities Private Limited,50,500.0,25000.0,2025-07-06 11:12:03.607849
2025-07-06,83734,2025070603001178,JFL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Asian Securities Private Ltd.,50,500.0,25000.0,2025-07-06 11:12:06.665739
2025-07-06,83435,2025070603001281,JFL,Deevyaa Securities & Stock House Pvt. Ltd,Dynamic Money Managers Securities Pvt. Ltd.,20,498.1,9962.0,2025-07-06 11:12:53.305682
