Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-06,87378,2025070601000003,KBL,Nepal Stock House (PVT) Ltd.,Sumeru Securities Pvt. Ltd.,100,208.0,20800.0,2025-07-06 10:46:00.025010
2025-07-06,87377,2025070601000004,KBL,Sri Hari Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,100,208.0,20800.0,2025-07-06 10:46:00.025072
2025-07-06,86145,2025070601000234,KBL,Trishakti Securities Public Limited,Trishakti Securities Public Limited,30,210.0,6300.0,2025-07-06 11:04:52.095425
2025-07-06,85970,2025070601000269,KBL,Imperial Securities Company Pvt. Ltd.,Trishakti Securities Public Limited,69,210.0,14490.0,2025-07-06 11:05:25.173757
2025-07-06,85960,2025070601000273,KBL,Sharepro Securities Private Limited,Capital Max Securities Ltd,50,211.9,10595.0,2025-07-06 11:05:28.097376
2025-07-06,85667,2025070601000326,KBL,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,10,211.7,2117.0,2025-07-06 11:06:30.268015
2025-07-06,85368,2025070601000388,KBL,Imperial Securities Company Pvt. Ltd.,Capital Max Securities Ltd,31,210.0,6510.0,2025-07-06 11:07:33.514763
2025-07-06,85367,2025070601000389,KBL,Sundhara Securities Limited,Capital Max Securities Ltd,190,210.0,39900.0,2025-07-06 11:07:33.514890
2025-07-06,85366,2025070601000390,KBL,Sani Securities Company Ltd.,Capital Max Securities Ltd,900,210.0,189000.0,2025-07-06 11:07:33.514941
2025-07-06,85365,2025070601000391,KBL,Nepal Stock House (PVT) Ltd.,Capital Max Securities Ltd,399,210.0,83790.0,2025-07-06 11:07:33.515096
2025-07-06,85251,2025070601000414,KBL,Premier Securities Company Ltd.,Sani Securities Company Ltd.,340,210.0,71400.0,2025-07-06 11:07:51.712171
2025-07-06,85250,2025070601000415,KBL,Premier Securities Company Ltd.,Aryatara Investment & Securities,160,210.0,33600.0,2025-07-06 11:07:51.782548
2025-07-06,85249,2025070601000416,KBL,Kohinoor Investment & Securities Pvt. Ltd.,Aryatara Investment & Securities,50,209.6,10480.0,2025-07-06 11:07:51.782649
2025-07-06,85248,2025070601000417,KBL,Trishakti Securities Public Limited,Aryatara Investment & Securities,200,209.5,41900.0,2025-07-06 11:07:51.782692
2025-07-06,85247,2025070601000418,KBL,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,20,209.1,4182.0,2025-07-06 11:07:51.782735
2025-07-06,85246,2025070601000419,KBL,Primo Securities (PVT) Ltd.,Aryatara Investment & Securities,400,209.1,83640.0,2025-07-06 11:07:51.782777
2025-07-06,85245,2025070601000420,KBL,ABC Securities Private Limited,Aryatara Investment & Securities,670,209.1,140097.0,2025-07-06 11:07:51.782818
2025-07-06,85122,2025070601000438,KBL,ABC Securities Private Limited,Asian Securities Private Ltd.,100,209.1,20910.0,2025-07-06 11:08:06.351595
2025-07-06,84822,2025070601000512,KBL,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,250,209.3,52325.0,2025-07-06 11:09:05.619002
2025-07-06,84821,2025070601000513,KBL,Sumeru Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,200,209.2,41840.0,2025-07-06 11:09:05.619111
2025-07-06,84820,2025070601000514,KBL,ABC Securities Private Limited,Online Securities Pvt. Ltd.,350,209.1,73185.0,2025-07-06 11:09:05.619158
2025-07-06,83981,2025070601000717,KBL,Kohinoor Investment & Securities Pvt. Ltd.,INDEX SECURITIES LIMITED,500,210.0,105000.0,2025-07-06 11:11:31.664321
2025-07-06,83505,2025070601000809,KBL,Kohinoor Investment & Securities Pvt. Ltd.,Capital Max Securities Ltd,500,210.0,105000.0,2025-07-06 11:12:41.285353
2025-07-06,83457,2025070601000817,KBL,Aryatara Investment & Securities,Capital Max Securities Ltd,100,210.0,21000.0,2025-07-06 11:12:48.653412
2025-07-06,83205,2025070601000881,KBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Capital Max Securities Ltd,10,210.0,2100.0,2025-07-06 11:13:26.193716
2025-07-06,83103,2025070601000915,KBL,Secured Securities Ltd.,Capital Max Securities Ltd,35,210.0,7350.0,2025-07-06 11:13:38.907955
2025-07-06,83025,2025070601000932,KBL,Premier Securities Company Ltd.,Capital Max Securities Ltd,200,210.0,42000.0,2025-07-06 11:13:50.441691
2025-07-06,82596,2025070601001037,KBL,ABC Securities Private Limited,Naasa Securities Co. Ltd.,500,210.0,105000.0,2025-07-06 11:14:43.380527
2025-07-06,82573,2025070601001041,KBL,Vision Securities Pvt. Ltd,South Asian Bulls Pvt. Ltd.,500,209.5,104750.0,2025-07-06 11:14:47.439218
2025-07-06,82572,2025070601001042,KBL,Primo Securities (PVT) Ltd.,South Asian Bulls Pvt. Ltd.,300,209.4,62820.0,2025-07-06 11:14:47.439280
2025-07-06,82571,2025070601001043,KBL,Naasa Securities Co. Ltd.,South Asian Bulls Pvt. Ltd.,250,209.3,52325.0,2025-07-06 11:14:47.439311
2025-07-06,82570,2025070601001044,KBL,MILKY WAY SHARE BROKER COMPANY LTD ,South Asian Bulls Pvt. Ltd.,1000,209.3,209300.0,2025-07-06 11:14:47.439341
2025-07-06,82569,2025070601001045,KBL,ABC Securities Private Limited,South Asian Bulls Pvt. Ltd.,1880,209.1,393108.0,2025-07-06 11:14:47.439366
2025-07-06,82568,2025070601001046,KBL,Premier Securities Company Ltd.,South Asian Bulls Pvt. Ltd.,200,209.0,41800.0,2025-07-06 11:14:47.439396
2025-07-06,82567,2025070601001047,KBL,Trishakti Securities Public Limited,South Asian Bulls Pvt. Ltd.,870,209.0,181830.0,2025-07-06 11:14:47.439431
2025-07-06,82297,2025070601001096,KBL,Prabhu Stock Market Limited,Naasa Securities Co. Ltd.,100,210.0,21000.0,2025-07-06 11:15:23.270853
2025-07-06,81920,2025070601001189,KBL,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,130,209.0,27170.0,2025-07-06 11:16:17.919974
2025-07-06,81919,2025070601001190,KBL,Dakshinkali Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,12,209.0,2508.0,2025-07-06 11:16:17.920122
2025-07-06,81842,2025070601001209,KBL,Sweta Securities Private Limited,Naasa Securities Co. Ltd.,46,210.0,9660.0,2025-07-06 11:16:30.469981
2025-07-06,80874,2025070601001461,KBL,Dakshinkali Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,88,209.0,18392.0,2025-07-06 11:19:03.103813
2025-07-06,80873,2025070601001462,KBL,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,200,209.0,41800.0,2025-07-06 11:19:03.104143
2025-07-06,80872,2025070601001463,KBL,ABC Securities Private Limited,Naasa Securities Co. Ltd.,86,209.0,17974.0,2025-07-06 11:19:03.104441
2025-07-06,80857,2025070601001467,KBL,ABC Securities Private Limited,Sani Securities Company Ltd.,710,209.0,148390.0,2025-07-06 11:19:05.286061
2025-07-06,80622,2025070601001517,KBL,Primo Securities (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,500,209.1,104550.0,2025-07-06 11:19:36.833283
2025-07-06,80475,2025070601001554,KBL,ABC Securities Private Limited,Online Securities Pvt. Ltd.,11,209.0,2299.0,2025-07-06 11:20:07.068448
2025-07-06,80431,2025070601001562,KBL,ABC Securities Private Limited,Sani Securities Company Ltd.,100,209.0,20900.0,2025-07-06 11:20:14.316153
2025-07-06,80124,2025070601001624,KBL,ABC Securities Private Limited,Vision Securities Pvt. Ltd,1093,209.0,228437.0,2025-07-06 11:21:11.563614
2025-07-06,80087,2025070601001629,KBL,Property Wiard Limited,Sri Hari Securities Pvt. Ltd.,50,209.0,10450.0,2025-07-06 11:21:17.217382
2025-07-06,80074,2025070601001631,KBL,Online Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,200,209.0,41800.0,2025-07-06 11:21:20.508846
2025-07-06,79838,2025070601001678,KBL,Primo Securities (PVT) Ltd.,Oxford Securities Pvt. Ltd.,30,208.6,6258.0,2025-07-06 11:22:05.261320
2025-07-06,79830,2025070601001679,KBL,ABC Securities Private Limited,Aryatara Investment & Securities,500,208.9,104450.0,2025-07-06 11:22:06.847123
2025-07-06,79829,2025070601001680,KBL,ABC Securities Private Limited,Sri Hari Securities Pvt. Ltd.,750,209.0,156750.0,2025-07-06 11:22:06.847268
2025-07-06,79828,2025070601001681,KBL,ABC Securities Private Limited,Sweta Securities Private Limited,90,209.0,18810.0,2025-07-06 11:22:06.847335
2025-07-06,79599,2025070601001739,KBL,ABC Securities Private Limited,Kumari Securities Private Limited,160,209.0,33440.0,2025-07-06 11:22:42.273947
2025-07-06,79316,2025070601001799,KBL,Imperial Securities Company Pvt. Ltd.,Kumari Securities Private Limited,10,209.0,2090.0,2025-07-06 11:23:31.390908
2025-07-06,79023,2025070601001877,KBL,Shree Krishna Securities Ltd.,Kumari Securities Private Limited,374,209.0,78166.0,2025-07-06 11:24:21.389549
2025-07-06,78850,2025070601001925,KBL,Naasa Securities Co. Ltd.,Kumari Securities Private Limited,35,209.0,7315.0,2025-07-06 11:24:45.521995
2025-07-06,77938,2025070601002126,KBL,Secured Securities Ltd.,Kumari Securities Private Limited,200,209.0,41800.0,2025-07-06 11:27:37.134360
2025-07-06,77860,2025070601002146,KBL,Primo Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,50,208.6,10430.0,2025-07-06 11:27:53.391227
2025-07-06,77793,2025070601002156,KBL,Secured Securities Ltd.,Kumari Securities Private Limited,170,209.0,35530.0,2025-07-06 11:28:07.353128
2025-07-06,77419,2025070601002255,KBL,Asian Securities Private Ltd.,Kumari Securities Private Limited,57,209.0,11913.0,2025-07-06 11:29:27.252533
2025-07-06,77407,2025070601002258,KBL,Primo Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,420,208.6,87612.0,2025-07-06 11:29:31.258158
2025-07-06,77406,2025070601002259,KBL,Nabil Stock Dealer Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,50,208.5,10425.0,2025-07-06 11:29:31.258485
2025-07-06,77405,2025070601002260,KBL,ABC Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,231,208.5,48163.5,2025-07-06 11:29:31.258700
2025-07-06,77125,2025070601002332,KBL,ABC Securities Private Limited,Naasa Securities Co. Ltd.,990,208.5,206415.0,2025-07-06 11:30:16.944721
2025-07-06,76949,2025070601002369,KBL,ABC Securities Private Limited,Sani Securities Company Ltd.,779,208.5,162421.5,2025-07-06 11:30:39.341908
2025-07-06,76948,2025070601002370,KBL,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,231,208.5,48163.5,2025-07-06 11:30:39.342119
2025-07-06,76723,2025070601002441,KBL,Naasa Securities Co. Ltd.,J.F. Securites (PVT) Ltd.,259,208.5,54001.5,2025-07-06 11:31:13.742848
2025-07-06,76584,2025070601002477,KBL,Primo Securities (PVT) Ltd.,J.F. Securites (PVT) Ltd.,241,208.5,50248.5,2025-07-06 11:31:45.498430
2025-07-06,76312,2025070601002559,KBL,ABC Securities Private Limited,Kumari Securities Private Limited,994,209.0,207746.0,2025-07-06 11:32:26.722071
2025-07-06,76311,2025070601002560,KBL,ABC Securities Private Limited,Sundhara Securities Limited,355,209.0,74195.0,2025-07-06 11:32:26.722285
2025-07-06,76025,2025070601002633,KBL,Sani Securities Company Ltd.,Midas Stock Broking Company Private Limited,10,209.5,2095.0,2025-07-06 11:33:22.190703
2025-07-06,75603,2025070601002743,KBL,ABC Securities Private Limited,Opal Securities Investment (PVT) Ltd.,16,209.0,3344.0,2025-07-06 11:34:40.483326
2025-07-06,75078,2025070601002880,KBL,ABC Securities Private Limited,Midas Stock Broking Company Private Limited,90,209.5,18855.0,2025-07-06 11:36:20.109283
2025-07-06,75077,2025070601002881,KBL,ABC Securities Private Limited,Malla & Malla Stock Broking Company Pvt. Limited,200,209.5,41900.0,2025-07-06 11:36:20.109455
2025-07-06,75076,2025070601002882,KBL,ABC Securities Private Limited,Trisul Securities & Invt. Ltd.,100,209.9,20990.0,2025-07-06 11:36:20.109537
2025-07-06,75075,2025070601002883,KBL,ABC Securities Private Limited,Aryatara Investment & Securities,1500,210.0,315000.0,2025-07-06 11:36:20.109617
2025-07-06,75074,2025070601002884,KBL,ABC Securities Private Limited,KALASH STOCK MARKET PVT. LTD.,426,210.0,89460.0,2025-07-06 11:36:20.109692
2025-07-06,75073,2025070601002885,KBL,ABC Securities Private Limited,ABC Securities Private Limited,206,210.0,43260.0,2025-07-06 11:36:20.109768
2025-07-06,75072,2025070601002886,KBL,ABC Securities Private Limited,Vision Securities Pvt. Ltd,100,210.0,21000.0,2025-07-06 11:36:20.109844
2025-07-06,75071,2025070601002887,KBL,ABC Securities Private Limited,Sani Securities Company Ltd.,1000,210.0,210000.0,2025-07-06 11:36:20.109921
2025-07-06,75070,2025070601002888,KBL,ABC Securities Private Limited,South Asian Bulls Pvt. Ltd.,334,210.0,70140.0,2025-07-06 11:36:20.110009
2025-07-06,75069,2025070601002889,KBL,ABC Securities Private Limited,Himalayan Brokerage Company Limited,1000,210.0,210000.0,2025-07-06 11:36:20.110108
2025-07-06,75068,2025070601002890,KBL,ABC Securities Private Limited,Aryatara Investment & Securities,44,210.0,9240.0,2025-07-06 11:36:20.110187
2025-07-06,74558,2025070601003044,KBL,MILKY WAY SHARE BROKER COMPANY LTD ,Aryatara Investment & Securities,306,210.0,64260.0,2025-07-06 11:37:51.199565
2025-07-06,74557,2025070601003045,KBL,MILKY WAY SHARE BROKER COMPANY LTD ,Opal Securities Investment (PVT) Ltd.,100,210.0,21000.0,2025-07-06 11:37:51.199929
2025-07-06,74556,2025070601003046,KBL,MILKY WAY SHARE BROKER COMPANY LTD ,Vision Securities Pvt. Ltd,10,210.0,2100.0,2025-07-06 11:37:51.200195
2025-07-06,74409,2025070601003098,KBL,Sani Securities Company Ltd.,Indira securities pvt. ltd,10,211.0,2110.0,2025-07-06 11:38:19.001168
2025-07-06,74123,2025070601003173,KBL,Imperial Securities Company Pvt. Ltd.,Online Securities Pvt. Ltd.,20,210.9,4218.0,2025-07-06 11:39:01.455088
2025-07-06,73583,2025070601003305,KBL,BHOLE GANESH SECURITIES LTD,Primo Securities (PVT) Ltd.,100,210.8,21080.0,2025-07-06 11:40:25.374869
2025-07-06,73582,2025070601003306,KBL,BHOLE GANESH SECURITIES LTD,Online Securities Pvt. Ltd.,280,210.9,59052.0,2025-07-06 11:40:25.375057
2025-07-06,73581,2025070601003307,KBL,BHOLE GANESH SECURITIES LTD,Indira securities pvt. ltd,90,211.0,18990.0,2025-07-06 11:40:25.375143
2025-07-06,73580,2025070601003308,KBL,BHOLE GANESH SECURITIES LTD,Sri Hari Securities Pvt. Ltd.,530,211.0,111830.0,2025-07-06 11:40:25.375231
2025-07-06,73504,2025070601003330,KBL,Kumari Securities Private Limited,Indira securities pvt. ltd,20,210.9,4218.0,2025-07-06 11:40:33.916015
2025-07-06,72999,2025070601003489,KBL,Imperial Securities Company Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,50,210.0,10500.0,2025-07-06 11:41:55.101654
2025-07-06,72998,2025070601003490,KBL,Sani Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,53,209.5,11103.5,2025-07-06 11:41:55.101708
2025-07-06,72643,2025070601003614,KBL,Sani Securities Company Ltd.,Himalayan Brokerage Company Limited,21,209.5,4399.5,2025-07-06 11:42:57.995051
2025-07-06,72279,2025070601003708,KBL,Dakshinkali Investment & Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,35,210.0,7350.0,2025-07-06 11:43:54.409202
2025-07-06,72075,2025070601003776,KBL,Dakshinkali Investment & Securities Pvt. Ltd.,Sani Securities Company Ltd.,400,210.0,84000.0,2025-07-06 11:44:33.519105
2025-07-06,71492,2025070601003978,KBL,Thrive Brokerage House Pvt. Ltd,Primo Securities (PVT) Ltd.,40,210.8,8432.0,2025-07-06 11:46:05.510766
2025-07-06,71410,2025070601004002,KBL,Opal Securities Investment (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,214,210.1,44961.4,2025-07-06 11:46:23.908903
2025-07-06,71206,2025070601004047,KBL,Opal Securities Investment (PVT) Ltd.,Vision Securities Pvt. Ltd,86,210.1,18068.6,2025-07-06 11:46:54.467454
2025-07-06,71205,2025070601004048,KBL,Imperial Securities Company Pvt. Ltd.,Vision Securities Pvt. Ltd,50,210.1,10505.0,2025-07-06 11:46:54.467715
2025-07-06,71204,2025070601004049,KBL,Dakshinkali Investment & Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,1565,210.0,328650.0,2025-07-06 11:46:54.467831
2025-07-06,71203,2025070601004050,KBL,Agrawal Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,300,210.0,63000.0,2025-07-06 11:46:54.467921
2025-07-06,71202,2025070601004051,KBL,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,26,209.5,5447.0,2025-07-06 11:46:54.468013
2025-07-06,71201,2025070601004052,KBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Vision Securities Pvt. Ltd,1000,209.5,209500.0,2025-07-06 11:46:54.468109
2025-07-06,71200,2025070601004053,KBL,Property Wiard Limited,Vision Securities Pvt. Ltd,75,209.1,15682.5,2025-07-06 11:46:54.468221
2025-07-06,71199,2025070601004054,KBL,MILKY WAY SHARE BROKER COMPANY LTD ,Vision Securities Pvt. Ltd,584,209.1,122114.4,2025-07-06 11:46:54.468357
2025-07-06,71198,2025070601004055,KBL,ABC Securities Private Limited,Vision Securities Pvt. Ltd,1135,209.0,237215.0,2025-07-06 11:46:54.468491
2025-07-06,71197,2025070601004056,KBL,Agrawal Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,50,209.0,10450.0,2025-07-06 11:46:54.468603
2025-07-06,71196,2025070601004057,KBL,Sri Hari Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,300,209.0,62700.0,2025-07-06 11:46:54.468692
2025-07-06,71195,2025070601004058,KBL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Vision Securities Pvt. Ltd,2000,208.8,417600.0,2025-07-06 11:46:54.468837
2025-07-06,71194,2025070601004059,KBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Vision Securities Pvt. Ltd,500,208.5,104250.0,2025-07-06 11:46:54.468942
2025-07-06,71193,2025070601004060,KBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Vision Securities Pvt. Ltd,1954,208.5,407409.0,2025-07-06 11:46:54.469038
2025-07-06,71028,2025070601004090,KBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,100,208.5,20850.0,2025-07-06 11:47:18.392232
2025-07-06,70241,2025070601004295,KBL,Dakshinkali Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,32,209.0,6688.0,2025-07-06 11:49:24.654075
2025-07-06,70190,2025070601004309,KBL,Dakshinkali Investment & Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,500,209.0,104500.0,2025-07-06 11:49:29.895271
2025-07-06,69895,2025070601004372,KBL,Dakshinkali Investment & Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,600,209.0,125400.0,2025-07-06 11:50:24.988933
2025-07-06,69635,2025070601004426,KBL,ABC Securities Private Limited,Asian Securities Private Ltd.,2300,209.1,480930.0,2025-07-06 11:51:12.805937
2025-07-06,69532,2025070601004457,KBL,ABC Securities Private Limited,Aryatara Investment & Securities,86,209.1,17982.6,2025-07-06 11:51:34.216468
2025-07-06,69399,2025070601004516,KBL,ABC Securities Private Limited,Capital Max Securities Ltd,614,209.1,128387.4,2025-07-06 11:51:56.162956
2025-07-06,69398,2025070601004517,KBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Capital Max Securities Ltd,80,209.1,16728.0,2025-07-06 11:51:56.163178
2025-07-06,69397,2025070601004518,KBL,Dakshinkali Investment & Securities Pvt. Ltd.,Capital Max Securities Ltd,2286,209.0,477774.0,2025-07-06 11:51:56.163290
2025-07-06,69230,2025070601004575,KBL,Dakshinkali Investment & Securities Pvt. Ltd.,Kumari Securities Private Limited,227,209.0,47443.0,2025-07-06 11:52:29.911086
