Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-07-06,86975,2025070604000097,MEN,Dynamic Money Managers Securities Pvt. Ltd.,ABC Securities Private Limited,100,609.0,60900.0,2025-07-06 11:01:51.497392
2025-07-06,86782,2025070604000158,MEN,Kumari Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,25,608.7,15217.5,2025-07-06 11:02:40.519377
2025-07-06,86752,2025070604000161,MEN,Neev Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,30,601.1,18033.0,2025-07-06 11:02:50.175283
2025-07-06,86335,2025070604000283,MEN,Sani Securities Company Ltd.,Sri Hari Securities Pvt. Ltd.,100,603.0,60300.0,2025-07-06 11:04:20.222185
2025-07-06,86268,2025070604000303,MEN,Sani Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,148,603.0,89244.0,2025-07-06 11:04:37.116707
2025-07-06,86267,2025070604000304,MEN,Secured Securities Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,603.0,6030.0,2025-07-06 11:04:37.116870
2025-07-06,86155,2025070604000333,MEN,Neev Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,70,601.1,42077.0,2025-07-06 11:04:51.494568
2025-07-06,86154,2025070604000334,MEN,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,100,601.0,60100.0,2025-07-06 11:04:51.494701
2025-07-06,86153,2025070604000335,MEN,Premier Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,100,600.0,60000.0,2025-07-06 11:04:51.494816
2025-07-06,86152,2025070604000336,MEN,Midas Stock Broking Company Private Limited,Imperial Securities Company Pvt. Ltd.,500,600.0,300000.0,2025-07-06 11:04:51.494917
2025-07-06,86151,2025070604000337,MEN,Midas Stock Broking Company Private Limited,Imperial Securities Company Pvt. Ltd.,730,600.0,438000.0,2025-07-06 11:04:51.495006
2025-07-06,85474,2025070604000520,MEN,Midas Stock Broking Company Private Limited,Kumari Securities Private Limited,13,600.0,7800.0,2025-07-06 11:07:13.687549
2025-07-06,83798,2025070604001020,MEN,Imperial Securities Company Pvt. Ltd.,Vision Securities Pvt. Ltd,500,602.5,301250.0,2025-07-06 11:11:57.868025
2025-07-06,83607,2025070604001082,MEN,ABC Securities Private Limited,Sani Securities Company Ltd.,500,602.9,301450.0,2025-07-06 11:12:25.339443
2025-07-06,83450,2025070604001118,MEN,Siprabi Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,50,602.0,30100.0,2025-07-06 11:12:51.217633
2025-07-06,83352,2025070604001131,MEN,Online Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,1000,602.1,602100.0,2025-07-06 11:13:04.661288
2025-07-06,83234,2025070604001163,MEN,Imperial Securities Company Pvt. Ltd.,Online Securities Pvt. Ltd.,300,602.1,180630.0,2025-07-06 11:13:21.518051
2025-07-06,82967,2025070604001222,MEN,Linch Stock Market Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,40,603.0,24120.0,2025-07-06 11:14:00.391291
2025-07-06,82775,2025070604001281,MEN,Oxford Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,12,603.0,7236.0,2025-07-06 11:14:21.569993
2025-07-06,82416,2025070604001367,MEN,Imperial Securities Company Pvt. Ltd.,Vision Securities Pvt. Ltd,200,602.1,120420.0,2025-07-06 11:15:06.999928
2025-07-06,82231,2025070604001415,MEN,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,30,602.1,18063.0,2025-07-06 11:15:35.797228
2025-07-06,82160,2025070604001438,MEN,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,50,602.1,30105.0,2025-07-06 11:15:45.469684
2025-07-06,82016,2025070604001470,MEN,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Vision Securities Pvt. Ltd,200,602.1,120420.0,2025-07-06 11:16:05.549701
2025-07-06,81937,2025070604001492,MEN,Oxford Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,70,602.9,42203.0,2025-07-06 11:16:16.220275
2025-07-06,81917,2025070604001501,MEN,ABC Securities Private Limited,Vision Securities Pvt. Ltd,230,602.9,138667.0,2025-07-06 11:16:19.143434
2025-07-06,81916,2025070604001502,MEN,ABC Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,290,603.0,174870.0,2025-07-06 11:16:19.143593
2025-07-06,81915,2025070604001503,MEN,ABC Securities Private Limited,Nabil Stock Dealer Ltd.,1480,603.0,892440.0,2025-07-06 11:16:19.143651
2025-07-06,81307,2025070604001665,MEN,Sri Hari Securities Pvt. Ltd.,Nabil Stock Dealer Ltd.,50,603.0,30150.0,2025-07-06 11:17:52.584192
2025-07-06,80947,2025070604001811,MEN,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,20,602.1,12042.0,2025-07-06 11:18:52.892569
2025-07-06,80946,2025070604001812,MEN,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,280,602.1,168588.0,2025-07-06 11:18:52.892780
2025-07-06,80312,2025070604002019,MEN,Online Securities Pvt. Ltd.,Capital Max Securities Ltd,115,602.1,69241.5,2025-07-06 11:20:35.395335
2025-07-06,80299,2025070604002023,MEN,Online Securities Pvt. Ltd.,Pragyan Securities (PVT) Ltd.,300,602.1,180630.0,2025-07-06 11:20:36.184730
2025-07-06,80182,2025070604002057,MEN,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,300,602.1,180630.0,2025-07-06 11:20:56.421341
2025-07-06,79518,2025070604002291,MEN,Linch Stock Market Ltd.,Nabil Stock Dealer Ltd.,20,603.0,12060.0,2025-07-06 11:22:56.477989
2025-07-06,79517,2025070604002292,MEN,Linch Stock Market Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,80,603.0,48240.0,2025-07-06 11:22:56.478153
2025-07-06,79435,2025070604002322,MEN,Oxford Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,138,602.5,83145.0,2025-07-06 11:23:11.948145
2025-07-06,79434,2025070604002323,MEN,Siprabi Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,42,602.0,25284.0,2025-07-06 11:23:11.948233
