Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-07-06,86695,2025070603000284,NABBC,Bhrikuti Stock Broking Co. Pvt. Ltd.,ABC Securities Private Limited,700,1667.1,1166970.0,2025-07-06 11:03:05.288106
2025-07-06,86028,2025070603000512,NABBC,ABC Securities Private Limited,Shree Krishna Securities Ltd.,55,1700.4,93522.0,2025-07-06 11:05:15.277589
2025-07-06,86027,2025070603000513,NABBC,ABC Securities Private Limited,Online Securities Pvt. Ltd.,19,1723.8,32752.2,2025-07-06 11:05:15.277678
2025-07-06,86026,2025070603000514,NABBC,ABC Securities Private Limited,Naasa Securities Co. Ltd.,40,1723.9,68956.0,2025-07-06 11:05:15.277749
2025-07-06,86025,2025070603000515,NABBC,ABC Securities Private Limited,Naasa Securities Co. Ltd.,50,1724.0,86200.0,2025-07-06 11:05:15.277818
2025-07-06,86024,2025070603000516,NABBC,ABC Securities Private Limited,Naasa Securities Co. Ltd.,50,1724.0,86200.0,2025-07-06 11:05:15.277910
2025-07-06,86023,2025070603000517,NABBC,ABC Securities Private Limited,Siprabi Securities Pvt. Ltd.,50,1725.0,86250.0,2025-07-06 11:05:15.278001
2025-07-06,86000,2025070603000527,NABBC,ABC Securities Private Limited,Sharepro Securities Private Limited,10,1667.3,16673.0,2025-07-06 11:05:21.070470
2025-07-06,84219,2025070603001034,NABBC,Shree Krishna Securities Ltd.,Shree Krishna Securities Ltd.,55,1668.4,91762.0,2025-07-06 11:10:59.347206
2025-07-06,83425,2025070603001284,NABBC,BHOLE GANESH SECURITIES LTD,Investment Management Nepal Pvt. Ltd.,10,1701.7,17017.0,2025-07-06 11:12:54.243218
2025-07-06,82357,2025070603001589,NABBC,ABC Securities Private Limited,Sharepro Securities Private Limited,250,1690.0,422500.0,2025-07-06 11:15:13.667608
2025-07-06,82284,2025070603001612,NABBC,ABC Securities Private Limited,Investment Management Nepal Pvt. Ltd.,190,1701.7,323323.0,2025-07-06 11:15:27.818870
2025-07-06,82283,2025070603001613,NABBC,ABC Securities Private Limited,Ashutosh Brokerage & Securities (PVT) Ltd.,10,1701.7,17017.0,2025-07-06 11:15:27.818914
2025-07-06,80600,2025070603001986,NABBC,Ashutosh Brokerage & Securities (PVT) Ltd.,BHOLE GANESH SECURITIES LTD,10,1729.9,17299.0,2025-07-06 11:19:43.542542
2025-07-06,78305,2025070603002506,NABBC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kumari Securities Private Limited,10,1695.4,16954.0,2025-07-06 11:26:24.705449
2025-07-06,68882,2025070603004861,NABBC,ABC Securities Private Limited,Kumari Securities Private Limited,10,1693.8,16938.0,2025-07-06 11:53:34.019093
2025-07-06,68881,2025070603004862,NABBC,ABC Securities Private Limited,Ashutosh Brokerage & Securities (PVT) Ltd.,10,1694.0,16940.0,2025-07-06 11:53:34.019193
2025-07-06,68880,2025070603004863,NABBC,ABC Securities Private Limited,Trishakti Securities Public Limited,11,1702.0,18722.0,2025-07-06 11:53:34.019268
2025-07-06,62004,2025070603007408,NABBC,ABC Securities Private Limited,Shree Krishna Securities Ltd.,107,1675.0,179225.0,2025-07-06 12:14:59.745751
2025-07-06,60125,2025070603007980,NABBC,Capital Max Securities Ltd,Sipla Securities Private Limited,6000,1677.0,10062000.0,2025-07-06 12:21:07.598132
2025-07-06,58618,2025070603008423,NABBC,Capital Max Securities Ltd,Sipla Securities Private Limited,6300,1678.0,10571400.0,2025-07-06 12:25:42.737138
2025-07-06,57797,2025070603008669,NABBC,Shree Krishna Securities Ltd.,South Asian Bulls Pvt. Ltd.,20,1704.9,34098.0,2025-07-06 12:28:18.831583
2025-07-06,57796,2025070603008670,NABBC,Shree Krishna Securities Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,10,1705.0,17050.0,2025-07-06 12:28:18.831619
2025-07-06,57795,2025070603008671,NABBC,Shree Krishna Securities Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,30,1705.0,51150.0,2025-07-06 12:28:18.831641
2025-07-06,57794,2025070603008672,NABBC,Shree Krishna Securities Ltd.,Shree Krishna Securities Ltd.,50,1708.0,85400.0,2025-07-06 12:28:18.831662
2025-07-06,57793,2025070603008673,NABBC,Shree Krishna Securities Ltd.,Imperial Securities Company Pvt. Ltd.,29,1715.0,49735.0,2025-07-06 12:28:18.831704
2025-07-06,57792,2025070603008674,NABBC,Shree Krishna Securities Ltd.,Trishakti Securities Public Limited,10,1717.9,17179.0,2025-07-06 12:28:18.831728
2025-07-06,57791,2025070603008675,NABBC,Shree Krishna Securities Ltd.,Sipla Securities Private Limited,20,1718.8,34376.0,2025-07-06 12:28:18.831750
2025-07-06,57790,2025070603008676,NABBC,Shree Krishna Securities Ltd.,Sharepro Securities Private Limited,80,1718.9,137512.0,2025-07-06 12:28:18.831775
2025-07-06,57789,2025070603008677,NABBC,Shree Krishna Securities Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,47,1719.0,80793.0,2025-07-06 12:28:18.831800
2025-07-06,57554,2025070603008730,NABBC,Sipla Securities Private Limited,Capital Max Securities Ltd,12300,1718.0,21131400.0,2025-07-06 12:29:09.963168
2025-07-06,55070,2025070603009410,NABBC,Ashutosh Brokerage & Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,11,1718.0,18898.0,2025-07-06 12:37:31.285139
2025-07-06,51232,2025070603010431,NABBC,Sani Securities Company Ltd.,Capital Hub P. Ltd,50,1700.0,85000.0,2025-07-06 12:48:16.450695
2025-07-06,48417,2025070603011115,NABBC,Midas Stock Broking Company Private Limited,Sumeru Securities Pvt. Ltd.,10,1685.1,16851.0,2025-07-06 12:56:29.857004
2025-07-06,48416,2025070603011116,NABBC,Linch Stock Market Ltd.,Sumeru Securities Pvt. Ltd.,10,1685.0,16850.0,2025-07-06 12:56:29.857103
2025-07-06,46501,2025070603011654,NABBC,ABC Securities Private Limited,Sumeru Securities Pvt. Ltd.,11,1685.0,18535.0,2025-07-06 13:02:25.546655
2025-07-06,45557,2025070603011885,NABBC,Midas Stock Broking Company Private Limited,Capital Hub P. Ltd,10,1684.1,16841.0,2025-07-06 13:05:21.563834
2025-07-06,45556,2025070603011886,NABBC,Premier Securities Company Ltd.,Capital Hub P. Ltd,40,1684.0,67360.0,2025-07-06 13:05:21.564017
2025-07-06,41683,2025070603012874,NABBC,South Asian Bulls Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,30,1676.0,50280.0,2025-07-06 13:18:22.836431
2025-07-06,36130,2025070603014089,NABBC,Sri Hari Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,3500,1677.0,5869500.0,2025-07-06 13:38:12.765195
2025-07-06,28425,2025070603015755,NABBC,Trademow Securities Private Limited,Machhapuchchhre Securities Limited,20,1676.2,33524.0,2025-07-06 14:00:30.869337
2025-07-06,19885,2025070603017389,NABBC,Shree Krishna Securities Ltd.,Himalayan Securities Limited,50,1676.1,83805.0,2025-07-06 14:24:40.844986
2025-07-06,19884,2025070603017390,NABBC,South Asian Bulls Pvt. Ltd.,Himalayan Securities Limited,150,1676.0,251400.0,2025-07-06 14:24:40.845031
2025-07-06,12279,2025070603018977,NABBC,Shree Krishna Securities Ltd.,Capital Hub P. Ltd,10,1700.0,17000.0,2025-07-06 14:44:58.384757
2025-07-06,9161,2025070603019641,NABBC,South Asian Bulls Pvt. Ltd.,Miyo Securities Pvt Ltd,40,1676.0,67040.0,2025-07-06 14:50:32.963549
2025-07-06,7670,2025070603019947,NABBC,Shree Krishna Securities Ltd.,Capital Hub P. Ltd,20,1700.0,34000.0,2025-07-06 14:52:59.562935
2025-07-06,7669,2025070603019948,NABBC,Shree Krishna Securities Ltd.,Online Securities Pvt. Ltd.,10,1700.0,17000.0,2025-07-06 14:52:59.563060
2025-07-06,7499,2025070603019983,NABBC,Shree Krishna Securities Ltd.,Global IME Securities Limited,10,1700.0,17000.0,2025-07-06 14:53:15.658108
2025-07-06,7172,2025070603020032,NABBC,Shree Krishna Securities Ltd.,ABC Securities Private Limited,10,1705.0,17050.0,2025-07-06 14:53:38.791238
2025-07-06,6923,2025070603020067,NABBC,Shree Krishna Securities Ltd.,Primo Securities (PVT) Ltd.,10,1705.0,17050.0,2025-07-06 14:53:56.964400
2025-07-06,3104,2025070603020885,NABBC,Sipla Securities Private Limited,Sipla Securities Private Limited,1500,1690.0,2535000.0,2025-07-06 14:58:10.642573
2025-07-06,3050,2025070603020911,NABBC,Sipla Securities Private Limited,Online Securities Pvt. Ltd.,10,1700.0,17000.0,2025-07-06 14:58:12.648692
