Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-06,87319,2025070603000038,SAPDBL,Vision Securities Pvt. Ltd,Linch Stock Market Ltd.,50,1078.2,53910.0,2025-07-06 10:46:00.090268
2025-07-06,87318,2025070603000039,SAPDBL,South Asian Bulls Pvt. Ltd.,Linch Stock Market Ltd.,50,1078.2,53910.0,2025-07-06 10:46:00.090301
2025-07-06,87317,2025070603000040,SAPDBL,South Asian Bulls Pvt. Ltd.,Linch Stock Market Ltd.,100,1078.2,107820.0,2025-07-06 10:46:00.090319
2025-07-06,87316,2025070603000041,SAPDBL,South Asian Bulls Pvt. Ltd.,Linch Stock Market Ltd.,100,1078.2,107820.0,2025-07-06 10:46:00.090339
2025-07-06,87315,2025070603000042,SAPDBL,ABC Securities Private Limited,Linch Stock Market Ltd.,10,1078.2,10782.0,2025-07-06 10:46:00.090362
2025-07-06,87314,2025070603000043,SAPDBL,Agrawal Securities (PVT) Ltd.,Linch Stock Market Ltd.,200,1078.2,215640.0,2025-07-06 10:46:00.090405
2025-07-06,87313,2025070603000044,SAPDBL,Deevyaa Securities & Stock House Pvt. Ltd,Linch Stock Market Ltd.,50,1078.2,53910.0,2025-07-06 10:46:00.090476
2025-07-06,87312,2025070603000045,SAPDBL,Vision Securities Pvt. Ltd,Linch Stock Market Ltd.,50,1078.2,53910.0,2025-07-06 10:46:00.090507
2025-07-06,87311,2025070603000046,SAPDBL,South Asian Bulls Pvt. Ltd.,Linch Stock Market Ltd.,80,1078.2,86256.0,2025-07-06 10:46:00.090532
2025-07-06,87283,2025070603000049,SAPDBL,ABC Securities Private Limited,Blue Chip Securities Ltd,10,1057.0,10570.0,2025-07-06 11:00:20.116648
2025-07-06,87258,2025070603000055,SAPDBL,ABC Securities Private Limited,Siprabi Securities Pvt. Ltd.,10,1035.9,10359.0,2025-07-06 11:00:31.001368
2025-07-06,87224,2025070603000072,SAPDBL,Online Securities Pvt. Ltd.,Blue Chip Securities Ltd,10,1036.0,10360.0,2025-07-06 11:00:43.191684
2025-07-06,87219,2025070603000074,SAPDBL,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,20,1036.0,20720.0,2025-07-06 11:00:45.749627
2025-07-06,87214,2025070603000078,SAPDBL,Online Securities Pvt. Ltd.,Sipla Securities Private Limited,170,1036.0,176120.0,2025-07-06 11:00:47.413495
2025-07-06,87209,2025070603000079,SAPDBL,Imperial Securities Company Pvt. Ltd.,Sipla Securities Private Limited,100,1036.0,103600.0,2025-07-06 11:00:49.589688
2025-07-06,87203,2025070603000081,SAPDBL,Sani Securities Company Ltd.,ABC Securities Private Limited,10,1030.0,10300.0,2025-07-06 11:00:50.240762
2025-07-06,87201,2025070603000083,SAPDBL,Sani Securities Company Ltd.,Blue Chip Securities Ltd,10,1030.0,10300.0,2025-07-06 11:00:51.225129
2025-07-06,87200,2025070603000084,SAPDBL,ABC Securities Private Limited,Sipla Securities Private Limited,100,1036.0,103600.0,2025-07-06 11:00:51.259873
2025-07-06,87191,2025070603000088,SAPDBL,Primo Securities (PVT) Ltd.,Miyo Securities Pvt Ltd,120,1035.9,124308.0,2025-07-06 11:00:54.320469
2025-07-06,87190,2025070603000089,SAPDBL,Primo Securities (PVT) Ltd.,Sipla Securities Private Limited,30,1036.0,31080.0,2025-07-06 11:00:54.320547
2025-07-06,87168,2025070603000097,SAPDBL,Sani Securities Company Ltd.,Secured Securities Ltd.,20,1030.0,20600.0,2025-07-06 11:01:00.433188
2025-07-06,87165,2025070603000099,SAPDBL,Sani Securities Company Ltd.,Blue Chip Securities Ltd,10,1030.0,10300.0,2025-07-06 11:01:01.261289
2025-07-06,87153,2025070603000100,SAPDBL,Online Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,240,1015.3,243672.0,2025-07-06 11:01:04.209980
2025-07-06,87109,2025070603000113,SAPDBL,Market Securities & Exchange (PVT) Ltd.,Sagarmatha Securities Private Limited,100,1035.0,103500.0,2025-07-06 11:01:09.750959
2025-07-06,87107,2025070603000115,SAPDBL,Pragyan Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,1016.0,10160.0,2025-07-06 11:01:10.061745
