Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-07,69936,2025070703000482,GBBL,Aryatara Investment & Securities,Hatemalo Financial Services Private Limited,10,400.5,4005.0,2025-07-07 11:06:57.088530
2025-07-07,69901,2025070703000491,GBBL,Sharepro Securities Private Limited,Hatemalo Financial Services Private Limited,490,400.1,196049.0,2025-07-07 11:07:06.113175
2025-07-07,67822,2025070703001116,GBBL,Sharepro Securities Private Limited,Sani Securities Company Ltd.,299,400.1,119629.9,2025-07-07 11:15:17.657079
2025-07-07,67786,2025070703001121,GBBL,Sharepro Securities Private Limited,South Asian Bulls Pvt. Ltd.,211,400.1,84421.1,2025-07-07 11:15:25.844817
2025-07-07,67785,2025070703001122,GBBL,Naasa Securities Co. Ltd.,South Asian Bulls Pvt. Ltd.,398,400.0,159200.0,2025-07-07 11:15:25.844915
2025-07-07,67784,2025070703001123,GBBL,Premier Securities Company Ltd.,South Asian Bulls Pvt. Ltd.,100,400.0,40000.0,2025-07-07 11:15:25.844950
2025-07-07,67783,2025070703001124,GBBL,Sharepro Securities Private Limited,South Asian Bulls Pvt. Ltd.,87,400.0,34800.0,2025-07-07 11:15:25.844977
2025-07-07,61867,2025070703002410,GBBL,Agrawal Securities (PVT) Ltd.,Sweta Securities Private Limited,100,401.1,40110.0,2025-07-07 11:37:00.150104
2025-07-07,59007,2025070703002984,GBBL,Imperial Securities Company Pvt. Ltd.,Sweta Securities Private Limited,10,402.1,4021.0,2025-07-07 11:47:19.363283
2025-07-07,57997,2025070703003200,GBBL,Vision Securities Pvt. Ltd,Arun Securities (PVT) Ltd.,100,404.9,40490.0,2025-07-07 11:51:00.651113
2025-07-07,57996,2025070703003201,GBBL,Vision Securities Pvt. Ltd,Kumari Securities Private Limited,43,405.0,17415.0,2025-07-07 11:51:00.651217
2025-07-07,57995,2025070703003202,GBBL,Vision Securities Pvt. Ltd,Sundhara Securities Limited,165,405.0,66825.0,2025-07-07 11:51:00.651269
2025-07-07,57994,2025070703003203,GBBL,Vision Securities Pvt. Ltd,Thrive Brokerage House Pvt. Ltd,800,405.0,324000.0,2025-07-07 11:51:00.651362
2025-07-07,57993,2025070703003204,GBBL,Vision Securities Pvt. Ltd,Dynamic Money Managers Securities Pvt. Ltd.,192,405.9,77932.8,2025-07-07 11:51:00.651406
2025-07-07,54341,2025070703004003,GBBL,Agrawal Securities (PVT) Ltd.,Kumari Securities Private Limited,900,402.1,361890.0,2025-07-07 12:04:48.830145
2025-07-07,54340,2025070703004004,GBBL,Opal Securities Investment (PVT) Ltd.,Kumari Securities Private Limited,46,402.0,18492.0,2025-07-07 12:04:48.830270
2025-07-07,54125,2025070703004057,GBBL,Deevyaa Securities & Stock House Pvt. Ltd,Thrive Brokerage House Pvt. Ltd,50,405.0,20250.0,2025-07-07 12:05:38.246741
2025-07-07,54124,2025070703004058,GBBL,Deevyaa Securities & Stock House Pvt. Ltd,Dynamic Money Managers Securities Pvt. Ltd.,150,405.5,60825.0,2025-07-07 12:05:38.246971
2025-07-07,53754,2025070703004163,GBBL,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,10,405.0,4050.0,2025-07-07 12:06:52.484811
