Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-07,71215,2025070703000023,GRDBL,Linch Stock Market Ltd.,Agrawal Securities (PVT) Ltd.,10,1500.0,15000.0,2025-07-07 10:46:00.068373
2025-07-07,70961,2025070703000133,GRDBL,Primo Securities (PVT) Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,100,1470.0,147000.0,2025-07-07 11:01:48.404043
2025-07-07,70178,2025070703000419,GRDBL,Himalayan Brokerage Company Limited,Hatemalo Financial Services Private Limited,10,1448.0,14480.0,2025-07-07 11:05:54.922268
2025-07-07,70095,2025070703000440,GRDBL,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,100,1448.0,144800.0,2025-07-07 11:06:21.053009
2025-07-07,69904,2025070703000490,GRDBL,Imperial Securities Company Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,500,1448.0,724000.0,2025-07-07 11:07:05.338968
2025-07-07,69732,2025070703000538,GRDBL,Hatemalo Financial Services Private Limited,Opal Securities Investment (PVT) Ltd.,20,1455.0,29100.0,2025-07-07 11:07:43.212317
2025-07-07,69603,2025070703000581,GRDBL,Deevyaa Securities & Stock House Pvt. Ltd,Naasa Securities Co. Ltd.,50,1449.0,72450.0,2025-07-07 11:08:17.478523
2025-07-07,69499,2025070703000615,GRDBL,Linch Stock Market Ltd.,Opal Securities Investment (PVT) Ltd.,30,1455.0,43650.0,2025-07-07 11:08:42.364286
2025-07-07,69498,2025070703000616,GRDBL,Linch Stock Market Ltd.,Sewa Securities Pvt. Ltd.,50,1469.0,73450.0,2025-07-07 11:08:42.364413
2025-07-07,69497,2025070703000617,GRDBL,Linch Stock Market Ltd.,Agrawal Securities (PVT) Ltd.,20,1477.9,29558.0,2025-07-07 11:08:42.364469
2025-07-07,69496,2025070703000618,GRDBL,Linch Stock Market Ltd.,Vision Securities Pvt. Ltd,10,1489.0,14890.0,2025-07-07 11:08:42.364534
2025-07-07,67940,2025070703001088,GRDBL,Imperial Securities Company Pvt. Ltd.,Hatemalo Financial Services Private Limited,10,1448.0,14480.0,2025-07-07 11:14:46.244601
2025-07-07,67782,2025070703001125,GRDBL,Naasa Securities Co. Ltd.,Midas Stock Broking Company Private Limited,76,1449.0,110124.0,2025-07-07 11:15:26.135305
2025-07-07,67781,2025070703001126,GRDBL,Imperial Securities Company Pvt. Ltd.,Midas Stock Broking Company Private Limited,55,1448.0,79640.0,2025-07-07 11:15:26.135345
2025-07-07,67780,2025070703001127,GRDBL,Himalayan Brokerage Company Limited,Midas Stock Broking Company Private Limited,119,1448.0,172312.0,2025-07-07 11:15:26.135371
2025-07-07,67091,2025070703001288,GRDBL,Hatemalo Financial Services Private Limited,Sewa Securities Pvt. Ltd.,50,1449.1,72455.0,2025-07-07 11:18:14.742636
2025-07-07,67028,2025070703001298,GRDBL,SUN SECURITIES PVT LTD,Online Securities Pvt. Ltd.,100,1460.0,146000.0,2025-07-07 11:18:27.089943
2025-07-07,66834,2025070703001339,GRDBL,Deevyaa Securities & Stock House Pvt. Ltd,Sewa Securities Pvt. Ltd.,50,1450.0,72500.0,2025-07-07 11:19:01.003989
2025-07-07,66506,2025070703001405,GRDBL,Deevyaa Securities & Stock House Pvt. Ltd,Naasa Securities Co. Ltd.,25,1449.1,36227.5,2025-07-07 11:20:05.667806
2025-07-07,66426,2025070703001419,GRDBL,Deevyaa Securities & Stock House Pvt. Ltd,Naasa Securities Co. Ltd.,25,1449.0,36225.0,2025-07-07 11:20:21.646323
2025-07-07,66346,2025070703001431,GRDBL,Kumari Securities Private Limited,Sewa Securities Pvt. Ltd.,10,1450.0,14500.0,2025-07-07 11:20:37.604208
