Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-07,69455,2025070703000630,SIFC,MILKY WAY SHARE BROKER COMPANY LTD ,Sweta Securities Private Limited,200,542.5,108500.0,2025-07-07 11:08:48.878187
2025-07-07,69454,2025070703000631,SIFC,Miyo Securities Pvt Ltd,Sweta Securities Private Limited,800,542.3,433840.0,2025-07-07 11:08:48.878237
2025-07-07,69267,2025070703000703,SIFC,Miyo Securities Pvt Ltd,Premier Securities Company Ltd.,200,542.3,108460.0,2025-07-07 11:09:29.707452
2025-07-07,69266,2025070703000704,SIFC,MILKY WAY SHARE BROKER COMPANY LTD ,Premier Securities Company Ltd.,200,542.2,108440.0,2025-07-07 11:09:29.707501
2025-07-07,69265,2025070703000705,SIFC,Kohinoor Investment & Securities Pvt. Ltd.,Premier Securities Company Ltd.,100,542.0,54200.0,2025-07-07 11:09:29.707530
2025-07-07,69114,2025070703000750,SIFC,Sharepro Securities Private Limited,Global IME Securities Limited,300,540.0,162000.0,2025-07-07 11:10:06.936915
2025-07-07,68854,2025070703000835,SIFC,Sharepro Securities Private Limited,Linch Stock Market Ltd.,18,540.0,9720.0,2025-07-07 11:11:11.750982
2025-07-07,68186,2025070703001020,SIFC,MILKY WAY SHARE BROKER COMPANY LTD ,Aryatara Investment & Securities,80,540.2,43216.0,2025-07-07 11:13:52.961491
2025-07-07,68185,2025070703001021,SIFC,Asian Securities Private Ltd.,Aryatara Investment & Securities,10,540.1,5401.0,2025-07-07 11:13:52.961602
2025-07-07,68184,2025070703001022,SIFC,Nepal Stock House (PVT) Ltd.,Aryatara Investment & Securities,100,540.1,54010.0,2025-07-07 11:13:52.961634
2025-07-07,68108,2025070703001043,SIFC,Sharepro Securities Private Limited,Midas Stock Broking Company Private Limited,100,540.0,54000.0,2025-07-07 11:14:15.788308
2025-07-07,67905,2025070703001098,SIFC,Sharepro Securities Private Limited,Aryatara Investment & Securities,80,540.0,43200.0,2025-07-07 11:14:57.511181
2025-07-07,67838,2025070703001115,SIFC,Market Securities & Exchange (PVT) Ltd.,Aryatara Investment & Securities,10,540.1,5401.0,2025-07-07 11:15:13.075161
2025-07-07,67680,2025070703001148,SIFC,Market Securities & Exchange (PVT) Ltd.,Naasa Securities Co. Ltd.,40,540.1,21604.0,2025-07-07 11:15:50.243901
2025-07-07,67582,2025070703001169,SIFC,Market Securities & Exchange (PVT) Ltd.,Vision Securities Pvt. Ltd,50,540.1,27005.0,2025-07-07 11:16:12.936604
2025-07-07,67468,2025070703001203,SIFC,Market Securities & Exchange (PVT) Ltd.,Vision Securities Pvt. Ltd,100,540.0,54000.0,2025-07-07 11:16:48.606343
2025-07-07,67450,2025070703001206,SIFC,Nepal Stock House (PVT) Ltd.,Aryatara Investment & Securities,30,539.7,16191.0,2025-07-07 11:16:55.962476
2025-07-07,67449,2025070703001207,SIFC,Sharepro Securities Private Limited,Aryatara Investment & Securities,90,538.2,48438.0,2025-07-07 11:16:55.962530
2025-07-07,67416,2025070703001212,SIFC,Nabil Stock Dealer Ltd.,Vision Securities Pvt. Ltd,100,540.0,54000.0,2025-07-07 11:17:04.735624
2025-07-07,67360,2025070703001219,SIFC,Market Securities & Exchange (PVT) Ltd.,Vision Securities Pvt. Ltd,30,540.0,16200.0,2025-07-07 11:17:14.745910
2025-07-07,67266,2025070703001237,SIFC,Sharepro Securities Private Limited,Aryatara Investment & Securities,250,538.2,134550.0,2025-07-07 11:17:34.239536
2025-07-07,65938,2025070703001505,SIFC,Secured Securities Ltd.,Aryatara Investment & Securities,10,542.0,5420.0,2025-07-07 11:22:02.756570
2025-07-07,64764,2025070703001795,SIFC,Aryatara Investment & Securities,Trisul Securities & Invt. Ltd.,10,546.0,5460.0,2025-07-07 11:26:17.207344
2025-07-07,64311,2025070703001909,SIFC,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,100,542.4,54240.0,2025-07-07 11:27:50.867094
2025-07-07,64310,2025070703001910,SIFC,Opal Securities Investment (PVT) Ltd.,Vision Securities Pvt. Ltd,50,542.3,27115.0,2025-07-07 11:27:50.867218
2025-07-07,64309,2025070703001911,SIFC,Kohinoor Investment & Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,20,542.3,10846.0,2025-07-07 11:27:50.867261
2025-07-07,64308,2025070703001912,SIFC,Imperial Securities Company Pvt. Ltd.,Vision Securities Pvt. Ltd,30,542.2,16266.0,2025-07-07 11:27:50.867340
2025-07-07,63942,2025070703001996,SIFC,Kohinoor Investment & Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,20,542.1,10842.0,2025-07-07 11:28:57.746641
2025-07-07,63941,2025070703001997,SIFC,Neev Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,280,542.1,151788.0,2025-07-07 11:28:57.746717
2025-07-07,63860,2025070703002023,SIFC,Neev Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,150,542.1,81315.0,2025-07-07 11:29:19.646087
2025-07-07,63611,2025070703002078,SIFC,Neev Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,70,542.1,37947.0,2025-07-07 11:30:18.439121
2025-07-07,63609,2025070703002079,SIFC,Kumari Securities Private Limited,Agrawal Securities (PVT) Ltd.,30,542.1,16263.0,2025-07-07 11:30:20.047667
2025-07-07,61759,2025070703002428,SIFC,Kumari Securities Private Limited,Opal Securities Investment (PVT) Ltd.,50,542.5,27125.0,2025-07-07 11:37:21.550873
2025-07-07,61758,2025070703002429,SIFC,Sharepro Securities Private Limited,Opal Securities Investment (PVT) Ltd.,150,542.4,81360.0,2025-07-07 11:37:21.550958
2025-07-07,59863,2025070703002755,SIFC,Neev Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,50,545.0,27250.0,2025-07-07 11:44:13.038913
2025-07-07,59862,2025070703002756,SIFC,Neev Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,50,545.0,27250.0,2025-07-07 11:44:13.039144
2025-07-07,59388,2025070703002866,SIFC,Nepal Stock House (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,30,545.8,16374.0,2025-07-07 11:46:09.088150
2025-07-07,58245,2025070703003141,SIFC,Thrive Brokerage House Pvt. Ltd,Sri Hari Securities Pvt. Ltd.,70,545.8,38206.0,2025-07-07 11:50:13.512702
2025-07-07,58244,2025070703003142,SIFC,Thrive Brokerage House Pvt. Ltd,Neev Securities Pvt. Ltd.,41,545.9,22381.9,2025-07-07 11:50:13.512924
2025-07-07,57560,2025070703003299,SIFC,Premier Securities Company Ltd.,ABC Securities Private Limited,29,544.0,15776.0,2025-07-07 11:52:18.775816
2025-07-07,57559,2025070703003300,SIFC,Opal Securities Investment (PVT) Ltd.,ABC Securities Private Limited,20,543.1,10862.0,2025-07-07 11:52:18.776017
2025-07-07,57558,2025070703003301,SIFC,Sani Securities Company Ltd.,ABC Securities Private Limited,630,543.0,342090.0,2025-07-07 11:52:18.776160
2025-07-07,57248,2025070703003344,SIFC,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,90,543.0,48870.0,2025-07-07 11:53:28.462911
2025-07-07,57172,2025070703003358,SIFC,Sani Securities Company Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,17,543.0,9231.0,2025-07-07 11:53:45.291386
2025-07-07,56635,2025070703003455,SIFC,Sani Securities Company Ltd.,Himalayan Brokerage Company Limited,100,543.0,54300.0,2025-07-07 11:55:47.178915
2025-07-07,56437,2025070703003502,SIFC,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,60,543.0,32580.0,2025-07-07 11:56:24.705272
2025-07-07,55802,2025070703003645,SIFC,Kohinoor Investment & Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,37,544.0,20128.0,2025-07-07 11:58:52.102672
2025-07-07,55224,2025070703003768,SIFC,Kohinoor Investment & Securities Pvt. Ltd.,Capital Max Securities Ltd,13,544.0,7072.0,2025-07-07 12:01:12.515122
2025-07-07,55223,2025070703003769,SIFC,Online Securities Pvt. Ltd.,Capital Max Securities Ltd,10,544.0,5440.0,2025-07-07 12:01:12.515303
2025-07-07,55222,2025070703003770,SIFC,Kohinoor Investment & Securities Pvt. Ltd.,Capital Max Securities Ltd,50,544.0,27200.0,2025-07-07 12:01:12.515420
2025-07-07,55148,2025070703003789,SIFC,Sani Securities Company Ltd.,Capital Max Securities Ltd,27,543.0,14661.0,2025-07-07 12:01:32.582382
2025-07-07,54602,2025070703003931,SIFC,Sani Securities Company Ltd.,Pragyan Securities (PVT) Ltd.,50,543.0,27150.0,2025-07-07 12:03:44.888106
2025-07-07,53879,2025070703004145,SIFC,Sani Securities Company Ltd.,Sweta Securities Private Limited,26,543.0,14118.0,2025-07-07 12:06:32.483481
2025-07-07,53878,2025070703004146,SIFC,Kumari Securities Private Limited,Sweta Securities Private Limited,100,542.7,54270.0,2025-07-07 12:06:32.483594
2025-07-07,53877,2025070703004147,SIFC,Kumari Securities Private Limited,Sweta Securities Private Limited,100,542.6,54260.0,2025-07-07 12:06:32.483636
2025-07-07,53876,2025070703004148,SIFC,Neev Securities Pvt. Ltd.,Sweta Securities Private Limited,200,542.6,108520.0,2025-07-07 12:06:32.483675
