Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-07,71060,2025070704000050,UPPER,Premier Securities Company Ltd.,KALASH STOCK MARKET PVT. LTD.,50,198.0,9900.0,2025-07-07 11:01:11.666527
2025-07-07,71059,2025070704000051,UPPER,Aryatara Investment & Securities,KALASH STOCK MARKET PVT. LTD.,500,198.0,99000.0,2025-07-07 11:01:11.666602
2025-07-07,70992,2025070704000070,UPPER,Kumari Securities Private Limited,KALASH STOCK MARKET PVT. LTD.,150,198.0,29700.0,2025-07-07 11:01:35.845233
2025-07-07,70751,2025070704000121,UPPER,Trishakti Securities Public Limited,KALASH STOCK MARKET PVT. LTD.,170,196.1,33337.0,2025-07-07 11:02:55.562624
2025-07-07,70750,2025070704000122,UPPER,Naasa Securities Co. Ltd.,KALASH STOCK MARKET PVT. LTD.,30,196.0,5880.0,2025-07-07 11:02:55.562768
2025-07-07,70749,2025070704000123,UPPER,Sani Securities Company Ltd.,KALASH STOCK MARKET PVT. LTD.,150,196.0,29400.0,2025-07-07 11:02:55.562810
2025-07-07,70748,2025070704000124,UPPER,Naasa Securities Co. Ltd.,KALASH STOCK MARKET PVT. LTD.,11,196.0,2156.0,2025-07-07 11:02:55.562853
2025-07-07,70747,2025070704000125,UPPER,Sweta Securities Private Limited,KALASH STOCK MARKET PVT. LTD.,78,196.0,15288.0,2025-07-07 11:02:55.562890
2025-07-07,70746,2025070704000126,UPPER,Kalika Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,861,196.0,168756.0,2025-07-07 11:02:55.562931
2025-07-07,70539,2025070704000183,UPPER,Naasa Securities Co. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,500,198.0,99000.0,2025-07-07 11:04:02.380120
2025-07-07,70390,2025070704000220,UPPER,Online Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,144,197.0,28368.0,2025-07-07 11:04:51.477206
2025-07-07,70164,2025070704000269,UPPER,Sri Hari Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,10,198.0,1980.0,2025-07-07 11:05:59.204839
2025-07-07,70009,2025070704000319,UPPER,Sundhara Securities Limited,Dynamic Money Managers Securities Pvt. Ltd.,140,198.0,27720.0,2025-07-07 11:06:39.026549
2025-07-07,69792,2025070704000358,UPPER,Online Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,52,197.0,10244.0,2025-07-07 11:07:27.799556
2025-07-07,69750,2025070704000373,UPPER,Online Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,200,197.0,39400.0,2025-07-07 11:07:39.748469
2025-07-07,69739,2025070704000374,UPPER,Online Securities Pvt. Ltd.,Trisul Securities & Invt. Ltd.,104,197.0,20488.0,2025-07-07 11:07:42.946004
2025-07-07,69738,2025070704000375,UPPER,Bhrikuti Stock Broking Co. Pvt. Ltd.,Trisul Securities & Invt. Ltd.,250,197.0,49250.0,2025-07-07 11:07:42.946261
2025-07-07,69737,2025070704000376,UPPER,Online Securities Pvt. Ltd.,Trisul Securities & Invt. Ltd.,60,197.0,11820.0,2025-07-07 11:07:42.946439
2025-07-07,69736,2025070704000377,UPPER,Online Securities Pvt. Ltd.,Trisul Securities & Invt. Ltd.,86,197.0,16942.0,2025-07-07 11:07:42.946602
2025-07-07,69700,2025070704000383,UPPER,Sani Securities Company Ltd.,Nepal Investment And Securities Trading Private Limited,100,197.2,19720.0,2025-07-07 11:07:52.302888
2025-07-07,69336,2025070704000468,UPPER,Online Securities Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,64,197.0,12608.0,2025-07-07 11:09:17.046397
2025-07-07,69275,2025070704000478,UPPER,Nepal Investment And Securities Trading Private Limited,Thrive Brokerage House Pvt. Ltd,15,197.0,2955.0,2025-07-07 11:09:24.000158
2025-07-07,69245,2025070704000480,UPPER,Shree Krishna Securities Ltd.,Thrive Brokerage House Pvt. Ltd,23,197.0,4531.0,2025-07-07 11:09:32.308206
2025-07-07,69119,2025070704000506,UPPER,Sani Securities Company Ltd.,Thrive Brokerage House Pvt. Ltd,100,197.0,19700.0,2025-07-07 11:10:05.312077
2025-07-07,68780,2025070704000594,UPPER,Midas Stock Broking Company Private Limited,Thrive Brokerage House Pvt. Ltd,13,197.0,2561.0,2025-07-07 11:11:35.604564
