Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-09,54965,2025070903000881,EDBL,South Asian Bulls Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,10,585.0,5850.0,2025-07-09 11:38:59.893459
2025-07-09,54724,2025070903000910,EDBL,KALASH STOCK MARKET PVT. LTD.,Trishakti Securities Public Limited,100,593.9,59390.0,2025-07-09 11:40:00.759087
2025-07-09,54723,2025070903000911,EDBL,KALASH STOCK MARKET PVT. LTD.,Cristal Kanchanjanga Securites Pvt. Ltd.,300,594.0,178200.0,2025-07-09 11:40:00.759253
2025-07-09,53693,2025070903001037,EDBL,South Asian Bulls Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,50,585.0,29250.0,2025-07-09 11:44:17.983393
2025-07-09,49498,2025070903001626,EDBL,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,40,586.0,23440.0,2025-07-09 12:00:43.738540
2025-07-09,48492,2025070903001839,EDBL,Imperial Securities Company Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,460,586.0,269560.0,2025-07-09 12:04:32.284931
2025-07-09,48448,2025070903001846,EDBL,South Asian Bulls Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,50,585.0,29250.0,2025-07-09 12:04:48.328555
2025-07-09,48447,2025070903001847,EDBL,Primo Securities (PVT) Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,1000,585.0,585000.0,2025-07-09 12:04:48.328739
2025-07-09,48446,2025070903001848,EDBL,Naasa Securities Co. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,20,585.0,11700.0,2025-07-09 12:04:48.328843
2025-07-09,47835,2025070903001962,EDBL,South Asian Bulls Pvt. Ltd.,Secured Securities Ltd.,85,584.0,49640.0,2025-07-09 12:07:19.153329
2025-07-09,46301,2025070903002210,EDBL,Nagarik Stock Dealer ,Cristal Kanchanjanga Securites Pvt. Ltd.,200,585.0,117000.0,2025-07-09 12:14:51.578665
2025-07-09,45977,2025070903002281,EDBL,South Asian Bulls Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,15,584.0,8760.0,2025-07-09 12:16:36.930703
2025-07-09,45786,2025070903002311,EDBL,Vision Securities Pvt. Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,100,583.2,58320.0,2025-07-09 12:17:30.108605
2025-07-09,45785,2025070903002312,EDBL,Sani Securities Company Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,1500,583.2,874800.0,2025-07-09 12:17:30.108754
2025-07-09,45746,2025070903002321,EDBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,200,583.1,116620.0,2025-07-09 12:17:44.152587
