Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-09,62638,2025070904000138,KKHC,Nepal Investment And Securities Trading Private Limited,Trisul Securities & Invt. Ltd.,10,450.0,4500.0,2025-07-09 11:01:56.955589
2025-07-09,62471,2025070904000240,KKHC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Trisul Securities & Invt. Ltd.,40,450.0,18000.0,2025-07-09 11:02:47.478007
2025-07-09,62463,2025070904000245,KKHC,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,100,447.0,44700.0,2025-07-09 11:02:48.045725
2025-07-09,62329,2025070904000317,KKHC,Linch Stock Market Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,100,447.0,44700.0,2025-07-09 11:03:49.926256
2025-07-09,62328,2025070904000318,KKHC,Sweta Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,445.0,4450.0,2025-07-09 11:03:49.926304
2025-07-09,62282,2025070904000344,KKHC,Sweta Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,90,445.0,40050.0,2025-07-09 11:04:05.044168
2025-07-09,62281,2025070904000345,KKHC,Imperial Securities Company Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,440.0,4400.0,2025-07-09 11:04:05.044231
2025-07-09,61942,2025070904000525,KKHC,Vision Securities Pvt. Ltd,S.P.S.A. Securities Limited,100,442.0,44200.0,2025-07-09 11:05:58.406361
2025-07-09,61815,2025070904000584,KKHC,Naasa Securities Co. Ltd.,ABC Securities Private Limited,10,441.1,4411.0,2025-07-09 11:06:53.430380
2025-07-09,61814,2025070904000585,KKHC,Stoxkarts Securities Limited,ABC Securities Private Limited,100,441.0,44100.0,2025-07-09 11:06:53.430445
2025-07-09,61813,2025070904000586,KKHC,Sani Securities Company Ltd.,ABC Securities Private Limited,95,441.0,41895.0,2025-07-09 11:06:53.430471
2025-07-09,61812,2025070904000587,KKHC,Midas Stock Broking Company Private Limited,ABC Securities Private Limited,10,440.1,4401.0,2025-07-09 11:06:53.430500
2025-07-09,61811,2025070904000588,KKHC,Linch Stock Market Ltd.,ABC Securities Private Limited,36,440.1,15843.6,2025-07-09 11:06:53.430522
2025-07-09,61791,2025070904000602,KKHC,Nepal Stock House (PVT) Ltd.,Capital Max Securities Ltd,16,441.1,7057.6,2025-07-09 11:06:56.904679
