Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-07-09,62249,2025070901000132,NICA,Online Securities Pvt. Ltd.,Premier Securities Company Ltd.,60,350.0,21000.0,2025-07-09 11:04:16.856127
2025-07-09,62144,2025070901000151,NICA,Online Securities Pvt. Ltd.,Secured Securities Ltd.,140,350.0,49000.0,2025-07-09 11:04:51.977187
2025-07-09,61054,2025070901000340,NICA,Aryatara Investment & Securities,Secured Securities Ltd.,60,350.0,21000.0,2025-07-09 11:10:43.993486
2025-07-09,60940,2025070901000362,NICA,Aryatara Investment & Securities,Cristal Kanchanjanga Securites Pvt. Ltd.,40,351.0,14040.0,2025-07-09 11:11:38.472511
2025-07-09,60453,2025070901000484,NICA,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,20,350.0,7000.0,2025-07-09 11:14:01.924542
2025-07-09,60286,2025070901000523,NICA,Linch Stock Market Ltd.,Trishakti Securities Public Limited,25,350.0,8750.0,2025-07-09 11:15:10.663738
2025-07-09,60285,2025070901000524,NICA,Linch Stock Market Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,60,350.0,21000.0,2025-07-09 11:15:10.663921
2025-07-09,58461,2025070901000987,NICA,ABC Securities Private Limited,Trishakti Securities Public Limited,100,349.8,34980.0,2025-07-09 11:25:04.746067
2025-07-09,57088,2025070901001330,NICA,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,30,349.6,10488.0,2025-07-09 11:30:45.377021
2025-07-09,56077,2025070901001586,NICA,Trisul Securities & Invt. Ltd.,Sundhara Securities Limited,20,347.4,6948.0,2025-07-09 11:34:33.243267
2025-07-09,55504,2025070901001723,NICA,Market Securities & Exchange (PVT) Ltd.,Market Securities & Exchange (PVT) Ltd.,50,348.0,17400.0,2025-07-09 11:36:41.477227
2025-07-09,55212,2025070901001793,NICA,Naasa Securities Co. Ltd.,Market Securities & Exchange (PVT) Ltd.,70,348.0,24360.0,2025-07-09 11:37:53.839005
2025-07-09,55211,2025070901001794,NICA,Naasa Securities Co. Ltd.,Market Securities & Exchange (PVT) Ltd.,72,348.0,25056.0,2025-07-09 11:37:53.839135
2025-07-09,55028,2025070901001839,NICA,Capital Max Securities Ltd,Market Securities & Exchange (PVT) Ltd.,128,348.0,44544.0,2025-07-09 11:38:45.694356
2025-07-09,54678,2025070901001960,NICA,Capital Max Securities Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,4872,348.0,1695456.0,2025-07-09 11:40:10.281665
2025-07-09,54677,2025070901001961,NICA,Malla & Malla Stock Broking Company Pvt. Limited,Nepal Investment And Securities Trading Private Limited,129,348.5,44956.5,2025-07-09 11:40:10.824995
2025-07-09,54676,2025070901001962,NICA,Malla & Malla Stock Broking Company Pvt. Limited,Imperial Securities Company Pvt. Ltd.,100,349.0,34900.0,2025-07-09 11:40:10.825263
2025-07-09,54675,2025070901001963,NICA,Malla & Malla Stock Broking Company Pvt. Limited,Trishakti Securities Public Limited,71,349.9,24842.9,2025-07-09 11:40:10.825420
2025-07-09,54535,2025070901001994,NICA,Capital Max Securities Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,500,349.0,174500.0,2025-07-09 11:40:36.199321
2025-07-09,54368,2025070901002058,NICA,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,350,349.0,122150.0,2025-07-09 11:41:18.100298
2025-07-09,54307,2025070901002081,NICA,Sweta Securities Private Limited,Trishakti Securities Public Limited,105,349.9,36739.5,2025-07-09 11:41:29.836992
2025-07-09,54219,2025070901002107,NICA,Capital Max Securities Ltd,Trishakti Securities Public Limited,194,349.9,67880.6,2025-07-09 11:41:47.463811
2025-07-09,54218,2025070901002108,NICA,Capital Max Securities Ltd,Aryatara Investment & Securities,871,350.0,304850.0,2025-07-09 11:41:47.464117
2025-07-09,54217,2025070901002109,NICA,Capital Max Securities Ltd,Agrawal Securities (PVT) Ltd.,80,350.0,28000.0,2025-07-09 11:41:47.464275
2025-07-09,53880,2025070901002217,NICA,Imperial Securities Company Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,20,351.0,7020.0,2025-07-09 11:43:22.087261
2025-07-09,53752,2025070901002260,NICA,Sweta Securities Private Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,100,351.0,35100.0,2025-07-09 11:43:58.565651
2025-07-09,53737,2025070901002265,NICA,Trisul Securities & Invt. Ltd.,ABC Securities Private Limited,80,350.1,28008.0,2025-07-09 11:44:04.517755
2025-07-09,53736,2025070901002266,NICA,Capital Max Securities Ltd,ABC Securities Private Limited,350,350.0,122500.0,2025-07-09 11:44:04.517883
2025-07-09,53723,2025070901002273,NICA,Sani Securities Company Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,840,351.0,294840.0,2025-07-09 11:44:09.533387
2025-07-09,53722,2025070901002274,NICA,Sani Securities Company Ltd.,Agrawal Securities (PVT) Ltd.,25,351.0,8775.0,2025-07-09 11:44:09.533631
2025-07-09,53613,2025070901002312,NICA,Sani Securities Company Ltd.,Creative Securities Pvt Ltd,100,351.0,35100.0,2025-07-09 11:44:43.235076
2025-07-09,52871,2025070901002552,NICA,Capital Max Securities Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,500,352.0,176000.0,2025-07-09 11:47:47.789453
2025-07-09,52870,2025070901002553,NICA,Capital Max Securities Ltd,Arun Securities (PVT) Ltd.,10,352.0,3520.0,2025-07-09 11:47:47.789492
2025-07-09,52869,2025070901002554,NICA,Capital Max Securities Ltd,Imperial Securities Company Pvt. Ltd.,100,352.0,35200.0,2025-07-09 11:47:47.789518
2025-07-09,52868,2025070901002555,NICA,Capital Max Securities Ltd,Market Securities & Exchange (PVT) Ltd.,10,352.0,3520.0,2025-07-09 11:47:47.789545
2025-07-09,52867,2025070901002556,NICA,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,500,352.8,176400.0,2025-07-09 11:47:47.789573
2025-07-09,52866,2025070901002557,NICA,Capital Max Securities Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,80,352.9,28232.0,2025-07-09 11:47:47.789598
2025-07-09,52865,2025070901002558,NICA,Capital Max Securities Ltd,Asian Securities Private Ltd.,500,352.9,176450.0,2025-07-09 11:47:47.789623
2025-07-09,52864,2025070901002559,NICA,Capital Max Securities Ltd,Investment Management Nepal Pvt. Ltd.,200,353.0,70600.0,2025-07-09 11:47:47.789651
2025-07-09,52863,2025070901002560,NICA,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,80,353.0,28240.0,2025-07-09 11:47:47.789676
2025-07-09,52862,2025070901002561,NICA,Capital Max Securities Ltd,Imperial Securities Company Pvt. Ltd.,20,353.0,7060.0,2025-07-09 11:47:47.789700
2025-07-09,52857,2025070901002563,NICA,Sani Securities Company Ltd.,Capital Max Securities Ltd,10,351.0,3510.0,2025-07-09 11:47:48.795814
2025-07-09,52572,2025070901002648,NICA,Sani Securities Company Ltd.,Sumeru Securities Pvt. Ltd.,25,351.0,8775.0,2025-07-09 11:48:53.878492
2025-07-09,52571,2025070901002649,NICA,Imperial Securities Company Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,20,350.0,7000.0,2025-07-09 11:48:53.878637
2025-07-09,52570,2025070901002650,NICA,Capital Max Securities Ltd,Sumeru Securities Pvt. Ltd.,455,350.0,159250.0,2025-07-09 11:48:53.878691
2025-07-09,52160,2025070901002766,NICA,Midas Stock Broking Company Private Limited,Imperial Securities Company Pvt. Ltd.,20,353.0,7060.0,2025-07-09 11:50:25.805919
2025-07-09,52123,2025070901002773,NICA,Bhrikuti Stock Broking Co. Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,144,350.1,50414.4,2025-07-09 11:50:35.142823
2025-07-09,52103,2025070901002774,NICA,Bhrikuti Stock Broking Co. Pvt. Ltd.,Neev Securities Pvt. Ltd.,200,350.1,70020.0,2025-07-09 11:50:36.802239
2025-07-09,52025,2025070901002790,NICA,Bhrikuti Stock Broking Co. Pvt. Ltd.,ABC Securities Private Limited,58,350.1,20305.8,2025-07-09 11:50:53.881861
2025-07-09,51654,2025070901002917,NICA,Asian Securities Private Ltd.,Neev Securities Pvt. Ltd.,100,350.2,35020.0,2025-07-09 11:52:25.230809
2025-07-09,50516,2025070901003254,NICA,Asian Securities Private Ltd.,Naasa Securities Co. Ltd.,500,350.2,175100.0,2025-07-09 11:57:22.541450
2025-07-09,49500,2025070901003537,NICA,Capital Max Securities Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,1000,351.0,351000.0,2025-07-09 12:00:43.432203
2025-07-09,49444,2025070901003556,NICA,Capital Max Securities Ltd,Kohinoor Investment & Securities Pvt. Ltd.,18,352.0,6336.0,2025-07-09 12:00:52.466780
2025-07-09,49443,2025070901003557,NICA,Capital Max Securities Ltd,Sundhara Securities Limited,20,352.9,7058.0,2025-07-09 12:00:52.466885
2025-07-09,49442,2025070901003558,NICA,Capital Max Securities Ltd,Asian Securities Private Ltd.,500,352.9,176450.0,2025-07-09 12:00:52.466911
2025-07-09,49441,2025070901003559,NICA,Capital Max Securities Ltd,Ashutosh Brokerage & Securities (PVT) Ltd.,100,352.9,35290.0,2025-07-09 12:00:52.466957
2025-07-09,49440,2025070901003560,NICA,Capital Max Securities Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,362,353.0,127786.0,2025-07-09 12:00:52.466981
2025-07-09,49136,2025070901003643,NICA,Naasa Securities Co. Ltd.,Arun Securities (PVT) Ltd.,300,350.1,105030.0,2025-07-09 12:02:05.274272
2025-07-09,48742,2025070901003750,NICA,Kalika Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,54,350.1,18905.4,2025-07-09 12:03:39.676241
2025-07-09,48741,2025070901003751,NICA,Capital Max Securities Ltd,South Asian Bulls Pvt. Ltd.,46,350.0,16100.0,2025-07-09 12:03:39.676534
2025-07-09,48198,2025070901003909,NICA,Capital Max Securities Ltd,N.M.B. SECURITIES LIMITED,500,350.0,175000.0,2025-07-09 12:05:49.051265
2025-07-09,48093,2025070901003933,NICA,Capital Max Securities Ltd,N.M.B. SECURITIES LIMITED,100,350.0,35000.0,2025-07-09 12:06:12.733697
2025-07-09,46430,2025070901004467,NICA,Capital Max Securities Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,899,350.0,314650.0,2025-07-09 12:14:04.405556
2025-07-09,46429,2025070901004468,NICA,Capital Max Securities Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,101,350.0,35350.0,2025-07-09 12:14:04.405869
2025-07-09,46380,2025070901004478,NICA,Capital Max Securities Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,1000,350.0,350000.0,2025-07-09 12:14:22.468295
2025-07-09,46154,2025070901004524,NICA,Capital Max Securities Ltd,Sweta Securities Private Limited,380,350.0,133000.0,2025-07-09 12:15:34.462020
2025-07-09,45453,2025070901004733,NICA,Capital Max Securities Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,3519,350.0,1231650.0,2025-07-09 12:18:55.467130
2025-07-09,45452,2025070901004734,NICA,Deevyaa Securities & Stock House Pvt. Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,100,350.0,35000.0,2025-07-09 12:18:55.467313
2025-07-09,45451,2025070901004735,NICA,Imperial Securities Company Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,300,350.0,105000.0,2025-07-09 12:18:55.467380
2025-07-09,45450,2025070901004736,NICA,Sundhara Securities Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,10,350.0,3500.0,2025-07-09 12:18:55.467531
2025-07-09,45449,2025070901004737,NICA,Trishakti Securities Public Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,75,350.0,26250.0,2025-07-09 12:18:55.467607
2025-07-09,45448,2025070901004738,NICA,Midas Stock Broking Company Private Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,100,350.0,35000.0,2025-07-09 12:18:55.467690
2025-07-09,45447,2025070901004739,NICA,Vision Securities Pvt. Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,10,350.0,3500.0,2025-07-09 12:18:55.467752
2025-07-09,45328,2025070901004788,NICA,Agrawal Securities (PVT) Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,200,350.1,70020.0,2025-07-09 12:19:25.650637
2025-07-09,44546,2025070901005041,NICA,Capital Max Securities Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,1000,350.0,350000.0,2025-07-09 12:24:10.798013
2025-07-09,44545,2025070901005042,NICA,Capital Max Securities Ltd,Sri Hari Securities Pvt. Ltd.,39,350.0,13650.0,2025-07-09 12:24:10.798266
2025-07-09,44457,2025070901005083,NICA,Capital Max Securities Ltd,Creative Securities Pvt Ltd,150,351.9,52785.0,2025-07-09 12:24:35.894518
2025-07-09,44456,2025070901005084,NICA,Capital Max Securities Ltd,Capital Max Securities Ltd,17,352.0,5984.0,2025-07-09 12:24:35.894565
2025-07-09,44455,2025070901005085,NICA,Capital Max Securities Ltd,Siprabi Securities Pvt. Ltd.,10,352.5,3525.0,2025-07-09 12:24:35.894592
2025-07-09,44454,2025070901005086,NICA,Capital Max Securities Ltd,Vision Securities Pvt. Ltd,100,352.6,35260.0,2025-07-09 12:24:35.894626
2025-07-09,44453,2025070901005087,NICA,Capital Max Securities Ltd,Siprabi Securities Pvt. Ltd.,200,352.7,70540.0,2025-07-09 12:24:35.894651
2025-07-09,44452,2025070901005088,NICA,Capital Max Securities Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,20,352.9,7058.0,2025-07-09 12:24:35.894674
2025-07-09,43604,2025070901005350,NICA,Premier Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,25,352.9,8822.5,2025-07-09 12:28:44.713173
2025-07-09,42253,2025070901005723,NICA,Vision Securities Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,20,352.8,7056.0,2025-07-09 12:36:09.336707
2025-07-09,42252,2025070901005724,NICA,Vision Securities Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,65,352.9,22938.5,2025-07-09 12:36:09.337020
2025-07-09,39908,2025070901006312,NICA,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,50,352.0,17600.0,2025-07-09 12:46:39.485069
2025-07-09,39290,2025070901006484,NICA,Dakshinkali Investment & Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,10,350.3,3503.0,2025-07-09 12:49:56.277008
2025-07-09,39289,2025070901006485,NICA,Imperial Securities Company Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,20,350.3,7006.0,2025-07-09 12:49:56.277206
2025-07-09,39236,2025070901006492,NICA,Nabil Stock Dealer Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,1000,350.2,350200.0,2025-07-09 12:50:10.437711
2025-07-09,39190,2025070901006505,NICA,Aryatara Investment & Securities,Cristal Kanchanjanga Securites Pvt. Ltd.,100,350.1,35010.0,2025-07-09 12:50:26.490829
2025-07-09,39189,2025070901006506,NICA,Thrive Brokerage House Pvt. Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,1000,350.1,350100.0,2025-07-09 12:50:26.491050
2025-07-09,38959,2025070901006563,NICA,Capital Max Securities Ltd,Sani Securities Company Ltd.,10,350.0,3500.0,2025-07-09 12:51:51.414668
2025-07-09,38608,2025070901006645,NICA,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Neev Securities Pvt. Ltd.,100,351.0,35100.0,2025-07-09 12:53:42.029349
2025-07-09,38584,2025070901006654,NICA,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,150,351.0,52650.0,2025-07-09 12:53:47.915690
2025-07-09,38360,2025070901006710,NICA,Naasa Securities Co. Ltd.,Neev Securities Pvt. Ltd.,54,351.5,18981.0,2025-07-09 12:54:55.850710
2025-07-09,38076,2025070901006763,NICA,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Premier Securities Company Ltd.,250,351.0,87750.0,2025-07-09 12:56:19.585687
2025-07-09,38009,2025070901006780,NICA,Midas Stock Broking Company Private Limited,Premier Securities Company Ltd.,100,351.0,35100.0,2025-07-09 12:56:42.805145
2025-07-09,37941,2025070901006808,NICA,Capital Max Securities Ltd,Premier Securities Company Ltd.,12,350.0,4200.0,2025-07-09 12:57:03.837579
2025-07-09,37475,2025070901006923,NICA,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,25,350.0,8750.0,2025-07-09 12:58:56.406847
2025-07-09,37474,2025070901006924,NICA,Capital Max Securities Ltd,Market Securities & Exchange (PVT) Ltd.,151,350.0,52850.0,2025-07-09 12:58:57.228410
2025-07-09,37466,2025070901006925,NICA,Capital Max Securities Ltd,Midas Stock Broking Company Private Limited,50,350.0,17500.0,2025-07-09 12:59:01.427897
2025-07-09,37004,2025070901007024,NICA,Capital Max Securities Ltd,Premier Securities Company Ltd.,150,351.0,52650.0,2025-07-09 13:01:14.156654
2025-07-09,37003,2025070901007025,NICA,Capital Max Securities Ltd,Neev Securities Pvt. Ltd.,250,351.5,87875.0,2025-07-09 13:01:14.156755
2025-07-09,37002,2025070901007026,NICA,Capital Max Securities Ltd,Vision Securities Pvt. Ltd,100,352.0,35200.0,2025-07-09 13:01:14.156834
2025-07-09,35779,2025070901007404,NICA,Capital Max Securities Ltd,Sundhara Securities Limited,24,350.0,8400.0,2025-07-09 13:07:32.738786
2025-07-09,35307,2025070901007534,NICA,Sani Securities Company Ltd.,Opal Securities Investment (PVT) Ltd.,300,351.9,105570.0,2025-07-09 13:10:30.465555
2025-07-09,34923,2025070901007650,NICA,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Premier Securities Company Ltd.,40,351.8,14072.0,2025-07-09 13:12:13.047731
2025-07-09,34392,2025070901007798,NICA,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,1000,350.1,350100.0,2025-07-09 13:15:06.887653
2025-07-09,34318,2025070901007816,NICA,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,50,351.0,17550.0,2025-07-09 13:15:36.585083
2025-07-09,34317,2025070901007817,NICA,Sani Securities Company Ltd.,Opal Securities Investment (PVT) Ltd.,150,351.5,52725.0,2025-07-09 13:15:36.585475
2025-07-09,33567,2025070901008094,NICA,Sani Securities Company Ltd.,Opal Securities Investment (PVT) Ltd.,400,350.1,140040.0,2025-07-09 13:19:37.288440
2025-07-09,33566,2025070901008095,NICA,Capital Max Securities Ltd,Opal Securities Investment (PVT) Ltd.,150,350.0,52500.0,2025-07-09 13:19:37.288644
2025-07-09,32944,2025070901008242,NICA,Capital Max Securities Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,40,351.0,14040.0,2025-07-09 13:22:42.877307
2025-07-09,32943,2025070901008243,NICA,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,64,351.0,22464.0,2025-07-09 13:22:42.877523
2025-07-09,32942,2025070901008244,NICA,Capital Max Securities Ltd,Linch Stock Market Ltd.,100,351.0,35100.0,2025-07-09 13:22:42.877608
2025-07-09,32941,2025070901008245,NICA,Capital Max Securities Ltd,Kohinoor Investment & Securities Pvt. Ltd.,12,351.3,4215.6,2025-07-09 13:22:42.877691
2025-07-09,32940,2025070901008246,NICA,Capital Max Securities Ltd,Aakashbhairab Securities Ltd.,250,351.4,87850.0,2025-07-09 13:22:42.877773
2025-07-09,32939,2025070901008247,NICA,Capital Max Securities Ltd,Premier Securities Company Ltd.,60,351.8,21108.0,2025-07-09 13:22:42.877862
2025-07-09,32938,2025070901008248,NICA,Capital Max Securities Ltd,Aryatara Investment & Securities,500,351.9,175950.0,2025-07-09 13:22:42.877972
2025-07-09,32937,2025070901008249,NICA,Capital Max Securities Ltd,Vision Securities Pvt. Ltd,100,352.0,35200.0,2025-07-09 13:22:42.878065
2025-07-09,32936,2025070901008250,NICA,Capital Max Securities Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,874,352.0,307648.0,2025-07-09 13:22:42.878146
