Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-09,61963,2025070905000101,NIFRA,Sewa Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,50,276.0,13800.0,2025-07-09 11:05:51.843834
2025-07-09,61566,2025070905000176,NIFRA,ABC Securities Private Limited,Naasa Securities Co. Ltd.,20,275.0,5500.0,2025-07-09 11:07:59.678197
2025-07-09,61529,2025070905000179,NIFRA,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,44,274.3,12069.2,2025-07-09 11:08:10.935545
2025-07-09,60898,2025070905000278,NIFRA,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,56,275.1,15405.6,2025-07-09 11:11:54.555472
2025-07-09,60897,2025070905000279,NIFRA,Imperial Securities Company Pvt. Ltd.,Aryatara Investment & Securities,1944,275.1,534794.4,2025-07-09 11:11:54.555610
2025-07-09,60834,2025070905000286,NIFRA,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,64,276.0,17664.0,2025-07-09 11:12:12.203579
2025-07-09,60833,2025070905000287,NIFRA,Vision Securities Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,39,276.0,10764.0,2025-07-09 11:12:12.203902
2025-07-09,60832,2025070905000288,NIFRA,Vision Securities Pvt. Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,54,276.0,14904.0,2025-07-09 11:12:12.204087
2025-07-09,60770,2025070905000297,NIFRA,Secured Securities Ltd.,Naasa Securities Co. Ltd.,30,276.0,8280.0,2025-07-09 11:12:31.195095
2025-07-09,60672,2025070905000316,NIFRA,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,20,276.0,5520.0,2025-07-09 11:13:03.496379
2025-07-09,60588,2025070905000327,NIFRA,Investment Management Nepal Pvt. Ltd.,Online Securities Pvt. Ltd.,24,276.0,6624.0,2025-07-09 11:13:27.107263
2025-07-09,60587,2025070905000328,NIFRA,Capital Max Securities Ltd,Online Securities Pvt. Ltd.,30,275.2,8256.0,2025-07-09 11:13:27.107413
2025-07-09,60499,2025070905000345,NIFRA,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,64,275.3,17619.2,2025-07-09 11:13:51.930534
2025-07-09,60296,2025070905000382,NIFRA,Imperial Securities Company Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,10,275.4,2754.0,2025-07-09 11:15:05.103496
2025-07-09,59951,2025070905000440,NIFRA,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,64,275.5,17632.0,2025-07-09 11:17:15.010517
2025-07-09,59872,2025070905000456,NIFRA,Vision Securities Pvt. Ltd,Trisul Securities & Invt. Ltd.,22,277.0,6094.0,2025-07-09 11:17:44.058502
2025-07-09,59815,2025070905000468,NIFRA,Sani Securities Company Ltd.,Nabil Stock Dealer Ltd.,100,276.0,27600.0,2025-07-09 11:17:58.712609
2025-07-09,59745,2025070905000473,NIFRA,Sani Securities Company Ltd.,Online Securities Pvt. Ltd.,54,276.0,14904.0,2025-07-09 11:18:16.574811
2025-07-09,59560,2025070905000508,NIFRA,Sani Securities Company Ltd.,Sumeru Securities Pvt. Ltd.,30,276.0,8280.0,2025-07-09 11:19:04.474743
2025-07-09,59511,2025070905000519,NIFRA,Sani Securities Company Ltd.,Trisul Securities & Invt. Ltd.,816,276.0,225216.0,2025-07-09 11:19:15.904506
2025-07-09,59402,2025070905000544,NIFRA,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,46,275.4,12668.4,2025-07-09 11:19:52.581020
2025-07-09,59373,2025070905000546,NIFRA,Kumari Securities Private Limited,Trisul Securities & Invt. Ltd.,36,275.3,9910.8,2025-07-09 11:20:00.275162
2025-07-09,59372,2025070905000547,NIFRA,Sani Securities Company Ltd.,Trisul Securities & Invt. Ltd.,100,275.3,27530.0,2025-07-09 11:20:00.275344
