Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-09,61072,2025070903000216,RLFL,Market Securities & Exchange (PVT) Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,10,500.0,5000.0,2025-07-09 11:10:38.914822
2025-07-09,55897,2025070903000740,RLFL,Investment Management Nepal Pvt. Ltd.,Kalika Securities Pvt. Ltd.,10,495.0,4950.0,2025-07-09 11:35:12.517688
2025-07-09,55625,2025070903000782,RLFL,Investment Management Nepal Pvt. Ltd.,Miyo Securities Pvt Ltd,90,495.0,44550.0,2025-07-09 11:36:15.649895
2025-07-09,55081,2025070903000860,RLFL,Online Securities Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,100,494.6,49460.0,2025-07-09 11:38:23.767842
2025-07-09,53973,2025070903000997,RLFL,Shree Krishna Securities Ltd.,Miyo Securities Pvt Ltd,100,496.9,49690.0,2025-07-09 11:42:57.995297
2025-07-09,53972,2025070903000998,RLFL,Shree Krishna Securities Ltd.,ABC Securities Private Limited,120,497.0,59640.0,2025-07-09 11:42:57.995342
2025-07-09,53000,2025070903001115,RLFL,Asian Securities Private Ltd.,Midas Stock Broking Company Private Limited,200,494.5,98900.0,2025-07-09 11:47:23.139997
2025-07-09,52999,2025070903001116,RLFL,Primo Securities (PVT) Ltd.,Midas Stock Broking Company Private Limited,30,494.2,14826.0,2025-07-09 11:47:23.140177
2025-07-09,52998,2025070903001117,RLFL,Kohinoor Investment & Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,20,494.1,9882.0,2025-07-09 11:47:23.140269
2025-07-09,52150,2025070903001235,RLFL,Vision Securities Pvt. Ltd,Miyo Securities Pvt Ltd,50,496.5,24825.0,2025-07-09 11:50:29.625063
2025-07-09,47232,2025070903002076,RLFL,J.F. Securites (PVT) Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,100,493.1,49310.0,2025-07-09 12:10:23.835550
2025-07-09,46822,2025070903002128,RLFL,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,100,493.0,49300.0,2025-07-09 12:12:09.024258
2025-07-09,45761,2025070903002318,RLFL,Naasa Securities Co. Ltd.,Miyo Securities Pvt Ltd,60,492.6,29556.0,2025-07-09 12:17:38.983636
2025-07-09,45189,2025070903002395,RLFL,Naasa Securities Co. Ltd.,Premier Securities Company Ltd.,140,492.6,68964.0,2025-07-09 12:20:09.177580
2025-07-09,45188,2025070903002396,RLFL,Sani Securities Company Ltd.,Premier Securities Company Ltd.,200,492.5,98500.0,2025-07-09 12:20:09.177839
2025-07-09,45187,2025070903002397,RLFL,Naasa Securities Co. Ltd.,Premier Securities Company Ltd.,160,492.4,78784.0,2025-07-09 12:20:09.177957
2025-07-09,42566,2025070903002766,RLFL,Vision Securities Pvt. Ltd,Miyo Securities Pvt Ltd,100,496.5,49650.0,2025-07-09 12:34:48.895880
2025-07-09,39842,2025070903003107,RLFL,Oxford Securities Pvt. Ltd.,ABC Securities Private Limited,10,497.0,4970.0,2025-07-09 12:47:01.610217
2025-07-09,36473,2025070903003513,RLFL,Premier Securities Company Ltd.,ABC Securities Private Limited,11,497.0,5467.0,2025-07-09 13:03:37.079862
2025-07-09,36472,2025070903003514,RLFL,Premier Securities Company Ltd.,J.F. Securites (PVT) Ltd.,30,498.0,14940.0,2025-07-09 13:03:37.079917
2025-07-09,36471,2025070903003515,RLFL,Premier Securities Company Ltd.,Opal Securities Investment (PVT) Ltd.,97,498.0,48306.0,2025-07-09 13:03:37.079943
2025-07-09,36470,2025070903003516,RLFL,Premier Securities Company Ltd.,Aryatara Investment & Securities,658,499.8,328868.4,2025-07-09 13:03:37.079967
2025-07-09,36469,2025070903003517,RLFL,Premier Securities Company Ltd.,Online Securities Pvt. Ltd.,104,499.9,51989.6,2025-07-09 13:03:37.079992
2025-07-09,36450,2025070903003520,RLFL,Premier Securities Company Ltd.,Online Securities Pvt. Ltd.,46,499.9,22995.4,2025-07-09 13:03:51.149032
2025-07-09,36449,2025070903003521,RLFL,Premier Securities Company Ltd.,Market Securities & Exchange (PVT) Ltd.,100,500.0,50000.0,2025-07-09 13:03:51.149070
2025-07-09,36448,2025070903003522,RLFL,Premier Securities Company Ltd.,Market Securities & Exchange (PVT) Ltd.,20,500.0,10000.0,2025-07-09 13:03:51.149094
2025-07-09,36447,2025070903003523,RLFL,Premier Securities Company Ltd.,Sundhara Securities Limited,400,500.0,200000.0,2025-07-09 13:03:51.149116
2025-07-09,36446,2025070903003524,RLFL,Premier Securities Company Ltd.,Sani Securities Company Ltd.,34,500.0,17000.0,2025-07-09 13:03:51.149137
2025-07-09,35073,2025070903003776,RLFL,Vision Securities Pvt. Ltd,Agrawal Securities (PVT) Ltd.,30,493.8,14814.0,2025-07-09 13:11:26.582953
2025-07-09,33312,2025070903004000,RLFL,Vision Securities Pvt. Ltd,Midas Stock Broking Company Private Limited,20,494.0,9880.0,2025-07-09 13:20:47.463949
2025-07-09,33311,2025070903004001,RLFL,Kohinoor Investment & Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,10,494.0,4940.0,2025-07-09 13:20:47.464075
2025-07-09,33310,2025070903004002,RLFL,Linch Stock Market Ltd.,Midas Stock Broking Company Private Limited,20,494.0,9880.0,2025-07-09 13:20:47.464124
2025-07-09,31289,2025070903004252,RLFL,Capital Max Securities Ltd,Imperial Securities Company Pvt. Ltd.,200,493.9,98780.0,2025-07-09 13:29:33.692821
2025-07-09,31288,2025070903004253,RLFL,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,456,493.7,225127.2,2025-07-09 13:29:33.692863
2025-07-09,29983,2025070903004483,RLFL,Nepal Investment And Securities Trading Private Limited,Dynamic Money Managers Securities Pvt. Ltd.,45,495.0,22275.0,2025-07-09 13:35:42.065021
2025-07-09,29708,2025070903004557,RLFL,Opal Securities Investment (PVT) Ltd.,Premier Securities Company Ltd.,50,494.0,24700.0,2025-07-09 13:37:00.053750
2025-07-09,26623,2025070903005072,RLFL,Linch Stock Market Ltd.,South Asian Bulls Pvt. Ltd.,200,498.9,99780.0,2025-07-09 13:50:21.462930
2025-07-09,25939,2025070903005194,RLFL,Linch Stock Market Ltd.,Thrive Brokerage House Pvt. Ltd,100,498.9,49890.0,2025-07-09 13:53:00.489311
2025-07-09,25220,2025070903005272,RLFL,Linch Stock Market Ltd.,Premier Securities Company Ltd.,115,495.0,56925.0,2025-07-09 13:55:27.954995
2025-07-09,22035,2025070903005785,RLFL,Linch Stock Market Ltd.,Vision Securities Pvt. Ltd,85,495.0,42075.0,2025-07-09 14:07:52.640100
2025-07-09,22034,2025070903005786,RLFL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Vision Securities Pvt. Ltd,115,495.0,56925.0,2025-07-09 14:07:52.640241
2025-07-09,21357,2025070903005919,RLFL,Online Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,60,495.0,29700.0,2025-07-09 14:10:45.560297
2025-07-09,21356,2025070903005920,RLFL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Market Securities & Exchange (PVT) Ltd.,765,494.2,378063.0,2025-07-09 14:10:45.560470
2025-07-09,19627,2025070903006223,RLFL,Online Securities Pvt. Ltd.,Aakashbhairab Securities Ltd.,100,494.1,49410.0,2025-07-09 14:17:43.188080
2025-07-09,19626,2025070903006224,RLFL,Online Securities Pvt. Ltd.,Aakashbhairab Securities Ltd.,100,494.0,49400.0,2025-07-09 14:17:43.188197
2025-07-09,19625,2025070903006225,RLFL,Naasa Securities Co. Ltd.,Aakashbhairab Securities Ltd.,284,493.7,140210.8,2025-07-09 14:17:43.188240
2025-07-09,19624,2025070903006226,RLFL,Online Securities Pvt. Ltd.,Aakashbhairab Securities Ltd.,100,493.6,49360.0,2025-07-09 14:17:43.188291
2025-07-09,19623,2025070903006227,RLFL,Kumari Securities Private Limited,Aakashbhairab Securities Ltd.,50,493.0,24650.0,2025-07-09 14:17:43.188360
2025-07-09,19622,2025070903006228,RLFL,Imperial Securities Company Pvt. Ltd.,Aakashbhairab Securities Ltd.,50,493.0,24650.0,2025-07-09 14:17:43.188404
2025-07-09,19621,2025070903006229,RLFL,Kohinoor Investment & Securities Pvt. Ltd.,Aakashbhairab Securities Ltd.,680,492.1,334628.0,2025-07-09 14:17:43.188449
2025-07-09,19620,2025070903006230,RLFL,Naasa Securities Co. Ltd.,Aakashbhairab Securities Ltd.,90,492.0,44280.0,2025-07-09 14:17:43.188493
2025-07-09,19619,2025070903006231,RLFL,Trishakti Securities Public Limited,Aakashbhairab Securities Ltd.,100,491.0,49100.0,2025-07-09 14:17:43.188534
2025-07-09,19618,2025070903006232,RLFL,Linch Stock Market Ltd.,Aakashbhairab Securities Ltd.,100,491.0,49100.0,2025-07-09 14:17:43.188578
2025-07-09,19617,2025070903006233,RLFL,Aryatara Investment & Securities,Aakashbhairab Securities Ltd.,200,490.1,98020.0,2025-07-09 14:17:43.188622
2025-07-09,19616,2025070903006234,RLFL,Sundhara Securities Limited,Aakashbhairab Securities Ltd.,25,490.0,12250.0,2025-07-09 14:17:43.188683
2025-07-09,19615,2025070903006235,RLFL,Aryatara Investment & Securities,Aakashbhairab Securities Ltd.,100,490.0,49000.0,2025-07-09 14:17:43.188725
2025-07-09,19614,2025070903006236,RLFL,J.F. Securites (PVT) Ltd.,Aakashbhairab Securities Ltd.,21,490.0,10290.0,2025-07-09 14:17:43.188764
2025-07-09,19510,2025070903006253,RLFL,J.F. Securites (PVT) Ltd.,Aakashbhairab Securities Ltd.,79,490.0,38710.0,2025-07-09 14:18:03.233920
2025-07-09,19509,2025070903006254,RLFL,Nepal Investment And Securities Trading Private Limited,Aakashbhairab Securities Ltd.,250,490.0,122500.0,2025-07-09 14:18:03.234037
2025-07-09,19508,2025070903006255,RLFL,Opal Securities Investment (PVT) Ltd.,Aakashbhairab Securities Ltd.,600,490.0,294000.0,2025-07-09 14:18:03.234079
2025-07-09,19507,2025070903006256,RLFL,Sumeru Securities Pvt. Ltd.,Aakashbhairab Securities Ltd.,71,490.0,34790.0,2025-07-09 14:18:03.234180
