Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-10,88452,2025071004000044,API,Deevyaa Securities & Stock House Pvt. Ltd,NIMB Stock Markets Limited,4000,297.9,1191600.0,2025-07-10 11:00:55.529341
2025-07-10,86238,2025071004000721,API,Online Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,36,295.0,10620.0,2025-07-10 11:10:51.383663
2025-07-10,86139,2025071004000749,API,Creative Securities Pvt Ltd,Agrawal Securities (PVT) Ltd.,137,295.0,40415.0,2025-07-10 11:11:12.515067
2025-07-10,86013,2025071004000800,API,Sweta Securities Private Limited,Naasa Securities Co. Ltd.,300,294.1,88230.0,2025-07-10 11:11:47.369742
2025-07-10,85908,2025071004000828,API,Creative Securities Pvt Ltd,Agrawal Securities (PVT) Ltd.,50,295.7,14785.0,2025-07-10 11:12:09.932452
2025-07-10,85907,2025071004000829,API,Creative Securities Pvt Ltd,Trisul Securities & Invt. Ltd.,250,295.8,73950.0,2025-07-10 11:12:09.932728
2025-07-10,85568,2025071004000932,API,Kohinoor Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,100,296.0,29600.0,2025-07-10 11:13:22.739718
2025-07-10,85484,2025071004000948,API,Neev Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,20,296.5,5930.0,2025-07-10 11:13:42.055965
2025-07-10,85460,2025071004000952,API,Nepal Investment And Securities Trading Private Limited,ABC Securities Private Limited,100,295.0,29500.0,2025-07-10 11:13:48.141967
2025-07-10,84427,2025071004001246,API,Ashutosh Brokerage & Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,10,295.0,2950.0,2025-07-10 11:17:11.267656
2025-07-10,84426,2025071004001247,API,Ashutosh Brokerage & Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,10,295.0,2950.0,2025-07-10 11:17:11.267929
