Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-10,84346,2025071004001270,DHPL,Sani Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,22,324.2,7132.4,2025-07-10 11:17:26.716106
2025-07-10,84104,2025071004001326,DHPL,Primo Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,1000,324.2,324200.0,2025-07-10 11:18:18.187183
2025-07-10,84053,2025071004001333,DHPL,Secured Securities Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,300,324.2,97260.0,2025-07-10 11:18:32.769642
2025-07-10,83454,2025071004001511,DHPL,Sri Hari Securities Pvt. Ltd.,Blue Chip Securities Ltd,10,325.5,3255.0,2025-07-10 11:20:27.951443
2025-07-10,82794,2025071004001650,DHPL,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,245,328.4,80458.0,2025-07-10 11:22:36.314768
2025-07-10,82608,2025071004001692,DHPL,Naasa Securities Co. Ltd.,Arun Securities (PVT) Ltd.,55,328.4,18062.0,2025-07-10 11:23:14.397369
2025-07-10,82384,2025071004001747,DHPL,Vision Securities Pvt. Ltd,Asian Securities Private Ltd.,300,328.0,98400.0,2025-07-10 11:23:55.232860
2025-07-10,82218,2025071004001788,DHPL,Vision Securities Pvt. Ltd,Arun Securities (PVT) Ltd.,300,328.0,98400.0,2025-07-10 11:24:26.691979
2025-07-10,81992,2025071004001840,DHPL,Vision Securities Pvt. Ltd,Arun Securities (PVT) Ltd.,100,328.0,32800.0,2025-07-10 11:25:03.822361
2025-07-10,79993,2025071004002421,DHPL,Sri Hari Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,300,325.5,97650.0,2025-07-10 11:30:25.597357
2025-07-10,79055,2025071004002688,DHPL,Siprabi Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,100,327.0,32700.0,2025-07-10 11:33:28.765928
2025-07-10,78816,2025071004002736,DHPL,Imperial Securities Company Pvt. Ltd.,Midas Stock Broking Company Private Limited,100,327.0,32700.0,2025-07-10 11:34:13.245347
2025-07-10,78067,2025071004002943,DHPL,Imperial Securities Company Pvt. Ltd.,Vision Securities Pvt. Ltd,50,327.0,16350.0,2025-07-10 11:36:41.026405
