Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-10,86474,2025071004000669,GLH,Aryatara Investment & Securities,Machhapuchchhre Securities Limited,20,265.0,5300.0,2025-07-10 11:10:09.302918
2025-07-10,86473,2025071004000670,GLH,Aryatara Investment & Securities,Primo Securities (PVT) Ltd.,10,265.0,2650.0,2025-07-10 11:10:09.303008
2025-07-10,86410,2025071004000679,GLH,Kumari Securities Private Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,280,266.1,74508.0,2025-07-10 11:10:19.704162
2025-07-10,85901,2025071004000835,GLH,Sani Securities Company Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,20,266.1,5322.0,2025-07-10 11:12:09.988310
2025-07-10,85705,2025071004000894,GLH,Capital Max Securities Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,300,267.4,80220.0,2025-07-10 11:12:56.270253
2025-07-10,85704,2025071004000895,GLH,Capital Max Securities Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,50,268.7,13435.0,2025-07-10 11:12:56.270383
2025-07-10,85458,2025071004000953,GLH,Sanima Securities Limited,Online Securities Pvt. Ltd.,100,268.0,26800.0,2025-07-10 11:13:48.990066
2025-07-10,85344,2025071004000990,GLH,Aryatara Investment & Securities,Oxford Securities Pvt. Ltd.,10,267.0,2670.0,2025-07-10 11:14:19.121893
2025-07-10,84989,2025071004001103,GLH,Aryatara Investment & Securities,Bhrikuti Stock Broking Co. Pvt. Ltd.,100,268.7,26870.0,2025-07-10 11:15:22.400821
2025-07-10,84879,2025071004001147,GLH,Aryatara Investment & Securities,Kumari Securities Private Limited,10,267.0,2670.0,2025-07-10 11:15:39.802198
2025-07-10,84869,2025071004001148,GLH,Aryatara Investment & Securities,KALASH STOCK MARKET PVT. LTD.,80,267.0,21360.0,2025-07-10 11:15:43.243517
2025-07-10,84263,2025071004001288,GLH,Sani Securities Company Ltd.,Sagarmatha Securities Private Limited,125,266.1,33262.5,2025-07-10 11:17:49.613162
2025-07-10,83435,2025071004001517,GLH,Kumari Securities Private Limited,Aryatara Investment & Securities,10,265.1,2651.0,2025-07-10 11:20:33.100742
2025-07-10,82156,2025071004001800,GLH,Trishakti Securities Public Limited,Sewa Securities Pvt. Ltd.,10,266.9,2669.0,2025-07-10 11:24:39.745511
2025-07-10,82155,2025071004001801,GLH,Trishakti Securities Public Limited,KALASH STOCK MARKET PVT. LTD.,230,267.0,61410.0,2025-07-10 11:24:39.745618
2025-07-10,81152,2025071004002057,GLH,Agrawal Securities (PVT) Ltd.,Opal Securities Investment (PVT) Ltd.,10,266.0,2660.0,2025-07-10 11:27:11.103359
2025-07-10,81151,2025071004002058,GLH,Agrawal Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,40,267.0,10680.0,2025-07-10 11:27:11.103491
2025-07-10,79370,2025071004002582,GLH,Nepal Stock House (PVT) Ltd.,Opal Securities Investment (PVT) Ltd.,10,265.6,2656.0,2025-07-10 11:32:32.512679
2025-07-10,79223,2025071004002640,GLH,Nepal Stock House (PVT) Ltd.,Online Securities Pvt. Ltd.,190,265.6,50464.0,2025-07-10 11:32:54.419431
2025-07-10,78708,2025071004002781,GLH,Hatemalo Financial Services Private Limited,Online Securities Pvt. Ltd.,13,265.6,3452.8,2025-07-10 11:34:38.962542
2025-07-10,78614,2025071004002814,GLH,Aryatara Investment & Securities,Online Securities Pvt. Ltd.,40,265.1,10604.0,2025-07-10 11:34:56.890958
2025-07-10,78613,2025071004002815,GLH,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,10,265.0,2650.0,2025-07-10 11:34:56.891099
2025-07-10,78612,2025071004002816,GLH,J.F. Securites (PVT) Ltd.,Online Securities Pvt. Ltd.,237,265.0,62805.0,2025-07-10 11:34:56.891154
2025-07-10,78089,2025071004002941,GLH,J.F. Securites (PVT) Ltd.,Investment Management Nepal Pvt. Ltd.,10,265.0,2650.0,2025-07-10 11:36:37.033176
2025-07-10,78016,2025071004002957,GLH,J.F. Securites (PVT) Ltd.,Kalika Securities Pvt. Ltd.,10,265.0,2650.0,2025-07-10 11:36:53.175099
2025-07-10,77617,2025071004003094,GLH,J.F. Securites (PVT) Ltd.,Naasa Securities Co. Ltd.,10,265.0,2650.0,2025-07-10 11:38:05.899630
2025-07-10,77529,2025071004003120,GLH,J.F. Securites (PVT) Ltd.,Aryatara Investment & Securities,10,265.0,2650.0,2025-07-10 11:38:20.238625
2025-07-10,77154,2025071004003207,GLH,Secured Securities Ltd.,Sagarmatha Securities Private Limited,275,266.0,73150.0,2025-07-10 11:39:40.903892
2025-07-10,77153,2025071004003208,GLH,Secured Securities Ltd.,Imperial Securities Company Pvt. Ltd.,270,267.0,72090.0,2025-07-10 11:39:40.904142
2025-07-10,77152,2025071004003209,GLH,Secured Securities Ltd.,South Asian Bulls Pvt. Ltd.,10,267.0,2670.0,2025-07-10 11:39:40.904304
2025-07-10,77151,2025071004003210,GLH,Secured Securities Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,150,267.0,40050.0,2025-07-10 11:39:40.904480
2025-07-10,77150,2025071004003211,GLH,Secured Securities Ltd.,Imperial Securities Company Pvt. Ltd.,225,267.0,60075.0,2025-07-10 11:39:40.904665
2025-07-10,77149,2025071004003212,GLH,Secured Securities Ltd.,Aryatara Investment & Securities,50,267.0,13350.0,2025-07-10 11:39:40.904829
2025-07-10,77148,2025071004003213,GLH,Secured Securities Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,267.0,2670.0,2025-07-10 11:39:40.904979
2025-07-10,77147,2025071004003214,GLH,Secured Securities Ltd.,Aryatara Investment & Securities,150,267.9,40185.0,2025-07-10 11:39:40.905123
2025-07-10,77146,2025071004003215,GLH,Secured Securities Ltd.,Vision Securities Pvt. Ltd,10,268.0,2680.0,2025-07-10 11:39:40.905276
2025-07-10,77145,2025071004003216,GLH,Secured Securities Ltd.,Prabhu Stock Market Limited,100,268.0,26800.0,2025-07-10 11:39:40.905442
2025-07-10,77144,2025071004003217,GLH,Secured Securities Ltd.,Asian Securities Private Ltd.,450,268.0,120600.0,2025-07-10 11:39:40.905591
2025-07-10,76974,2025071004003274,GLH,Online Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,200,265.1,53020.0,2025-07-10 11:40:07.926029
2025-07-10,76881,2025071004003316,GLH,Secured Securities Ltd.,Asian Securities Private Ltd.,50,268.0,13400.0,2025-07-10 11:40:29.604492
2025-07-10,76880,2025071004003317,GLH,Secured Securities Ltd.,Hatemalo Financial Services Private Limited,300,268.0,80400.0,2025-07-10 11:40:29.604642
2025-07-10,76879,2025071004003318,GLH,Secured Securities Ltd.,Asian Securities Private Ltd.,50,268.4,13420.0,2025-07-10 11:40:29.604698
2025-07-10,76747,2025071004003336,GLH,Nepal Stock House (PVT) Ltd.,KALASH STOCK MARKET PVT. LTD.,490,265.1,129899.0,2025-07-10 11:40:57.063774
2025-07-10,75370,2025071004003709,GLH,Nepal Stock House (PVT) Ltd.,Magnet Securities and Investment Company Private Limited,10,265.1,2651.0,2025-07-10 11:46:23.710863
2025-07-10,75369,2025071004003710,GLH,Naasa Securities Co. Ltd.,Magnet Securities and Investment Company Private Limited,192,265.1,50899.2,2025-07-10 11:46:23.711118
2025-07-10,75368,2025071004003711,GLH,J.F. Securites (PVT) Ltd.,Magnet Securities and Investment Company Private Limited,333,265.0,88245.0,2025-07-10 11:46:23.711287
2025-07-10,74938,2025071004003834,GLH,J.F. Securites (PVT) Ltd.,Online Securities Pvt. Ltd.,330,265.0,87450.0,2025-07-10 11:48:08.019254
2025-07-10,74937,2025071004003835,GLH,Ashutosh Brokerage & Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,50,265.0,13250.0,2025-07-10 11:48:08.019440
2025-07-10,74936,2025071004003836,GLH,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,20,265.0,5300.0,2025-07-10 11:48:08.019497
2025-07-10,74196,2025071004003951,GLH,Linch Stock Market Ltd.,Nabil Stock Dealer Ltd.,10,265.0,2650.0,2025-07-10 11:50:35.211488
2025-07-10,73147,2025071004004250,GLH,Linch Stock Market Ltd.,Siprabi Securities Pvt. Ltd.,10,265.0,2650.0,2025-07-10 11:54:05.431216
2025-07-10,69418,2025071004005135,GLH,Sweta Securities Private Limited,Investment Management Nepal Pvt. Ltd.,10,265.2,2652.0,2025-07-10 12:05:34.836299
2025-07-10,68872,2025071004005248,GLH,Sweta Securities Private Limited,Imperial Securities Company Pvt. Ltd.,300,265.2,79560.0,2025-07-10 12:07:14.020680
2025-07-10,67641,2025071004005626,GLH,Sweta Securities Private Limited,Dynamic Money Managers Securities Pvt. Ltd.,190,265.2,50388.0,2025-07-10 12:10:36.271549
2025-07-10,67640,2025071004005627,GLH,Primo Securities (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,250,265.1,66275.0,2025-07-10 12:10:36.271748
2025-07-10,67639,2025071004005628,GLH,Dynamic Money Managers Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,250,265.1,66275.0,2025-07-10 12:10:36.271839
2025-07-10,67638,2025071004005629,GLH,Linch Stock Market Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,60,265.0,15900.0,2025-07-10 12:10:36.271907
2025-07-10,67637,2025071004005630,GLH,Bhrikuti Stock Broking Co. Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,64,265.0,16960.0,2025-07-10 12:10:36.271972
2025-07-10,67636,2025071004005631,GLH,Imperial Securities Company Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,10,265.0,2650.0,2025-07-10 12:10:36.272043
2025-07-10,67635,2025071004005632,GLH,Naasa Securities Co. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,10,265.0,2650.0,2025-07-10 12:10:36.272114
2025-07-10,67634,2025071004005633,GLH,Sundhara Securities Limited,Dynamic Money Managers Securities Pvt. Ltd.,1000,265.0,265000.0,2025-07-10 12:10:36.272181
2025-07-10,67633,2025071004005634,GLH,Imperial Securities Company Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,666,265.0,176490.0,2025-07-10 12:10:36.272246
2025-07-10,67532,2025071004005646,GLH,Imperial Securities Company Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,34,265.0,9010.0,2025-07-10 12:10:52.742672
2025-07-10,67531,2025071004005647,GLH,Opal Securities Investment (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,260,265.0,68900.0,2025-07-10 12:10:52.742886
2025-07-10,67530,2025071004005648,GLH,Online Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,113,265.0,29945.0,2025-07-10 12:10:52.742953
2025-07-10,67529,2025071004005649,GLH,Sani Securities Company Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,40,265.0,10600.0,2025-07-10 12:10:52.743016
2025-07-10,67409,2025071004005677,GLH,INDEX SECURITIES LIMITED,Linch Stock Market Ltd.,50,265.0,13250.0,2025-07-10 12:11:27.307599
2025-07-10,66970,2025071004005774,GLH,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,15,264.8,3972.0,2025-07-10 12:12:53.036970
2025-07-10,66436,2025071004005883,GLH,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,12,264.5,3174.0,2025-07-10 12:14:53.850777
2025-07-10,66435,2025071004005884,GLH,Online Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,88,264.2,23249.6,2025-07-10 12:14:53.850997
2025-07-10,66146,2025071004005938,GLH,Online Securities Pvt. Ltd.,Linch Stock Market Ltd.,12,264.2,3170.4,2025-07-10 12:15:58.345540
2025-07-10,66145,2025071004005939,GLH,Aryatara Investment & Securities,Linch Stock Market Ltd.,100,264.0,26400.0,2025-07-10 12:15:58.345876
2025-07-10,66144,2025071004005940,GLH,Bhrikuti Stock Broking Co. Pvt. Ltd.,Linch Stock Market Ltd.,50,264.0,13200.0,2025-07-10 12:15:58.346076
2025-07-10,66143,2025071004005941,GLH,Sweta Securities Private Limited,Linch Stock Market Ltd.,500,264.0,132000.0,2025-07-10 12:15:58.346294
2025-07-10,66142,2025071004005942,GLH,Sani Securities Company Ltd.,Linch Stock Market Ltd.,35,264.0,9240.0,2025-07-10 12:15:58.346531
2025-07-10,66141,2025071004005943,GLH,Dynamic Money Managers Securities Pvt. Ltd.,Linch Stock Market Ltd.,1607,264.0,424248.0,2025-07-10 12:15:58.346721
2025-07-10,65567,2025071004006073,GLH,Dynamic Money Managers Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,264.0,2640.0,2025-07-10 12:17:43.037550
2025-07-10,65108,2025071004006148,GLH,Dynamic Money Managers Securities Pvt. Ltd.,Linch Stock Market Ltd.,383,264.0,101112.0,2025-07-10 12:18:57.387787
2025-07-10,65107,2025071004006149,GLH,Imperial Securities Company Pvt. Ltd.,Linch Stock Market Ltd.,117,264.0,30888.0,2025-07-10 12:18:57.387970
2025-07-10,64468,2025071004006305,GLH,Imperial Securities Company Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,110,264.0,29040.0,2025-07-10 12:20:17.751803
2025-07-10,64334,2025071004006340,GLH,Imperial Securities Company Pvt. Ltd.,Linch Stock Market Ltd.,103,264.0,27192.0,2025-07-10 12:20:39.610632
2025-07-10,64333,2025071004006341,GLH,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Linch Stock Market Ltd.,100,264.0,26400.0,2025-07-10 12:20:39.610962
2025-07-10,64332,2025071004006342,GLH,INDEX SECURITIES LIMITED,Linch Stock Market Ltd.,20,263.7,5274.0,2025-07-10 12:20:39.611161
2025-07-10,64331,2025071004006343,GLH,Sweta Securities Private Limited,Linch Stock Market Ltd.,500,263.7,131850.0,2025-07-10 12:20:39.611398
2025-07-10,64330,2025071004006344,GLH,Sundhara Securities Limited,Linch Stock Market Ltd.,200,263.6,52720.0,2025-07-10 12:20:39.611605
2025-07-10,64329,2025071004006345,GLH,Bhrikuti Stock Broking Co. Pvt. Ltd.,Linch Stock Market Ltd.,100,263.6,26360.0,2025-07-10 12:20:39.611800
2025-07-10,64328,2025071004006346,GLH,Creative Securities Pvt Ltd,Linch Stock Market Ltd.,100,263.2,26320.0,2025-07-10 12:20:39.612023
2025-07-10,64327,2025071004006347,GLH,Sundhara Securities Limited,Linch Stock Market Ltd.,1000,263.1,263100.0,2025-07-10 12:20:39.612245
2025-07-10,64326,2025071004006348,GLH,Miyo Securities Pvt Ltd,Linch Stock Market Ltd.,300,263.0,78900.0,2025-07-10 12:20:39.612446
2025-07-10,64325,2025071004006349,GLH,Kohinoor Investment & Securities Pvt. Ltd.,Linch Stock Market Ltd.,77,263.0,20251.0,2025-07-10 12:20:39.612639
2025-07-10,64218,2025071004006358,GLH,Opal Securities Investment (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,10,265.0,2650.0,2025-07-10 12:20:53.597282
2025-07-10,61905,2025071004006757,GLH,Nepal Stock House (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2188,265.2,580257.6,2025-07-10 12:25:16.941777
2025-07-10,61646,2025071004006786,GLH,South Asian Bulls Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,200,265.2,53040.0,2025-07-10 12:25:48.964018
2025-07-10,60686,2025071004006889,GLH,Nepal Stock House (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,100,265.2,26520.0,2025-07-10 12:27:24.389792
2025-07-10,59946,2025071004007016,GLH,Opal Securities Investment (PVT) Ltd.,Vision Securities Pvt. Ltd,40,265.0,10600.0,2025-07-10 12:28:48.010441
2025-07-10,59945,2025071004007017,GLH,Opal Securities Investment (PVT) Ltd.,Vision Securities Pvt. Ltd,80,265.0,21200.0,2025-07-10 12:28:48.010614
2025-07-10,59412,2025071004007131,GLH,Opal Securities Investment (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,120,265.0,31800.0,2025-07-10 12:29:37.138697
2025-07-10,59208,2025071004007155,GLH,ABC Securities Private Limited,Imperial Securities Company Pvt. Ltd.,80,265.0,21200.0,2025-07-10 12:30:02.319836
2025-07-10,58198,2025071004007310,GLH,Secured Securities Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,500,265.2,132600.0,2025-07-10 12:31:36.549131
2025-07-10,56199,2025071004007695,GLH,ABC Securities Private Limited,Kumari Securities Private Limited,50,265.0,13250.0,2025-07-10 12:35:35.773509
2025-07-10,54864,2025071004008056,GLH,ABC Securities Private Limited,Nepal Investment And Securities Trading Private Limited,200,265.0,53000.0,2025-07-10 12:38:14.293088
2025-07-10,54246,2025071004008190,GLH,Sweta Securities Private Limited,Dynamic Money Managers Securities Pvt. Ltd.,12,265.2,3182.4,2025-07-10 12:39:35.892803
2025-07-10,54245,2025071004008191,GLH,Sweta Securities Private Limited,Dakshinkali Investment & Securities Pvt. Ltd.,10,265.5,2655.0,2025-07-10 12:39:35.893016
2025-07-10,54244,2025071004008192,GLH,Sweta Securities Private Limited,Naasa Securities Co. Ltd.,100,265.5,26550.0,2025-07-10 12:39:35.893088
2025-07-10,54157,2025071004008216,GLH,Sweta Securities Private Limited,Sumeru Securities Pvt. Ltd.,10,265.5,2655.0,2025-07-10 12:39:52.552124
2025-07-10,54110,2025071004008233,GLH,Sweta Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,265.5,2655.0,2025-07-10 12:39:58.302000
2025-07-10,53989,2025071004008271,GLH,Sewa Securities Pvt. Ltd.,Sagarmatha Securities Private Limited,400,265.8,106320.0,2025-07-10 12:40:15.862532
2025-07-10,52572,2025071004008576,GLH,Midas Stock Broking Company Private Limited,Sagarmatha Securities Private Limited,600,265.8,159480.0,2025-07-10 12:43:41.376665
2025-07-10,52571,2025071004008577,GLH,Midas Stock Broking Company Private Limited,Trisul Securities & Invt. Ltd.,230,265.8,61134.0,2025-07-10 12:43:41.376873
2025-07-10,52496,2025071004008599,GLH,Sweta Securities Private Limited,Imperial Securities Company Pvt. Ltd.,100,265.5,26550.0,2025-07-10 12:43:53.475410
2025-07-10,52477,2025071004008601,GLH,Siprabi Securities Pvt. Ltd.,Trisul Securities & Invt. Ltd.,200,265.8,53160.0,2025-07-10 12:43:57.018497
2025-07-10,52268,2025071004008643,GLH,Trisul Securities & Invt. Ltd.,Trisul Securities & Invt. Ltd.,70,265.8,18606.0,2025-07-10 12:44:31.612581
2025-07-10,52267,2025071004008644,GLH,Trisul Securities & Invt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,230,265.9,61157.0,2025-07-10 12:44:31.612798
2025-07-10,51406,2025071004008859,GLH,ABC Securities Private Limited,Agrawal Securities (PVT) Ltd.,170,265.0,45050.0,2025-07-10 12:47:00.458589
2025-07-10,51405,2025071004008860,GLH,Agrawal Securities (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,30,265.0,7950.0,2025-07-10 12:47:00.458799
2025-07-10,51321,2025071004008880,GLH,Agrawal Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,10,265.0,2650.0,2025-07-10 12:47:21.434550
2025-07-10,51055,2025071004008966,GLH,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,10,265.0,2650.0,2025-07-10 12:48:06.726288
2025-07-10,51054,2025071004008967,GLH,Sundhara Securities Limited,Naasa Securities Co. Ltd.,121,265.0,32065.0,2025-07-10 12:48:06.726518
