Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-07-10,88603,2025071001000003,KBL,Naasa Securities Co. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,200,215.0,43000.0,2025-07-10 10:46:00.022727
2025-07-10,88422,2025071001000077,KBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,300,214.4,64320.0,2025-07-10 11:01:12.514552
2025-07-10,88421,2025071001000078,KBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sani Securities Company Ltd.,150,215.0,32250.0,2025-07-10 11:01:12.514608
2025-07-10,88368,2025071001000095,KBL,Midas Stock Broking Company Private Limited,Linch Stock Market Ltd.,150,214.0,32100.0,2025-07-10 11:01:26.851751
2025-07-10,88270,2025071001000132,KBL,Sundhara Securities Limited,Linch Stock Market Ltd.,200,214.0,42800.0,2025-07-10 11:02:02.957599
2025-07-10,88039,2025071001000222,KBL,Sundhara Securities Limited,Linch Stock Market Ltd.,79,214.0,16906.0,2025-07-10 11:03:13.244044
2025-07-10,88038,2025071001000223,KBL,Sundhara Securities Limited,Nepal Stock House (PVT) Ltd.,830,214.0,177620.0,2025-07-10 11:03:13.244197
2025-07-10,88037,2025071001000224,KBL,Sundhara Securities Limited,Thrive Brokerage House Pvt. Ltd,20,214.0,4280.0,2025-07-10 11:03:13.244247
2025-07-10,88036,2025071001000225,KBL,Sundhara Securities Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,31,214.0,6634.0,2025-07-10 11:03:13.244292
2025-07-10,88022,2025071001000228,KBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,89,214.0,19046.0,2025-07-10 11:03:16.925388
2025-07-10,88021,2025071001000229,KBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Agrawal Securities (PVT) Ltd.,200,214.0,42800.0,2025-07-10 11:03:16.925512
2025-07-10,87968,2025071001000244,KBL,Swarna Laxmi Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,100,214.0,21400.0,2025-07-10 11:03:32.775984
2025-07-10,87967,2025071001000245,KBL,Swarna Laxmi Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,900,214.0,192600.0,2025-07-10 11:03:33.406047
2025-07-10,87961,2025071001000247,KBL,Opal Securities Investment (PVT) Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,95,214.0,20330.0,2025-07-10 11:03:35.571716
2025-07-10,87952,2025071001000249,KBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Oxford Securities Pvt. Ltd.,14,212.6,2976.4,2025-07-10 11:03:41.947572
2025-07-10,87871,2025071001000287,KBL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,10,212.7,2127.0,2025-07-10 11:04:08.611930
2025-07-10,87870,2025071001000288,KBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,936,212.6,198993.6,2025-07-10 11:04:08.612048
2025-07-10,87795,2025071001000331,KBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Naasa Securities Co. Ltd.,2000,213.0,426000.0,2025-07-10 11:04:27.844933
2025-07-10,87773,2025071001000338,KBL,Trisul Securities & Invt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,10,214.0,2140.0,2025-07-10 11:04:34.526997
2025-07-10,87746,2025071001000353,KBL,Dynamic Money Managers Securities Pvt. Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,350,212.8,74480.0,2025-07-10 11:04:41.714775
2025-07-10,87635,2025071001000400,KBL,Kumari Securities Private Limited,Deevyaa Securities & Stock House Pvt. Ltd,400,213.0,85200.0,2025-07-10 11:05:09.871376
2025-07-10,87390,2025071001000503,KBL,Trishakti Securities Public Limited,Deevyaa Securities & Stock House Pvt. Ltd,955,214.0,204370.0,2025-07-10 11:06:22.090210
2025-07-10,87328,2025071001000538,KBL,Trishakti Securities Public Limited,Malla & Malla Stock Broking Company Pvt. Limited,2000,214.0,428000.0,2025-07-10 11:06:33.580997
2025-07-10,87297,2025071001000551,KBL,Trishakti Securities Public Limited,Nepal Stock House (PVT) Ltd.,1000,214.0,214000.0,2025-07-10 11:06:39.495567
2025-07-10,87275,2025071001000557,KBL,Trisul Securities & Invt. Ltd.,Agrawal Securities (PVT) Ltd.,10,214.8,2148.0,2025-07-10 11:06:48.976632
