Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-10,88253,2025071004000110,SJCL,Agrawal Securities (PVT) Ltd.,Sanima Securities Limited,40,313.0,12520.0,2025-07-10 11:02:09.339179
2025-07-10,87940,2025071004000224,SJCL,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,20,313.1,6262.0,2025-07-10 11:03:46.552476
2025-07-10,87409,2025071004000391,SJCL,Hatemalo Financial Services Private Limited,Dakshinkali Investment & Securities Pvt. Ltd.,20,314.0,6280.0,2025-07-10 11:06:13.886449
2025-07-10,87315,2025071004000416,SJCL,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,10,315.0,3150.0,2025-07-10 11:06:36.697691
2025-07-10,86205,2025071004000735,SJCL,Agrawal Securities (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,20,314.2,6284.0,2025-07-10 11:10:59.266376
2025-07-10,85268,2025071004001005,SJCL,Kumari Securities Private Limited,Hatemalo Financial Services Private Limited,20,314.6,6292.0,2025-07-10 11:14:36.135892
2025-07-10,85199,2025071004001033,SJCL,Vision Securities Pvt. Ltd,SUN SECURITIES PVT LTD,20,319.9,6398.0,2025-07-10 11:14:48.820448
2025-07-10,85198,2025071004001034,SJCL,Vision Securities Pvt. Ltd,Kumari Securities Private Limited,40,320.0,12800.0,2025-07-10 11:14:48.820527
2025-07-10,85197,2025071004001035,SJCL,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,100,324.0,32400.0,2025-07-10 11:14:48.820549
2025-07-10,85196,2025071004001036,SJCL,Vision Securities Pvt. Ltd,Primo Securities (PVT) Ltd.,10,324.0,3240.0,2025-07-10 11:14:48.820571
2025-07-10,85195,2025071004001037,SJCL,Vision Securities Pvt. Ltd,Sundhara Securities Limited,390,324.1,126399.0,2025-07-10 11:14:48.820601
2025-07-10,84087,2025071004001329,SJCL,Arun Securities (PVT) Ltd.,Indira securities pvt. ltd,20,317.7,6354.0,2025-07-10 11:18:22.980394
2025-07-10,82577,2025071004001705,SJCL,Sweta Securities Private Limited,Kohinoor Investment & Securities Pvt. Ltd.,20,319.0,6380.0,2025-07-10 11:23:19.551254
2025-07-10,82576,2025071004001706,SJCL,Sweta Securities Private Limited,Sweta Securities Private Limited,30,319.0,9570.0,2025-07-10 11:23:19.551481
