Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-07-10,81088,2025071004002080,TRH,Naasa Securities Co. Ltd.,Secured Securities Ltd.,10,950.0,9500.0,2025-07-10 11:27:19.434001
2025-07-10,80632,2025071004002215,TRH,Naasa Securities Co. Ltd.,Secured Securities Ltd.,50,950.0,47500.0,2025-07-10 11:28:31.526885
2025-07-10,78760,2025071004002755,TRH,Naasa Securities Co. Ltd.,Secured Securities Ltd.,49,940.3,46074.7,2025-07-10 11:34:27.123818
2025-07-10,78580,2025071004002827,TRH,Hatemalo Financial Services Private Limited,Agrawal Securities (PVT) Ltd.,50,949.9,47495.0,2025-07-10 11:35:02.022173
2025-07-10,78579,2025071004002828,TRH,Hatemalo Financial Services Private Limited,Indira securities pvt. ltd,50,950.0,47500.0,2025-07-10 11:35:02.022327
2025-07-10,77736,2025071004003054,TRH,Hatemalo Financial Services Private Limited,Market Securities & Exchange (PVT) Ltd.,10,950.0,9500.0,2025-07-10 11:37:40.761876
2025-07-10,77250,2025071004003186,TRH,Naasa Securities Co. Ltd.,Pragyan Securities (PVT) Ltd.,10,954.9,9549.0,2025-07-10 11:39:23.959963
2025-07-10,76883,2025071004003315,TRH,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,10,954.9,9549.0,2025-07-10 11:40:29.136534
2025-07-10,76451,2025071004003426,TRH,Trishakti Securities Public Limited,Pragyan Securities (PVT) Ltd.,10,954.8,9548.0,2025-07-10 11:42:08.835489
2025-07-10,76244,2025071004003468,TRH,Trishakti Securities Public Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,954.8,9548.0,2025-07-10 11:42:57.167991
2025-07-10,75647,2025071004003615,TRH,Bhrikuti Stock Broking Co. Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,10,942.0,9420.0,2025-07-10 11:45:29.344854
2025-07-10,72039,2025071004004466,TRH,SHUBHAKAMANA SECURITIES PVT. LTD,Secured Securities Ltd.,200,942.0,188400.0,2025-07-10 11:57:25.973671
2025-07-10,72038,2025071004004467,TRH,Naasa Securities Co. Ltd.,Secured Securities Ltd.,51,941.3,48006.3,2025-07-10 11:57:25.973762
2025-07-10,72037,2025071004004468,TRH,Opal Securities Investment (PVT) Ltd.,Secured Securities Ltd.,10,941.0,9410.0,2025-07-10 11:57:25.973819
2025-07-10,67672,2025071004005618,TRH,Online Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,29,938.0,27202.0,2025-07-10 12:10:27.768352
2025-07-10,67671,2025071004005619,TRH,Naasa Securities Co. Ltd.,South Asian Bulls Pvt. Ltd.,35,937.2,32802.0,2025-07-10 12:10:27.768518
2025-07-10,67670,2025071004005620,TRH,Vision Securities Pvt. Ltd,South Asian Bulls Pvt. Ltd.,50,937.1,46855.0,2025-07-10 12:10:27.768658
2025-07-10,67669,2025071004005621,TRH,Online Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,50,937.0,46850.0,2025-07-10 12:10:27.768761
2025-07-10,67668,2025071004005622,TRH,Deevyaa Securities & Stock House Pvt. Ltd,South Asian Bulls Pvt. Ltd.,100,936.0,93600.0,2025-07-10 12:10:27.768862
2025-07-10,67667,2025071004005623,TRH,Bhrikuti Stock Broking Co. Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,10,935.0,9350.0,2025-07-10 12:10:27.768963
2025-07-10,67626,2025071004005636,TRH,Imperial Securities Company Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,10,930.0,9300.0,2025-07-10 12:10:38.856593
2025-07-10,67625,2025071004005637,TRH,Premier Securities Company Ltd.,South Asian Bulls Pvt. Ltd.,100,930.0,93000.0,2025-07-10 12:10:38.856751
2025-07-10,67624,2025071004005638,TRH,Capital Max Securities Ltd,South Asian Bulls Pvt. Ltd.,30,930.0,27900.0,2025-07-10 12:10:38.856861
2025-07-10,67623,2025071004005639,TRH,Sani Securities Company Ltd.,South Asian Bulls Pvt. Ltd.,50,930.0,46500.0,2025-07-10 12:10:38.856961
2025-07-10,67622,2025071004005640,TRH,Kumari Securities Private Limited,South Asian Bulls Pvt. Ltd.,500,930.0,465000.0,2025-07-10 12:10:38.857057
