Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-13,105070,2025071301000089,NMB,Imperial Securities Company Pvt. Ltd.,Trisul Securities & Invt. Ltd.,10,264.0,2640.0,2025-07-13T10:46:00.080113
2025-07-13,105069,2025071301000090,NMB,Imperial Securities Company Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,300,264.0,79200.0,2025-07-13T10:46:00.080171
2025-07-13,105068,2025071301000091,NMB,Imperial Securities Company Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,245,264.0,64680.0,2025-07-13T10:46:00.080196
2025-07-13,105067,2025071301000092,NMB,Secured Securities Ltd.,Nepal Stock House (PVT) Ltd.,55,264.0,14520.0,2025-07-13T10:46:00.080219
2025-07-13,104536,2025071301000294,NMB,Secured Securities Ltd.,Trishakti Securities Public Limited,945,264.0,249480.0,2025-07-13T11:00:23.047146
2025-07-13,104535,2025071301000295,NMB,Primo Securities (PVT) Ltd.,Trishakti Securities Public Limited,55,264.0,14520.0,2025-07-13T11:00:23.047242
2025-07-13,104428,2025071301000337,NMB,Cristal Kanchanjanga Securites Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,20,269.2,5384.0,2025-07-13T11:00:33.02353
2025-07-13,103863,2025071301000565,NMB,Secured Securities Ltd.,South Asian Bulls Pvt. Ltd.,100,273.0,27300.0,2025-07-13T11:01:06.575581
2025-07-13,103776,2025071301000619,NMB,Imperial Securities Company Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,1000,273.0,273000.0,2025-07-13T11:01:11.452984
2025-07-13,103631,2025071301000679,NMB,Cristal Kanchanjanga Securites Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,200,269.4,53880.0,2025-07-13T11:01:18.332654
2025-07-13,103589,2025071301000700,NMB,Opal Securities Investment (PVT) Ltd.,Opal Securities Investment (PVT) Ltd.,1500,270.0,405000.0,2025-07-13T11:01:20.852591
2025-07-13,103413,2025071301000773,NMB,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Opal Securities Investment (PVT) Ltd.,100,270.0,27000.0,2025-07-13T11:01:28.605868
2025-07-13,103410,2025071301000775,NMB,Cristal Kanchanjanga Securites Pvt. Ltd.,Neev Securities Pvt. Ltd.,300,269.4,80820.0,2025-07-13T11:01:28.652796
2025-07-13,103335,2025071301000825,NMB,Deevyaa Securities & Stock House Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,200,270.0,54000.0,2025-07-13T11:01:31.121591
2025-07-13,103310,2025071301000838,NMB,Malla & Malla Stock Broking Company Pvt. Limited,Opal Securities Investment (PVT) Ltd.,200,270.0,54000.0,2025-07-13T11:01:32.474991
2025-07-13,103075,2025071301000948,NMB,Sumeru Securities Pvt. Ltd.,ABC Securities Private Limited,500,272.0,136000.0,2025-07-13T11:01:43.73892
2025-07-13,102914,2025071301001039,NMB,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Vision Securities Pvt. Ltd,100,270.0,27000.0,2025-07-13T11:01:49.835653
2025-07-13,102913,2025071301001040,NMB,Kalika Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,40,270.0,10800.0,2025-07-13T11:01:49.835723
2025-07-13,102912,2025071301001041,NMB,Cristal Kanchanjanga Securites Pvt. Ltd.,Vision Securities Pvt. Ltd,340,269.4,91596.0,2025-07-13T11:01:49.835762
2025-07-13,102735,2025071301001128,NMB,Sewa Securities Pvt. Ltd.,Sani Securities Company Ltd.,100,270.0,27000.0,2025-07-13T11:01:57.244558
2025-07-13,102657,2025071301001157,NMB,Agrawal Securities (PVT) Ltd.,Sani Securities Company Ltd.,50,270.0,13500.0,2025-07-13T11:02:00.466854
2025-07-13,102601,2025071301001177,NMB,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,85,270.0,22950.0,2025-07-13T11:02:02.457606
2025-07-13,102575,2025071301001193,NMB,Deevyaa Securities & Stock House Pvt. Ltd,Sani Securities Company Ltd.,65,270.0,17550.0,2025-07-13T11:02:03.649437
2025-07-13,102188,2025071301001363,NMB,Imperial Securities Company Pvt. Ltd.,Sewa Securities Pvt. Ltd.,200,272.0,54400.0,2025-07-13T11:02:20.529502
2025-07-13,102187,2025071301001364,NMB,Imperial Securities Company Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,300,272.9,81870.0,2025-07-13T11:02:20.529602
2025-07-13,102147,2025071301001384,NMB,Sagarmatha Securities Private Limited,Ashutosh Brokerage & Securities (PVT) Ltd.,1000,272.9,272900.0,2025-07-13T11:02:23.393466
2025-07-13,102027,2025071301001444,NMB,Thrive Brokerage House Pvt. Ltd,Naasa Securities Co. Ltd.,100,272.8,27280.0,2025-07-13T11:02:28.321414
2025-07-13,101981,2025071301001469,NMB,Sanima Securities Limited,Opal Securities Investment (PVT) Ltd.,500,271.0,135500.0,2025-07-13T11:02:30.604895
