Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-13,105271,2025071303000034,PFL,Linch Stock Market Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,200,427.6,85520.0,2025-07-13T10:46:00.036295
2025-07-13,105270,2025071303000035,PFL,Linch Stock Market Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,200,427.6,85520.0,2025-07-13T10:46:00.036326
2025-07-13,104126,2025071303000356,PFL,Aryatara Investment & Securities,Sumeru Securities Pvt. Ltd.,72,435.0,31320.0,2025-07-13T11:00:54.736225
2025-07-13,103466,2025071303000459,PFL,Sani Securities Company Ltd.,Sweta Securities Private Limited,10,436.1,4361.0,2025-07-13T11:01:26.409118
2025-07-13,103287,2025071303000486,PFL,Aryatara Investment & Securities,Premier Securities Company Ltd.,1000,442.0,442000.0,2025-07-13T11:01:33.563553
2025-07-13,103012,2025071303000539,PFL,Midas Stock Broking Company Private Limited,Kohinoor Investment & Securities Pvt. Ltd.,200,440.0,88000.0,2025-07-13T11:01:45.740173
2025-07-13,102834,2025071303000588,PFL,Vision Securities Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,300,440.0,132000.0,2025-07-13T11:01:54.082545
2025-07-13,102833,2025071303000589,PFL,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,300,441.0,132300.0,2025-07-13T11:01:54.082718
2025-07-13,102832,2025071303000590,PFL,Vision Securities Pvt. Ltd,Premier Securities Company Ltd.,400,442.0,176800.0,2025-07-13T11:01:54.082827
2025-07-13,102644,2025071303000630,PFL,Midas Stock Broking Company Private Limited,Premier Securities Company Ltd.,200,442.0,88400.0,2025-07-13T11:02:00.807623
2025-07-13,102574,2025071303000648,PFL,Agrawal Securities (PVT) Ltd.,Premier Securities Company Ltd.,230,442.0,101660.0,2025-07-13T11:02:03.673356
2025-07-13,102514,2025071303000667,PFL,Kohinoor Investment & Securities Pvt. Ltd.,Premier Securities Company Ltd.,10,442.0,4420.0,2025-07-13T11:02:06.304611
2025-07-13,102396,2025071303000689,PFL,Swarna Laxmi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,10,440.0,4400.0,2025-07-13T11:02:12.181571
2025-07-13,102131,2025071303000742,PFL,Swarna Laxmi Securities Pvt. Ltd.,Kumari Securities Private Limited,30,440.0,13200.0,2025-07-13T11:02:24.173505
2025-07-13,101799,2025071303000812,PFL,Swarna Laxmi Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,105,440.0,46200.0,2025-07-13T11:02:37.251563
2025-07-13,101754,2025071303000821,PFL,Swarna Laxmi Securities Pvt. Ltd.,Sweta Securities Private Limited,80,440.0,35200.0,2025-07-13T11:02:39.159418
2025-07-13,101512,2025071303000865,PFL,Swarna Laxmi Securities Pvt. Ltd.,Aryatara Investment & Securities,500,440.0,220000.0,2025-07-13T11:02:48.153997
2025-07-13,101502,2025071303000868,PFL,Swarna Laxmi Securities Pvt. Ltd.,J.F. Securites (PVT) Ltd.,275,440.0,121000.0,2025-07-13T11:02:48.570666
2025-07-13,101501,2025071303000869,PFL,Premier Securities Company Ltd.,J.F. Securites (PVT) Ltd.,50,440.0,22000.0,2025-07-13T11:02:48.57072
2025-07-13,101445,2025071303000874,PFL,Sani Securities Company Ltd.,J.F. Securites (PVT) Ltd.,90,440.0,39600.0,2025-07-13T11:02:50.397756
2025-07-13,100825,2025071303001013,PFL,Asian Securities Private Ltd.,Trisul Securities & Invt. Ltd.,100,433.2,43320.0,2025-07-13T11:03:13.44577
2025-07-13,99779,2025071303001285,PFL,J.F. Securites (PVT) Ltd.,Neev Securities Pvt. Ltd.,50,439.0,21950.0,2025-07-13T11:03:48.687986
2025-07-13,98972,2025071303001502,PFL,Aryatara Investment & Securities,Kumari Securities Private Limited,150,433.3,64995.0,2025-07-13T11:04:22.188946
2025-07-13,98334,2025071303001680,PFL,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,55,437.0,24035.0,2025-07-13T11:04:52.869273
2025-07-13,98072,2025071303001757,PFL,Kohinoor Investment & Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,10,435.0,4350.0,2025-07-13T11:05:05.090772
2025-07-13,97863,2025071303001806,PFL,Agrawal Securities (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,45,434.0,19530.0,2025-07-13T11:05:16.178417
2025-07-13,97378,2025071303001935,PFL,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,50,433.3,21665.0,2025-07-13T11:05:42.370147
