Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-13,105023,2025071303000087,SADBL,Nepal Investment And Securities Trading Private Limited,Kumari Securities Private Limited,50,437.4,21870.0,2025-07-13T10:46:00.086311
2025-07-13,105022,2025071303000088,SADBL,Nepal Investment And Securities Trading Private Limited,South Asian Bulls Pvt. Ltd.,18,437.4,7873.2,2025-07-13T10:46:00.086352
2025-07-13,105021,2025071303000089,SADBL,Nepal Investment And Securities Trading Private Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,50,437.4,21870.0,2025-07-13T10:46:00.086387
2025-07-13,105020,2025071303000090,SADBL,Nepal Investment And Securities Trading Private Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,132,437.4,57736.8,2025-07-13T10:46:00.086426
2025-07-13,105019,2025071303000091,SADBL,Nepal Investment And Securities Trading Private Limited,Linch Stock Market Ltd.,10,437.4,4374.0,2025-07-13T10:46:00.086459
2025-07-13,105018,2025071303000092,SADBL,Nepal Investment And Securities Trading Private Limited,J.F. Securites (PVT) Ltd.,10,437.4,4374.0,2025-07-13T10:46:00.086491
2025-07-13,104523,2025071303000251,SADBL,Dakshinkali Investment & Securities Pvt. Ltd.,Premier Securities Company Ltd.,129,437.5,56437.5,2025-07-13T11:00:24.47887
2025-07-13,104407,2025071303000276,SADBL,Property Wiard Limited,Imperial Securities Company Pvt. Ltd.,141,445.0,62745.0,2025-07-13T11:00:33.944457
2025-07-13,104226,2025071303000327,SADBL,Siprabi Securities Pvt. Ltd.,Miyo Securities Pvt Ltd,500,446.0,223000.0,2025-07-13T11:00:48.787269
2025-07-13,104154,2025071303000348,SADBL,Property Wiard Limited,Citizens Share Broker Limited,200,446.0,89200.0,2025-07-13T11:00:53.112487
2025-07-13,103641,2025071303000428,SADBL,Kohinoor Investment & Securities Pvt. Ltd.,Sweta Securities Private Limited,100,452.8,45280.0,2025-07-13T11:01:17.749679
2025-07-13,103640,2025071303000429,SADBL,Kohinoor Investment & Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,400,453.0,181200.0,2025-07-13T11:01:17.74975
2025-07-13,102986,2025071303000545,SADBL,Kumari Securities Private Limited,Miyo Securities Pvt Ltd,20,450.0,9000.0,2025-07-13T11:01:47.214494
2025-07-13,102982,2025071303000546,SADBL,Online Securities Pvt. Ltd.,Citizens Share Broker Limited,200,446.0,89200.0,2025-07-13T11:01:47.374636
2025-07-13,102813,2025071303000595,SADBL,Online Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,300,446.0,133800.0,2025-07-13T11:01:54.829507
2025-07-13,102750,2025071303000607,SADBL,Dakshinkali Investment & Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,200,445.0,89000.0,2025-07-13T11:01:56.452814
2025-07-13,102515,2025071303000666,SADBL,Sweta Securities Private Limited,South Asian Bulls Pvt. Ltd.,200,445.0,89000.0,2025-07-13T11:02:06.201783
2025-07-13,101475,2025071303000873,SADBL,Nepal Stock House (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,200,440.0,88000.0,2025-07-13T11:02:48.994412
2025-07-13,101111,2025071303000948,SADBL,Nepal Stock House (PVT) Ltd.,South Asian Bulls Pvt. Ltd.,100,440.0,44000.0,2025-07-13T11:03:02.225775
2025-07-13,101110,2025071303000949,SADBL,Thrive Brokerage House Pvt. Ltd,South Asian Bulls Pvt. Ltd.,71,440.0,31240.0,2025-07-13T11:03:02.225905
2025-07-13,100990,2025071303000973,SADBL,Dakshinkali Investment & Securities Pvt. Ltd.,BHOLE GANESH SECURITIES LTD,1000,437.5,437500.0,2025-07-13T11:03:05.271404
2025-07-13,100780,2025071303001014,SADBL,Dakshinkali Investment & Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,200,440.0,88000.0,2025-07-13T11:03:14.34027
2025-07-13,100169,2025071303001166,SADBL,Dakshinkali Investment & Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,500,437.5,218750.0,2025-07-13T11:03:35.218214
2025-07-13,99952,2025071303001233,SADBL,Dakshinkali Investment & Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,100,437.5,43750.0,2025-07-13T11:03:42.385291
2025-07-13,99813,2025071303001270,SADBL,Dakshinkali Investment & Securities Pvt. Ltd.,Asian Securities Private Ltd.,190,437.5,83125.0,2025-07-13T11:03:47.331696
2025-07-13,99681,2025071303001302,SADBL,Imperial Securities Company Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,169,438.0,74022.0,2025-07-13T11:03:52.270005
2025-07-13,99680,2025071303001303,SADBL,Imperial Securities Company Pvt. Ltd.,Midas Stock Broking Company Private Limited,100,440.0,44000.0,2025-07-13T11:03:52.270083
2025-07-13,99679,2025071303001304,SADBL,Imperial Securities Company Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,50,440.0,22000.0,2025-07-13T11:03:52.270117
