Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-13,105242,2025071303000038,SFCL,Midas Stock Broking Company Private Limited,Opal Securities Investment (PVT) Ltd.,30,513.01,15390.3,2025-07-13T10:46:00.0448
2025-07-13,104416,2025071303000275,SFCL,Midas Stock Broking Company Private Limited,Naasa Securities Co. Ltd.,30,523.2,15696.0,2025-07-13T11:00:33.611757
2025-07-13,104384,2025071303000284,SFCL,Midas Stock Broking Company Private Limited,Sani Securities Company Ltd.,10,523.2,5232.0,2025-07-13T11:00:37.001039
2025-07-13,103426,2025071303000468,SFCL,Sani Securities Company Ltd.,Linch Stock Market Ltd.,10,532.0,5320.0,2025-07-13T11:01:28.089062
2025-07-13,103425,2025071303000469,SFCL,Naasa Securities Co. Ltd.,Linch Stock Market Ltd.,390,526.0,205140.0,2025-07-13T11:01:28.089103
2025-07-13,103279,2025071303000488,SFCL,Naasa Securities Co. Ltd.,Linch Stock Market Ltd.,110,526.0,57860.0,2025-07-13T11:01:34.181796
2025-07-13,103278,2025071303000489,SFCL,Kohinoor Investment & Securities Pvt. Ltd.,Linch Stock Market Ltd.,150,525.0,78750.0,2025-07-13T11:01:34.181836
2025-07-13,103277,2025071303000490,SFCL,J.F. Securites (PVT) Ltd.,Linch Stock Market Ltd.,140,523.4,73276.0,2025-07-13T11:01:34.181864
2025-07-13,103188,2025071303000509,SFCL,Thrive Brokerage House Pvt. Ltd,NIMB Stock Markets Limited,100,532.5,53250.0,2025-07-13T11:01:38.622201
2025-07-13,103187,2025071303000510,SFCL,Thrive Brokerage House Pvt. Ltd,Sani Securities Company Ltd.,10,533.0,5330.0,2025-07-13T11:01:38.622266
2025-07-13,103186,2025071303000511,SFCL,Thrive Brokerage House Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,100,533.6,53360.0,2025-07-13T11:01:38.62232
2025-07-13,103185,2025071303000512,SFCL,Thrive Brokerage House Pvt. Ltd,Sumeru Securities Pvt. Ltd.,490,533.6,261464.0,2025-07-13T11:01:38.622349
2025-07-13,102852,2025071303000585,SFCL,Vision Securities Pvt. Ltd,Linch Stock Market Ltd.,200,532.5,106500.0,2025-07-13T11:01:53.668808
2025-07-13,102215,2025071303000724,SFCL,Midas Stock Broking Company Private Limited,Linch Stock Market Ltd.,100,530.0,53000.0,2025-07-13T11:02:19.309819
2025-07-13,102214,2025071303000725,SFCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Linch Stock Market Ltd.,200,524.0,104800.0,2025-07-13T11:02:19.309887
2025-07-13,101996,2025071303000775,SFCL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,45,533.0,23985.0,2025-07-13T11:02:29.664993
2025-07-13,101648,2025071303000841,SFCL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,90,525.0,47250.0,2025-07-13T11:02:43.830196
2025-07-13,101647,2025071303000842,SFCL,Linch Stock Market Ltd.,Nepal Stock House (PVT) Ltd.,110,524.0,57640.0,2025-07-13T11:02:43.830284
2025-07-13,101407,2025071303000881,SFCL,Linch Stock Market Ltd.,Hatemalo Financial Services Private Limited,390,524.0,204360.0,2025-07-13T11:02:52.605599
2025-07-13,101406,2025071303000882,SFCL,Imperial Securities Company Pvt. Ltd.,Hatemalo Financial Services Private Limited,10,524.0,5240.0,2025-07-13T11:02:52.605665
2025-07-13,101394,2025071303000883,SFCL,Capital Max Securities Ltd,Hatemalo Financial Services Private Limited,10,524.0,5240.0,2025-07-13T11:02:52.92802
2025-07-13,101289,2025071303000909,SFCL,Arun Securities (PVT) Ltd.,Hatemalo Financial Services Private Limited,300,524.0,157200.0,2025-07-13T11:02:56.455906
2025-07-13,101014,2025071303000963,SFCL,Kohinoor Investment & Securities Pvt. Ltd.,Hatemalo Financial Services Private Limited,100,524.0,52400.0,2025-07-13T11:03:04.034128
2025-07-13,100443,2025071303001098,SFCL,Creative Securities Pvt Ltd,Hatemalo Financial Services Private Limited,100,524.0,52400.0,2025-07-13T11:03:24.81987
2025-07-13,100351,2025071303001124,SFCL,Aryatara Investment & Securities,Hatemalo Financial Services Private Limited,10,524.0,5240.0,2025-07-13T11:03:28.213291
2025-07-13,100191,2025071303001160,SFCL,J.F. Securites (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,100,523.4,52340.0,2025-07-13T11:03:34.358146
2025-07-13,99825,2025071303001263,SFCL,J.F. Securites (PVT) Ltd.,Sani Securities Company Ltd.,260,523.4,136084.0,2025-07-13T11:03:47.076303
2025-07-13,99824,2025071303001264,SFCL,Midas Stock Broking Company Private Limited,Sani Securities Company Ltd.,130,523.2,68016.0,2025-07-13T11:03:47.076443
2025-07-13,99823,2025071303001265,SFCL,Online Securities Pvt. Ltd.,Sani Securities Company Ltd.,50,523.2,26160.0,2025-07-13T11:03:47.076557
2025-07-13,99822,2025071303001266,SFCL,Kumari Securities Private Limited,Sani Securities Company Ltd.,360,523.2,188352.0,2025-07-13T11:03:47.076658
2025-07-13,99808,2025071303001274,SFCL,Deevyaa Securities & Stock House Pvt. Ltd,Hatemalo Financial Services Private Limited,80,524.0,41920.0,2025-07-13T11:03:47.359675
2025-07-13,99669,2025071303001308,SFCL,Agrawal Securities (PVT) Ltd.,Trishakti Securities Public Limited,100,532.9,53290.0,2025-07-13T11:03:52.887425
2025-07-13,99668,2025071303001309,SFCL,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,36,533.0,19188.0,2025-07-13T11:03:52.887491
2025-07-13,99667,2025071303001310,SFCL,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,64,533.0,34112.0,2025-07-13T11:03:52.887533
2025-07-13,98786,2025071303001554,SFCL,Agrawal Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,81,527.0,42687.0,2025-07-13T11:04:32.683691
2025-07-13,97822,2025071303001822,SFCL,Deevyaa Securities & Stock House Pvt. Ltd,Naasa Securities Co. Ltd.,20,524.0,10480.0,2025-07-13T11:05:18.274242
2025-07-13,97821,2025071303001823,SFCL,Indira securities pvt. ltd,Naasa Securities Co. Ltd.,130,524.0,68120.0,2025-07-13T11:05:18.27432
2025-07-13,97727,2025071303001830,SFCL,Secured Securities Ltd.,Shree Krishna Securities Ltd.,50,526.9,26345.0,2025-07-13T11:05:22.307234
2025-07-13,97435,2025071303001917,SFCL,Indira securities pvt. ltd,Sani Securities Company Ltd.,70,524.0,36680.0,2025-07-13T11:05:39.0018
2025-07-13,97434,2025071303001918,SFCL,Arun Securities (PVT) Ltd.,Sani Securities Company Ltd.,88,524.0,46112.0,2025-07-13T11:05:39.001885
2025-07-13,97229,2025071303001963,SFCL,Arun Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,12,524.0,6288.0,2025-07-13T11:05:50.549504
2025-07-13,97228,2025071303001964,SFCL,Trishakti Securities Public Limited,Vision Securities Pvt. Ltd,190,524.0,99560.0,2025-07-13T11:05:50.549598
2025-07-13,97227,2025071303001965,SFCL,Nepal Investment And Securities Trading Private Limited,Vision Securities Pvt. Ltd,55,524.0,28820.0,2025-07-13T11:05:50.54965
2025-07-13,97226,2025071303001966,SFCL,Trisul Securities & Invt. Ltd.,Vision Securities Pvt. Ltd,500,523.2,261600.0,2025-07-13T11:05:50.549688
2025-07-13,97225,2025071303001967,SFCL,Imperial Securities Company Pvt. Ltd.,Vision Securities Pvt. Ltd,200,523.0,104600.0,2025-07-13T11:05:50.549728
2025-07-13,97224,2025071303001968,SFCL,Shree Krishna Securities Ltd.,Vision Securities Pvt. Ltd,43,523.0,22489.0,2025-07-13T11:05:50.549767
2025-07-13,96544,2025071303002158,SFCL,Thrive Brokerage House Pvt. Ltd,Sweta Securities Private Limited,20,523.1,10462.0,2025-07-13T11:06:29.538132
