Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-14,71603,2025071403000101,MPFL,Aryatara Investment & Securities,Prabhu Stock Market Limited,150,624.0,93600.0,2025-07-14 11:03:30.571534
2025-07-14,70778,2025071403000208,MPFL,Naasa Securities Co. Ltd.,Investment Management Nepal Pvt. Ltd.,100,623.1,62310.0,2025-07-14 11:05:45.344782
2025-07-14,70733,2025071403000210,MPFL,Naasa Securities Co. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,100,623.1,62310.0,2025-07-14 11:05:49.483712
2025-07-14,70405,2025071403000255,MPFL,Agrawal Securities (PVT) Ltd.,Neev Securities Pvt. Ltd.,100,624.0,62400.0,2025-07-14 11:06:53.008593
2025-07-14,69911,2025071403000299,MPFL,Nepal Stock House (PVT) Ltd.,Primo Securities (PVT) Ltd.,100,625.0,62500.0,2025-07-14 11:08:36.422959
2025-07-14,69630,2025071403000332,MPFL,Prabhu Stock Market Limited,Pragyan Securities (PVT) Ltd.,100,632.8,63280.0,2025-07-14 11:09:46.244285
2025-07-14,69629,2025071403000333,MPFL,Prabhu Stock Market Limited,Kalika Securities Pvt. Ltd.,250,633.0,158250.0,2025-07-14 11:09:46.244358
2025-07-14,69499,2025071403000350,MPFL,Prabhu Stock Market Limited,Nepal Stock House (PVT) Ltd.,40,632.8,25312.0,2025-07-14 11:10:12.312937
2025-07-14,69424,2025071403000354,MPFL,South Asian Bulls Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,50,632.8,31640.0,2025-07-14 11:10:25.378363
2025-07-14,67670,2025071403000577,MPFL,Primo Securities (PVT) Ltd.,Midas Stock Broking Company Private Limited,100,629.9,62990.0,2025-07-14 11:16:04.953151
2025-07-14,67669,2025071403000578,MPFL,Primo Securities (PVT) Ltd.,Sundhara Securities Limited,100,630.0,63000.0,2025-07-14 11:16:04.953251
2025-07-14,67668,2025071403000579,MPFL,Primo Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,20,632.0,12640.0,2025-07-14 11:16:04.953315
2025-07-14,67667,2025071403000580,MPFL,Primo Securities (PVT) Ltd.,Neev Securities Pvt. Ltd.,50,632.0,31600.0,2025-07-14 11:16:04.953361
2025-07-14,67666,2025071403000581,MPFL,Primo Securities (PVT) Ltd.,Premier Securities Company Ltd.,30,632.7,18981.0,2025-07-14 11:16:04.953405
2025-07-14,67665,2025071403000582,MPFL,Primo Securities (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,700,632.8,442960.0,2025-07-14 11:16:04.953450
2025-07-14,66273,2025071403000802,MPFL,Siprabi Securities Pvt. Ltd.,Premier Securities Company Ltd.,15,632.6,9489.0,2025-07-14 11:20:49.962544
2025-07-14,66043,2025071403000845,MPFL,Imperial Securities Company Pvt. Ltd.,Premier Securities Company Ltd.,55,632.6,34793.0,2025-07-14 11:21:38.760540
2025-07-14,66042,2025071403000846,MPFL,Imperial Securities Company Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,210,632.8,132888.0,2025-07-14 11:21:38.760746
2025-07-14,65539,2025071403000923,MPFL,Shree Krishna Securities Ltd.,Arun Securities (PVT) Ltd.,300,632.4,189720.0,2025-07-14 11:23:10.848093
2025-07-14,65531,2025071403000924,MPFL,Kalika Securities Pvt. Ltd.,Arun Securities (PVT) Ltd.,25,632.4,15810.0,2025-07-14 11:23:12.029594
2025-07-14,65530,2025071403000925,MPFL,Kalika Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,120,632.5,75900.0,2025-07-14 11:23:12.029714
2025-07-14,64430,2025071403001115,MPFL,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,20,632.4,12648.0,2025-07-14 11:26:27.640322
2025-07-14,64429,2025071403001116,MPFL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,46,632.4,29090.4,2025-07-14 11:26:27.640424
