Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-14,72170,2025071404000181,SHL,Kalika Securities Pvt. Ltd.,Kumari Securities Private Limited,200,568.1,113620.0,2025-07-14 11:01:30.417889
2025-07-14,72121,2025071404000194,SHL,KALASH STOCK MARKET PVT. LTD.,Sani Securities Company Ltd.,100,570.0,57000.0,2025-07-14 11:01:41.712468
2025-07-14,72032,2025071404000244,SHL,Hatemalo Financial Services Private Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,100,572.9,57290.0,2025-07-14 11:02:03.642171
2025-07-14,72013,2025071404000252,SHL,KALASH STOCK MARKET PVT. LTD.,Bhrikuti Stock Broking Co. Pvt. Ltd.,200,572.9,114580.0,2025-07-14 11:02:06.832723
2025-07-14,71951,2025071404000268,SHL,KALASH STOCK MARKET PVT. LTD.,Citizens Share Broker Limited,100,572.9,57290.0,2025-07-14 11:02:23.225588
2025-07-14,71831,2025071404000300,SHL,Creative Securities Pvt Ltd,Imperial Securities Company Pvt. Ltd.,100,568.2,56820.0,2025-07-14 11:02:48.125981
2025-07-14,71670,2025071404000359,SHL,Nepal Stock House (PVT) Ltd.,Online Securities Pvt. Ltd.,100,572.1,57210.0,2025-07-14 11:03:18.404529
2025-07-14,71638,2025071404000370,SHL,Deevyaa Securities & Stock House Pvt. Ltd,Online Securities Pvt. Ltd.,230,572.1,131583.0,2025-07-14 11:03:22.185233
2025-07-14,71637,2025071404000371,SHL,Deevyaa Securities & Stock House Pvt. Ltd,Capital Hub P. Ltd,500,574.0,287000.0,2025-07-14 11:03:22.185273
2025-07-14,71636,2025071404000372,SHL,Deevyaa Securities & Stock House Pvt. Ltd,Linch Stock Market Ltd.,200,574.0,114800.0,2025-07-14 11:03:22.185298
2025-07-14,71635,2025071404000373,SHL,Deevyaa Securities & Stock House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,110,574.0,63140.0,2025-07-14 11:03:22.185352
2025-07-14,71634,2025071404000374,SHL,Deevyaa Securities & Stock House Pvt. Ltd,Citizens Share Broker Limited,1960,574.8,1126608.0,2025-07-14 11:03:22.185390
2025-07-14,71504,2025071404000422,SHL,Kalika Securities Pvt. Ltd.,Kumari Securities Private Limited,100,572.1,57210.0,2025-07-14 11:03:50.378678
2025-07-14,71387,2025071404000452,SHL,Linch Stock Market Ltd.,Nepal Stock House (PVT) Ltd.,100,569.0,56900.0,2025-07-14 11:04:10.221152
2025-07-14,70820,2025071404000666,SHL,Vision Securities Pvt. Ltd,Pragyan Securities (PVT) Ltd.,100,569.1,56910.0,2025-07-14 11:05:39.612388
2025-07-14,70819,2025071404000667,SHL,KALASH STOCK MARKET PVT. LTD.,Pragyan Securities (PVT) Ltd.,100,568.2,56820.0,2025-07-14 11:05:39.612505
