Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-07-14,70454,2025071404000773,SHPC,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,10,583.1,5831.0,2025-07-14 11:06:46.679229
2025-07-14,70453,2025071404000774,SHPC,Arun Securities (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,20,583.1,11662.0,2025-07-14 11:06:46.679339
2025-07-14,70452,2025071404000775,SHPC,Aryatara Investment & Securities,Kohinoor Investment & Securities Pvt. Ltd.,100,583.1,58310.0,2025-07-14 11:06:46.679386
2025-07-14,70451,2025071404000776,SHPC,APPLE SECURITIES PRIVATE LIMITED,Kohinoor Investment & Securities Pvt. Ltd.,500,583.1,291550.0,2025-07-14 11:06:46.679434
2025-07-14,70450,2025071404000777,SHPC,Capital Max Securities Ltd,Kohinoor Investment & Securities Pvt. Ltd.,500,583.0,291500.0,2025-07-14 11:06:46.679479
2025-07-14,70449,2025071404000778,SHPC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,100,583.0,58300.0,2025-07-14 11:06:46.679521
2025-07-14,70304,2025071404000821,SHPC,South Asian Bulls Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,50,583.0,29150.0,2025-07-14 11:07:15.597065
2025-07-14,70294,2025071404000822,SHPC,Arun Securities (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,200,583.0,116600.0,2025-07-14 11:07:18.055284
2025-07-14,70197,2025071404000854,SHPC,APPLE SECURITIES PRIVATE LIMITED,Kohinoor Investment & Securities Pvt. Ltd.,120,583.0,69960.0,2025-07-14 11:07:38.708337
2025-07-14,69552,2025071404001011,SHPC,APPLE SECURITIES PRIVATE LIMITED,Nagarik Stock Dealer ,500,587.9,293950.0,2025-07-14 11:10:02.076380
2025-07-14,69551,2025071404001012,SHPC,APPLE SECURITIES PRIVATE LIMITED,Online Securities Pvt. Ltd.,500,588.0,294000.0,2025-07-14 11:10:02.076665
2025-07-14,69202,2025071404001110,SHPC,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,200,588.0,117600.0,2025-07-14 11:11:12.900098
2025-07-14,69201,2025071404001111,SHPC,Vision Securities Pvt. Ltd,Sumeru Securities Pvt. Ltd.,500,589.6,294800.0,2025-07-14 11:11:12.900215
2025-07-14,69200,2025071404001112,SHPC,Vision Securities Pvt. Ltd,Sri Hari Securities Pvt. Ltd.,500,589.7,294850.0,2025-07-14 11:11:12.900273
2025-07-14,69199,2025071404001113,SHPC,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,2000,589.8,1179600.0,2025-07-14 11:11:12.900335
2025-07-14,69198,2025071404001114,SHPC,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,300,590.0,177000.0,2025-07-14 11:11:12.900387
2025-07-14,68734,2025071404001250,SHPC,Siprabi Securities Pvt. Ltd.,Nagarik Stock Dealer ,500,588.9,294450.0,2025-07-14 11:12:45.639211
2025-07-14,67650,2025071404001556,SHPC,Kohinoor Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,100,585.5,58550.0,2025-07-14 11:16:08.026940
2025-07-14,67649,2025071404001557,SHPC,Aryatara Investment & Securities,Online Securities Pvt. Ltd.,200,585.2,117040.0,2025-07-14 11:16:08.027138
2025-07-14,67648,2025071404001558,SHPC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Online Securities Pvt. Ltd.,10,585.2,5852.0,2025-07-14 11:16:08.027208
2025-07-14,67647,2025071404001559,SHPC,Dakshinkali Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,50,585.1,29255.0,2025-07-14 11:16:08.027286
2025-07-14,67646,2025071404001560,SHPC,Himalayan Brokerage Company Limited,Online Securities Pvt. Ltd.,100,585.1,58510.0,2025-07-14 11:16:08.027365
2025-07-14,67645,2025071404001561,SHPC,Capital Max Securities Ltd,Online Securities Pvt. Ltd.,500,585.0,292500.0,2025-07-14 11:16:08.027427
2025-07-14,67644,2025071404001562,SHPC,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,50,585.0,29250.0,2025-07-14 11:16:08.027486
2025-07-14,67643,2025071404001563,SHPC,South Asian Bulls Pvt. Ltd.,Online Securities Pvt. Ltd.,500,585.0,292500.0,2025-07-14 11:16:08.027554
2025-07-14,67642,2025071404001564,SHPC,Neev Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,150,584.1,87615.0,2025-07-14 11:16:08.027613
2025-07-14,67641,2025071404001565,SHPC,ABC Securities Private Limited,Online Securities Pvt. Ltd.,500,584.1,292050.0,2025-07-14 11:16:08.027670
2025-07-14,67640,2025071404001566,SHPC,Ashutosh Brokerage & Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,500,584.0,292000.0,2025-07-14 11:16:08.027737
2025-07-14,67639,2025071404001567,SHPC,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,500,584.0,292000.0,2025-07-14 11:16:08.027800
2025-07-14,67576,2025071404001582,SHPC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Online Securities Pvt. Ltd.,70,584.0,40880.0,2025-07-14 11:16:19.576719
2025-07-14,67197,2025071404001662,SHPC,Dynamic Money Managers Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,700,584.0,408800.0,2025-07-14 11:17:42.805549
2025-07-14,67166,2025071404001681,SHPC,SHUBHAKAMANA SECURITIES PVT. LTD,Online Securities Pvt. Ltd.,60,584.0,35040.0,2025-07-14 11:17:49.692154
2025-07-14,67161,2025071404001686,SHPC,APPLE SECURITIES PRIVATE LIMITED,Premier Securities Company Ltd.,40,589.0,23560.0,2025-07-14 11:17:50.335118
2025-07-14,67160,2025071404001687,SHPC,APPLE SECURITIES PRIVATE LIMITED,Sweta Securities Private Limited,17,589.0,10013.0,2025-07-14 11:17:50.335299
2025-07-14,67124,2025071404001695,SHPC,APPLE SECURITIES PRIVATE LIMITED,Neev Securities Pvt. Ltd.,443,589.0,260927.0,2025-07-14 11:17:58.216471
2025-07-14,66884,2025071404001760,SHPC,SHUBHAKAMANA SECURITIES PVT. LTD,Neev Securities Pvt. Ltd.,250,585.3,146325.0,2025-07-14 11:18:51.465857
2025-07-14,66698,2025071404001802,SHPC,Dynamic Money Managers Securities Pvt. Ltd.,K.B.L. Securities Limited ,38,583.1,22157.8,2025-07-14 11:19:33.002575
2025-07-14,66614,2025071404001831,SHPC,Machhapuchchhre Securities Limited,NIMB Stock Markets Limited,10,588.0,5880.0,2025-07-14 11:19:46.965710
2025-07-14,65945,2025071404001975,SHPC,Dynamic Money Managers Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,500,585.0,292500.0,2025-07-14 11:21:56.564208
2025-07-14,65907,2025071404001978,SHPC,Nepal Investment And Securities Trading Private Limited,INDEX SECURITIES LIMITED,50,584.0,29200.0,2025-07-14 11:22:04.636496
2025-07-14,65906,2025071404001979,SHPC,Siprabi Securities Pvt. Ltd.,INDEX SECURITIES LIMITED,10,584.0,5840.0,2025-07-14 11:22:04.636656
