Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-15,73341,2025071503000124,ICFC,Blue Chip Securities Ltd,Premier Securities Company Ltd.,10,637.0,6370.0,2025-07-15 11:05:03.905449
2025-07-15,71897,2025071503000426,ICFC,Thrive Brokerage House Pvt. Ltd,Sipla Securities Private Limited,10,635.0,6350.0,2025-07-15 11:12:19.676083
2025-07-15,71896,2025071503000427,ICFC,Thrive Brokerage House Pvt. Ltd,SUN SECURITIES PVT LTD,25,636.0,15900.0,2025-07-15 11:12:19.676216
2025-07-15,71470,2025071503000500,ICFC,Thrive Brokerage House Pvt. Ltd,Blue Chip Securities Ltd,20,636.0,12720.0,2025-07-15 11:14:03.523702
2025-07-15,68212,2025071503000997,ICFC,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,25,631.1,15777.5,2025-07-15 11:25:59.825215
2025-07-15,67913,2025071503001041,ICFC,Naasa Securities Co. Ltd.,ABC Securities Private Limited,75,631.1,47332.5,2025-07-15 11:27:19.975188
2025-07-15,67832,2025071503001062,ICFC,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,100,631.0,63100.0,2025-07-15 11:27:44.589013
2025-07-15,67748,2025071503001082,ICFC,Naasa Securities Co. Ltd.,ABC Securities Private Limited,125,631.0,78875.0,2025-07-15 11:28:11.380656
2025-07-15,67403,2025071503001130,ICFC,Naasa Securities Co. Ltd.,Sipla Securities Private Limited,25,631.0,15775.0,2025-07-15 11:29:37.913734
2025-07-15,65556,2025071503001415,ICFC,Aryatara Investment & Securities,Sipla Securities Private Limited,10,631.0,6310.0,2025-07-15 11:37:27.501264
2025-07-15,64316,2025071503001610,ICFC,Malla & Malla Stock Broking Company Pvt. Limited,Nepal Stock House (PVT) Ltd.,100,630.0,63000.0,2025-07-15 11:42:37.077370
2025-07-15,63028,2025071503001836,ICFC,Naasa Securities Co. Ltd.,Sewa Securities Pvt. Ltd.,30,629.0,18870.0,2025-07-15 11:47:59.029005
2025-07-15,61648,2025071503002010,ICFC,Vision Securities Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,20,626.5,12530.0,2025-07-15 11:53:19.542653
2025-07-15,61590,2025071503002014,ICFC,Neev Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,18,626.5,11277.0,2025-07-15 11:53:38.692177
2025-07-15,61589,2025071503002015,ICFC,Neev Securities Pvt. Ltd.,Sewa Securities Pvt. Ltd.,12,629.0,7548.0,2025-07-15 11:53:38.692277
2025-07-15,61588,2025071503002016,ICFC,Neev Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,100,630.0,63000.0,2025-07-15 11:53:38.692341
2025-07-15,61587,2025071503002017,ICFC,Neev Securities Pvt. Ltd.,Sipla Securities Private Limited,45,631.0,28395.0,2025-07-15 11:53:38.692409
2025-07-15,61586,2025071503002018,ICFC,Neev Securities Pvt. Ltd.,Kumari Securities Private Limited,25,631.0,15775.0,2025-07-15 11:53:38.692476
2025-07-15,61502,2025071503002024,ICFC,Siprabi Securities Pvt. Ltd.,Kumari Securities Private Limited,10,631.0,6310.0,2025-07-15 11:53:57.911145
2025-07-15,58059,2025071503002762,ICFC,Market Securities & Exchange (PVT) Ltd.,Trishakti Securities Public Limited,100,630.0,63000.0,2025-07-15 12:05:53.223112
2025-07-15,58002,2025071503002776,ICFC,Vision Securities Pvt. Ltd,Trishakti Securities Public Limited,500,630.0,315000.0,2025-07-15 12:06:09.569712
2025-07-15,57476,2025071503002896,ICFC,Midas Stock Broking Company Private Limited,Trishakti Securities Public Limited,100,630.0,63000.0,2025-07-15 12:08:14.884106
2025-07-15,57261,2025071503002957,ICFC,Siprabi Securities Pvt. Ltd.,Kumari Securities Private Limited,15,631.0,9465.0,2025-07-15 12:09:11.404538
2025-07-15,57260,2025071503002958,ICFC,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,55,631.1,34710.5,2025-07-15 12:09:11.404664
2025-07-15,55958,2025071503003236,ICFC,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,20,631.1,12622.0,2025-07-15 12:14:56.553124
2025-07-15,55840,2025071503003262,ICFC,Midas Stock Broking Company Private Limited,South Asian Bulls Pvt. Ltd.,25,635.0,15875.0,2025-07-15 12:15:24.751829
2025-07-15,55839,2025071503003263,ICFC,Midas Stock Broking Company Private Limited,Imperial Securities Company Pvt. Ltd.,125,635.0,79375.0,2025-07-15 12:15:24.751968
2025-07-15,55838,2025071503003264,ICFC,Midas Stock Broking Company Private Limited,Dynamic Money Managers Securities Pvt. Ltd.,28,635.0,17780.0,2025-07-15 12:15:24.752018
2025-07-15,55837,2025071503003265,ICFC,Midas Stock Broking Company Private Limited,Aryatara Investment & Securities,122,635.0,77470.0,2025-07-15 12:15:24.752073
2025-07-15,55482,2025071503003330,ICFC,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,100,634.0,63400.0,2025-07-15 12:16:43.482160
2025-07-15,52370,2025071503004035,ICFC,Vision Securities Pvt. Ltd,Property Wiard Limited,100,634.0,63400.0,2025-07-15 12:28:33.610138
2025-07-15,52369,2025071503004036,ICFC,Midas Stock Broking Company Private Limited,Property Wiard Limited,100,634.0,63400.0,2025-07-15 12:28:33.610284
2025-07-15,51684,2025071503004222,ICFC,Dynamic Money Managers Securities Pvt. Ltd.,Aryatara Investment & Securities,28,635.0,17780.0,2025-07-15 12:31:10.414240
2025-07-15,51683,2025071503004223,ICFC,Dynamic Money Managers Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,20,635.0,12700.0,2025-07-15 12:31:10.414386
2025-07-15,51682,2025071503004224,ICFC,Dynamic Money Managers Securities Pvt. Ltd.,Kumari Securities Private Limited,76,635.0,48260.0,2025-07-15 12:31:10.414439
2025-07-15,51681,2025071503004225,ICFC,Dynamic Money Managers Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,100,635.8,63580.0,2025-07-15 12:31:10.414491
2025-07-15,51680,2025071503004226,ICFC,Dynamic Money Managers Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,100,635.8,63580.0,2025-07-15 12:31:10.414542
2025-07-15,51679,2025071503004227,ICFC,Dynamic Money Managers Securities Pvt. Ltd.,ABC Securities Private Limited,250,636.0,159000.0,2025-07-15 12:31:10.414593
2025-07-15,51678,2025071503004228,ICFC,Dynamic Money Managers Securities Pvt. Ltd.,Aryatara Investment & Securities,50,636.0,31800.0,2025-07-15 12:31:10.414641
2025-07-15,51677,2025071503004229,ICFC,Dynamic Money Managers Securities Pvt. Ltd.,SUN SECURITIES PVT LTD,16,636.0,10176.0,2025-07-15 12:31:10.414685
2025-07-15,51110,2025071503004381,ICFC,Linch Stock Market Ltd.,Sani Securities Company Ltd.,50,635.0,31750.0,2025-07-15 12:33:41.655682
2025-07-15,49772,2025071503004643,ICFC,Midas Stock Broking Company Private Limited,Premier Securities Company Ltd.,50,635.0,31750.0,2025-07-15 12:39:38.744101
2025-07-15,49613,2025071503004676,ICFC,Midas Stock Broking Company Private Limited,Market Securities & Exchange (PVT) Ltd.,20,635.9,12718.0,2025-07-15 12:40:14.896103
2025-07-15,49612,2025071503004677,ICFC,Midas Stock Broking Company Private Limited,SUN SECURITIES PVT LTD,34,636.0,21624.0,2025-07-15 12:40:14.896251
2025-07-15,49461,2025071503004701,ICFC,Midas Stock Broking Company Private Limited,Agrawal Securities (PVT) Ltd.,13,636.8,8278.4,2025-07-15 12:40:45.992072
2025-07-15,49460,2025071503004702,ICFC,Midas Stock Broking Company Private Limited,Blue Chip Securities Ltd,183,636.9,116552.7,2025-07-15 12:40:45.992215
2025-07-15,48893,2025071503004802,ICFC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Blue Chip Securities Ltd,17,636.9,10827.3,2025-07-15 12:42:43.907555
2025-07-15,48892,2025071503004803,ICFC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Premier Securities Company Ltd.,90,637.0,57330.0,2025-07-15 12:42:43.907681
2025-07-15,48891,2025071503004804,ICFC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,143,637.0,91091.0,2025-07-15 12:42:43.907735
2025-07-15,48166,2025071503004915,ICFC,Neev Securities Pvt. Ltd.,Sani Securities Company Ltd.,50,636.0,31800.0,2025-07-15 12:45:28.855377
2025-07-15,45067,2025071503005440,ICFC,Agrawal Securities (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,15,636.9,9553.5,2025-07-15 12:57:08.876635
2025-07-15,45066,2025071503005441,ICFC,Agrawal Securities (PVT) Ltd.,Nepal Investment And Securities Trading Private Limited,57,637.0,36309.0,2025-07-15 12:57:08.876800
2025-07-15,45065,2025071503005442,ICFC,Agrawal Securities (PVT) Ltd.,Sani Securities Company Ltd.,100,637.0,63700.0,2025-07-15 12:57:08.876852
2025-07-15,45064,2025071503005443,ICFC,Agrawal Securities (PVT) Ltd.,Kumari Securities Private Limited,28,637.0,17836.0,2025-07-15 12:57:08.876902
2025-07-15,39722,2025071503006245,ICFC,Kohinoor Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,100,636.9,63690.0,2025-07-15 13:15:02.823724
2025-07-15,39721,2025071503006246,ICFC,Kohinoor Investment & Securities Pvt. Ltd.,Kumari Securities Private Limited,72,637.0,45864.0,2025-07-15 13:15:02.823899
2025-07-15,39720,2025071503006247,ICFC,Kohinoor Investment & Securities Pvt. Ltd.,Kumari Securities Private Limited,50,637.0,31850.0,2025-07-15 13:15:02.823956
2025-07-15,39719,2025071503006248,ICFC,Kohinoor Investment & Securities Pvt. Ltd.,ABC Securities Private Limited,50,637.0,31850.0,2025-07-15 13:15:02.824010
2025-07-15,37174,2025071503006628,ICFC,Sumeru Securities Pvt. Ltd.,Aryatara Investment & Securities,10,636.4,6364.0,2025-07-15 13:24:58.524101
2025-07-15,37125,2025071503006637,ICFC,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,275,636.0,174900.0,2025-07-15 13:25:09.136870
2025-07-15,37073,2025071503006640,ICFC,Naasa Securities Co. Ltd.,Kumari Securities Private Limited,30,636.0,19080.0,2025-07-15 13:25:17.733125
