Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-16,98660,2025071601000427,CZBIL,Elite Stock House Limited,Online Securities Pvt. Ltd.,100,227.8,22780.0,2025-07-16 11:03:28.947074
2025-07-16,98659,2025071601000428,CZBIL,Elite Stock House Limited,ABC Securities Private Limited,40,227.8,9112.0,2025-07-16 11:03:28.947111
2025-07-16,98658,2025071601000429,CZBIL,Elite Stock House Limited,Agrawal Securities (PVT) Ltd.,150,227.9,34185.0,2025-07-16 11:03:28.947137
2025-07-16,98657,2025071601000430,CZBIL,Elite Stock House Limited,Asian Securities Private Ltd.,1264,227.9,288065.6,2025-07-16 11:03:28.947160
2025-07-16,98656,2025071601000431,CZBIL,Elite Stock House Limited,Nepal Stock House (PVT) Ltd.,50,228.0,11400.0,2025-07-16 11:03:28.947205
2025-07-16,98655,2025071601000432,CZBIL,Elite Stock House Limited,Nepal Stock House (PVT) Ltd.,100,228.0,22800.0,2025-07-16 11:03:28.947230
2025-07-16,98654,2025071601000433,CZBIL,Elite Stock House Limited,Citizens Share Broker Limited,250,228.0,57000.0,2025-07-16 11:03:28.947253
2025-07-16,98653,2025071601000434,CZBIL,Elite Stock House Limited,Nepal Investment And Securities Trading Private Limited,500,228.0,114000.0,2025-07-16 11:03:28.947276
2025-07-16,98652,2025071601000435,CZBIL,Elite Stock House Limited,Imperial Securities Company Pvt. Ltd.,2000,228.0,456000.0,2025-07-16 11:03:28.947298
2025-07-16,98651,2025071601000436,CZBIL,Elite Stock House Limited,Nepal Investment And Securities Trading Private Limited,500,228.0,114000.0,2025-07-16 11:03:28.947319
2025-07-16,98650,2025071601000437,CZBIL,Elite Stock House Limited,Vision Securities Pvt. Ltd,70,228.0,15960.0,2025-07-16 11:03:28.947339
2025-07-16,98649,2025071601000438,CZBIL,Elite Stock House Limited,Online Securities Pvt. Ltd.,252,228.0,57456.0,2025-07-16 11:03:28.947363
2025-07-16,98648,2025071601000439,CZBIL,Elite Stock House Limited,K.B.L. Securities Limited ,80,228.0,18240.0,2025-07-16 11:03:28.947385
2025-07-16,98647,2025071601000440,CZBIL,Elite Stock House Limited,South Asian Bulls Pvt. Ltd.,50,228.4,11420.0,2025-07-16 11:03:28.947409
2025-07-16,98646,2025071601000441,CZBIL,Elite Stock House Limited,Imperial Securities Company Pvt. Ltd.,500,228.4,114200.0,2025-07-16 11:03:28.947431
2025-07-16,98645,2025071601000442,CZBIL,Elite Stock House Limited,South Asian Bulls Pvt. Ltd.,61,228.4,13932.4,2025-07-16 11:03:28.947454
2025-07-16,98644,2025071601000443,CZBIL,Elite Stock House Limited,Neev Securities Pvt. Ltd.,500,228.4,114200.0,2025-07-16 11:03:28.947479
2025-07-16,98643,2025071601000444,CZBIL,Elite Stock House Limited,Nagarik Stock Dealer ,533,228.4,121737.2,2025-07-16 11:03:28.947501
2025-07-16,98299,2025071601000595,CZBIL,Elite Stock House Limited,Kalika Securities Pvt. Ltd.,275,228.0,62700.0,2025-07-16 11:04:48.264442
2025-07-16,97784,2025071601000827,CZBIL,Elite Stock House Limited,Sri Hari Securities Pvt. Ltd.,200,228.0,45600.0,2025-07-16 11:06:39.727511
2025-07-16,97783,2025071601000828,CZBIL,Elite Stock House Limited,Vision Securities Pvt. Ltd,200,229.0,45800.0,2025-07-16 11:06:39.727717
2025-07-16,97782,2025071601000829,CZBIL,Elite Stock House Limited,Linch Stock Market Ltd.,136,230.0,31280.0,2025-07-16 11:06:39.727819
2025-07-16,97781,2025071601000830,CZBIL,Elite Stock House Limited,Sweta Securities Private Limited,10,231.7,2317.0,2025-07-16 11:06:39.727917
2025-07-16,97780,2025071601000831,CZBIL,Elite Stock House Limited,Kohinoor Investment & Securities Pvt. Ltd.,200,231.7,46340.0,2025-07-16 11:06:39.728017
2025-07-16,97779,2025071601000832,CZBIL,Elite Stock House Limited,Asian Securities Private Ltd.,1000,231.8,231800.0,2025-07-16 11:06:39.728136
2025-07-16,97778,2025071601000833,CZBIL,Elite Stock House Limited,South Asian Bulls Pvt. Ltd.,50,231.9,11595.0,2025-07-16 11:06:39.728231
2025-07-16,97777,2025071601000834,CZBIL,Elite Stock House Limited,Trishakti Securities Public Limited,204,231.9,47307.6,2025-07-16 11:06:39.728322
2025-07-16,97605,2025071601000910,CZBIL,Elite Stock House Limited,Trishakti Securities Public Limited,296,231.9,68642.4,2025-07-16 11:07:11.890524
2025-07-16,97604,2025071601000911,CZBIL,Elite Stock House Limited,Nepal Stock House (PVT) Ltd.,100,231.9,23190.0,2025-07-16 11:07:11.890673
2025-07-16,97603,2025071601000912,CZBIL,Elite Stock House Limited,Vision Securities Pvt. Ltd,60,231.9,13914.0,2025-07-16 11:07:11.890770
2025-07-16,97602,2025071601000913,CZBIL,Elite Stock House Limited,Nepal Investment And Securities Trading Private Limited,20,232.0,4640.0,2025-07-16 11:07:11.890878
2025-07-16,97601,2025071601000914,CZBIL,Elite Stock House Limited,Nepal Investment And Securities Trading Private Limited,20,232.0,4640.0,2025-07-16 11:07:11.890970
2025-07-16,97600,2025071601000915,CZBIL,Elite Stock House Limited,Online Securities Pvt. Ltd.,2000,232.0,464000.0,2025-07-16 11:07:11.891079
2025-07-16,97599,2025071601000916,CZBIL,Elite Stock House Limited,Primo Securities (PVT) Ltd.,100,232.0,23200.0,2025-07-16 11:07:11.891170
2025-07-16,97598,2025071601000917,CZBIL,Elite Stock House Limited,Aryatara Investment & Securities,100,232.0,23200.0,2025-07-16 11:07:11.891259
2025-07-16,97591,2025071601000922,CZBIL,Elite Stock House Limited,Malla & Malla Stock Broking Company Pvt. Limited,304,232.0,70528.0,2025-07-16 11:07:13.897393
2025-07-16,97414,2025071601000984,CZBIL,Sweta Securities Private Limited,Sri Hari Securities Pvt. Ltd.,84,228.0,19152.0,2025-07-16 11:07:42.847639
2025-07-16,97413,2025071601000985,CZBIL,Sweta Securities Private Limited,Malla & Malla Stock Broking Company Pvt. Limited,16,230.0,3680.0,2025-07-16 11:07:42.847727
2025-07-16,97365,2025071601001002,CZBIL,Elite Stock House Limited,Secured Securities Ltd.,41,229.0,9389.0,2025-07-16 11:07:48.020161
2025-07-16,97364,2025071601001003,CZBIL,Elite Stock House Limited,Malla & Malla Stock Broking Company Pvt. Limited,1680,230.0,386400.0,2025-07-16 11:07:48.020226
2025-07-16,97363,2025071601001004,CZBIL,Elite Stock House Limited,Nepal Investment And Securities Trading Private Limited,20,230.0,4600.0,2025-07-16 11:07:48.020261
2025-07-16,97139,2025071601001086,CZBIL,Elite Stock House Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,259,230.0,59570.0,2025-07-16 11:08:16.949071
2025-07-16,96991,2025071601001157,CZBIL,Sweta Securities Private Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,41,230.0,9430.0,2025-07-16 11:08:44.483152
2025-07-16,96910,2025071601001186,CZBIL,Sweta Securities Private Limited,Premier Securities Company Ltd.,59,230.0,13570.0,2025-07-16 11:08:53.850334
2025-07-16,96239,2025071601001503,CZBIL,Elite Stock House Limited,Vision Securities Pvt. Ltd,500,229.0,114500.0,2025-07-16 11:10:56.789715
2025-07-16,95703,2025071601001680,CZBIL,Elite Stock House Limited,NIMB Stock Markets Limited,2000,228.0,456000.0,2025-07-16 11:12:07.885499
2025-07-16,95702,2025071601001681,CZBIL,Elite Stock House Limited,NIMB Stock Markets Limited,2000,228.0,456000.0,2025-07-16 11:12:07.885618
