Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-16,99448,2025071604000031,HDHPC,Agrawal Securities (PVT) Ltd.,Sani Securities Company Ltd.,10,196.0,1960.0,2025-07-16 10:46:00.066539
2025-07-16,99094,2025071604000130,HDHPC,Aryatara Investment & Securities,Bhrikuti Stock Broking Co. Pvt. Ltd.,300,198.0,59400.0,2025-07-16 11:01:59.970425
2025-07-16,99093,2025071604000131,HDHPC,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,200,198.0,39600.0,2025-07-16 11:01:59.970512
2025-07-16,99012,2025071604000163,HDHPC,South Asian Bulls Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,448,198.0,88704.0,2025-07-16 11:02:25.743378
2025-07-16,98535,2025071604000285,HDHPC,Nepal Investment And Securities Trading Private Limited,Sundhara Securities Limited,10,197.1,1971.0,2025-07-16 11:03:54.464619
2025-07-16,97774,2025071604000479,HDHPC,Trishakti Securities Public Limited,Kohinoor Investment & Securities Pvt. Ltd.,18,197.6,3556.8,2025-07-16 11:06:40.426748
2025-07-16,97445,2025071604000562,HDHPC,Linch Stock Market Ltd.,Siprabi Securities Pvt. Ltd.,75,198.0,14850.0,2025-07-16 11:07:38.282211
2025-07-16,97354,2025071604000589,HDHPC,ABC Securities Private Limited,Siprabi Securities Pvt. Ltd.,88,198.0,17424.0,2025-07-16 11:07:49.707118
2025-07-16,97041,2025071604000655,HDHPC,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,37,198.0,7326.0,2025-07-16 11:08:36.091192
2025-07-16,96844,2025071604000711,HDHPC,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,500,198.0,99000.0,2025-07-16 11:09:04.260594
2025-07-16,96783,2025071604000729,HDHPC,Naasa Securities Co. Ltd.,Shree Krishna Securities Ltd.,50,198.0,9900.0,2025-07-16 11:09:19.717414
2025-07-16,96767,2025071604000733,HDHPC,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,18,198.0,3564.0,2025-07-16 11:09:21.687982
2025-07-16,96762,2025071604000735,HDHPC,Sani Securities Company Ltd.,Trishakti Securities Public Limited,17,198.0,3366.0,2025-07-16 11:09:22.916205
2025-07-16,96718,2025071604000743,HDHPC,Secured Securities Ltd.,Imperial Securities Company Pvt. Ltd.,40,198.4,7936.0,2025-07-16 11:09:28.139306
2025-07-16,96626,2025071604000769,HDHPC,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,460,198.4,91264.0,2025-07-16 11:09:47.464989
2025-07-16,96625,2025071604000770,HDHPC,Imperial Securities Company Pvt. Ltd.,Primo Securities (PVT) Ltd.,142,198.4,28172.8,2025-07-16 11:09:47.465142
2025-07-16,96443,2025071604000819,HDHPC,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,398,198.4,78963.2,2025-07-16 11:10:17.943278
2025-07-16,95393,2025071604001057,HDHPC,Oxford Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,245,198.3,48583.5,2025-07-16 11:12:48.744145
2025-07-16,95336,2025071604001078,HDHPC,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,283,198.0,56034.0,2025-07-16 11:13:00.154986
2025-07-16,95306,2025071604001087,HDHPC,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,300,198.0,59400.0,2025-07-16 11:13:03.205017
2025-07-16,94789,2025071604001223,HDHPC,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,2000,198.0,396000.0,2025-07-16 11:14:33.354984
2025-07-16,94589,2025071604001264,HDHPC,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,266,198.0,52668.0,2025-07-16 11:15:04.786697
2025-07-16,94588,2025071604001265,HDHPC,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,65,198.0,12870.0,2025-07-16 11:15:04.786845
2025-07-16,94559,2025071604001269,HDHPC,Sani Securities Company Ltd.,Sani Securities Company Ltd.,728,198.0,144144.0,2025-07-16 11:15:09.859714
2025-07-16,94318,2025071604001348,HDHPC,Sani Securities Company Ltd.,Pragyan Securities (PVT) Ltd.,88,198.0,17424.0,2025-07-16 11:15:53.875787
2025-07-16,93752,2025071604001491,HDHPC,Sundhara Securities Limited,Sani Securities Company Ltd.,200,198.1,39620.0,2025-07-16 11:17:17.130858
2025-07-16,93751,2025071604001492,HDHPC,Sundhara Securities Limited,Naasa Securities Co. Ltd.,55,198.3,10906.5,2025-07-16 11:17:17.131065
2025-07-16,93750,2025071604001493,HDHPC,Sundhara Securities Limited,Vision Securities Pvt. Ltd,30,198.5,5955.0,2025-07-16 11:17:17.131157
2025-07-16,93749,2025071604001494,HDHPC,Sundhara Securities Limited,Imperial Securities Company Pvt. Ltd.,102,198.8,20277.6,2025-07-16 11:17:17.131226
2025-07-16,93748,2025071604001495,HDHPC,Sundhara Securities Limited,Primo Securities (PVT) Ltd.,113,198.9,22475.7,2025-07-16 11:17:17.131293
2025-07-16,93602,2025071604001536,HDHPC,Linch Stock Market Ltd.,Kumari Securities Private Limited,500,198.1,99050.0,2025-07-16 11:17:41.979805
2025-07-16,93601,2025071604001537,HDHPC,Sani Securities Company Ltd.,Kumari Securities Private Limited,500,198.0,99000.0,2025-07-16 11:17:41.979851
2025-07-16,93340,2025071604001622,HDHPC,Linch Stock Market Ltd.,Shree Krishna Securities Ltd.,20,198.8,3976.0,2025-07-16 11:18:32.910520
2025-07-16,93240,2025071604001640,HDHPC,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,50,198.0,9900.0,2025-07-16 11:18:50.140562
2025-07-16,92607,2025071604001814,HDHPC,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,200,198.1,39620.0,2025-07-16 11:20:53.294705
2025-07-16,92469,2025071604001845,HDHPC,Linch Stock Market Ltd.,Sani Securities Company Ltd.,330,198.1,65373.0,2025-07-16 11:21:20.857870
2025-07-16,92468,2025071604001846,HDHPC,Dynamic Money Managers Securities Pvt. Ltd.,Sani Securities Company Ltd.,200,198.1,39620.0,2025-07-16 11:21:20.858055
2025-07-16,92407,2025071604001853,HDHPC,Aryatara Investment & Securities,Sani Securities Company Ltd.,193,198.1,38233.3,2025-07-16 11:21:26.332807
2025-07-16,92110,2025071604001923,HDHPC,Dakshinkali Investment & Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,80,198.8,15904.0,2025-07-16 11:22:19.021555
2025-07-16,92109,2025071604001924,HDHPC,Dakshinkali Investment & Securities Pvt. Ltd.,Secured Securities Ltd.,120,198.8,23856.0,2025-07-16 11:22:19.021712
