Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-16,98469,2025071603000143,RLFL,Blue Chip Securities Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,512.0,5120.0,2025-07-16 11:04:15.092785
2025-07-16,95238,2025071603000824,RLFL,Imperial Securities Company Pvt. Ltd.,Midas Stock Broking Company Private Limited,10,508.0,5080.0,2025-07-16 11:13:15.555598
2025-07-16,91513,2025071603001539,RLFL,Vision Securities Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,20,509.8,10196.0,2025-07-16 11:23:46.751914
2025-07-16,91512,2025071603001540,RLFL,Vision Securities Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,50,509.9,25495.0,2025-07-16 11:23:46.752006
2025-07-16,91511,2025071603001541,RLFL,Vision Securities Pvt. Ltd,Sundhara Securities Limited,200,510.0,102000.0,2025-07-16 11:23:46.752059
2025-07-16,91510,2025071603001542,RLFL,Vision Securities Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,100,511.8,51180.0,2025-07-16 11:23:46.752102
2025-07-16,91509,2025071603001543,RLFL,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,470,511.8,240546.0,2025-07-16 11:23:46.752140
2025-07-16,90561,2025071603001736,RLFL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Blue Chip Securities Ltd,50,511.9,25595.0,2025-07-16 11:26:29.152801
2025-07-16,90560,2025071603001737,RLFL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,190,512.0,97280.0,2025-07-16 11:26:29.152981
2025-07-16,90559,2025071603001738,RLFL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,50,512.0,25600.0,2025-07-16 11:26:29.153116
