Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-17,141384,2025071704000020,LEC,Online Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,219.3,2193.0,2025-07-17 10:46:00.069354
2025-07-17,141278,2025071704000050,LEC,Sweta Securities Private Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,100,217.3,21730.0,2025-07-17 11:00:39.735792
2025-07-17,140901,2025071704000208,LEC,Shree Krishna Securities Ltd.,Sani Securities Company Ltd.,75,216.9,16267.5,2025-07-17 11:01:57.005194
2025-07-17,140900,2025071704000209,LEC,Shree Krishna Securities Ltd.,Online Securities Pvt. Ltd.,925,217.0,200725.0,2025-07-17 11:01:57.005280
2025-07-17,139991,2025071704000500,LEC,Primo Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,2075,217.0,450275.0,2025-07-17 11:04:13.818530
2025-07-17,139990,2025071704000501,LEC,Primo Securities (PVT) Ltd.,Trishakti Securities Public Limited,300,217.0,65100.0,2025-07-17 11:04:13.818605
2025-07-17,139989,2025071704000502,LEC,Primo Securities (PVT) Ltd.,Pragyan Securities (PVT) Ltd.,300,217.0,65100.0,2025-07-17 11:04:13.818640
2025-07-17,139889,2025071704000534,LEC,Primo Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,1000,216.9,216900.0,2025-07-17 11:04:25.868735
2025-07-17,139551,2025071704000661,LEC,Secured Securities Ltd.,Siprabi Securities Pvt. Ltd.,200,215.3,43060.0,2025-07-17 11:05:10.481770
2025-07-17,139550,2025071704000662,LEC,Cristal Kanchanjanga Securites Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,500,215.2,107600.0,2025-07-17 11:05:10.481876
2025-07-17,139549,2025071704000663,LEC,Thrive Brokerage House Pvt. Ltd,Siprabi Securities Pvt. Ltd.,500,215.2,107600.0,2025-07-17 11:05:10.481912
2025-07-17,139548,2025071704000664,LEC,South Asian Bulls Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,300,215.1,64530.0,2025-07-17 11:05:10.481946
2025-07-17,139001,2025071704000838,LEC,Primo Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,3000,217.0,651000.0,2025-07-17 11:06:18.284563
2025-07-17,138644,2025071704000961,LEC,Shree Krishna Securities Ltd.,Online Securities Pvt. Ltd.,250,216.0,54000.0,2025-07-17 11:07:04.629868
2025-07-17,138643,2025071704000962,LEC,Sani Securities Company Ltd.,Online Securities Pvt. Ltd.,10,216.0,2160.0,2025-07-17 11:07:04.629955
2025-07-17,138642,2025071704000963,LEC,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,200,216.0,43200.0,2025-07-17 11:07:04.629996
2025-07-17,138552,2025071704000993,LEC,Deevyaa Securities & Stock House Pvt. Ltd,Online Securities Pvt. Ltd.,1000,216.0,216000.0,2025-07-17 11:07:11.790371
2025-07-17,137828,2025071704001293,LEC,Secured Securities Ltd.,Vision Securities Pvt. Ltd,10,216.9,2169.0,2025-07-17 11:08:33.870165
2025-07-17,137194,2025071704001533,LEC,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,990,216.9,214731.0,2025-07-17 11:09:51.698089
2025-07-17,136754,2025071704001677,LEC,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,20,217.2,4344.0,2025-07-17 11:10:29.967748
2025-07-17,136233,2025071704001882,LEC,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,100,217.0,21700.0,2025-07-17 11:11:23.219256
2025-07-17,135924,2025071704001991,LEC,Primo Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,900,217.0,195300.0,2025-07-17 11:11:55.798109
2025-07-17,135731,2025071704002050,LEC,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,9,217.0,1953.0,2025-07-17 11:12:10.606330
2025-07-17,135587,2025071704002101,LEC,Nepal Stock House (PVT) Ltd.,Vision Securities Pvt. Ltd,600,217.1,130260.0,2025-07-17 11:12:22.478441
2025-07-17,134800,2025071704002316,LEC,Premier Securities Company Ltd.,Vision Securities Pvt. Ltd,400,217.1,86840.0,2025-07-17 11:13:30.050191
2025-07-17,134603,2025071704002371,LEC,Premier Securities Company Ltd.,Online Securities Pvt. Ltd.,400,217.1,86840.0,2025-07-17 11:13:47.079020
2025-07-17,134297,2025071704002485,LEC,Primo Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,1000,216.9,216900.0,2025-07-17 11:14:20.366363
2025-07-17,134296,2025071704002486,LEC,Primo Securities (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,500,216.9,108450.0,2025-07-17 11:14:20.366403
2025-07-17,134295,2025071704002487,LEC,Primo Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,3500,217.0,759500.0,2025-07-17 11:14:20.366446
2025-07-17,134165,2025071704002515,LEC,Shree Krishna Securities Ltd.,Online Securities Pvt. Ltd.,1000,217.0,217000.0,2025-07-17 11:14:30.784126
2025-07-17,133999,2025071704002556,LEC,Naasa Securities Co. Ltd.,Sweta Securities Private Limited,165,216.9,35788.5,2025-07-17 11:14:46.308150
2025-07-17,133916,2025071704002588,LEC,Naasa Securities Co. Ltd.,Sweta Securities Private Limited,500,216.9,108450.0,2025-07-17 11:14:55.076319
2025-07-17,133856,2025071704002628,LEC,Shree Krishna Securities Ltd.,Sweta Securities Private Limited,835,216.9,181111.5,2025-07-17 11:14:56.901095
2025-07-17,133855,2025071704002629,LEC,Shree Krishna Securities Ltd.,Online Securities Pvt. Ltd.,49,217.0,10633.0,2025-07-17 11:14:56.901287
2025-07-17,133162,2025071704002843,LEC,N.M.B. SECURITIES LIMITED,Online Securities Pvt. Ltd.,651,217.0,141267.0,2025-07-17 11:15:58.733028
2025-07-17,133161,2025071704002844,LEC,N.M.B. SECURITIES LIMITED,Vision Securities Pvt. Ltd,349,217.0,75733.0,2025-07-17 11:15:58.733228
2025-07-17,132713,2025071704002999,LEC,Sani Securities Company Ltd.,Premier Securities Company Ltd.,15,216.0,3240.0,2025-07-17 11:16:41.371669
2025-07-17,132688,2025071704003015,LEC,Nepal Stock House (PVT) Ltd.,Vision Securities Pvt. Ltd,651,217.0,141267.0,2025-07-17 11:16:44.440482
2025-07-17,132687,2025071704003016,LEC,Nepal Stock House (PVT) Ltd.,Naasa Securities Co. Ltd.,60,217.2,13032.0,2025-07-17 11:16:44.440583
2025-07-17,132686,2025071704003017,LEC,Nepal Stock House (PVT) Ltd.,Aryatara Investment & Securities,289,217.2,62770.8,2025-07-17 11:16:44.440667
2025-07-17,131652,2025071704003383,LEC,Nepal Stock House (PVT) Ltd.,Online Securities Pvt. Ltd.,47,217.0,10199.0,2025-07-17 11:18:17.452292
2025-07-17,131002,2025071704003549,LEC,Sani Securities Company Ltd.,Premier Securities Company Ltd.,15,216.0,3240.0,2025-07-17 11:19:22.475681
2025-07-17,130747,2025071704003627,LEC,Capital Hub P. Ltd,Siprabi Securities Pvt. Ltd.,100,216.0,21600.0,2025-07-17 11:19:50.254865
2025-07-17,130746,2025071704003628,LEC,Primo Securities (PVT) Ltd.,Siprabi Securities Pvt. Ltd.,100,215.8,21580.0,2025-07-17 11:19:50.255017
2025-07-17,130408,2025071704003745,LEC,Primo Securities (PVT) Ltd.,Capital Max Securities Ltd,50,215.8,10790.0,2025-07-17 11:20:27.554481
2025-07-17,129081,2025071704004101,LEC,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,10,217.0,2170.0,2025-07-17 11:22:09.522426
2025-07-17,128624,2025071704004237,LEC,Nabil Stock Dealer Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,190,217.3,41287.0,2025-07-17 11:22:52.530001
2025-07-17,128623,2025071704004238,LEC,Nabil Stock Dealer Ltd.,Kalika Securities Pvt. Ltd.,60,217.5,13050.0,2025-07-17 11:22:52.530217
2025-07-17,128622,2025071704004239,LEC,Nabil Stock Dealer Ltd.,Pragyan Securities (PVT) Ltd.,240,217.5,52200.0,2025-07-17 11:22:52.530356
