Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-07-17,141079,2025071704000134,SHL,Cristal Kanchanjanga Securites Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,300,583.0,174900.0,2025-07-17 11:01:26.268294
2025-07-17,141078,2025071704000135,SHL,Cristal Kanchanjanga Securites Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,300,586.0,175800.0,2025-07-17 11:01:26.268346
2025-07-17,141077,2025071704000136,SHL,Cristal Kanchanjanga Securites Pvt. Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,100,588.0,58800.0,2025-07-17 11:01:26.268408
2025-07-17,141076,2025071704000137,SHL,Cristal Kanchanjanga Securites Pvt. Ltd.,Kumari Securities Private Limited,200,589.0,117800.0,2025-07-17 11:01:26.268461
2025-07-17,141075,2025071704000138,SHL,Cristal Kanchanjanga Securites Pvt. Ltd.,J.F. Securites (PVT) Ltd.,100,589.0,58900.0,2025-07-17 11:01:26.268493
2025-07-17,140760,2025071704000263,SHL,Sri Hari Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,200,589.0,117800.0,2025-07-17 11:02:20.499554
2025-07-17,140759,2025071704000264,SHL,Sri Hari Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,300,589.0,176700.0,2025-07-17 11:02:20.499688
2025-07-17,140054,2025071704000478,SHL,Opal Securities Investment (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,150,584.0,87600.0,2025-07-17 11:04:05.875925
2025-07-17,139969,2025071704000509,SHL,Cristal Kanchanjanga Securites Pvt. Ltd.,Naasa Securities Co. Ltd.,200,583.0,116600.0,2025-07-17 11:04:16.908475
2025-07-17,139968,2025071704000510,SHL,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,300,583.0,174900.0,2025-07-17 11:04:16.908598
2025-07-17,139461,2025071704000684,SHL,Online Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,600,584.0,350400.0,2025-07-17 11:05:22.656996
2025-07-17,138960,2025071704000847,SHL,Online Securities Pvt. Ltd.,Capital Max Securities Ltd,400,584.0,233600.0,2025-07-17 11:06:26.169039
2025-07-17,138950,2025071704000852,SHL,Sewa Securities Pvt. Ltd.,Capital Max Securities Ltd,200,584.0,116800.0,2025-07-17 11:06:27.814925
2025-07-17,138548,2025071704000996,SHL,Sumeru Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,700,583.0,408100.0,2025-07-17 11:07:13.012175
2025-07-17,138547,2025071704000997,SHL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,500,581.0,290500.0,2025-07-17 11:07:13.012266
2025-07-17,138546,2025071704000998,SHL,Capital Max Securities Ltd,Sri Hari Securities Pvt. Ltd.,237,581.0,137697.0,2025-07-17 11:07:13.012309
2025-07-17,137689,2025071704001345,SHL,Capital Max Securities Ltd,Sani Securities Company Ltd.,100,581.0,58100.0,2025-07-17 11:08:45.800705
2025-07-17,137521,2025071704001401,SHL,Capital Max Securities Ltd,Aryatara Investment & Securities,163,581.0,94703.0,2025-07-17 11:09:09.877681
2025-07-17,137520,2025071704001402,SHL,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,1337,580.6,776262.2,2025-07-17 11:09:09.877773
2025-07-17,137441,2025071704001433,SHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Capital Max Securities Ltd,100,584.0,58400.0,2025-07-17 11:09:21.370952
2025-07-17,137218,2025071704001525,SHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Capital Max Securities Ltd,300,584.0,175200.0,2025-07-17 11:09:47.674955
2025-07-17,135663,2025071704002076,SHL,Imperial Securities Company Pvt. Ltd.,Premier Securities Company Ltd.,100,585.7,58570.0,2025-07-17 11:12:17.492430
2025-07-17,135522,2025071704002116,SHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,150,585.8,87870.0,2025-07-17 11:12:27.807018
2025-07-17,134777,2025071704002320,SHL,Sani Securities Company Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,100,585.0,58500.0,2025-07-17 11:13:31.569047
2025-07-17,134776,2025071704002321,SHL,Sani Securities Company Ltd.,Market Securities & Exchange (PVT) Ltd.,100,585.8,58580.0,2025-07-17 11:13:31.569177
2025-07-17,134775,2025071704002322,SHL,Sani Securities Company Ltd.,Sharepro Securities Private Limited,200,586.0,117200.0,2025-07-17 11:13:31.569221
2025-07-17,134774,2025071704002323,SHL,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,200,586.0,117200.0,2025-07-17 11:13:31.569262
2025-07-17,134194,2025071704002509,SHL,Vision Securities Pvt. Ltd,Pragyan Securities (PVT) Ltd.,226,581.1,131328.6,2025-07-17 11:14:29.267450
2025-07-17,134126,2025071704002526,SHL,Vision Securities Pvt. Ltd,Sagarmatha Securities Private Limited,437,581.1,253940.7,2025-07-17 11:14:33.494440
2025-07-17,133475,2025071704002756,SHL,Trishakti Securities Public Limited,Investment Management Nepal Pvt. Ltd.,200,581.0,116200.0,2025-07-17 11:15:32.690782
2025-07-17,133474,2025071704002757,SHL,Imperial Securities Company Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,100,581.0,58100.0,2025-07-17 11:15:32.690983
2025-07-17,132416,2025071704003111,SHL,Hatemalo Financial Services Private Limited,Capital Max Securities Ltd,100,584.5,58450.0,2025-07-17 11:17:08.342294
2025-07-17,130976,2025071704003554,SHL,Sweta Securities Private Limited,Asian Securities Private Ltd.,700,584.0,408800.0,2025-07-17 11:19:25.490141
2025-07-17,130975,2025071704003555,SHL,Sweta Securities Private Limited,Capital Max Securities Ltd,100,584.5,58450.0,2025-07-17 11:19:25.490296
2025-07-17,130974,2025071704003556,SHL,Sweta Securities Private Limited,Imperial Securities Company Pvt. Ltd.,200,584.7,116940.0,2025-07-17 11:19:25.490368
2025-07-17,130973,2025071704003557,SHL,Sweta Securities Private Limited,Imperial Securities Company Pvt. Ltd.,193,584.9,112885.7,2025-07-17 11:19:25.490429
2025-07-17,130972,2025071704003558,SHL,Sweta Securities Private Limited,Dakshinkali Investment & Securities Pvt. Ltd.,100,585.0,58500.0,2025-07-17 11:19:25.490473
2025-07-17,130971,2025071704003559,SHL,Sweta Securities Private Limited,Asian Securities Private Ltd.,100,585.9,58590.0,2025-07-17 11:19:25.490517
2025-07-17,130970,2025071704003560,SHL,Sweta Securities Private Limited,Imperial Securities Company Pvt. Ltd.,407,585.9,238461.3,2025-07-17 11:19:25.490563
2025-07-17,130664,2025071704003667,SHL,Neev Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,100,585.9,58590.0,2025-07-17 11:19:57.691730
2025-07-17,129012,2025071704004113,SHL,Investment Management Nepal Pvt. Ltd.,Vision Securities Pvt. Ltd,200,585.0,117000.0,2025-07-17 11:22:16.058363
2025-07-17,129011,2025071704004114,SHL,Investment Management Nepal Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,500,585.0,292500.0,2025-07-17 11:22:16.058482
2025-07-17,128900,2025071704004156,SHL,Sri Hari Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,500,585.5,292750.0,2025-07-17 11:22:24.182395
2025-07-17,128899,2025071704004157,SHL,Sri Hari Securities Pvt. Ltd.,Capital Max Securities Ltd,100,585.8,58580.0,2025-07-17 11:22:24.182554
2025-07-17,128898,2025071704004158,SHL,Sri Hari Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,100,585.8,58580.0,2025-07-17 11:22:24.182602
2025-07-17,128897,2025071704004159,SHL,Sri Hari Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,293,585.9,171668.7,2025-07-17 11:22:24.182652
2025-07-17,128896,2025071704004160,SHL,Sri Hari Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,100,585.9,58590.0,2025-07-17 11:22:24.182699
2025-07-17,128895,2025071704004161,SHL,Sri Hari Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,200,585.9,117180.0,2025-07-17 11:22:24.182742
2025-07-17,128894,2025071704004162,SHL,Sri Hari Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,100,585.9,58590.0,2025-07-17 11:22:24.182786
2025-07-17,128893,2025071704004163,SHL,Sri Hari Securities Pvt. Ltd.,Sani Securities Company Ltd.,800,586.0,468800.0,2025-07-17 11:22:24.182832
2025-07-17,128892,2025071704004164,SHL,Sri Hari Securities Pvt. Ltd.,Sani Securities Company Ltd.,800,586.0,468800.0,2025-07-17 11:22:24.182871
2025-07-17,126875,2025071704004748,SHL,SUN SECURITIES PVT LTD,Sri Hari Securities Pvt. Ltd.,1500,582.7,874050.0,2025-07-17 11:25:50.589094
2025-07-17,126874,2025071704004749,SHL,Primo Securities (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,1500,582.6,873900.0,2025-07-17 11:25:50.589345
2025-07-17,126873,2025071704004750,SHL,Sani Securities Company Ltd.,Sri Hari Securities Pvt. Ltd.,500,582.4,291200.0,2025-07-17 11:25:50.589495
2025-07-17,126872,2025071704004751,SHL,Siprabi Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,100,582.2,58220.0,2025-07-17 11:25:50.589639
2025-07-17,126871,2025071704004752,SHL,INDEX SECURITIES LIMITED,Sri Hari Securities Pvt. Ltd.,400,582.0,232800.0,2025-07-17 11:25:50.589782
2025-07-17,126545,2025071704004870,SHL,Sweta Securities Private Limited,Sri Hari Securities Pvt. Ltd.,400,583.0,233200.0,2025-07-17 11:26:25.087098
2025-07-17,124167,2025071704005583,SHL,INDEX SECURITIES LIMITED,Premier Securities Company Ltd.,1780,584.0,1039520.0,2025-07-17 11:30:22.749247
2025-07-17,124166,2025071704005584,SHL,INDEX SECURITIES LIMITED,Asian Securities Private Ltd.,100,584.9,58490.0,2025-07-17 11:30:22.749536
2025-07-17,124165,2025071704005585,SHL,INDEX SECURITIES LIMITED,SHUBHAKAMANA SECURITIES PVT. LTD,100,585.0,58500.0,2025-07-17 11:30:22.749703
2025-07-17,123311,2025071704005842,SHL,Sani Securities Company Ltd.,Sundhara Securities Limited,100,585.0,58500.0,2025-07-17 11:31:56.791820
