Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-20,177368,2025072004000254,AKPL,ABC Securities Private Limited,Imperial Securities Company Pvt. Ltd.,200,270.0,54000.0,2025-07-20T11:01:31.0329
2025-07-20,177176,2025072004000318,AKPL,Agrawal Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,1000,270.0,270000.0,2025-07-20T11:01:50.371615
2025-07-20,177022,2025072004000391,AKPL,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,300,270.0,81000.0,2025-07-20T11:02:02.73269
2025-07-20,176976,2025072004000410,AKPL,Kumari Securities Private Limited,Imperial Securities Company Pvt. Ltd.,1110,270.0,299700.0,2025-07-20T11:02:08.308933
2025-07-20,176249,2025072004000668,AKPL,NIMB Stock Markets Limited,Investment Management Nepal Pvt. Ltd.,50,271.0,13550.0,2025-07-20T11:03:07.396148
2025-07-20,176145,2025072004000731,AKPL,Imperial Securities Company Pvt. Ltd.,Sagarmatha Securities Private Limited,250,270.3,67575.0,2025-07-20T11:03:17.319193
2025-07-20,176144,2025072004000732,AKPL,Kumari Securities Private Limited,Sagarmatha Securities Private Limited,2390,270.0,645300.0,2025-07-20T11:03:17.319346
2025-07-20,176143,2025072004000733,AKPL,Cristal Kanchanjanga Securites Pvt. Ltd.,Sagarmatha Securities Private Limited,1360,270.0,367200.0,2025-07-20T11:03:17.319439
2025-07-20,176072,2025072004000776,AKPL,Cristal Kanchanjanga Securites Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,140,270.0,37800.0,2025-07-20T11:03:21.045094
2025-07-20,176071,2025072004000777,AKPL,Kumari Securities Private Limited,Investment Management Nepal Pvt. Ltd.,200,270.0,54000.0,2025-07-20T11:03:21.045167
2025-07-20,176070,2025072004000778,AKPL,Trisul Securities & Invt. Ltd.,Investment Management Nepal Pvt. Ltd.,160,270.0,43200.0,2025-07-20T11:03:21.0452
2025-07-20,175955,2025072004000820,AKPL,Agrawal Securities (PVT) Ltd.,Investment Management Nepal Pvt. Ltd.,20,271.0,5420.0,2025-07-20T11:03:30.305973
2025-07-20,175951,2025072004000823,AKPL,Naasa Securities Co. Ltd.,Investment Management Nepal Pvt. Ltd.,500,271.0,135500.0,2025-07-20T11:03:30.90868
2025-07-20,175940,2025072004000830,AKPL,Vision Securities Pvt. Ltd,Investment Management Nepal Pvt. Ltd.,50,271.0,13550.0,2025-07-20T11:03:31.649923
2025-07-20,175757,2025072004000890,AKPL,J.F. Securites (PVT) Ltd.,Investment Management Nepal Pvt. Ltd.,150,271.0,40650.0,2025-07-20T11:03:45.549787
2025-07-20,175501,2025072004000991,AKPL,Agrawal Securities (PVT) Ltd.,Investment Management Nepal Pvt. Ltd.,230,271.0,62330.0,2025-07-20T11:04:07.463894
2025-07-20,174936,2025072004001181,AKPL,Sani Securities Company Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,20,272.0,5440.0,2025-07-20T11:04:48.600936
2025-07-20,174474,2025072004001337,AKPL,Vision Securities Pvt. Ltd,Sagarmatha Securities Private Limited,1000,271.1,271100.0,2025-07-20T11:05:20.146432
2025-07-20,174171,2025072004001447,AKPL,ABC Securities Private Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,200,272.0,54400.0,2025-07-20T11:05:41.73771
2025-07-20,173982,2025072004001502,AKPL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,80,272.0,21760.0,2025-07-20T11:05:54.612951
2025-07-20,173981,2025072004001503,AKPL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Linch Stock Market Ltd.,100,272.0,27200.0,2025-07-20T11:05:54.613171
2025-07-20,173980,2025072004001504,AKPL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Imperial Securities Company Pvt. Ltd.,320,272.0,87040.0,2025-07-20T11:05:54.613295
2025-07-20,173942,2025072004001518,AKPL,Agrawal Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,270,272.0,73440.0,2025-07-20T11:05:57.574427
2025-07-20,173904,2025072004001527,AKPL,Aryatara Investment & Securities,Nepal Investment And Securities Trading Private Limited,20,271.0,5420.0,2025-07-20T11:05:59.829242
2025-07-20,173608,2025072004001634,AKPL,Vision Securities Pvt. Ltd,Infinity Securities Limited,150,271.9,40785.0,2025-07-20T11:06:14.761381
2025-07-20,173422,2025072004001680,AKPL,Aryatara Investment & Securities,Sani Securities Company Ltd.,307,271.0,83197.0,2025-07-20T11:06:24.971639
2025-07-20,173307,2025072004001713,AKPL,Aryatara Investment & Securities,Secured Securities Ltd.,173,271.0,46883.0,2025-07-20T11:06:32.187049
2025-07-20,173306,2025072004001714,AKPL,Naasa Securities Co. Ltd.,Secured Securities Ltd.,200,271.0,54200.0,2025-07-20T11:06:32.187144
2025-07-20,173305,2025072004001715,AKPL,Ashutosh Brokerage & Securities (PVT) Ltd.,Secured Securities Ltd.,127,271.0,34417.0,2025-07-20T11:06:32.187187
2025-07-20,172972,2025072004001808,AKPL,Ashutosh Brokerage & Securities (PVT) Ltd.,Himalayan Securities Limited,200,271.0,54200.0,2025-07-20T11:06:56.346754
2025-07-20,172962,2025072004001810,AKPL,Nepal Investment And Securities Trading Private Limited,Thrive Brokerage House Pvt. Ltd,30,271.5,8145.0,2025-07-20T11:06:56.705021
2025-07-20,172890,2025072004001844,AKPL,Ashutosh Brokerage & Securities (PVT) Ltd.,Secured Securities Ltd.,100,271.0,27100.0,2025-07-20T11:07:01.293236
2025-07-20,172774,2025072004001882,AKPL,Elite Stock House Limited,Thrive Brokerage House Pvt. Ltd,296,271.5,80364.0,2025-07-20T11:07:07.803261
2025-07-20,172557,2025072004001955,AKPL,Elite Stock House Limited,K.B.L. Securities Limited ,74,271.5,20091.0,2025-07-20T11:07:22.271603
2025-07-20,172556,2025072004001956,AKPL,Ashutosh Brokerage & Securities (PVT) Ltd.,K.B.L. Securities Limited ,73,271.0,19783.0,2025-07-20T11:07:22.271694
2025-07-20,172555,2025072004001957,AKPL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,K.B.L. Securities Limited ,40,271.0,10840.0,2025-07-20T11:07:22.271744
2025-07-20,172554,2025072004001958,AKPL,Imperial Securities Company Pvt. Ltd.,K.B.L. Securities Limited ,113,271.0,30623.0,2025-07-20T11:07:22.271784
2025-07-20,172167,2025072004002078,AKPL,Imperial Securities Company Pvt. Ltd.,Asian Securities Private Ltd.,37,271.0,10027.0,2025-07-20T11:07:44.361627
2025-07-20,172166,2025072004002079,AKPL,South Asian Bulls Pvt. Ltd.,Asian Securities Private Ltd.,136,271.0,36856.0,2025-07-20T11:07:44.361828
2025-07-20,172042,2025072004002128,AKPL,South Asian Bulls Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,64,271.0,17344.0,2025-07-20T11:07:51.25882
2025-07-20,171582,2025072004002282,AKPL,Naasa Securities Co. Ltd.,South Asian Bulls Pvt. Ltd.,125,270.4,33800.0,2025-07-20T11:08:24.262621
2025-07-20,171197,2025072004002393,AKPL,South Asian Bulls Pvt. Ltd.,Trishakti Securities Public Limited,100,270.2,27020.0,2025-07-20T11:08:42.310719
2025-07-20,171134,2025072004002411,AKPL,South Asian Bulls Pvt. Ltd.,Secured Securities Ltd.,100,270.2,27020.0,2025-07-20T11:08:46.415594
2025-07-20,171133,2025072004002412,AKPL,Oxford Securities Pvt. Ltd.,Secured Securities Ltd.,222,270.1,59962.2,2025-07-20T11:08:46.415707
2025-07-20,171132,2025072004002413,AKPL,Trisul Securities & Invt. Ltd.,Secured Securities Ltd.,40,270.0,10800.0,2025-07-20T11:08:46.415764
2025-07-20,171131,2025072004002414,AKPL,Sweta Securities Private Limited,Secured Securities Ltd.,100,270.0,27000.0,2025-07-20T11:08:46.415812
2025-07-20,171130,2025072004002415,AKPL,Arun Securities (PVT) Ltd.,Secured Securities Ltd.,19,270.0,5130.0,2025-07-20T11:08:46.415857
2025-07-20,171129,2025072004002416,AKPL,Primo Securities (PVT) Ltd.,Secured Securities Ltd.,50,270.0,13500.0,2025-07-20T11:08:46.4159
2025-07-20,171128,2025072004002417,AKPL,Oxford Securities Pvt. Ltd.,Secured Securities Ltd.,100,270.0,27000.0,2025-07-20T11:08:46.415944
2025-07-20,171127,2025072004002418,AKPL,Trisul Securities & Invt. Ltd.,Secured Securities Ltd.,700,270.0,189000.0,2025-07-20T11:08:46.415988
2025-07-20,171126,2025072004002419,AKPL,Imperial Securities Company Pvt. Ltd.,Secured Securities Ltd.,500,270.0,135000.0,2025-07-20T11:08:46.416029
2025-07-20,171125,2025072004002420,AKPL,Vision Securities Pvt. Ltd,Secured Securities Ltd.,55,270.0,14850.0,2025-07-20T11:08:46.416091
2025-07-20,171124,2025072004002421,AKPL,Cristal Kanchanjanga Securites Pvt. Ltd.,Secured Securities Ltd.,114,270.0,30780.0,2025-07-20T11:08:46.416159
2025-07-20,171067,2025072004002432,AKPL,Sani Securities Company Ltd.,Asian Securities Private Ltd.,80,270.0,21600.0,2025-07-20T11:08:48.680689
2025-07-20,171066,2025072004002433,AKPL,ABC Securities Private Limited,Asian Securities Private Ltd.,10,270.0,2700.0,2025-07-20T11:08:48.68081
2025-07-20,171065,2025072004002434,AKPL,Deevyaa Securities & Stock House Pvt. Ltd,Asian Securities Private Ltd.,737,270.0,198990.0,2025-07-20T11:08:48.680873
2025-07-20,170965,2025072004002451,AKPL,South Asian Bulls Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,50,271.0,13550.0,2025-07-20T11:08:53.15276
2025-07-20,170947,2025072004002458,AKPL,Deevyaa Securities & Stock House Pvt. Ltd,Trishakti Securities Public Limited,263,270.0,71010.0,2025-07-20T11:08:54.435709
2025-07-20,170476,2025072004002605,AKPL,South Asian Bulls Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,200,269.3,53860.0,2025-07-20T11:09:25.493355
2025-07-20,170475,2025072004002606,AKPL,Nabil Stock Dealer Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,26,269.2,6999.2,2025-07-20T11:09:25.49356
2025-07-20,170402,2025072004002625,AKPL,Nabil Stock Dealer Ltd.,Sewa Securities Pvt. Ltd.,74,269.2,19920.8,2025-07-20T11:09:30.535481
2025-07-20,170401,2025072004002626,AKPL,Linch Stock Market Ltd.,Sewa Securities Pvt. Ltd.,250,269.1,67275.0,2025-07-20T11:09:30.535687
2025-07-20,170400,2025072004002627,AKPL,Sundhara Securities Limited,Sewa Securities Pvt. Ltd.,200,269.0,53800.0,2025-07-20T11:09:30.535819
2025-07-20,170399,2025072004002628,AKPL,Pragyan Securities (PVT) Ltd.,Sewa Securities Pvt. Ltd.,476,269.0,128044.0,2025-07-20T11:09:30.535941
2025-07-20,170273,2025072004002669,AKPL,Pragyan Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,524,269.0,140956.0,2025-07-20T11:09:38.853459
2025-07-20,170077,2025072004002730,AKPL,South Asian Bulls Pvt. Ltd.,Online Securities Pvt. Ltd.,200,268.1,53620.0,2025-07-20T11:09:51.154957
2025-07-20,170076,2025072004002731,AKPL,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,100,268.0,26800.0,2025-07-20T11:09:51.15518
