Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-07-20,178023,2025072003000052,KSBBL,Trisul Securities & Invt. Ltd.,SUN SECURITIES PVT LTD,200,520.0,104000.0,2025-07-20T10:46:00.056499
2025-07-20,177901,2025072003000086,KSBBL,Trisul Securities & Invt. Ltd.,Capital Max Securities Ltd,200,530.0,106000.0,2025-07-20T11:00:18.685958
2025-07-20,177900,2025072003000087,KSBBL,Nepal Investment And Securities Trading Private Limited,Capital Max Securities Ltd,200,530.0,106000.0,2025-07-20T11:00:18.686095
2025-07-20,177820,2025072003000114,KSBBL,Imperial Securities Company Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,250,529.0,132250.0,2025-07-20T11:00:35.155838
2025-07-20,177817,2025072003000117,KSBBL,Midas Stock Broking Company Private Limited,Sri Hari Securities Pvt. Ltd.,10,529.0,5290.0,2025-07-20T11:00:36.573786
2025-07-20,177718,2025072003000139,KSBBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Capital Max Securities Ltd,30,528.9,15867.0,2025-07-20T11:00:50.656194
2025-07-20,177603,2025072003000169,KSBBL,Asian Securities Private Ltd.,Opal Securities Investment (PVT) Ltd.,200,528.8,105760.0,2025-07-20T11:01:06.77667
2025-07-20,177218,2025072003000257,KSBBL,Dakshinkali Investment & Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,20,526.0,10520.0,2025-07-20T11:01:46.184032
2025-07-20,177217,2025072003000258,KSBBL,J.F. Securites (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,100,526.0,52600.0,2025-07-20T11:01:46.184078
2025-07-20,177216,2025072003000259,KSBBL,Aryatara Investment & Securities,Sri Hari Securities Pvt. Ltd.,10,525.0,5250.0,2025-07-20T11:01:46.184119
2025-07-20,177215,2025072003000260,KSBBL,Opal Securities Investment (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,250,525.0,131250.0,2025-07-20T11:01:46.184143
2025-07-20,176709,2025072003000379,KSBBL,Online Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,150,524.0,78600.0,2025-07-20T11:02:30.302202
2025-07-20,176702,2025072003000382,KSBBL,Dynamic Money Managers Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,9850,524.0,5161400.0,2025-07-20T11:02:31.047236
2025-07-20,176630,2025072003000402,KSBBL,Dynamic Money Managers Securities Pvt. Ltd.,Capital Max Securities Ltd,150,524.0,78600.0,2025-07-20T11:02:37.314587
2025-07-20,176294,2025072003000491,KSBBL,Aryatara Investment & Securities,Thrive Brokerage House Pvt. Ltd,10,521.0,5210.0,2025-07-20T11:03:04.961633
2025-07-20,176003,2025072003000540,KSBBL,J.F. Securites (PVT) Ltd.,Midas Stock Broking Company Private Limited,25,521.1,13027.5,2025-07-20T11:03:25.194247
2025-07-20,176002,2025072003000541,KSBBL,Aryatara Investment & Securities,Midas Stock Broking Company Private Limited,40,521.0,20840.0,2025-07-20T11:03:25.194312
2025-07-20,175825,2025072003000582,KSBBL,Ashutosh Brokerage & Securities (PVT) Ltd.,Sumeru Securities Pvt. Ltd.,500,520.5,260250.0,2025-07-20T11:03:41.036892
2025-07-20,175824,2025072003000583,KSBBL,Ashutosh Brokerage & Securities (PVT) Ltd.,Sumeru Securities Pvt. Ltd.,500,520.5,260250.0,2025-07-20T11:03:41.037073
2025-07-20,175814,2025072003000585,KSBBL,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,250,520.0,130000.0,2025-07-20T11:03:42.203271
2025-07-20,175813,2025072003000586,KSBBL,Sipla Securities Private Limited,Sani Securities Company Ltd.,3000,520.0,1560000.0,2025-07-20T11:03:42.203332
2025-07-20,175812,2025072003000587,KSBBL,Nepal Stock House (PVT) Ltd.,Sani Securities Company Ltd.,25,520.0,13000.0,2025-07-20T11:03:42.203364
2025-07-20,175811,2025072003000588,KSBBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sani Securities Company Ltd.,500,520.0,260000.0,2025-07-20T11:03:42.203394
2025-07-20,175810,2025072003000589,KSBBL,Agrawal Securities (PVT) Ltd.,Sani Securities Company Ltd.,150,520.0,78000.0,2025-07-20T11:03:42.203422
2025-07-20,175809,2025072003000590,KSBBL,Siprabi Securities Pvt. Ltd.,Sani Securities Company Ltd.,600,520.0,312000.0,2025-07-20T11:03:42.203467
2025-07-20,175808,2025072003000591,KSBBL,Miyo Securities Pvt Ltd,Sani Securities Company Ltd.,200,520.0,104000.0,2025-07-20T11:03:42.203497
2025-07-20,175692,2025072003000611,KSBBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Sani Securities Company Ltd.,20,520.0,10400.0,2025-07-20T11:03:51.851751
2025-07-20,175666,2025072003000614,KSBBL,Neev Securities Pvt. Ltd.,Miyo Securities Pvt Ltd,500,518.3,259150.0,2025-07-20T11:03:55.32964
2025-07-20,175665,2025072003000615,KSBBL,Kohinoor Investment & Securities Pvt. Ltd.,Miyo Securities Pvt Ltd,5000,517.5,2587500.0,2025-07-20T11:03:55.329696
2025-07-20,175631,2025072003000622,KSBBL,Trisul Securities & Invt. Ltd.,Sani Securities Company Ltd.,500,520.0,260000.0,2025-07-20T11:03:57.900758
