Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-20,178102,2025072005000014,SAHAS,Sani Securities Company Ltd.,Siprabi Securities Pvt. Ltd.,10,670.0,6700.0,2025-07-20T10:46:00.031691
2025-07-20,178101,2025072005000015,SAHAS,Sani Securities Company Ltd.,Trademow Securities Private Limited,290,670.0,194300.0,2025-07-20T10:46:00.03173
2025-07-20,178100,2025072005000016,SAHAS,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Trademow Securities Private Limited,50,670.0,33500.0,2025-07-20T10:46:00.031757
2025-07-20,177917,2025072005000051,SAHAS,Trishakti Securities Public Limited,Trademow Securities Private Limited,160,670.0,107200.0,2025-07-20T11:00:12.522129
2025-07-20,177916,2025072005000052,SAHAS,Trishakti Securities Public Limited,Kalika Securities Pvt. Ltd.,10,674.0,6740.0,2025-07-20T11:00:12.522249
2025-07-20,177850,2025072005000058,SAHAS,Asian Securities Private Ltd.,Linch Stock Market Ltd.,500,673.0,336500.0,2025-07-20T11:00:30.508284
2025-07-20,177849,2025072005000059,SAHAS,Asian Securities Private Ltd.,Trademow Securities Private Limited,50,673.0,33650.0,2025-07-20T11:00:30.508437
2025-07-20,177793,2025072005000069,SAHAS,Ashutosh Brokerage & Securities (PVT) Ltd.,Trademow Securities Private Limited,200,673.0,134600.0,2025-07-20T11:00:40.413685
2025-07-20,177792,2025072005000070,SAHAS,Midas Stock Broking Company Private Limited,Trademow Securities Private Limited,100,673.0,67300.0,2025-07-20T11:00:40.587068
2025-07-20,177767,2025072005000073,SAHAS,Cristal Kanchanjanga Securites Pvt. Ltd.,Neev Securities Pvt. Ltd.,1000,671.0,671000.0,2025-07-20T11:00:44.780032
2025-07-20,177766,2025072005000074,SAHAS,Ashutosh Brokerage & Securities (PVT) Ltd.,Neev Securities Pvt. Ltd.,160,670.0,107200.0,2025-07-20T11:00:44.780193
2025-07-20,177765,2025072005000075,SAHAS,Dakshinkali Investment & Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,495,668.1,330709.5,2025-07-20T11:00:44.78031
2025-07-20,177707,2025072005000089,SAHAS,Dakshinkali Investment & Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,500,668.1,334050.0,2025-07-20T11:00:51.515616
2025-07-20,177659,2025072005000094,SAHAS,Sundhara Securities Limited,Opal Securities Investment (PVT) Ltd.,50,670.0,33500.0,2025-07-20T11:00:58.776056
2025-07-20,177648,2025072005000097,SAHAS,S.P.S.A. Securities Limited,Opal Securities Investment (PVT) Ltd.,500,670.0,335000.0,2025-07-20T11:00:59.407562
2025-07-20,177637,2025072005000101,SAHAS,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Opal Securities Investment (PVT) Ltd.,100,670.0,67000.0,2025-07-20T11:01:01.151113
2025-07-20,177632,2025072005000103,SAHAS,Trishakti Securities Public Limited,Opal Securities Investment (PVT) Ltd.,10,670.0,6700.0,2025-07-20T11:01:02.76122
2025-07-20,177543,2025072005000116,SAHAS,Oxford Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,275,668.0,183700.0,2025-07-20T11:01:13.56502
2025-07-20,177542,2025072005000117,SAHAS,Sundhara Securities Limited,Imperial Securities Company Pvt. Ltd.,200,667.0,133400.0,2025-07-20T11:01:13.56518
2025-07-20,177461,2025072005000123,SAHAS,Trisul Securities & Invt. Ltd.,Imperial Securities Company Pvt. Ltd.,525,667.0,350175.0,2025-07-20T11:01:21.558785
2025-07-20,177460,2025072005000124,SAHAS,Trisul Securities & Invt. Ltd.,Opal Securities Investment (PVT) Ltd.,475,670.0,318250.0,2025-07-20T11:01:21.558955
2025-07-20,177378,2025072005000141,SAHAS,South Asian Bulls Pvt. Ltd.,Neev Securities Pvt. Ltd.,10,666.0,6660.0,2025-07-20T11:01:29.062159
2025-07-20,177207,2025072005000163,SAHAS,Bhrikuti Stock Broking Co. Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,50,667.0,33350.0,2025-07-20T11:01:47.717648
2025-07-20,177206,2025072005000164,SAHAS,Dakshinkali Investment & Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,15,667.0,10005.0,2025-07-20T11:01:47.717744
2025-07-20,177205,2025072005000165,SAHAS,Sani Securities Company Ltd.,Nepal Investment And Securities Trading Private Limited,17,667.0,11339.0,2025-07-20T11:01:47.717799
2025-07-20,177055,2025072005000184,SAHAS,Sani Securities Company Ltd.,Nepal Investment And Securities Trading Private Limited,10,667.0,6670.0,2025-07-20T11:01:59.819706
2025-07-20,176972,2025072005000197,SAHAS,Sani Securities Company Ltd.,Nagarik Stock Dealer ,773,667.0,515591.0,2025-07-20T11:02:09.236193
2025-07-20,176971,2025072005000198,SAHAS,South Asian Bulls Pvt. Ltd.,Nagarik Stock Dealer ,100,667.0,66700.0,2025-07-20T11:02:09.236379
2025-07-20,176970,2025072005000199,SAHAS,Naasa Securities Co. Ltd.,Nagarik Stock Dealer ,100,667.0,66700.0,2025-07-20T11:02:09.236501
2025-07-20,176969,2025072005000200,SAHAS,Sani Securities Company Ltd.,Nagarik Stock Dealer ,329,667.0,219443.0,2025-07-20T11:02:09.236617
2025-07-20,176954,2025072005000205,SAHAS,J.F. Securites (PVT) Ltd.,Sundhara Securities Limited,20,669.0,13380.0,2025-07-20T11:02:10.572464
2025-07-20,176856,2025072005000224,SAHAS,Aryatara Investment & Securities,Sundhara Securities Limited,30,669.0,20070.0,2025-07-20T11:02:18.676834
2025-07-20,176855,2025072005000225,SAHAS,Aryatara Investment & Securities,Capital Max Securities Ltd,270,669.9,180873.0,2025-07-20T11:02:18.676917
2025-07-20,176843,2025072005000228,SAHAS,Sani Securities Company Ltd.,Capital Max Securities Ltd,53,669.9,35504.7,2025-07-20T11:02:19.822477
2025-07-20,176652,2025072005000256,SAHAS,Cristal Kanchanjanga Securites Pvt. Ltd.,Capital Max Securities Ltd,177,669.9,118572.3,2025-07-20T11:02:35.209886
2025-07-20,176651,2025072005000257,SAHAS,Cristal Kanchanjanga Securites Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,23,670.0,15410.0,2025-07-20T11:02:35.210088
2025-07-20,176546,2025072005000269,SAHAS,Aryatara Investment & Securities,Nepal Investment And Securities Trading Private Limited,10,669.0,6690.0,2025-07-20T11:02:44.700438
2025-07-20,176522,2025072005000270,SAHAS,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,100,669.0,66900.0,2025-07-20T11:02:45.736908
2025-07-20,176514,2025072005000273,SAHAS,Cristal Kanchanjanga Securites Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,302,670.0,202340.0,2025-07-20T11:02:47.276112
2025-07-20,176513,2025072005000274,SAHAS,Cristal Kanchanjanga Securites Pvt. Ltd.,Trademow Securities Private Limited,500,670.0,335000.0,2025-07-20T11:02:47.276209
2025-07-20,176512,2025072005000275,SAHAS,Cristal Kanchanjanga Securites Pvt. Ltd.,Sani Securities Company Ltd.,22,670.0,14740.0,2025-07-20T11:02:47.276263
2025-07-20,176511,2025072005000276,SAHAS,Cristal Kanchanjanga Securites Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,500,670.0,335000.0,2025-07-20T11:02:47.276308
2025-07-20,176406,2025072005000290,SAHAS,Cristal Kanchanjanga Securites Pvt. Ltd.,Neev Securities Pvt. Ltd.,100,670.0,67000.0,2025-07-20T11:02:55.813107
2025-07-20,176262,2025072005000315,SAHAS,BHOLE GANESH SECURITIES LTD,Kumari Securities Private Limited,300,670.1,201030.0,2025-07-20T11:03:06.959504
2025-07-20,176106,2025072005000328,SAHAS,BHOLE GANESH SECURITIES LTD,Shree Krishna Securities Ltd.,700,671.0,469700.0,2025-07-20T11:03:18.508711
2025-07-20,176105,2025072005000329,SAHAS,Asian Securities Private Ltd.,Shree Krishna Securities Ltd.,400,670.1,268040.0,2025-07-20T11:03:18.508815
2025-07-20,176104,2025072005000330,SAHAS,Cristal Kanchanjanga Securites Pvt. Ltd.,Shree Krishna Securities Ltd.,76,670.0,50920.0,2025-07-20T11:03:18.508863
2025-07-20,176103,2025072005000331,SAHAS,Nepal Investment And Securities Trading Private Limited,Shree Krishna Securities Ltd.,100,670.0,67000.0,2025-07-20T11:03:18.508915
2025-07-20,176102,2025072005000332,SAHAS,Himalayan Brokerage Company Limited,Shree Krishna Securities Ltd.,300,670.0,201000.0,2025-07-20T11:03:18.508958
2025-07-20,176101,2025072005000333,SAHAS,Indira securities pvt. ltd,Shree Krishna Securities Ltd.,424,670.0,284080.0,2025-07-20T11:03:18.509001
2025-07-20,176050,2025072005000343,SAHAS,Indira securities pvt. ltd,Shree Krishna Securities Ltd.,46,670.0,30820.0,2025-07-20T11:03:22.527546
2025-07-20,175979,2025072005000360,SAHAS,Investment Management Nepal Pvt. Ltd.,Shree Krishna Securities Ltd.,1000,670.0,670000.0,2025-07-20T11:03:27.070035
2025-07-20,175927,2025072005000367,SAHAS,Thrive Brokerage House Pvt. Ltd,Shree Krishna Securities Ltd.,1000,670.0,670000.0,2025-07-20T11:03:33.103801
2025-07-20,175890,2025072005000376,SAHAS,Thrive Brokerage House Pvt. Ltd,Shree Krishna Securities Ltd.,954,670.0,639180.0,2025-07-20T11:03:35.112566
2025-07-20,175827,2025072005000389,SAHAS,Thrive Brokerage House Pvt. Ltd,Shree Krishna Securities Ltd.,10,670.0,6700.0,2025-07-20T11:03:40.733385
2025-07-20,175801,2025072005000391,SAHAS,Himalayan Brokerage Company Limited,Dynamic Money Managers Securities Pvt. Ltd.,10,670.1,6701.0,2025-07-20T11:03:43.126451
2025-07-20,175800,2025072005000392,SAHAS,Himalayan Brokerage Company Limited,Nepal Investment And Securities Trading Private Limited,20,672.0,13440.0,2025-07-20T11:03:43.126551
2025-07-20,175799,2025072005000393,SAHAS,Himalayan Brokerage Company Limited,Dakshinkali Investment & Securities Pvt. Ltd.,100,672.0,67200.0,2025-07-20T11:03:43.126596
2025-07-20,175798,2025072005000394,SAHAS,Himalayan Brokerage Company Limited,South Asian Bulls Pvt. Ltd.,50,672.5,33625.0,2025-07-20T11:03:43.126642
2025-07-20,175797,2025072005000395,SAHAS,Himalayan Brokerage Company Limited,South Asian Bulls Pvt. Ltd.,50,672.9,33645.0,2025-07-20T11:03:43.126688
2025-07-20,175796,2025072005000396,SAHAS,Himalayan Brokerage Company Limited,Trademow Securities Private Limited,70,673.0,47110.0,2025-07-20T11:03:43.126736
2025-07-20,175768,2025072005000406,SAHAS,Thrive Brokerage House Pvt. Ltd,Shree Krishna Securities Ltd.,10,670.0,6700.0,2025-07-20T11:03:44.770005
2025-07-20,175753,2025072005000411,SAHAS,Thrive Brokerage House Pvt. Ltd,Vision Securities Pvt. Ltd,25,670.0,16750.0,2025-07-20T11:03:45.80719
2025-07-20,175680,2025072005000420,SAHAS,Trishakti Securities Public Limited,Trademow Securities Private Limited,10,673.0,6730.0,2025-07-20T11:03:53.990368
2025-07-20,175636,2025072005000425,SAHAS,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,100,670.0,67000.0,2025-07-20T11:03:57.6998
2025-07-20,175635,2025072005000426,SAHAS,Cristal Kanchanjanga Securites Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,550,670.0,368500.0,2025-07-20T11:03:57.699908
2025-07-20,175453,2025072005000456,SAHAS,Premier Securities Company Ltd.,Trademow Securities Private Limited,70,673.0,47110.0,2025-07-20T11:04:10.489586
2025-07-20,175452,2025072005000457,SAHAS,Premier Securities Company Ltd.,Naasa Securities Co. Ltd.,100,673.0,67300.0,2025-07-20T11:04:10.489694
2025-07-20,175428,2025072005000466,SAHAS,Premier Securities Company Ltd.,Capital Max Securities Ltd,100,672.0,67200.0,2025-07-20T11:04:11.766833
2025-07-20,175427,2025072005000467,SAHAS,Sweta Securities Private Limited,Capital Max Securities Ltd,200,671.0,134200.0,2025-07-20T11:04:11.766935
