Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-07-21,138790,2025072104000009,AKPL,Thrive Brokerage House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,10,265.0,2650.0,2025-07-21 10:46:00.047456
2025-07-21,138789,2025072104000010,AKPL,Kohinoor Investment & Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,90,265.0,23850.0,2025-07-21 10:46:00.047484
2025-07-21,138788,2025072104000011,AKPL,Kohinoor Investment & Securities Pvt. Ltd.,Linch Stock Market Ltd.,33,265.0,8745.0,2025-07-21 10:46:00.047507
2025-07-21,137531,2025072104000592,AKPL,Premier Securities Company Ltd.,Online Securities Pvt. Ltd.,200,267.0,53400.0,2025-07-21 11:02:46.352055
2025-07-21,137391,2025072104000638,AKPL,Imperial Securities Company Pvt. Ltd.,Online Securities Pvt. Ltd.,96,267.0,25632.0,2025-07-21 11:03:05.322117
2025-07-21,137066,2025072104000783,AKPL,Naasa Securities Co. Ltd.,Indira securities pvt. ltd,100,267.1,26710.0,2025-07-21 11:03:42.220646
2025-07-21,137037,2025072104000802,AKPL,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,500,267.1,133550.0,2025-07-21 11:03:45.998268
2025-07-21,136929,2025072104000863,AKPL,Naasa Securities Co. Ltd.,Kalika Securities Pvt. Ltd.,13,267.1,3472.3,2025-07-21 11:03:54.622204
2025-07-21,136874,2025072104000885,AKPL,Naasa Securities Co. Ltd.,Kumari Securities Private Limited,50,267.1,13355.0,2025-07-21 11:04:00.259173
2025-07-21,136873,2025072104000886,AKPL,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,337,267.1,90012.7,2025-07-21 11:04:00.411623
2025-07-21,136816,2025072104000897,AKPL,Imperial Securities Company Pvt. Ltd.,NIMB Stock Markets Limited,300,267.0,80100.0,2025-07-21 11:04:06.579174
2025-07-21,136775,2025072104000908,AKPL,Imperial Securities Company Pvt. Ltd.,Vision Securities Pvt. Ltd,104,267.0,27768.0,2025-07-21 11:04:11.323196
2025-07-21,136774,2025072104000909,AKPL,Premier Securities Company Ltd.,Vision Securities Pvt. Ltd,96,267.0,25632.0,2025-07-21 11:04:11.323332
2025-07-21,136722,2025072104000924,AKPL,Premier Securities Company Ltd.,NIMB Stock Markets Limited,104,267.0,27768.0,2025-07-21 11:04:16.684535
2025-07-21,136078,2025072104001178,AKPL,Imperial Securities Company Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,210,267.0,56070.0,2025-07-21 11:05:23.816679
2025-07-21,135989,2025072104001201,AKPL,Imperial Securities Company Pvt. Ltd.,Trishakti Securities Public Limited,90,267.0,24030.0,2025-07-21 11:05:32.737083
2025-07-21,135397,2025072104001422,AKPL,Kohinoor Investment & Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,95,265.0,25175.0,2025-07-21 11:06:29.190351
2025-07-21,135022,2025072104001544,AKPL,Naasa Securities Co. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,36,265.1,9543.6,2025-07-21 11:07:01.009183
2025-07-21,135021,2025072104001545,AKPL,Kohinoor Investment & Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,132,265.0,34980.0,2025-07-21 11:07:01.009323
