Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-07-21,137122,2025072103000343,CFCL,Naasa Securities Co. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,20,562.0,11240.0,2025-07-21 11:03:34.442815
2025-07-21,137121,2025072103000344,CFCL,Naasa Securities Co. Ltd.,Sharepro Securities Private Limited,70,562.0,39340.0,2025-07-21 11:03:34.442862
2025-07-21,134689,2025072103000898,CFCL,Dakshinkali Investment & Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,50,550.8,27540.0,2025-07-21 11:07:25.091076
2025-07-21,133797,2025072103001136,CFCL,Sani Securities Company Ltd.,Arun Securities (PVT) Ltd.,100,542.2,54220.0,2025-07-21 11:08:43.219944
2025-07-21,130375,2025072103002032,CFCL,Secured Securities Ltd.,Opal Securities Investment (PVT) Ltd.,20,543.0,10860.0,2025-07-21 11:13:05.670648
2025-07-21,126858,2025072103002884,CFCL,Imperial Securities Company Pvt. Ltd.,Vision Securities Pvt. Ltd,40,546.2,21848.0,2025-07-21 11:17:23.418013
2025-07-21,126751,2025072103002900,CFCL,Online Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,100,553.0,55300.0,2025-07-21 11:17:35.502881
2025-07-21,126750,2025072103002901,CFCL,Online Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,553.0,5530.0,2025-07-21 11:17:35.502972
2025-07-21,126749,2025072103002902,CFCL,Online Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,100,553.0,55300.0,2025-07-21 11:17:35.503021
2025-07-21,126748,2025072103002903,CFCL,Online Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,100,553.6,55360.0,2025-07-21 11:17:35.503076
2025-07-21,126747,2025072103002904,CFCL,Online Securities Pvt. Ltd.,Kumari Securities Private Limited,30,554.0,16620.0,2025-07-21 11:17:35.503115
2025-07-21,125691,2025072103003136,CFCL,Naasa Securities Co. Ltd.,Kumari Securities Private Limited,38,554.0,21052.0,2025-07-21 11:19:00.064983
2025-07-21,124777,2025072103003379,CFCL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,25,554.9,13872.5,2025-07-21 11:20:13.367964
2025-07-21,124776,2025072103003380,CFCL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,10,555.0,5550.0,2025-07-21 11:20:13.368085
2025-07-21,124291,2025072103003521,CFCL,Sri Hari Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,60,558.9,33534.0,2025-07-21 11:20:52.797730
2025-07-21,124290,2025072103003522,CFCL,Sri Hari Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,440,559.9,246356.0,2025-07-21 11:20:52.797851
2025-07-21,124184,2025072103003549,CFCL,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,10,555.0,5550.0,2025-07-21 11:20:59.602550
2025-07-21,123633,2025072103003674,CFCL,Ashutosh Brokerage & Securities (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,60,554.0,33240.0,2025-07-21 11:21:39.060260
2025-07-21,122562,2025072103003989,CFCL,Ashutosh Brokerage & Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,500,554.0,277000.0,2025-07-21 11:23:03.562766
2025-07-21,121840,2025072103004148,CFCL,Ashutosh Brokerage & Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,200,554.0,110800.0,2025-07-21 11:24:09.345234
2025-07-21,121668,2025072103004185,CFCL,Ashutosh Brokerage & Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,200,554.0,110800.0,2025-07-21 11:24:23.436899
2025-07-21,121066,2025072103004328,CFCL,Ashutosh Brokerage & Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,40,554.0,22160.0,2025-07-21 11:25:24.553539
2025-07-21,112189,2025072103007287,CFCL,Vision Securities Pvt. Ltd,Sewa Securities Pvt. Ltd.,100,558.0,55800.0,2025-07-21 11:41:52.510277
2025-07-21,112188,2025072103007288,CFCL,Vision Securities Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,150,558.0,83700.0,2025-07-21 11:41:52.510388
2025-07-21,112187,2025072103007289,CFCL,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,30,559.0,16770.0,2025-07-21 11:41:52.510457
2025-07-21,111799,2025072103007441,CFCL,Vision Securities Pvt. Ltd,Premier Securities Company Ltd.,20,560.0,11200.0,2025-07-21 11:42:35.005990
2025-07-21,108984,2025072103008469,CFCL,Investment Management Nepal Pvt. Ltd.,Premier Securities Company Ltd.,160,560.0,89600.0,2025-07-21 11:46:59.035333
2025-07-21,108983,2025072103008470,CFCL,Investment Management Nepal Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,30,560.0,16800.0,2025-07-21 11:46:59.035440
2025-07-21,108982,2025072103008471,CFCL,Investment Management Nepal Pvt. Ltd.,Sani Securities Company Ltd.,100,560.0,56000.0,2025-07-21 11:46:59.035497
2025-07-21,108687,2025072103008540,CFCL,Investment Management Nepal Pvt. Ltd.,Vision Securities Pvt. Ltd,210,560.0,117600.0,2025-07-21 11:47:25.774241
2025-07-21,108501,2025072103008583,CFCL,Agrawal Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,150,560.0,84000.0,2025-07-21 11:47:43.075105
2025-07-21,105424,2025072103009386,CFCL,MILKY WAY SHARE BROKER COMPANY LTD ,Miyo Securities Pvt Ltd,1000,560.0,560000.0,2025-07-21 11:51:58.526514
2025-07-21,105042,2025072103009555,CFCL,Cristal Kanchanjanga Securites Pvt. Ltd.,Sani Securities Company Ltd.,200,559.0,111800.0,2025-07-21 11:52:29.107135
2025-07-21,104158,2025072103009814,CFCL,Cristal Kanchanjanga Securites Pvt. Ltd.,Asian Securities Private Ltd.,23,558.0,12834.0,2025-07-21 11:54:02.852307
2025-07-21,104056,2025072103009833,CFCL,Cristal Kanchanjanga Securites Pvt. Ltd.,Sani Securities Company Ltd.,177,558.0,98766.0,2025-07-21 11:54:16.705509
2025-07-21,104055,2025072103009834,CFCL,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,150,558.0,83700.0,2025-07-21 11:54:16.705709
2025-07-21,104054,2025072103009835,CFCL,Kohinoor Investment & Securities Pvt. Ltd.,Sani Securities Company Ltd.,173,558.0,96534.0,2025-07-21 11:54:16.705843
2025-07-21,103736,2025072103009910,CFCL,Dakshinkali Investment & Securities Pvt. Ltd.,SUN SECURITIES PVT LTD,2,550.0,1100.0,2025-07-21 11:54:50.090391
2025-07-21,102760,2025072103010188,CFCL,Kohinoor Investment & Securities Pvt. Ltd.,Sani Securities Company Ltd.,20,558.0,11160.0,2025-07-21 11:56:37.928957
2025-07-21,101259,2025072103010629,CFCL,Cristal Kanchanjanga Securites Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,200,556.1,111220.0,2025-07-21 11:59:00.163741
2025-07-21,100014,2025072103010925,CFCL,Ashutosh Brokerage & Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,220,556.0,122320.0,2025-07-21 12:00:48.783968
2025-07-21,99621,2025072103011052,CFCL,Ashutosh Brokerage & Securities (PVT) Ltd.,Sani Securities Company Ltd.,120,556.0,66720.0,2025-07-21 12:01:23.894605
2025-07-21,99357,2025072103011121,CFCL,Ashutosh Brokerage & Securities (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,10,556.0,5560.0,2025-07-21 12:01:43.489545
2025-07-21,99065,2025072103011207,CFCL,Ashutosh Brokerage & Securities (PVT) Ltd.,Sani Securities Company Ltd.,60,556.0,33360.0,2025-07-21 12:02:11.766867
2025-07-21,99029,2025072103011214,CFCL,Ashutosh Brokerage & Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,90,556.0,50040.0,2025-07-21 12:02:13.080361
2025-07-21,98464,2025072103011375,CFCL,Asian Securities Private Ltd.,South Asian Bulls Pvt. Ltd.,200,554.2,110840.0,2025-07-21 12:03:02.064998
2025-07-21,97937,2025072103011526,CFCL,Aryatara Investment & Securities,KALASH STOCK MARKET PVT. LTD.,50,550.1,27505.0,2025-07-21 12:03:58.368216
2025-07-21,97936,2025072103011527,CFCL,Naasa Securities Co. Ltd.,KALASH STOCK MARKET PVT. LTD.,10,550.0,5500.0,2025-07-21 12:03:58.368451
2025-07-21,97935,2025072103011528,CFCL,Pragyan Securities (PVT) Ltd.,KALASH STOCK MARKET PVT. LTD.,40,550.0,22000.0,2025-07-21 12:03:58.368586
2025-07-21,97516,2025072103011640,CFCL,Pragyan Securities (PVT) Ltd.,Neev Securities Pvt. Ltd.,30,550.0,16500.0,2025-07-21 12:04:40.528178
2025-07-21,97427,2025072103011660,CFCL,Pragyan Securities (PVT) Ltd.,South Asian Bulls Pvt. Ltd.,180,550.0,99000.0,2025-07-21 12:04:48.725981
2025-07-21,91982,2025072103013217,CFCL,J.F. Securites (PVT) Ltd.,Sharepro Securities Private Limited,100,550.3,55030.0,2025-07-21 12:16:27.139480
2025-07-21,90223,2025072103013739,CFCL,J.F. Securites (PVT) Ltd.,Himalayan Brokerage Company Limited,100,550.2,55020.0,2025-07-21 12:20:36.424125
2025-07-21,90222,2025072103013740,CFCL,Aryatara Investment & Securities,Himalayan Brokerage Company Limited,50,550.1,27505.0,2025-07-21 12:20:36.424245
2025-07-21,90221,2025072103013741,CFCL,Nagarik Stock Dealer ,Himalayan Brokerage Company Limited,350,550.1,192535.0,2025-07-21 12:20:36.424313
2025-07-21,84937,2025072103015108,CFCL,Vision Securities Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,60,554.9,33294.0,2025-07-21 12:33:01.454463
2025-07-21,84936,2025072103015109,CFCL,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,100,558.9,55890.0,2025-07-21 12:33:01.454539
2025-07-21,84935,2025072103015110,CFCL,Vision Securities Pvt. Ltd,Sundhara Securities Limited,194,559.0,108446.0,2025-07-21 12:33:01.454602
2025-07-21,84934,2025072103015111,CFCL,Vision Securities Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,50,559.0,27950.0,2025-07-21 12:33:01.454632
2025-07-21,84933,2025072103015112,CFCL,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,300,559.6,167880.0,2025-07-21 12:33:01.454663
2025-07-21,84932,2025072103015113,CFCL,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,500,559.7,279850.0,2025-07-21 12:33:01.454692
2025-07-21,84931,2025072103015114,CFCL,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,350,559.9,195965.0,2025-07-21 12:33:01.454718
2025-07-21,84930,2025072103015115,CFCL,Vision Securities Pvt. Ltd,Miyo Securities Pvt Ltd,2181,560.0,1221360.0,2025-07-21 12:33:01.454745
2025-07-21,83372,2025072103015456,CFCL,Kohinoor Investment & Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,500,558.0,279000.0,2025-07-21 12:36:04.142266
2025-07-21,78132,2025072103016939,CFCL,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,50,553.0,27650.0,2025-07-21 12:44:52.957640
2025-07-21,73823,2025072103018027,CFCL,Vision Securities Pvt. Ltd,Aakashbhairab Securities Ltd.,10,554.0,5540.0,2025-07-21 12:51:35.247301
2025-07-21,73822,2025072103018028,CFCL,Oxford Securities Pvt. Ltd.,Aakashbhairab Securities Ltd.,10,552.0,5520.0,2025-07-21 12:51:35.247368
