Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-21,138527,2025072103000078,GMFIL,Midas Stock Broking Company Private Limited,Opal Securities Investment (PVT) Ltd.,180,520.0,93600.0,2025-07-21 11:00:47.693106
2025-07-21,138019,2025072103000168,GMFIL,Oxford Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,20,520.0,10400.0,2025-07-21 11:01:49.276804
2025-07-21,135132,2025072103000806,GMFIL,Aryatara Investment & Securities,Dynamic Money Managers Securities Pvt. Ltd.,30,515.0,15450.0,2025-07-21 11:06:52.253104
2025-07-21,130948,2025072103001844,GMFIL,Indira securities pvt. ltd,Online Securities Pvt. Ltd.,20,511.0,10220.0,2025-07-21 11:12:27.441353
2025-07-21,130893,2025072103001859,GMFIL,Indira securities pvt. ltd,Imperial Securities Company Pvt. Ltd.,80,511.0,40880.0,2025-07-21 11:12:30.650397
2025-07-21,130892,2025072103001860,GMFIL,Shree Krishna Securities Ltd.,Imperial Securities Company Pvt. Ltd.,20,510.0,10200.0,2025-07-21 11:12:30.650545
2025-07-21,129711,2025072103002202,GMFIL,Shree Krishna Securities Ltd.,Linch Stock Market Ltd.,50,510.0,25500.0,2025-07-21 11:13:46.508432
2025-07-21,129005,2025072103002383,GMFIL,Vision Securities Pvt. Ltd,Dynamic Money Managers Securities Pvt. Ltd.,470,515.0,242050.0,2025-07-21 11:14:30.008000
2025-07-21,129004,2025072103002384,GMFIL,Vision Securities Pvt. Ltd,Secured Securities Ltd.,326,515.0,167890.0,2025-07-21 11:14:30.008092
2025-07-21,129003,2025072103002385,GMFIL,Vision Securities Pvt. Ltd,Secured Securities Ltd.,666,515.0,342990.0,2025-07-21 11:14:30.008114
2025-07-21,129002,2025072103002386,GMFIL,Vision Securities Pvt. Ltd,South Asian Bulls Pvt. Ltd.,85,515.0,43775.0,2025-07-21 11:14:30.008164
2025-07-21,129001,2025072103002387,GMFIL,Vision Securities Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,953,516.9,492605.7,2025-07-21 11:14:30.008188
2025-07-21,127344,2025072103002762,GMFIL,Midas Stock Broking Company Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,47,516.9,24294.3,2025-07-21 11:16:45.921622
2025-07-21,123927,2025072103003602,GMFIL,Naasa Securities Co. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,25,511.5,12787.5,2025-07-21 11:21:16.207703
2025-07-21,123926,2025072103003603,GMFIL,Trisul Securities & Invt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,100,511.2,51120.0,2025-07-21 11:21:16.207799
2025-07-21,123683,2025072103003664,GMFIL,Sweta Securities Private Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,375,511.1,191662.5,2025-07-21 11:21:36.397934
2025-07-21,120856,2025072103004391,GMFIL,Vision Securities Pvt. Ltd,Premier Securities Company Ltd.,80,514.9,41192.0,2025-07-21 11:25:47.358257
2025-07-21,120855,2025072103004392,GMFIL,Vision Securities Pvt. Ltd,South Asian Bulls Pvt. Ltd.,2000,515.0,1030000.0,2025-07-21 11:25:47.358358
2025-07-21,120854,2025072103004393,GMFIL,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,420,515.0,216300.0,2025-07-21 11:25:47.358425
2025-07-21,115295,2025072103006088,GMFIL,Nepal Stock House (PVT) Ltd.,Aryatara Investment & Securities,100,514.0,51400.0,2025-07-21 11:36:23.740169
2025-07-21,115294,2025072103006089,GMFIL,Nepal Stock House (PVT) Ltd.,Premier Securities Company Ltd.,100,514.9,51490.0,2025-07-21 11:36:23.740344
2025-07-21,115293,2025072103006090,GMFIL,Nepal Stock House (PVT) Ltd.,Aryatara Investment & Securities,80,515.0,41200.0,2025-07-21 11:36:23.740454
2025-07-21,115292,2025072103006091,GMFIL,Nepal Stock House (PVT) Ltd.,Secured Securities Ltd.,508,515.0,261620.0,2025-07-21 11:36:23.740556
2025-07-21,115291,2025072103006092,GMFIL,Nepal Stock House (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,100,515.0,51500.0,2025-07-21 11:36:23.740652
2025-07-21,114235,2025072103006511,GMFIL,Nepal Stock House (PVT) Ltd.,Secured Securities Ltd.,612,515.0,315180.0,2025-07-21 11:38:00.166958
2025-07-21,114234,2025072103006512,GMFIL,Sundhara Securities Limited,Secured Securities Ltd.,10,512.0,5120.0,2025-07-21 11:38:00.167140
2025-07-21,114233,2025072103006513,GMFIL,Vision Securities Pvt. Ltd,Secured Securities Ltd.,100,511.9,51190.0,2025-07-21 11:38:00.167179
2025-07-21,114232,2025072103006514,GMFIL,Dakshinkali Investment & Securities Pvt. Ltd.,Secured Securities Ltd.,200,511.6,102320.0,2025-07-21 11:38:00.167215
2025-07-21,114231,2025072103006515,GMFIL,Naasa Securities Co. Ltd.,Secured Securities Ltd.,31,511.5,15856.5,2025-07-21 11:38:00.167270
2025-07-21,110045,2025072103008105,GMFIL,Linch Stock Market Ltd.,Trishakti Securities Public Limited,100,512.5,51250.0,2025-07-21 11:45:13.508810
2025-07-21,107171,2025072103008943,GMFIL,Deevyaa Securities & Stock House Pvt. Ltd,Vision Securities Pvt. Ltd,48,514.0,24672.0,2025-07-21 11:49:28.349125
2025-07-21,106430,2025072103009150,GMFIL,Vision Securities Pvt. Ltd,Premier Securities Company Ltd.,100,516.9,51690.0,2025-07-21 11:50:34.710585
2025-07-21,105611,2025072103009321,GMFIL,Opal Securities Investment (PVT) Ltd.,Secured Securities Ltd.,100,514.0,51400.0,2025-07-21 11:51:39.926127
2025-07-21,105116,2025072103009533,GMFIL,Deevyaa Securities & Stock House Pvt. Ltd,Secured Securities Ltd.,100,514.0,51400.0,2025-07-21 11:52:22.712414
2025-07-21,102874,2025072103010144,GMFIL,Siprabi Securities Pvt. Ltd.,Trishakti Securities Public Limited,50,515.0,25750.0,2025-07-21 11:56:22.974085
2025-07-21,102861,2025072103010149,GMFIL,Vision Securities Pvt. Ltd,Linch Stock Market Ltd.,20,516.0,10320.0,2025-07-21 11:56:26.775230
2025-07-21,102211,2025072103010347,GMFIL,Asian Securities Private Ltd.,Linch Stock Market Ltd.,74,516.0,38184.0,2025-07-21 11:57:34.159588
2025-07-21,102210,2025072103010348,GMFIL,Asian Securities Private Ltd.,Trishakti Securities Public Limited,200,517.0,103400.0,2025-07-21 11:57:34.159696
2025-07-21,101708,2025072103010477,GMFIL,Asian Securities Private Ltd.,Vision Securities Pvt. Ltd,50,518.0,25900.0,2025-07-21 11:58:16.402683
2025-07-21,101707,2025072103010478,GMFIL,Asian Securities Private Ltd.,Trisul Securities & Invt. Ltd.,50,518.5,25925.0,2025-07-21 11:58:16.402768
2025-07-21,101706,2025072103010479,GMFIL,Asian Securities Private Ltd.,Premier Securities Company Ltd.,25,518.9,12972.5,2025-07-21 11:58:16.402816
2025-07-21,101705,2025072103010480,GMFIL,Asian Securities Private Ltd.,Kumari Securities Private Limited,100,519.0,51900.0,2025-07-21 11:58:16.402872
2025-07-21,101704,2025072103010481,GMFIL,Asian Securities Private Ltd.,Trishakti Securities Public Limited,500,520.0,260000.0,2025-07-21 11:58:16.402914
2025-07-21,101703,2025072103010482,GMFIL,Asian Securities Private Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,200,520.0,104000.0,2025-07-21 11:58:16.402948
2025-07-21,101702,2025072103010483,GMFIL,Asian Securities Private Ltd.,Trisul Securities & Invt. Ltd.,50,520.0,26000.0,2025-07-21 11:58:16.402981
2025-07-21,101701,2025072103010484,GMFIL,Asian Securities Private Ltd.,Shree Krishna Securities Ltd.,231,520.0,120120.0,2025-07-21 11:58:16.403012
2025-07-21,101700,2025072103010485,GMFIL,Asian Securities Private Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,394,520.0,204880.0,2025-07-21 11:58:16.403053
2025-07-21,99305,2025072103011137,GMFIL,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,20,516.1,10322.0,2025-07-21 12:01:48.578940
2025-07-21,98784,2025072103011282,GMFIL,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,45,516.1,23224.5,2025-07-21 12:02:33.771003
2025-07-21,98450,2025072103011379,GMFIL,Asian Securities Private Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,106,516.0,54696.0,2025-07-21 12:03:04.320318
2025-07-21,98211,2025072103011445,GMFIL,Asian Securities Private Ltd.,Trishakti Securities Public Limited,50,516.0,25800.0,2025-07-21 12:03:29.365630
2025-07-21,95699,2025072103012054,GMFIL,Asian Securities Private Ltd.,Opal Securities Investment (PVT) Ltd.,344,516.0,177504.0,2025-07-21 12:08:14.709330
2025-07-21,95698,2025072103012055,GMFIL,Asian Securities Private Ltd.,Opal Securities Investment (PVT) Ltd.,256,516.0,132096.0,2025-07-21 12:08:14.709414
2025-07-21,95631,2025072103012077,GMFIL,Asian Securities Private Ltd.,Neev Securities Pvt. Ltd.,244,516.0,125904.0,2025-07-21 12:08:24.300744
2025-07-21,94965,2025072103012254,GMFIL,Sani Securities Company Ltd.,Sumeru Securities Pvt. Ltd.,80,515.5,41240.0,2025-07-21 12:10:02.952961
2025-07-21,94964,2025072103012255,GMFIL,Asian Securities Private Ltd.,Sumeru Securities Pvt. Ltd.,420,515.5,216510.0,2025-07-21 12:10:02.953222
2025-07-21,91784,2025072103013266,GMFIL,Asian Securities Private Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,500,516.0,258000.0,2025-07-21 12:16:52.429497
2025-07-21,90717,2025072103013566,GMFIL,Asian Securities Private Ltd.,Aryatara Investment & Securities,100,517.0,51700.0,2025-07-21 12:19:14.157913
2025-07-21,90716,2025072103013567,GMFIL,Asian Securities Private Ltd.,Neev Securities Pvt. Ltd.,756,517.5,391230.0,2025-07-21 12:19:14.158179
2025-07-21,90574,2025072103013626,GMFIL,Asian Securities Private Ltd.,Sweta Securities Private Limited,500,519.0,259500.0,2025-07-21 12:19:38.341456
2025-07-21,90573,2025072103013627,GMFIL,Asian Securities Private Ltd.,Kumari Securities Private Limited,100,519.5,51950.0,2025-07-21 12:19:38.341593
2025-07-21,90572,2025072103013628,GMFIL,Asian Securities Private Ltd.,Aryatara Investment & Securities,100,520.0,52000.0,2025-07-21 12:19:38.341636
2025-07-21,90571,2025072103013629,GMFIL,Asian Securities Private Ltd.,Imperial Securities Company Pvt. Ltd.,250,520.0,130000.0,2025-07-21 12:19:38.341683
2025-07-21,90570,2025072103013630,GMFIL,Asian Securities Private Ltd.,Sweta Securities Private Limited,300,520.0,156000.0,2025-07-21 12:19:38.341728
2025-07-21,90432,2025072103013685,GMFIL,Asian Securities Private Ltd.,Sweta Securities Private Limited,200,520.0,104000.0,2025-07-21 12:19:53.459607
2025-07-21,90431,2025072103013686,GMFIL,Asian Securities Private Ltd.,Opal Securities Investment (PVT) Ltd.,300,520.0,156000.0,2025-07-21 12:19:53.459720
2025-07-21,85202,2025072103015054,GMFIL,Asian Securities Private Ltd.,Miyo Securities Pvt Ltd,15,515.7,7735.5,2025-07-21 12:32:25.905471
2025-07-21,83447,2025072103015446,GMFIL,Asian Securities Private Ltd.,Sewa Securities Pvt. Ltd.,150,515.7,77355.0,2025-07-21 12:35:55.866300
2025-07-21,81950,2025072103015852,GMFIL,Asian Securities Private Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,135,515.7,69619.5,2025-07-21 12:38:39.813507
2025-07-21,81949,2025072103015853,GMFIL,Asian Securities Private Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,80,515.5,41240.0,2025-07-21 12:38:39.813618
2025-07-21,81948,2025072103015854,GMFIL,Siprabi Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,50,515.5,25775.0,2025-07-21 12:38:39.813662
2025-07-21,81126,2025072103016085,GMFIL,Asian Securities Private Ltd.,Secured Securities Ltd.,95,515.4,48963.0,2025-07-21 12:40:04.686636
2025-07-21,81102,2025072103016087,GMFIL,Asian Securities Private Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,235,515.4,121119.0,2025-07-21 12:40:07.318691
2025-07-21,79881,2025072103016394,GMFIL,Asian Securities Private Ltd.,Secured Securities Ltd.,100,515.4,51540.0,2025-07-21 12:41:56.666919
2025-07-21,77755,2025072103017012,GMFIL,Online Securities Pvt. Ltd.,Sweta Securities Private Limited,70,516.5,36155.0,2025-07-21 12:45:26.835630
2025-07-21,77247,2025072103017133,GMFIL,Online Securities Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,40,516.5,20660.0,2025-07-21 12:46:05.667185
2025-07-21,77246,2025072103017134,GMFIL,Asian Securities Private Ltd.,Investment Management Nepal Pvt. Ltd.,70,515.4,36078.0,2025-07-21 12:46:05.667303
2025-07-21,77245,2025072103017135,GMFIL,Asian Securities Private Ltd.,Investment Management Nepal Pvt. Ltd.,300,515.3,154590.0,2025-07-21 12:46:05.667368
2025-07-21,76594,2025072103017318,GMFIL,Asian Securities Private Ltd.,Trishakti Securities Public Limited,10,515.2,5152.0,2025-07-21 12:47:04.890194
2025-07-21,76339,2025072103017377,GMFIL,Asian Securities Private Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,50,515.2,25760.0,2025-07-21 12:47:41.644797
2025-07-21,75100,2025072103017694,GMFIL,Asian Securities Private Ltd.,Nepal Stock House (PVT) Ltd.,200,515.2,103040.0,2025-07-21 12:49:42.747817
2025-07-21,74466,2025072103017839,GMFIL,Asian Securities Private Ltd.,Investment Management Nepal Pvt. Ltd.,240,515.2,123648.0,2025-07-21 12:50:37.973009
2025-07-21,74465,2025072103017840,GMFIL,Asian Securities Private Ltd.,Investment Management Nepal Pvt. Ltd.,390,515.1,200889.0,2025-07-21 12:50:37.973135
2025-07-21,73670,2025072103018064,GMFIL,Asian Securities Private Ltd.,J.F. Securites (PVT) Ltd.,50,515.1,25755.0,2025-07-21 12:51:50.404529
2025-07-21,73227,2025072103018217,GMFIL,Asian Securities Private Ltd.,Aryatara Investment & Securities,60,515.1,30906.0,2025-07-21 12:52:45.471837
2025-07-21,73226,2025072103018218,GMFIL,Siprabi Securities Pvt. Ltd.,Aryatara Investment & Securities,165,515.0,84975.0,2025-07-21 12:52:45.472081
2025-07-21,73153,2025072103018233,GMFIL,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,67,515.0,34505.0,2025-07-21 12:52:53.586283
2025-07-21,71682,2025072103018662,GMFIL,Siprabi Securities Pvt. Ltd.,Linch Stock Market Ltd.,300,515.0,154500.0,2025-07-21 12:56:01.809446
2025-07-21,71406,2025072103018739,GMFIL,Siprabi Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,368,515.0,189520.0,2025-07-21 12:56:41.335968
2025-07-21,71405,2025072103018740,GMFIL,Kumari Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,100,515.0,51500.0,2025-07-21 12:56:41.336098
2025-07-21,71404,2025072103018741,GMFIL,ABC Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,515.0,5150.0,2025-07-21 12:56:41.336259
2025-07-21,70498,2025072103018921,GMFIL,Sri Hari Securities Pvt. Ltd.,Trishakti Securities Public Limited,10,514.0,5140.0,2025-07-21 12:59:01.714488
2025-07-21,67896,2025072103019810,GMFIL,Trishakti Securities Public Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,12,515.0,6180.0,2025-07-21 13:06:16.644739
2025-07-21,67895,2025072103019811,GMFIL,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,170,516.0,87720.0,2025-07-21 13:06:16.644994
2025-07-21,67894,2025072103019812,GMFIL,Trishakti Securities Public Limited,Vision Securities Pvt. Ltd,900,518.7,466830.0,2025-07-21 13:06:16.645162
2025-07-21,65589,2025072103020515,GMFIL,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,50,514.0,25700.0,2025-07-21 13:12:08.471581
2025-07-21,64419,2025072103020819,GMFIL,Trishakti Securities Public Limited,Imperial Securities Company Pvt. Ltd.,10,513.2,5132.0,2025-07-21 13:15:16.439096
2025-07-21,64337,2025072103020839,GMFIL,Trishakti Securities Public Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,513.2,5132.0,2025-07-21 13:15:34.861641
2025-07-21,63466,2025072103021058,GMFIL,Trishakti Securities Public Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,80,513.2,41056.0,2025-07-21 13:18:03.357930
2025-07-21,63255,2025072103021120,GMFIL,Nepal Investment And Securities Trading Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,100,513.0,51300.0,2025-07-21 13:18:41.790753
2025-07-21,63254,2025072103021121,GMFIL,Trisul Securities & Invt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,200,513.0,102600.0,2025-07-21 13:18:41.791019
2025-07-21,62234,2025072103021421,GMFIL,Nepal Investment And Securities Trading Private Limited,Naasa Securities Co. Ltd.,62,512.3,31762.6,2025-07-21 13:21:29.114531
2025-07-21,59215,2025072103022091,GMFIL,Nepal Investment And Securities Trading Private Limited,Trishakti Securities Public Limited,30,512.3,15369.0,2025-07-21 13:29:01.968954
2025-07-21,57560,2025072103022472,GMFIL,Nepal Investment And Securities Trading Private Limited,Trishakti Securities Public Limited,10,512.3,5123.0,2025-07-21 13:33:04.989809
2025-07-21,55983,2025072103022966,GMFIL,Dakshinkali Investment & Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,620,513.0,318060.0,2025-07-21 13:37:02.096515
2025-07-21,55982,2025072103022967,GMFIL,Dakshinkali Investment & Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,180,513.0,92340.0,2025-07-21 13:37:02.096677
2025-07-21,54308,2025072103023365,GMFIL,Trishakti Securities Public Limited,Sumeru Securities Pvt. Ltd.,15,513.0,7695.0,2025-07-21 13:41:04.922175
2025-07-21,54101,2025072103023401,GMFIL,Thrive Brokerage House Pvt. Ltd,Investment Management Nepal Pvt. Ltd.,15,516.0,7740.0,2025-07-21 13:41:33.214692
2025-07-21,52062,2025072103024033,GMFIL,Sri Hari Securities Pvt. Ltd.,ABC Securities Private Limited,5,514.0,2570.0,2025-07-21 13:45:38.574721
2025-07-21,49300,2025072103025146,GMFIL,Nepal Stock House (PVT) Ltd.,Investment Management Nepal Pvt. Ltd.,50,516.0,25800.0,2025-07-21 13:50:48.992276
2025-07-21,47053,2025072103025998,GMFIL,Nepal Stock House (PVT) Ltd.,Trishakti Securities Public Limited,100,515.0,51500.0,2025-07-21 13:54:27.543032
2025-07-21,46940,2025072103026025,GMFIL,Nepal Stock House (PVT) Ltd.,Trishakti Securities Public Limited,75,515.0,38625.0,2025-07-21 13:54:41.700044
2025-07-21,46709,2025072103026114,GMFIL,Sharepro Securities Private Limited,Investment Management Nepal Pvt. Ltd.,25,516.0,12900.0,2025-07-21 13:55:08.848364
2025-07-21,46708,2025072103026115,GMFIL,Sharepro Securities Private Limited,Sani Securities Company Ltd.,50,516.0,25800.0,2025-07-21 13:55:08.848406
2025-07-21,46707,2025072103026116,GMFIL,Sharepro Securities Private Limited,Kalika Securities Pvt. Ltd.,150,516.0,77400.0,2025-07-21 13:55:08.848433
2025-07-21,46706,2025072103026117,GMFIL,Sharepro Securities Private Limited,SHUBHAKAMANA SECURITIES PVT. LTD,775,516.9,400597.5,2025-07-21 13:55:08.848465
2025-07-21,38730,2025072103028890,GMFIL,Sani Securities Company Ltd.,Agrawal Securities (PVT) Ltd.,50,514.0,25700.0,2025-07-21 14:08:49.189105
2025-07-21,38729,2025072103028891,GMFIL,Agrawal Securities (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,350,513.9,179865.0,2025-07-21 14:08:49.189239
2025-07-21,37007,2025072103029457,GMFIL,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,150,513.9,77085.0,2025-07-21 14:12:12.826124
2025-07-21,36890,2025072103029485,GMFIL,Vision Securities Pvt. Ltd,Thrive Brokerage House Pvt. Ltd,500,513.6,256800.0,2025-07-21 14:12:24.177013
2025-07-21,36855,2025072103029495,GMFIL,Vision Securities Pvt. Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,500,513.6,256800.0,2025-07-21 14:12:27.922731
2025-07-21,35619,2025072103029859,GMFIL,Vision Securities Pvt. Ltd,KALASH STOCK MARKET PVT. LTD.,10,513.6,5136.0,2025-07-21 14:14:35.775116
2025-07-21,35513,2025072103029877,GMFIL,Vision Securities Pvt. Ltd,Primo Securities (PVT) Ltd.,800,513.6,410880.0,2025-07-21 14:14:46.898792
2025-07-21,35051,2025072103030008,GMFIL,Vision Securities Pvt. Ltd,Trishakti Securities Public Limited,100,513.6,51360.0,2025-07-21 14:15:44.395244
2025-07-21,34457,2025072103030196,GMFIL,Vision Securities Pvt. Ltd,Trishakti Securities Public Limited,80,513.6,41088.0,2025-07-21 14:16:55.368886
2025-07-21,34351,2025072103030215,GMFIL,Vision Securities Pvt. Ltd,SHUBHAKAMANA SECURITIES PVT. LTD,1010,513.6,518736.0,2025-07-21 14:17:07.949127
2025-07-21,32386,2025072103030828,GMFIL,Trishakti Securities Public Limited,Kumari Securities Private Limited,100,512.2,51220.0,2025-07-21 14:20:45.717823
2025-07-21,32033,2025072103030899,GMFIL,Asian Securities Private Ltd.,Sipla Securities Private Limited,500,512.1,256050.0,2025-07-21 14:21:13.654894
2025-07-21,32032,2025072103030900,GMFIL,Swarna Laxmi Securities Pvt. Ltd.,Sipla Securities Private Limited,100,512.0,51200.0,2025-07-21 14:21:13.655017
2025-07-21,32031,2025072103030901,GMFIL,Agrawal Securities (PVT) Ltd.,Sipla Securities Private Limited,900,512.0,460800.0,2025-07-21 14:21:13.655072
2025-07-21,31329,2025072103031101,GMFIL,Agrawal Securities (PVT) Ltd.,Secured Securities Ltd.,100,512.0,51200.0,2025-07-21 14:22:27.651591
2025-07-21,31073,2025072103031167,GMFIL,Sweta Securities Private Limited,Imperial Securities Company Pvt. Ltd.,50,511.1,25555.0,2025-07-21 14:22:47.980473
2025-07-21,30296,2025072103031377,GMFIL,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,150,511.2,76680.0,2025-07-21 14:24:05.452768
2025-07-21,30295,2025072103031378,GMFIL,Sweta Securities Private Limited,Online Securities Pvt. Ltd.,50,511.1,25555.0,2025-07-21 14:24:05.452948
2025-07-21,27850,2025072103032143,GMFIL,Sweta Securities Private Limited,Trishakti Securities Public Limited,25,511.1,12777.5,2025-07-21 14:28:24.159663
2025-07-21,27849,2025072103032144,GMFIL,Trishakti Securities Public Limited,Trishakti Securities Public Limited,75,511.1,38332.5,2025-07-21 14:28:24.159890
