Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-21,135415,2025072101000699,MBL,Deevyaa Securities & Stock House Pvt. Ltd,J.F. Securites (PVT) Ltd.,250,255.0,63750.0,2025-07-21 11:06:27.988692
2025-07-21,135414,2025072101000700,MBL,Indira securities pvt. ltd,J.F. Securites (PVT) Ltd.,450,255.0,114750.0,2025-07-21 11:06:27.988730
2025-07-21,135382,2025072101000708,MBL,Indira securities pvt. ltd,Nepal Stock House (PVT) Ltd.,500,255.0,127500.0,2025-07-21 11:06:30.620288
2025-07-21,135330,2025072101000728,MBL,ABC Securities Private Limited,ABC Securities Private Limited,900,257.9,232110.0,2025-07-21 11:06:36.090154
2025-07-21,134983,2025072101000814,MBL,Indira securities pvt. ltd,Linch Stock Market Ltd.,50,255.0,12750.0,2025-07-21 11:07:04.581758
2025-07-21,134825,2025072101000847,MBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Creative Securities Pvt Ltd,212,254.5,53954.0,2025-07-21 11:07:16.581509
2025-07-21,134669,2025072101000894,MBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,South Asian Bulls Pvt. Ltd.,88,254.5,22396.0,2025-07-21 11:07:27.255835
2025-07-21,134668,2025072101000895,MBL,Nepal Stock House (PVT) Ltd.,South Asian Bulls Pvt. Ltd.,165,254.2,41943.0,2025-07-21 11:07:27.256001
2025-07-21,134292,2025072101000978,MBL,Nepal Stock House (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,835,254.2,212257.0,2025-07-21 11:07:59.993436
2025-07-21,134291,2025072101000979,MBL,Thrive Brokerage House Pvt. Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,300,254.0,76200.0,2025-07-21 11:07:59.993512
2025-07-21,134290,2025072101000980,MBL,Vision Securities Pvt. Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,2000,254.0,508000.0,2025-07-21 11:07:59.993553
2025-07-21,134063,2025072101001046,MBL,Primo Securities (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,1000,253.2,253200.0,2025-07-21 11:08:17.349914
2025-07-21,134047,2025072101001053,MBL,Machhapuchchhre Securities Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,390,254.0,99060.0,2025-07-21 11:08:19.998850
2025-07-21,133802,2025072101001119,MBL,Online Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,33,254.0,8382.0,2025-07-21 11:08:42.561427
2025-07-21,133793,2025072101001121,MBL,Imperial Securities Company Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,200,253.2,50640.0,2025-07-21 11:08:43.875343
2025-07-21,133773,2025072101001130,MBL,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,800,253.2,202560.0,2025-07-21 11:08:45.605492
2025-07-21,133772,2025072101001131,MBL,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,1200,253.1,303720.0,2025-07-21 11:08:45.605557
2025-07-21,133710,2025072101001139,MBL,Imperial Securities Company Pvt. Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,1000,253.2,253200.0,2025-07-21 11:08:53.108416
2025-07-21,133709,2025072101001140,MBL,Imperial Securities Company Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,1000,254.0,254000.0,2025-07-21 11:08:53.108523
2025-07-21,133291,2025072101001268,MBL,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,20,253.2,5064.0,2025-07-21 11:09:30.771136
2025-07-21,133290,2025072101001269,MBL,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,20,253.1,5062.0,2025-07-21 11:09:30.771211
2025-07-21,133157,2025072101001318,MBL,Sri Hari Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,254.0,2540.0,2025-07-21 11:09:39.656475
2025-07-21,132911,2025072101001402,MBL,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,10,253.1,2531.0,2025-07-21 11:10:01.401053
2025-07-21,132858,2025072101001419,MBL,Imperial Securities Company Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,505,253.1,127815.5,2025-07-21 11:10:06.890233
2025-07-21,132688,2025072101001477,MBL,Primo Securities (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,2000,254.0,508000.0,2025-07-21 11:10:23.490148
2025-07-21,132470,2025072101001540,MBL,Imperial Securities Company Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,18,253.1,4555.8,2025-07-21 11:10:43.005467
2025-07-21,132038,2025072101001692,MBL,Sumeru Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,1736,254.0,440944.0,2025-07-21 11:11:17.279046
