Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-07-22,176029,2025072201000145,ADBL,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,10,338.0,3380.0,2025-07-22 11:02:46.353971
2025-07-22,172573,2025072201000800,ADBL,Naasa Securities Co. Ltd.,Investment Management Nepal Pvt. Ltd.,10,334.0,3340.0,2025-07-22 11:08:59.309193
2025-07-22,171928,2025072201000911,ADBL,Kumari Securities Private Limited,Investment Management Nepal Pvt. Ltd.,14,334.0,4676.0,2025-07-22 11:09:55.991505
2025-07-22,169829,2025072201001394,ADBL,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,86,335.0,28810.0,2025-07-22 11:13:10.393081
2025-07-22,169828,2025072201001395,ADBL,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,50,335.0,16750.0,2025-07-22 11:13:10.393161
2025-07-22,169827,2025072201001396,ADBL,Linch Stock Market Ltd.,Primo Securities (PVT) Ltd.,18,335.0,6030.0,2025-07-22 11:13:10.393221
2025-07-22,168718,2025072201001639,ADBL,Naasa Securities Co. Ltd.,Opal Securities Investment (PVT) Ltd.,10,335.8,3358.0,2025-07-22 11:14:51.832285
2025-07-22,168666,2025072201001656,ADBL,Thrive Brokerage House Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,333,335.8,111821.4,2025-07-22 11:14:55.421149
2025-07-22,168626,2025072201001667,ADBL,Linch Stock Market Ltd.,Opal Securities Investment (PVT) Ltd.,657,335.8,220620.6,2025-07-22 11:15:01.591398
2025-07-22,168162,2025072201001773,ADBL,Sani Securities Company Ltd.,Oxford Securities Pvt. Ltd.,40,336.0,13440.0,2025-07-22 11:15:46.399232
2025-07-22,167570,2025072201001854,ADBL,Linch Stock Market Ltd.,Trishakti Securities Public Limited,13,335.2,4357.6,2025-07-22 11:16:41.085124
2025-07-22,166265,2025072201002141,ADBL,Naasa Securities Co. Ltd.,Elite Stock House Limited,20,335.5,6710.0,2025-07-22 11:18:57.867962
2025-07-22,165536,2025072201002328,ADBL,Naasa Securities Co. Ltd.,Midas Stock Broking Company Private Limited,114,335.5,38247.0,2025-07-22 11:20:11.991373
2025-07-22,164029,2025072201002704,ADBL,South Asian Bulls Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,400,335.9,134360.0,2025-07-22 11:22:21.610663
2025-07-22,164028,2025072201002705,ADBL,South Asian Bulls Pvt. Ltd.,Sundhara Securities Limited,40,336.0,13440.0,2025-07-22 11:22:21.610804
2025-07-22,164027,2025072201002706,ADBL,South Asian Bulls Pvt. Ltd.,Trisul Securities & Invt. Ltd.,55,336.0,18480.0,2025-07-22 11:22:21.610879
2025-07-22,164026,2025072201002707,ADBL,South Asian Bulls Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,300,336.0,100800.0,2025-07-22 11:22:21.610934
2025-07-22,164025,2025072201002708,ADBL,South Asian Bulls Pvt. Ltd.,Property Wiard Limited,52,336.0,17472.0,2025-07-22 11:22:21.610983
2025-07-22,163846,2025072201002761,ADBL,South Asian Bulls Pvt. Ltd.,Kumari Securities Private Limited,50,336.0,16800.0,2025-07-22 11:22:35.461953
2025-07-22,163522,2025072201002849,ADBL,South Asian Bulls Pvt. Ltd.,Sani Securities Company Ltd.,103,336.0,34608.0,2025-07-22 11:23:04.317461
2025-07-22,162649,2025072201003066,ADBL,Sweta Securities Private Limited,Sani Securities Company Ltd.,500,336.0,168000.0,2025-07-22 11:24:16.859888
2025-07-22,161727,2025072201003287,ADBL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,635,335.5,213042.5,2025-07-22 11:25:48.558221
2025-07-22,161678,2025072201003296,ADBL,Asian Securities Private Ltd.,Sani Securities Company Ltd.,397,336.0,133392.0,2025-07-22 11:25:52.351417
2025-07-22,161677,2025072201003297,ADBL,Asian Securities Private Ltd.,Kumari Securities Private Limited,50,336.0,16800.0,2025-07-22 11:25:52.351669
2025-07-22,161676,2025072201003298,ADBL,Asian Securities Private Ltd.,J.F. Securites (PVT) Ltd.,295,336.5,99267.5,2025-07-22 11:25:52.351856
2025-07-22,161675,2025072201003299,ADBL,Asian Securities Private Ltd.,Premier Securities Company Ltd.,428,336.9,144193.2,2025-07-22 11:25:52.352065
2025-07-22,161674,2025072201003300,ADBL,Asian Securities Private Ltd.,J.F. Securites (PVT) Ltd.,691,337.0,232867.0,2025-07-22 11:25:52.352220
2025-07-22,161673,2025072201003301,ADBL,Asian Securities Private Ltd.,Asian Securities Private Ltd.,222,337.0,74814.0,2025-07-22 11:25:52.352439
2025-07-22,161672,2025072201003302,ADBL,Asian Securities Private Ltd.,Nepal Investment And Securities Trading Private Limited,24,337.0,8088.0,2025-07-22 11:25:52.352597
2025-07-22,161671,2025072201003303,ADBL,Asian Securities Private Ltd.,Sri Hari Securities Pvt. Ltd.,303,337.0,102111.0,2025-07-22 11:25:52.352758
2025-07-22,161670,2025072201003304,ADBL,Asian Securities Private Ltd.,Naasa Securities Co. Ltd.,500,337.0,168500.0,2025-07-22 11:25:52.352951
2025-07-22,161669,2025072201003305,ADBL,Asian Securities Private Ltd.,Nepal Investment And Securities Trading Private Limited,100,337.0,33700.0,2025-07-22 11:25:52.353163
2025-07-22,161668,2025072201003306,ADBL,Asian Securities Private Ltd.,Imperial Securities Company Pvt. Ltd.,154,337.0,51898.0,2025-07-22 11:25:52.353383
2025-07-22,161667,2025072201003307,ADBL,Asian Securities Private Ltd.,Sumeru Securities Pvt. Ltd.,200,337.0,67400.0,2025-07-22 11:25:52.353560
2025-07-22,161666,2025072201003308,ADBL,Asian Securities Private Ltd.,Imperial Securities Company Pvt. Ltd.,700,337.0,235900.0,2025-07-22 11:25:52.353729
2025-07-22,159970,2025072201003711,ADBL,Sweta Securities Private Limited,Naasa Securities Co. Ltd.,200,337.0,67400.0,2025-07-22 11:28:42.406070
2025-07-22,159969,2025072201003712,ADBL,Sweta Securities Private Limited,Sani Securities Company Ltd.,1000,337.0,337000.0,2025-07-22 11:28:42.406304
2025-07-22,159968,2025072201003713,ADBL,Sweta Securities Private Limited,K.B.L. Securities Limited ,300,337.0,101100.0,2025-07-22 11:28:42.406462
2025-07-22,159377,2025072201003871,ADBL,Linch Stock Market Ltd.,ABC Securities Private Limited,50,336.0,16800.0,2025-07-22 11:29:44.372715
2025-07-22,158260,2025072201004131,ADBL,Linch Stock Market Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,126,336.0,42336.0,2025-07-22 11:31:21.413170
2025-07-22,158204,2025072201004142,ADBL,Secured Securities Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,130,336.0,43680.0,2025-07-22 11:31:28.439986
2025-07-22,157949,2025072201004196,ADBL,Online Securities Pvt. Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,179,336.0,60144.0,2025-07-22 11:31:51.830628
2025-07-22,156522,2025072201004562,ADBL,Vision Securities Pvt. Ltd,MILKY WAY SHARE BROKER COMPANY LTD ,390,336.0,131040.0,2025-07-22 11:33:52.835549
2025-07-22,156279,2025072201004616,ADBL,Midas Stock Broking Company Private Limited,MILKY WAY SHARE BROKER COMPANY LTD ,10,336.0,3360.0,2025-07-22 11:34:13.605498
2025-07-22,156009,2025072201004669,ADBL,Naasa Securities Co. Ltd.,Oxford Securities Pvt. Ltd.,55,335.5,18452.5,2025-07-22 11:34:36.798553
2025-07-22,154443,2025072201005055,ADBL,Midas Stock Broking Company Private Limited,MILKY WAY SHARE BROKER COMPANY LTD ,100,336.0,33600.0,2025-07-22 11:36:46.384886
2025-07-22,153780,2025072201005219,ADBL,Vision Securities Pvt. Ltd,K.B.L. Securities Limited ,20,336.0,6720.0,2025-07-22 11:37:38.953155
2025-07-22,153561,2025072201005267,ADBL,Naasa Securities Co. Ltd.,Secured Securities Ltd.,88,335.5,29524.0,2025-07-22 11:37:53.852470
2025-07-22,153560,2025072201005268,ADBL,Online Securities Pvt. Ltd.,Secured Securities Ltd.,185,335.0,61975.0,2025-07-22 11:37:53.852755
2025-07-22,153409,2025072201005298,ADBL,Online Securities Pvt. Ltd.,Secured Securities Ltd.,115,335.0,38525.0,2025-07-22 11:38:03.909155
2025-07-22,153408,2025072201005299,ADBL,Primo Securities (PVT) Ltd.,Secured Securities Ltd.,385,335.0,128975.0,2025-07-22 11:38:03.909449
2025-07-22,152663,2025072201005463,ADBL,Primo Securities (PVT) Ltd.,Secured Securities Ltd.,86,335.0,28810.0,2025-07-22 11:39:04.103766
2025-07-22,152364,2025072201005539,ADBL,Dakshinkali Investment & Securities Pvt. Ltd.,K.B.L. Securities Limited ,49,336.0,16464.0,2025-07-22 11:39:30.743599
2025-07-22,151268,2025072201005791,ADBL,Primo Securities (PVT) Ltd.,K.B.L. Securities Limited ,131,336.0,44016.0,2025-07-22 11:41:08.547897
2025-07-22,151267,2025072201005792,ADBL,Primo Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,10,336.0,3360.0,2025-07-22 11:41:08.548069
