Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-22,177099,2025072204000001,BPCL,SHUBHAKAMANA SECURITIES PVT. LTD,Sani Securities Company Ltd.,10,970.3,9703.0,2025-07-22 10:46:00.009578
2025-07-22,176902,2025072204000052,BPCL,Sharepro Securities Private Limited,SUN SECURITIES PVT LTD,500,965.0,482500.0,2025-07-22 11:00:34.364156
2025-07-22,176818,2025072204000065,BPCL,Naasa Securities Co. Ltd.,Asian Securities Private Ltd.,10,965.0,9650.0,2025-07-22 11:00:57.195407
2025-07-22,176816,2025072204000066,BPCL,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,90,965.0,86850.0,2025-07-22 11:00:58.758621
2025-07-22,176679,2025072204000096,BPCL,Opal Securities Investment (PVT) Ltd.,J.F. Securites (PVT) Ltd.,100,960.1,96010.0,2025-07-22 11:01:25.931990
2025-07-22,176642,2025072204000103,BPCL,Opal Securities Investment (PVT) Ltd.,Sundhara Securities Limited,415,960.1,398441.5,2025-07-22 11:01:30.930932
2025-07-22,176641,2025072204000104,BPCL,Cristal Kanchanjanga Securites Pvt. Ltd.,Sundhara Securities Limited,85,960.0,81600.0,2025-07-22 11:01:30.931088
2025-07-22,176616,2025072204000114,BPCL,Cristal Kanchanjanga Securites Pvt. Ltd.,Nabil Stock Dealer Ltd.,415,960.0,398400.0,2025-07-22 11:01:33.424116
2025-07-22,176592,2025072204000122,BPCL,Kumari Securities Private Limited,Nabil Stock Dealer Ltd.,585,960.0,561600.0,2025-07-22 11:01:40.566244
2025-07-22,176591,2025072204000123,BPCL,Kumari Securities Private Limited,Sundhara Securities Limited,300,960.0,288000.0,2025-07-22 11:01:40.566357
2025-07-22,176571,2025072204000126,BPCL,ABC Securities Private Limited,SUN SECURITIES PVT LTD,40,964.9,38596.0,2025-07-22 11:01:42.667542
2025-07-22,176549,2025072204000127,BPCL,Kumari Securities Private Limited,Nagarik Stock Dealer ,115,960.0,110400.0,2025-07-22 11:01:43.094931
2025-07-22,176414,2025072204000154,BPCL,Kohinoor Investment & Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,600,955.1,573060.0,2025-07-22 11:02:01.849705
2025-07-22,176413,2025072204000155,BPCL,Trademow Securities Private Limited,Imperial Securities Company Pvt. Ltd.,900,955.0,859500.0,2025-07-22 11:02:01.849790
2025-07-22,176306,2025072204000178,BPCL,Sri Hari Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,5000,955.5,4777500.0,2025-07-22 11:02:14.032102
2025-07-22,176261,2025072204000194,BPCL,Siprabi Securities Pvt. Ltd.,Nagarik Stock Dealer ,100,960.0,96000.0,2025-07-22 11:02:19.596718
2025-07-22,176037,2025072204000237,BPCL,Trishakti Securities Public Limited,Nagarik Stock Dealer ,34,959.0,32606.0,2025-07-22 11:02:45.243928
2025-07-22,176022,2025072204000240,BPCL,Trishakti Securities Public Limited,Trishakti Securities Public Limited,10,959.0,9590.0,2025-07-22 11:02:47.686105
2025-07-22,175957,2025072204000251,BPCL,Trishakti Securities Public Limited,Nagarik Stock Dealer ,456,959.0,437304.0,2025-07-22 11:02:55.268687
2025-07-22,175956,2025072204000252,BPCL,SUN SECURITIES PVT LTD,Nagarik Stock Dealer ,100,956.0,95600.0,2025-07-22 11:02:55.268874
