Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-23,170209,2025072304000036,HDHPC,Agrawal Securities (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,211.0,2110.0,2025-07-23 10:46:00.075862
2025-07-23,170208,2025072304000037,HDHPC,Thrive Brokerage House Pvt. Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,100,211.0,21100.0,2025-07-23 10:46:00.075902
2025-07-23,170207,2025072304000038,HDHPC,Thrive Brokerage House Pvt. Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,100,211.0,21100.0,2025-07-23 10:46:00.075922
2025-07-23,170206,2025072304000039,HDHPC,Thrive Brokerage House Pvt. Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,90,211.0,18990.0,2025-07-23 10:46:00.075943
2025-07-23,170205,2025072304000040,HDHPC,Thrive Brokerage House Pvt. Ltd,Aryatara Investment & Securities,10,211.0,2110.0,2025-07-23 10:46:00.075964
2025-07-23,170204,2025072304000041,HDHPC,Thrive Brokerage House Pvt. Ltd,Aryatara Investment & Securities,45,211.0,9495.0,2025-07-23 10:46:00.076011
2025-07-23,170203,2025072304000042,HDHPC,Thrive Brokerage House Pvt. Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,55,211.0,11605.0,2025-07-23 10:46:00.076046
2025-07-23,169924,2025072304000132,HDHPC,Naasa Securities Co. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,243,211.0,51273.0,2025-07-23 11:00:43.372446
2025-07-23,169740,2025072304000205,HDHPC,Imperial Securities Company Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,200,211.7,42340.0,2025-07-23 11:01:02.022571
2025-07-23,169739,2025072304000206,HDHPC,Imperial Securities Company Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,400,212.0,84800.0,2025-07-23 11:01:02.022644
2025-07-23,169738,2025072304000207,HDHPC,Imperial Securities Company Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,500,212.0,106000.0,2025-07-23 11:01:02.022676
2025-07-23,169737,2025072304000208,HDHPC,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,1000,212.0,212000.0,2025-07-23 11:01:02.022715
2025-07-23,169736,2025072304000209,HDHPC,Imperial Securities Company Pvt. Ltd.,Online Securities Pvt. Ltd.,1208,212.0,256096.0,2025-07-23 11:01:02.022744
2025-07-23,169589,2025072304000249,HDHPC,Trishakti Securities Public Limited,Himalayan Brokerage Company Limited,1000,211.0,211000.0,2025-07-23 11:01:16.240637
2025-07-23,169524,2025072304000265,HDHPC,Imperial Securities Company Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,1400,211.0,295400.0,2025-07-23 11:01:23.363007
2025-07-23,169509,2025072304000270,HDHPC,Trisul Securities & Invt. Ltd.,Online Securities Pvt. Ltd.,200,212.0,42400.0,2025-07-23 11:01:24.341760
2025-07-23,169508,2025072304000271,HDHPC,Trisul Securities & Invt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,100,212.0,21200.0,2025-07-23 11:01:24.341802
2025-07-23,169507,2025072304000272,HDHPC,Trishakti Securities Public Limited,Malla & Malla Stock Broking Company Pvt. Limited,900,212.0,190800.0,2025-07-23 11:01:24.371842
2025-07-23,169506,2025072304000273,HDHPC,Trishakti Securities Public Limited,Nagarik Stock Dealer ,500,212.4,106200.0,2025-07-23 11:01:24.371901
2025-07-23,169423,2025072304000292,HDHPC,Capital Max Securities Ltd,J.F. Securites (PVT) Ltd.,100,212.0,21200.0,2025-07-23 11:01:31.063894
2025-07-23,169422,2025072304000293,HDHPC,Capital Max Securities Ltd,Siprabi Securities Pvt. Ltd.,50,212.0,10600.0,2025-07-23 11:01:31.292500
2025-07-23,169388,2025072304000308,HDHPC,Trishakti Securities Public Limited,Nagarik Stock Dealer ,790,212.4,167796.0,2025-07-23 11:01:34.484198
2025-07-23,169387,2025072304000309,HDHPC,Trishakti Securities Public Limited,Trishakti Securities Public Limited,210,212.5,44625.0,2025-07-23 11:01:34.484263
2025-07-23,169341,2025072304000326,HDHPC,Capital Max Securities Ltd,Secured Securities Ltd.,50,212.0,10600.0,2025-07-23 11:01:38.709833
2025-07-23,169340,2025072304000327,HDHPC,Imperial Securities Company Pvt. Ltd.,Secured Securities Ltd.,124,211.0,26164.0,2025-07-23 11:01:38.709993
2025-07-23,169240,2025072304000358,HDHPC,Trishakti Securities Public Limited,Malla & Malla Stock Broking Company Pvt. Limited,1000,212.0,212000.0,2025-07-23 11:01:45.727982
