Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-23,170312,2025072304000001,NHPC,Online Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,20,225.0,4500.0,2025-07-23 10:46:00.009809
2025-07-23,170064,2025072304000072,NHPC,Kohinoor Investment & Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,50,229.0,11450.0,2025-07-23 11:00:19.862954
2025-07-23,170063,2025072304000073,NHPC,Kohinoor Investment & Securities Pvt. Ltd.,Arun Securities (PVT) Ltd.,62,229.0,14198.0,2025-07-23 11:00:19.863022
2025-07-23,169860,2025072304000157,NHPC,Neev Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,250,228.9,57225.0,2025-07-23 11:00:52.067251
2025-07-23,169859,2025072304000158,NHPC,Neev Securities Pvt. Ltd.,Arun Securities (PVT) Ltd.,2383,229.0,545707.0,2025-07-23 11:00:52.067382
2025-07-23,169858,2025072304000159,NHPC,Neev Securities Pvt. Ltd.,Creative Securities Pvt Ltd,333,229.2,76323.6,2025-07-23 11:00:52.067449
2025-07-23,169857,2025072304000160,NHPC,Neev Securities Pvt. Ltd.,Trishakti Securities Public Limited,34,229.5,7803.0,2025-07-23 11:00:52.067503
2025-07-23,169730,2025072304000210,NHPC,Neev Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,500,229.0,114500.0,2025-07-23 11:01:02.214791
2025-07-23,169729,2025072304000211,NHPC,Neev Securities Pvt. Ltd.,Trishakti Securities Public Limited,66,229.5,15147.0,2025-07-23 11:01:02.214881
2025-07-23,169728,2025072304000212,NHPC,Neev Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,50,233.0,11650.0,2025-07-23 11:01:02.214955
2025-07-23,169494,2025072304000276,NHPC,Neev Securities Pvt. Ltd.,Kumari Securities Private Limited,10,234.0,2340.0,2025-07-23 11:01:25.541452
2025-07-23,169399,2025072304000304,NHPC,Asian Securities Private Ltd.,Neev Securities Pvt. Ltd.,10,227.0,2270.0,2025-07-23 11:01:33.667191
2025-07-23,168515,2025072304000587,NHPC,Secured Securities Ltd.,Naasa Securities Co. Ltd.,300,230.0,69000.0,2025-07-23 11:02:49.610592
2025-07-23,168501,2025072304000592,NHPC,Aryatara Investment & Securities,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,200,229.0,45800.0,2025-07-23 11:02:50.569430
2025-07-23,168500,2025072304000593,NHPC,Asian Securities Private Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,68,228.0,15504.0,2025-07-23 11:02:50.569514
2025-07-23,168499,2025072304000594,NHPC,Nepal Investment And Securities Trading Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,176,227.2,39987.2,2025-07-23 11:02:50.569555
2025-07-23,168498,2025072304000595,NHPC,Thrive Brokerage House Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,756,227.1,171687.6,2025-07-23 11:02:50.569592
2025-07-23,167456,2025072304000977,NHPC,Thrive Brokerage House Pvt. Ltd,Vision Securities Pvt. Ltd,50,229.9,11495.0,2025-07-23 11:04:13.597116
2025-07-23,167455,2025072304000978,NHPC,Thrive Brokerage House Pvt. Ltd,Neev Securities Pvt. Ltd.,94,230.0,21620.0,2025-07-23 11:04:13.597359
2025-07-23,167183,2025072304001076,NHPC,Naasa Securities Co. Ltd.,Neev Securities Pvt. Ltd.,85,229.9,19541.5,2025-07-23 11:04:33.775742
2025-07-23,167160,2025072304001085,NHPC,Kumari Securities Private Limited,Neev Securities Pvt. Ltd.,415,229.9,95408.5,2025-07-23 11:04:35.867158
2025-07-23,167159,2025072304001086,NHPC,Kumari Securities Private Limited,Neev Securities Pvt. Ltd.,406,230.0,93380.0,2025-07-23 11:04:35.867399
2025-07-23,167158,2025072304001087,NHPC,Kumari Securities Private Limited,South Asian Bulls Pvt. Ltd.,179,230.0,41170.0,2025-07-23 11:04:35.867529
2025-07-23,167099,2025072304001109,NHPC,Sani Securities Company Ltd.,South Asian Bulls Pvt. Ltd.,110,230.0,25300.0,2025-07-23 11:04:42.484376
2025-07-23,167050,2025072304001114,NHPC,Sani Securities Company Ltd.,South Asian Bulls Pvt. Ltd.,211,230.0,48530.0,2025-07-23 11:04:43.494917
2025-07-23,167049,2025072304001115,NHPC,Sani Securities Company Ltd.,Agrawal Securities (PVT) Ltd.,10,230.0,2300.0,2025-07-23 11:04:43.495135
2025-07-23,167048,2025072304001116,NHPC,Sani Securities Company Ltd.,Nabil Stock Dealer Ltd.,50,230.0,11500.0,2025-07-23 11:04:43.495309
2025-07-23,166813,2025072304001213,NHPC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Pragyan Securities (PVT) Ltd.,200,230.8,46160.0,2025-07-23 11:05:00.656870
2025-07-23,166812,2025072304001214,NHPC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,50,230.8,11540.0,2025-07-23 11:05:00.656953
2025-07-23,166568,2025072304001312,NHPC,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,30,230.0,6900.0,2025-07-23 11:05:18.170662
2025-07-23,166537,2025072304001324,NHPC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Aryatara Investment & Securities,200,230.5,46100.0,2025-07-23 11:05:22.096480
2025-07-23,166277,2025072304001401,NHPC,Imperial Securities Company Pvt. Ltd.,Kalika Securities Pvt. Ltd.,170,230.0,39100.0,2025-07-23 11:05:37.282137
2025-07-23,166166,2025072304001436,NHPC,Sani Securities Company Ltd.,Sundhara Securities Limited,729,229.1,167013.9,2025-07-23 11:05:45.803800
2025-07-23,166165,2025072304001437,NHPC,Midas Stock Broking Company Private Limited,Sundhara Securities Limited,271,229.0,62059.0,2025-07-23 11:05:45.803905
2025-07-23,165966,2025072304001516,NHPC,Neev Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,340,230.0,78200.0,2025-07-23 11:06:01.026843
2025-07-23,165858,2025072304001571,NHPC,Midas Stock Broking Company Private Limited,Premier Securities Company Ltd.,129,229.0,29541.0,2025-07-23 11:06:07.626151
2025-07-23,165857,2025072304001572,NHPC,Aryatara Investment & Securities,Premier Securities Company Ltd.,71,229.0,16259.0,2025-07-23 11:06:07.626417
2025-07-23,165839,2025072304001578,NHPC,Aryatara Investment & Securities,Investment Management Nepal Pvt. Ltd.,300,229.0,68700.0,2025-07-23 11:06:08.925342
2025-07-23,165806,2025072304001597,NHPC,Aryatara Investment & Securities,Capital Max Securities Ltd,129,229.0,29541.0,2025-07-23 11:06:12.053661
2025-07-23,165805,2025072304001598,NHPC,Sewa Securities Pvt. Ltd.,Capital Max Securities Ltd,1000,229.0,229000.0,2025-07-23 11:06:12.053848
2025-07-23,165131,2025072304001784,NHPC,Sundhara Securities Limited,Premier Securities Company Ltd.,45,228.5,10282.5,2025-07-23 11:06:58.609498
2025-07-23,165109,2025072304001796,NHPC,Sundhara Securities Limited,Blue Chip Securities Ltd,955,228.5,218217.5,2025-07-23 11:07:00.671043
2025-07-23,165108,2025072304001797,NHPC,Nepal Investment And Securities Trading Private Limited,Blue Chip Securities Ltd,600,228.2,136920.0,2025-07-23 11:07:00.671098
2025-07-23,165107,2025072304001798,NHPC,Online Securities Pvt. Ltd.,Blue Chip Securities Ltd,200,228.1,45620.0,2025-07-23 11:07:00.671124
2025-07-23,165106,2025072304001799,NHPC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Blue Chip Securities Ltd,245,228.0,55860.0,2025-07-23 11:07:00.671151
2025-07-23,165102,2025072304001800,NHPC,Naasa Securities Co. Ltd.,Capital Max Securities Ltd,600,229.0,137400.0,2025-07-23 11:07:00.840507
2025-07-23,165062,2025072304001817,NHPC,ABC Securities Private Limited,Hatemalo Financial Services Private Limited,200,228.8,45760.0,2025-07-23 11:07:03.144893
2025-07-23,164836,2025072304001911,NHPC,Nepal Stock House (PVT) Ltd.,Capital Max Securities Ltd,1510,229.0,345790.0,2025-07-23 11:07:18.398308
2025-07-23,164798,2025072304001921,NHPC,Neev Securities Pvt. Ltd.,Capital Max Securities Ltd,100,229.0,22900.0,2025-07-23 11:07:20.631437
2025-07-23,164658,2025072304001972,NHPC,Sani Securities Company Ltd.,Infinity Securities Limited,200,228.2,45640.0,2025-07-23 11:07:31.699849
2025-07-23,164657,2025072304001973,NHPC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Infinity Securities Limited,755,228.0,172140.0,2025-07-23 11:07:31.700015
2025-07-23,164656,2025072304001974,NHPC,Imperial Securities Company Pvt. Ltd.,Infinity Securities Limited,35,228.0,7980.0,2025-07-23 11:07:31.700069
2025-07-23,164284,2025072304002105,NHPC,Imperial Securities Company Pvt. Ltd.,Infinity Securities Limited,19,228.0,4332.0,2025-07-23 11:07:53.097343
2025-07-23,164126,2025072304002156,NHPC,Imperial Securities Company Pvt. Ltd.,Capital Max Securities Ltd,796,228.0,181488.0,2025-07-23 11:08:04.311735
2025-07-23,164125,2025072304002157,NHPC,Vision Securities Pvt. Ltd,Capital Max Securities Ltd,200,228.0,45600.0,2025-07-23 11:08:04.311845
2025-07-23,164124,2025072304002158,NHPC,Sumeru Securities Pvt. Ltd.,Capital Max Securities Ltd,200,228.0,45600.0,2025-07-23 11:08:04.311910
2025-07-23,163419,2025072304002353,NHPC,Linch Stock Market Ltd.,Capital Max Securities Ltd,2000,228.0,456000.0,2025-07-23 11:08:57.023613
2025-07-23,162427,2025072304002641,NHPC,Sani Securities Company Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,500,228.0,114000.0,2025-07-23 11:10:04.673888
2025-07-23,162426,2025072304002642,NHPC,Sani Securities Company Ltd.,Capital Max Securities Ltd,1980,228.8,453024.0,2025-07-23 11:10:04.674014
2025-07-23,162425,2025072304002643,NHPC,Sani Securities Company Ltd.,Sumeru Securities Pvt. Ltd.,950,228.9,217455.0,2025-07-23 11:10:04.674096
2025-07-23,162424,2025072304002644,NHPC,Sani Securities Company Ltd.,ABC Securities Private Limited,10,229.0,2290.0,2025-07-23 11:10:04.674153
2025-07-23,162423,2025072304002645,NHPC,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,480,229.0,109920.0,2025-07-23 11:10:04.674207
2025-07-23,162422,2025072304002646,NHPC,Sani Securities Company Ltd.,Sani Securities Company Ltd.,1750,229.0,400750.0,2025-07-23 11:10:04.674261
2025-07-23,162421,2025072304002647,NHPC,Sani Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,1000,229.0,229000.0,2025-07-23 11:10:04.674324
2025-07-23,162331,2025072304002667,NHPC,Sani Securities Company Ltd.,Primo Securities (PVT) Ltd.,330,229.0,75570.0,2025-07-23 11:10:09.622646
2025-07-23,162330,2025072304002668,NHPC,Dakshinkali Investment & Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,150,227.5,34125.0,2025-07-23 11:10:09.622918
2025-07-23,162329,2025072304002669,NHPC,Malla & Malla Stock Broking Company Pvt. Limited,Primo Securities (PVT) Ltd.,200,227.3,45460.0,2025-07-23 11:10:09.623151
2025-07-23,162328,2025072304002670,NHPC,Sumeru Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,1000,227.2,227200.0,2025-07-23 11:10:09.623426
2025-07-23,162327,2025072304002671,NHPC,Thrive Brokerage House Pvt. Ltd,Primo Securities (PVT) Ltd.,300,227.0,68100.0,2025-07-23 11:10:09.623646
2025-07-23,162326,2025072304002672,NHPC,Sri Hari Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,20,227.0,4540.0,2025-07-23 11:10:09.623891
2025-07-23,160821,2025072304003081,NHPC,Sri Hari Securities Pvt. Ltd.,Asian Securities Private Ltd.,790,227.0,179330.0,2025-07-23 11:11:40.439378
2025-07-23,160820,2025072304003082,NHPC,Asian Securities Private Ltd.,Asian Securities Private Ltd.,10,227.0,2270.0,2025-07-23 11:11:40.439516
2025-07-23,160819,2025072304003083,NHPC,Aryatara Investment & Securities,Asian Securities Private Ltd.,100,227.0,22700.0,2025-07-23 11:11:40.439580
2025-07-23,160818,2025072304003084,NHPC,Neev Securities Pvt. Ltd.,Asian Securities Private Ltd.,100,227.0,22700.0,2025-07-23 11:11:40.439634
2025-07-23,160398,2025072304003204,NHPC,Naasa Securities Co. Ltd.,Sundhara Securities Limited,160,228.0,36480.0,2025-07-23 11:12:06.957908
2025-07-23,160116,2025072304003291,NHPC,Naasa Securities Co. Ltd.,Sweta Securities Private Limited,200,228.0,45600.0,2025-07-23 11:12:26.519960
2025-07-23,160099,2025072304003306,NHPC,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,500,228.0,114000.0,2025-07-23 11:12:27.454000
2025-07-23,159750,2025072304003397,NHPC,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,140,228.0,31920.0,2025-07-23 11:12:48.872856
2025-07-23,159122,2025072304003578,NHPC,Neev Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,4400,227.0,998800.0,2025-07-23 11:13:22.337679
2025-07-23,159121,2025072304003579,NHPC,Sani Securities Company Ltd.,Sumeru Securities Pvt. Ltd.,300,227.0,68100.0,2025-07-23 11:13:22.337802
2025-07-23,159120,2025072304003580,NHPC,Sumeru Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,100,227.0,22700.0,2025-07-23 11:13:22.337859
2025-07-23,159119,2025072304003581,NHPC,SUN SECURITIES PVT LTD,Sumeru Securities Pvt. Ltd.,500,227.0,113500.0,2025-07-23 11:13:22.337916
2025-07-23,158774,2025072304003681,NHPC,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,50,227.0,11350.0,2025-07-23 11:13:42.974442
2025-07-23,158773,2025072304003682,NHPC,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,30,228.0,6840.0,2025-07-23 11:13:42.974564
2025-07-23,158716,2025072304003710,NHPC,Sani Securities Company Ltd.,Investment Management Nepal Pvt. Ltd.,100,226.0,22600.0,2025-07-23 11:13:45.014487
2025-07-23,158715,2025072304003711,NHPC,Midas Stock Broking Company Private Limited,Investment Management Nepal Pvt. Ltd.,90,226.0,20340.0,2025-07-23 11:13:45.014606
