Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-23,166809,2025072301000717,SCB,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,32,675.0,21600.0,2025-07-23 11:05:00.955004
2025-07-23,166342,2025072301000825,SCB,Premier Securities Company Ltd.,Thrive Brokerage House Pvt. Ltd,200,675.0,135000.0,2025-07-23 11:05:34.125520
2025-07-23,162035,2025072301001768,SCB,Sani Securities Company Ltd.,Nagarik Stock Dealer ,200,672.0,134400.0,2025-07-23 11:10:28.187477
2025-07-23,159828,2025072301002284,SCB,Cristal Kanchanjanga Securites Pvt. Ltd.,Asian Securities Private Ltd.,10,669.0,6690.0,2025-07-23 11:12:43.495723
2025-07-23,159827,2025072301002285,SCB,Aryatara Investment & Securities,Asian Securities Private Ltd.,30,668.3,20049.0,2025-07-23 11:12:43.495797
2025-07-23,159826,2025072301002286,SCB,Bhrikuti Stock Broking Co. Pvt. Ltd.,Asian Securities Private Ltd.,40,668.2,26728.0,2025-07-23 11:12:43.495847
2025-07-23,158913,2025072301002532,SCB,Bhrikuti Stock Broking Co. Pvt. Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,16,668.3,10692.8,2025-07-23 11:13:33.522273
2025-07-23,158856,2025072301002545,SCB,Bhrikuti Stock Broking Co. Pvt. Ltd.,Aryatara Investment & Securities,100,668.3,66830.0,2025-07-23 11:13:36.741822
2025-07-23,157963,2025072301002760,SCB,Bhrikuti Stock Broking Co. Pvt. Ltd.,Primo Securities (PVT) Ltd.,25,668.3,16707.5,2025-07-23 11:14:24.841326
2025-07-23,156631,2025072301003048,SCB,Asian Securities Private Ltd.,J.F. Securites (PVT) Ltd.,100,668.4,66840.0,2025-07-23 11:15:34.676405
2025-07-23,156630,2025072301003049,SCB,Bhrikuti Stock Broking Co. Pvt. Ltd.,J.F. Securites (PVT) Ltd.,59,668.3,39429.7,2025-07-23 11:15:34.676495
