Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-24,154440,2025072403000031,CORBL,ABC Securities Private Limited,Online Securities Pvt. Ltd.,22,2095.0,46090.0,2025-07-24 11:00:25.649202
2025-07-24,154218,2025072403000058,CORBL,ABC Securities Private Limited,Market Securities & Exchange (PVT) Ltd.,28,2095.0,58660.0,2025-07-24 11:01:01.105227
2025-07-24,151995,2025072403000403,CORBL,Aryatara Investment & Securities,Nepal Stock House (PVT) Ltd.,20,2070.0,41400.0,2025-07-24 11:05:16.606347
2025-07-24,151859,2025072403000421,CORBL,Creative Securities Pvt Ltd,Nepal Stock House (PVT) Ltd.,10,2055.0,20550.0,2025-07-24 11:05:30.250315
2025-07-24,151718,2025072403000452,CORBL,Sani Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,10,2053.2,20532.0,2025-07-24 11:05:44.165252
2025-07-24,151630,2025072403000470,CORBL,Malla & Malla Stock Broking Company Pvt. Limited,Nepal Stock House (PVT) Ltd.,20,2053.1,41062.0,2025-07-24 11:05:55.136486
2025-07-24,151629,2025072403000471,CORBL,KALASH STOCK MARKET PVT. LTD.,Nepal Stock House (PVT) Ltd.,10,2053.1,20531.0,2025-07-24 11:05:55.136526
2025-07-24,151599,2025072403000477,CORBL,KALASH STOCK MARKET PVT. LTD.,Market Securities & Exchange (PVT) Ltd.,60,2053.1,123186.0,2025-07-24 11:05:58.196800
2025-07-24,151598,2025072403000478,CORBL,Sweta Securities Private Limited,Market Securities & Exchange (PVT) Ltd.,20,2053.1,41062.0,2025-07-24 11:05:58.196863
2025-07-24,151531,2025072403000491,CORBL,SHUBHAKAMANA SECURITIES PVT. LTD,SHUBHAKAMANA SECURITIES PVT. LTD,50,2048.6,102430.0,2025-07-24 11:06:07.025101
2025-07-24,150295,2025072403000739,CORBL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,60,2050.0,123000.0,2025-07-24 11:08:00.875828
2025-07-24,148938,2025072403001015,CORBL,Thrive Brokerage House Pvt. Ltd,SHUBHAKAMANA SECURITIES PVT. LTD,10,2027.3,20273.0,2025-07-24 11:10:24.028616
