Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-24,154548,2025072404000056,GLH,Thrive Brokerage House Pvt. Ltd,South Asian Bulls Pvt. Ltd.,10,300.0,3000.0,2025-07-24 10:46:00.083769
2025-07-24,154547,2025072404000057,GLH,R.B.B. Securities Company Ltd,South Asian Bulls Pvt. Ltd.,10,300.0,3000.0,2025-07-24 10:46:00.083797
2025-07-24,154546,2025072404000058,GLH,Asian Securities Private Ltd.,South Asian Bulls Pvt. Ltd.,100,300.0,30000.0,2025-07-24 10:46:00.083816
2025-07-24,154468,2025072404000088,GLH,Sundhara Securities Limited,South Asian Bulls Pvt. Ltd.,100,300.0,30000.0,2025-07-24 11:00:19.551465
2025-07-24,153514,2025072404000514,GLH,Oxford Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,150,299.9,44985.0,2025-07-24 11:02:27.041656
2025-07-24,153270,2025072404000633,GLH,Shree Krishna Securities Ltd.,INDEX SECURITIES LIMITED,10,298.0,2980.0,2025-07-24 11:02:52.283454
2025-07-24,153269,2025072404000634,GLH,Sundhara Securities Limited,INDEX SECURITIES LIMITED,500,298.0,149000.0,2025-07-24 11:02:52.283548
2025-07-24,153152,2025072404000691,GLH,Dynamic Money Managers Securities Pvt. Ltd.,Sani Securities Company Ltd.,100,297.0,29700.0,2025-07-24 11:03:04.015878
2025-07-24,153117,2025072404000702,GLH,Agrawal Securities (PVT) Ltd.,INDEX SECURITIES LIMITED,200,298.0,59600.0,2025-07-24 11:03:08.123894
2025-07-24,152939,2025072404000778,GLH,Dynamic Money Managers Securities Pvt. Ltd.,Sani Securities Company Ltd.,300,297.0,89100.0,2025-07-24 11:03:28.348506
2025-07-24,152707,2025072404000897,GLH,Trishakti Securities Public Limited,Sani Securities Company Ltd.,136,297.0,40392.0,2025-07-24 11:03:58.005832
2025-07-24,152706,2025072404000898,GLH,Trishakti Securities Public Limited,Sri Hari Securities Pvt. Ltd.,300,297.0,89100.0,2025-07-24 11:03:58.006030
2025-07-24,152375,2025072404001035,GLH,Creative Securities Pvt Ltd,INDEX SECURITIES LIMITED,290,298.0,86420.0,2025-07-24 11:04:35.078331
2025-07-24,152197,2025072404001103,GLH,Nepal Stock House (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,100,298.0,29800.0,2025-07-24 11:04:56.052778
2025-07-24,151081,2025072404001559,GLH,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Primo Securities (PVT) Ltd.,10,298.2,2982.0,2025-07-24 11:06:48.927452
2025-07-24,150989,2025072404001598,GLH,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Indira securities pvt. ltd,10,298.2,2982.0,2025-07-24 11:06:56.672813
2025-07-24,150669,2025072404001714,GLH,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,50,299.8,14990.0,2025-07-24 11:07:26.691035
2025-07-24,150668,2025072404001715,GLH,Naasa Securities Co. Ltd.,Capital Max Securities Ltd,255,299.8,76449.0,2025-07-24 11:07:26.691181
2025-07-24,150371,2025072404001821,GLH,Naasa Securities Co. Ltd.,Oxford Securities Pvt. Ltd.,35,299.8,10493.0,2025-07-24 11:07:52.606985
2025-07-24,149315,2025072404002129,GLH,Naasa Securities Co. Ltd.,Sewa Securities Pvt. Ltd.,19,299.8,5696.2,2025-07-24 11:09:45.351863
2025-07-24,149314,2025072404002130,GLH,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sewa Securities Pvt. Ltd.,180,298.2,53676.0,2025-07-24 11:09:45.351948
2025-07-24,149313,2025072404002131,GLH,Nepal Stock House (PVT) Ltd.,Sewa Securities Pvt. Ltd.,190,298.0,56620.0,2025-07-24 11:09:45.351973
2025-07-24,149312,2025072404002132,GLH,Linch Stock Market Ltd.,Sewa Securities Pvt. Ltd.,100,298.0,29800.0,2025-07-24 11:09:45.351993
2025-07-24,149311,2025072404002133,GLH,South Asian Bulls Pvt. Ltd.,Sewa Securities Pvt. Ltd.,370,298.0,110260.0,2025-07-24 11:09:45.352011
2025-07-24,149310,2025072404002134,GLH,Kumari Securities Private Limited,Sewa Securities Pvt. Ltd.,141,297.1,41891.1,2025-07-24 11:09:45.352032
2025-07-24,149041,2025072404002204,GLH,Vision Securities Pvt. Ltd,Primo Securities (PVT) Ltd.,190,297.2,56468.0,2025-07-24 11:10:16.040486
2025-07-24,148800,2025072404002295,GLH,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,110,297.2,32692.0,2025-07-24 11:10:36.051173
2025-07-24,148799,2025072404002296,GLH,Dynamic Money Managers Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,30,297.2,8916.0,2025-07-24 11:10:36.051391
2025-07-24,148798,2025072404002297,GLH,Kumari Securities Private Limited,Vision Securities Pvt. Ltd,359,297.1,106658.9,2025-07-24 11:10:36.051460
2025-07-24,148797,2025072404002298,GLH,ABC Securities Private Limited,Vision Securities Pvt. Ltd,1000,297.1,297100.0,2025-07-24 11:10:36.051532
2025-07-24,148796,2025072404002299,GLH,Trishakti Securities Public Limited,Vision Securities Pvt. Ltd,1564,297.0,464508.0,2025-07-24 11:10:36.051594
2025-07-24,148795,2025072404002300,GLH,Shree Krishna Securities Ltd.,Vision Securities Pvt. Ltd,20,297.0,5940.0,2025-07-24 11:10:36.051653
2025-07-24,148585,2025072404002346,GLH,Asian Securities Private Ltd.,Vision Securities Pvt. Ltd,117,297.0,34749.0,2025-07-24 11:10:53.094477
2025-07-24,148160,2025072404002494,GLH,Dynamic Money Managers Securities Pvt. Ltd.,Kumari Securities Private Limited,250,298.0,74500.0,2025-07-24 11:11:38.115908
2025-07-24,148159,2025072404002495,GLH,Asian Securities Private Ltd.,Kumari Securities Private Limited,583,297.3,173325.9,2025-07-24 11:11:38.116050
2025-07-24,147912,2025072404002566,GLH,Sumeru Securities Pvt. Ltd.,Kumari Securities Private Limited,59,297.0,17523.0,2025-07-24 11:12:05.076502
