Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-07-24,152785,2025072403000271,GRDBL,Trishakti Securities Public Limited,Market Securities & Exchange (PVT) Ltd.,100,1222.1,122210.0,2025-07-24 11:03:49.933325
2025-07-24,151644,2025072403000466,GRDBL,Online Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2,1200.0,2400.0,2025-07-24 11:05:53.168654
2025-07-24,150829,2025072403000623,GRDBL,Roadshow securities limited,Siprabi Securities Pvt. Ltd.,10,1223.0,12230.0,2025-07-24 11:07:11.227858
2025-07-24,147834,2025072403001255,GRDBL,Nabil Stock Dealer Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,10,1225.0,12250.0,2025-07-24 11:12:12.728412
2025-07-24,147833,2025072403001256,GRDBL,Roadshow securities limited,SHUBHAKAMANA SECURITIES PVT. LTD,90,1223.0,110070.0,2025-07-24 11:12:12.728454
2025-07-24,147832,2025072403001257,GRDBL,Arun Securities (PVT) Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,20,1223.0,24460.0,2025-07-24 11:12:12.728484
2025-07-24,147831,2025072403001258,GRDBL,Kohinoor Investment & Securities Pvt. Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,10,1222.0,12220.0,2025-07-24 11:12:12.728510
2025-07-24,147830,2025072403001259,GRDBL,Hatemalo Financial Services Private Limited,SHUBHAKAMANA SECURITIES PVT. LTD,100,1220.1,122010.0,2025-07-24 11:12:12.728563
2025-07-24,147829,2025072403001260,GRDBL,Shree Krishna Securities Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,170,1220.1,207417.0,2025-07-24 11:12:12.728610
2025-07-24,147201,2025072403001411,GRDBL,Trishakti Securities Public Limited,Capital Max Securities Ltd,50,1221.0,61050.0,2025-07-24 11:13:15.887198
2025-07-24,146219,2025072403001652,GRDBL,Trishakti Securities Public Limited,Citizens Share Broker Limited,100,1222.0,122200.0,2025-07-24 11:14:53.103840
2025-07-24,146218,2025072403001653,GRDBL,Online Securities Pvt. Ltd.,Citizens Share Broker Limited,20,1222.0,24440.0,2025-07-24 11:14:53.103981
2025-07-24,146217,2025072403001654,GRDBL,Trishakti Securities Public Limited,Citizens Share Broker Limited,100,1221.1,122110.0,2025-07-24 11:14:53.104098
2025-07-24,146216,2025072403001655,GRDBL,Shree Krishna Securities Ltd.,Citizens Share Broker Limited,280,1220.1,341628.0,2025-07-24 11:14:53.104195
2025-07-24,145996,2025072403001711,GRDBL,Shree Krishna Securities Ltd.,Oxford Securities Pvt. Ltd.,30,1220.1,36603.0,2025-07-24 11:15:12.474777
2025-07-24,145715,2025072403001769,GRDBL,Shree Krishna Securities Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,220,1220.1,268422.0,2025-07-24 11:15:35.582781
2025-07-24,145714,2025072403001770,GRDBL,BHOLE GANESH SECURITIES LTD,Kohinoor Investment & Securities Pvt. Ltd.,100,1220.0,122000.0,2025-07-24 11:15:35.582858
2025-07-24,145026,2025072403001928,GRDBL,Trishakti Securities Public Limited,Ashutosh Brokerage & Securities (PVT) Ltd.,84,1205.0,101220.0,2025-07-24 11:16:38.350036
2025-07-24,144258,2025072403002061,GRDBL,Nepal Stock House (PVT) Ltd.,Online Securities Pvt. Ltd.,10,1206.0,12060.0,2025-07-24 11:17:46.119582
2025-07-24,144257,2025072403002062,GRDBL,Trishakti Securities Public Limited,Online Securities Pvt. Ltd.,16,1205.0,19280.0,2025-07-24 11:17:46.119652
2025-07-24,144256,2025072403002063,GRDBL,Trishakti Securities Public Limited,Online Securities Pvt. Ltd.,74,1200.4,88829.6,2025-07-24 11:17:46.119688
2025-07-24,144186,2025072403002076,GRDBL,Online Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,100,1218.0,121800.0,2025-07-24 11:17:52.921862
2025-07-24,143401,2025072403002277,GRDBL,Trishakti Securities Public Limited,Miyo Securities Pvt Ltd,100,1203.0,120300.0,2025-07-24 11:19:06.391042
2025-07-24,143400,2025072403002278,GRDBL,Vision Securities Pvt. Ltd,Miyo Securities Pvt Ltd,509,1203.0,612327.0,2025-07-24 11:19:06.391202
2025-07-24,142984,2025072403002375,GRDBL,Sagarmatha Securities Private Limited,Nepal Stock House (PVT) Ltd.,40,1210.0,48400.0,2025-07-24 11:19:46.944000
2025-07-24,142514,2025072403002485,GRDBL,Siprabi Securities Pvt. Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,10,1215.0,12150.0,2025-07-24 11:20:39.178471
2025-07-24,140654,2025072403002888,GRDBL,Primo Securities (PVT) Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,7,1200.0,8400.0,2025-07-24 11:23:18.492287
2025-07-24,140350,2025072403002968,GRDBL,Vision Securities Pvt. Ltd,Ashutosh Brokerage & Securities (PVT) Ltd.,155,1215.0,188325.0,2025-07-24 11:23:47.258077
2025-07-24,140140,2025072403003014,GRDBL,Sani Securities Company Ltd.,Miyo Securities Pvt Ltd,30,1205.0,36150.0,2025-07-24 11:24:06.149194
2025-07-24,140137,2025072403003015,GRDBL,Trishakti Securities Public Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,100,1204.0,120400.0,2025-07-24 11:24:06.464493
2025-07-24,140136,2025072403003016,GRDBL,Sweta Securities Private Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,1203.0,12030.0,2025-07-24 11:24:06.464727
2025-07-24,140135,2025072403003017,GRDBL,Trishakti Securities Public Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,126,1202.5,151515.0,2025-07-24 11:24:06.464892
2025-07-24,140134,2025072403003018,GRDBL,Online Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,140,1202.4,168336.0,2025-07-24 11:24:06.465067
2025-07-24,140133,2025072403003019,GRDBL,Online Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,165,1202.1,198346.5,2025-07-24 11:24:06.465236
2025-07-24,140132,2025072403003020,GRDBL,Imperial Securities Company Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,1202.0,12020.0,2025-07-24 11:24:06.465388
2025-07-24,140131,2025072403003021,GRDBL,Miyo Securities Pvt Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,1600,1202.0,1923200.0,2025-07-24 11:24:06.465532
2025-07-24,139874,2025072403003077,GRDBL,Imperial Securities Company Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,30,1201.0,36030.0,2025-07-24 11:24:31.780204
2025-07-24,139873,2025072403003078,GRDBL,Vision Securities Pvt. Ltd,Nepal Investment And Securities Trading Private Limited,69,1200.3,82820.7,2025-07-24 11:24:31.780367
2025-07-24,139834,2025072403003086,GRDBL,Vision Securities Pvt. Ltd,Dakshinkali Investment & Securities Pvt. Ltd.,31,1200.3,37209.3,2025-07-24 11:24:37.352645
2025-07-24,139833,2025072403003087,GRDBL,Aryatara Investment & Securities,Dakshinkali Investment & Securities Pvt. Ltd.,200,1200.3,240060.0,2025-07-24 11:24:37.352739
2025-07-24,139832,2025072403003088,GRDBL,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,91,1200.0,109200.0,2025-07-24 11:24:37.352779
2025-07-24,139831,2025072403003089,GRDBL,Online Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,51,1200.0,61200.0,2025-07-24 11:24:37.352813
2025-07-24,139830,2025072403003090,GRDBL,Premier Securities Company Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,10,1200.0,12000.0,2025-07-24 11:24:37.352870
2025-07-24,139829,2025072403003091,GRDBL,BHOLE GANESH SECURITIES LTD,Dakshinkali Investment & Securities Pvt. Ltd.,100,1200.0,120000.0,2025-07-24 11:24:37.352904
