Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-24,153997,2025072404000300,HPPL,Vision Securities Pvt. Ltd,Nepal Investment And Securities Trading Private Limited,20,542.0,10840.0,2025-07-24 11:01:31.264841
2025-07-24,153711,2025072404000429,HPPL,Vision Securities Pvt. Ltd,Aakashbhairab Securities Ltd.,11,542.0,5962.0,2025-07-24 11:02:08.807189
2025-07-24,152843,2025072404000824,HPPL,Kalika Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,10,543.0,5430.0,2025-07-24 11:03:43.163833
2025-07-24,150631,2025072404001728,HPPL,J.F. Securites (PVT) Ltd.,Primo Securities (PVT) Ltd.,10,543.0,5430.0,2025-07-24 11:07:29.971941
2025-07-24,150302,2025072404001852,HPPL,Sipla Securities Private Limited,Nepal Investment And Securities Trading Private Limited,10,546.0,5460.0,2025-07-24 11:08:00.065435
2025-07-24,150301,2025072404001853,HPPL,Sipla Securities Private Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,90,547.0,49230.0,2025-07-24 11:08:00.065575
2025-07-24,150194,2025072404001890,HPPL,Dakshinkali Investment & Securities Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,300,543.3,162990.0,2025-07-24 11:08:12.491091
2025-07-24,150193,2025072404001891,HPPL,J.F. Securites (PVT) Ltd.,Investment Management Nepal Pvt. Ltd.,10,543.0,5430.0,2025-07-24 11:08:12.491196
2025-07-24,150192,2025072404001892,HPPL,Kalika Securities Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,90,543.0,48870.0,2025-07-24 11:08:12.491232
2025-07-24,149418,2025072404002088,HPPL,Kalika Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,30,543.0,16290.0,2025-07-24 11:09:35.947133
2025-07-24,148600,2025072404002342,HPPL,Kalika Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,20,543.0,10860.0,2025-07-24 11:10:52.135686
2025-07-24,148412,2025072404002393,HPPL,Kalika Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,20,543.0,10860.0,2025-07-24 11:11:14.022784
2025-07-24,146266,2025072404003056,HPPL,Sri Hari Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,70,543.5,38045.0,2025-07-24 11:14:48.312199
2025-07-24,146265,2025072404003057,HPPL,Vision Securities Pvt. Ltd,Market Securities & Exchange (PVT) Ltd.,100,543.3,54330.0,2025-07-24 11:14:48.312397
2025-07-24,146264,2025072404003058,HPPL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,100,543.2,54320.0,2025-07-24 11:14:48.312515
2025-07-24,146263,2025072404003059,HPPL,Nepal Stock House (PVT) Ltd.,Market Securities & Exchange (PVT) Ltd.,1000,543.1,543100.0,2025-07-24 11:14:48.312619
2025-07-24,146262,2025072404003060,HPPL,Kalika Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,180,543.0,97740.0,2025-07-24 11:14:48.312729
2025-07-24,146261,2025072404003061,HPPL,ABC Securities Private Limited,Market Securities & Exchange (PVT) Ltd.,50,543.0,27150.0,2025-07-24 11:14:48.312834
2025-07-24,146260,2025072404003062,HPPL,Kumari Securities Private Limited,Market Securities & Exchange (PVT) Ltd.,100,543.0,54300.0,2025-07-24 11:14:48.312942
2025-07-24,146259,2025072404003063,HPPL,Trishakti Securities Public Limited,Market Securities & Exchange (PVT) Ltd.,166,543.0,90138.0,2025-07-24 11:14:48.313046
2025-07-24,146258,2025072404003064,HPPL,Imperial Securities Company Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,234,543.0,127062.0,2025-07-24 11:14:48.313144
2025-07-24,145365,2025072404003327,HPPL,Imperial Securities Company Pvt. Ltd.,Vision Securities Pvt. Ltd,100,543.0,54300.0,2025-07-24 11:16:06.453487
2025-07-24,145293,2025072404003352,HPPL,Imperial Securities Company Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,53,543.0,28779.0,2025-07-24 11:16:13.017284
2025-07-24,144999,2025072404003444,HPPL,Imperial Securities Company Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,10,543.0,5430.0,2025-07-24 11:16:41.902094
2025-07-24,143926,2025072404003818,HPPL,Imperial Securities Company Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,70,543.0,38010.0,2025-07-24 11:18:18.396367
2025-07-24,143925,2025072404003819,HPPL,ABC Securities Private Limited,Investment Management Nepal Pvt. Ltd.,25,543.0,13575.0,2025-07-24 11:18:18.396549
2025-07-24,142493,2025072404004254,HPPL,Arun Securities (PVT) Ltd.,Primo Securities (PVT) Ltd.,10,543.0,5430.0,2025-07-24 11:20:42.019910
2025-07-24,142467,2025072404004262,HPPL,Arun Securities (PVT) Ltd.,Swarna Laxmi Securities Pvt. Ltd.,10,543.0,5430.0,2025-07-24 11:20:44.292887
2025-07-24,142215,2025072404004321,HPPL,Arun Securities (PVT) Ltd.,Primo Securities (PVT) Ltd.,10,543.0,5430.0,2025-07-24 11:21:06.973703
