Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-24,152537,2025072403000301,JBBL,Premier Securities Company Ltd.,Capital Max Securities Ltd,10,382.0,3820.0,2025-07-24 11:04:18.962982
2025-07-24,152253,2025072403000360,JBBL,Trisul Securities & Invt. Ltd.,Magnet Securities and Investment Company Private Limited,300,383.0,114900.0,2025-07-24 11:04:49.397047
2025-07-24,151066,2025072403000574,JBBL,Trisul Securities & Invt. Ltd.,Sweta Securities Private Limited,500,384.0,192000.0,2025-07-24 11:06:51.293692
2025-07-24,150864,2025072403000616,JBBL,Trisul Securities & Invt. Ltd.,South Asian Bulls Pvt. Ltd.,200,384.0,76800.0,2025-07-24 11:07:07.964405
2025-07-24,149966,2025072403000812,JBBL,Sani Securities Company Ltd.,Magnet Securities and Investment Company Private Limited,117,383.6,44881.2,2025-07-24 11:08:37.804310
2025-07-24,149556,2025072403000889,JBBL,Nepal Investment And Securities Trading Private Limited,Vision Securities Pvt. Ltd,100,383.6,38360.0,2025-07-24 11:09:19.675990
2025-07-24,149555,2025072403000890,JBBL,Linch Stock Market Ltd.,Vision Securities Pvt. Ltd,145,383.5,55607.5,2025-07-24 11:09:19.676103
2025-07-24,149554,2025072403000891,JBBL,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,10,383.5,3835.0,2025-07-24 11:09:19.676152
2025-07-24,149553,2025072403000892,JBBL,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,500,383.1,191550.0,2025-07-24 11:09:19.676233
2025-07-24,149552,2025072403000893,JBBL,Imperial Securities Company Pvt. Ltd.,Vision Securities Pvt. Ltd,45,383.0,17235.0,2025-07-24 11:09:19.676280
2025-07-24,149504,2025072403000902,JBBL,Imperial Securities Company Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,455,383.0,174265.0,2025-07-24 11:09:26.211241
2025-07-24,149503,2025072403000903,JBBL,Kohinoor Investment & Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,100,383.0,38300.0,2025-07-24 11:09:26.211350
2025-07-24,149502,2025072403000904,JBBL,Premier Securities Company Ltd.,South Asian Bulls Pvt. Ltd.,490,382.0,187180.0,2025-07-24 11:09:26.211427
2025-07-24,149501,2025072403000905,JBBL,Nepal Investment And Securities Trading Private Limited,South Asian Bulls Pvt. Ltd.,755,382.0,288410.0,2025-07-24 11:09:26.211469
2025-07-24,149140,2025072403000979,JBBL,INDEX SECURITIES LIMITED,Sani Securities Company Ltd.,300,382.1,114630.0,2025-07-24 11:10:05.196110
2025-07-24,149002,2025072403001002,JBBL,INDEX SECURITIES LIMITED,Sri Hari Securities Pvt. Ltd.,700,382.1,267470.0,2025-07-24 11:10:19.790517
2025-07-24,149001,2025072403001003,JBBL,Nepal Investment And Securities Trading Private Limited,Sri Hari Securities Pvt. Ltd.,245,382.0,93590.0,2025-07-24 11:10:19.790612
2025-07-24,149000,2025072403001004,JBBL,Nepal Investment And Securities Trading Private Limited,Sri Hari Securities Pvt. Ltd.,317,382.0,121094.0,2025-07-24 11:10:19.790658
2025-07-24,148999,2025072403001005,JBBL,Kumari Securities Private Limited,Aryatara Investment & Securities,20,383.0,7660.0,2025-07-24 11:10:19.930153
2025-07-24,147803,2025072403001265,JBBL,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,30,383.0,11490.0,2025-07-24 11:12:16.161322
2025-07-24,147756,2025072403001270,JBBL,Sweta Securities Private Limited,Imperial Securities Company Pvt. Ltd.,200,382.1,76420.0,2025-07-24 11:12:20.181621
2025-07-24,147755,2025072403001271,JBBL,Nepal Investment And Securities Trading Private Limited,Imperial Securities Company Pvt. Ltd.,683,382.0,260906.0,2025-07-24 11:12:20.181729
