Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-24,152875,2025072404000808,MEN,Shree Krishna Securities Ltd.,INDEX SECURITIES LIMITED,600,672.0,403200.0,2025-07-24 11:03:39.041298
2025-07-24,151756,2025072404001278,MEN,Sundhara Securities Limited,Sweta Securities Private Limited,100,671.9,67190.0,2025-07-24 11:05:41.572973
2025-07-24,151475,2025072404001387,MEN,Sagarmatha Securities Private Limited,INDEX SECURITIES LIMITED,110,672.0,73920.0,2025-07-24 11:06:13.079732
2025-07-24,151261,2025072404001490,MEN,Dakshinkali Investment & Securities Pvt. Ltd.,Citizens Share Broker Limited,200,670.0,134000.0,2025-07-24 11:06:32.128901
2025-07-24,150976,2025072404001606,MEN,Midas Stock Broking Company Private Limited,Nepal Investment And Securities Trading Private Limited,265,670.0,177550.0,2025-07-24 11:06:58.244302
2025-07-24,150975,2025072404001607,MEN,Naasa Securities Co. Ltd.,Nepal Investment And Securities Trading Private Limited,15,670.0,10050.0,2025-07-24 11:06:58.244400
2025-07-24,150131,2025072404001910,MEN,Sani Securities Company Ltd.,Creative Securities Pvt Ltd,100,670.0,67000.0,2025-07-24 11:08:17.832093
2025-07-24,150123,2025072404001913,MEN,Malla & Malla Stock Broking Company Pvt. Limited,Neev Securities Pvt. Ltd.,20,671.0,13420.0,2025-07-24 11:08:19.116194
2025-07-24,149686,2025072404002028,MEN,Malla & Malla Stock Broking Company Pvt. Limited,Malla & Malla Stock Broking Company Pvt. Limited,50,671.0,33550.0,2025-07-24 11:09:03.453422
2025-07-24,149519,2025072404002074,MEN,Malla & Malla Stock Broking Company Pvt. Limited,Nepal Investment And Securities Trading Private Limited,78,671.0,52338.0,2025-07-24 11:09:24.595474
2025-07-24,149386,2025072404002101,MEN,Malla & Malla Stock Broking Company Pvt. Limited,Naasa Securities Co. Ltd.,52,671.0,34892.0,2025-07-24 11:09:39.187648
2025-07-24,149361,2025072404002115,MEN,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,90,670.0,60300.0,2025-07-24 11:09:40.868873
2025-07-24,149360,2025072404002116,MEN,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,100,667.0,66700.0,2025-07-24 11:09:40.868919
2025-07-24,149359,2025072404002117,MEN,Neev Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,10,666.0,6660.0,2025-07-24 11:09:40.868974
2025-07-24,147152,2025072404002803,MEN,Ashutosh Brokerage & Securities (PVT) Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,13,666.5,8664.5,2025-07-24 11:13:20.599494
2025-07-24,145493,2025072404003303,MEN,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,13,666.6,8665.8,2025-07-24 11:15:54.943727
2025-07-24,145267,2025072404003365,MEN,Capital Max Securities Ltd,Ashutosh Brokerage & Securities (PVT) Ltd.,37,666.6,24664.2,2025-07-24 11:16:15.642145
2025-07-24,144641,2025072404003576,MEN,Sani Securities Company Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,13,666.6,8665.8,2025-07-24 11:17:10.560202
2025-07-24,143941,2025072404003814,MEN,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,60,667.5,40050.0,2025-07-24 11:18:16.919945
2025-07-24,143940,2025072404003815,MEN,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,40,668.0,26720.0,2025-07-24 11:18:16.920064
2025-07-24,143697,2025072404003888,MEN,Trishakti Securities Public Limited,Swarna Laxmi Securities Pvt. Ltd.,10,666.8,6668.0,2025-07-24 11:18:40.996118
2025-07-24,142701,2025072404004191,MEN,Trishakti Securities Public Limited,K.B.L. Securities Limited ,10,666.8,6668.0,2025-07-24 11:20:19.353392
2025-07-24,142566,2025072404004226,MEN,Sani Securities Company Ltd.,K.B.L. Securities Limited ,62,666.7,41335.4,2025-07-24 11:20:34.845082
2025-07-24,142520,2025072404004241,MEN,Malla & Malla Stock Broking Company Pvt. Limited,K.B.L. Securities Limited ,50,666.7,33335.0,2025-07-24 11:20:38.997341
2025-07-24,142481,2025072404004260,MEN,Ashutosh Brokerage & Securities (PVT) Ltd.,Sani Securities Company Ltd.,87,666.5,57985.5,2025-07-24 11:20:43.506427
2025-07-24,142480,2025072404004261,MEN,Midas Stock Broking Company Private Limited,Sani Securities Company Ltd.,73,666.5,48654.5,2025-07-24 11:20:43.506573
2025-07-24,142410,2025072404004280,MEN,Midas Stock Broking Company Private Limited,K.B.L. Securities Limited ,127,666.5,84645.5,2025-07-24 11:20:50.052324
2025-07-24,142367,2025072404004287,MEN,Sri Hari Securities Pvt. Ltd.,K.B.L. Securities Limited ,10,666.5,6665.0,2025-07-24 11:20:54.352728
2025-07-24,142267,2025072404004310,MEN,Sweta Securities Private Limited,K.B.L. Securities Limited ,90,666.4,59976.0,2025-07-24 11:21:03.011464
2025-07-24,142218,2025072404004319,MEN,Kumari Securities Private Limited,K.B.L. Securities Limited ,651,666.4,433826.4,2025-07-24 11:21:06.650790
2025-07-24,141957,2025072404004374,MEN,Kumari Securities Private Limited,Vision Securities Pvt. Ltd,90,666.5,59985.0,2025-07-24 11:21:24.746250
2025-07-24,141615,2025072404004468,MEN,Midas Stock Broking Company Private Limited,Shree Krishna Securities Ltd.,57,666.5,37990.5,2025-07-24 11:21:55.991255
2025-07-24,140444,2025072404004828,MEN,Nabil Stock Dealer Ltd.,Naasa Securities Co. Ltd.,30,666.4,19992.0,2025-07-24 11:23:37.386944
2025-07-24,140443,2025072404004829,MEN,Cristal Kanchanjanga Securites Pvt. Ltd.,Naasa Securities Co. Ltd.,20,666.4,13328.0,2025-07-24 11:23:37.387125
2025-07-24,140442,2025072404004830,MEN,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,200,666.3,133260.0,2025-07-24 11:23:37.387187
2025-07-24,140441,2025072404004831,MEN,Kohinoor Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,858,666.3,571685.4,2025-07-24 11:23:37.387243
2025-07-24,140208,2025072404004886,MEN,Sani Securities Company Ltd.,Shree Krishna Securities Ltd.,100,666.5,66650.0,2025-07-24 11:23:56.524458
2025-07-24,140111,2025072404004926,MEN,Kohinoor Investment & Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,43,666.5,28659.5,2025-07-24 11:24:10.011025
2025-07-24,140110,2025072404004927,MEN,Kohinoor Investment & Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,99,666.5,65983.5,2025-07-24 11:24:10.011291
2025-07-24,140013,2025072404004956,MEN,Capital Max Securities Ltd,Neev Securities Pvt. Ltd.,50,666.1,33305.0,2025-07-24 11:24:21.159920
2025-07-24,139535,2025072404005118,MEN,Capital Max Securities Ltd,Sri Hari Securities Pvt. Ltd.,40,666.1,26644.0,2025-07-24 11:25:02.513410
2025-07-24,139531,2025072404005119,MEN,Capital Max Securities Ltd,INDEX SECURITIES LIMITED,710,666.1,472931.0,2025-07-24 11:25:03.267951
2025-07-24,139339,2025072404005196,MEN,Capital Max Securities Ltd,Dynamic Money Managers Securities Pvt. Ltd.,500,666.1,333050.0,2025-07-24 11:25:21.666225
2025-07-24,138671,2025072404005425,MEN,Imperial Securities Company Pvt. Ltd.,Aryatara Investment & Securities,500,667.9,333950.0,2025-07-24 11:26:17.567576
2025-07-24,137389,2025072404005899,MEN,Trishakti Securities Public Limited,Ashutosh Brokerage & Securities (PVT) Ltd.,50,668.0,33400.0,2025-07-24 11:28:00.331253
2025-07-24,137388,2025072404005900,MEN,Trishakti Securities Public Limited,Nabil Stock Dealer Ltd.,100,668.0,66800.0,2025-07-24 11:28:00.331433
2025-07-24,137387,2025072404005901,MEN,Trishakti Securities Public Limited,Kohinoor Investment & Securities Pvt. Ltd.,60,669.5,40170.0,2025-07-24 11:28:00.331495
2025-07-24,137386,2025072404005902,MEN,Trishakti Securities Public Limited,Sundhara Securities Limited,200,669.5,133900.0,2025-07-24 11:28:00.331557
2025-07-24,137385,2025072404005903,MEN,Trishakti Securities Public Limited,ABC Securities Private Limited,400,669.9,267960.0,2025-07-24 11:28:00.331730
2025-07-24,137384,2025072404005904,MEN,Trishakti Securities Public Limited,Trishakti Securities Public Limited,190,670.0,127300.0,2025-07-24 11:28:00.331908
2025-07-24,136726,2025072404006144,MEN,Vision Securities Pvt. Ltd,Trishakti Securities Public Limited,510,670.0,341700.0,2025-07-24 11:28:47.481071
2025-07-24,136725,2025072404006145,MEN,Vision Securities Pvt. Ltd,Primo Securities (PVT) Ltd.,10,670.0,6700.0,2025-07-24 11:28:47.481243
2025-07-24,136435,2025072404006272,MEN,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,30,670.0,20100.0,2025-07-24 11:29:09.850885
2025-07-24,136434,2025072404006273,MEN,ABC Securities Private Limited,Vision Securities Pvt. Ltd,200,670.0,134000.0,2025-07-24 11:29:09.851024
2025-07-24,136433,2025072404006274,MEN,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,15,668.1,10021.5,2025-07-24 11:29:09.851081
2025-07-24,136432,2025072404006275,MEN,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,100,668.0,66800.0,2025-07-24 11:29:09.851142
