Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-24,151906,2025072404001222,SJCL,Naasa Securities Co. Ltd.,Nepal Investment And Securities Trading Private Limited,20,330.2,6604.0,2025-07-24 11:05:26.487057
2025-07-24,151465,2025072404001394,SJCL,Kohinoor Investment & Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,40,331.0,13240.0,2025-07-24 11:06:13.860098
2025-07-24,150492,2025072404001778,SJCL,Kumari Securities Private Limited,Aryatara Investment & Securities,30,332.0,9960.0,2025-07-24 11:07:42.141585
2025-07-24,150478,2025072404001780,SJCL,Agrawal Securities (PVT) Ltd.,Aryatara Investment & Securities,10,332.0,3320.0,2025-07-24 11:07:43.458468
2025-07-24,148246,2025072404002458,SJCL,Aryatara Investment & Securities,Deevyaa Securities & Stock House Pvt. Ltd,40,332.0,13280.0,2025-07-24 11:11:30.078594
2025-07-24,147918,2025072404002560,SJCL,Aryatara Investment & Securities,Midas Stock Broking Company Private Limited,10,334.0,3340.0,2025-07-24 11:12:04.538549
2025-07-24,147917,2025072404002561,SJCL,Aryatara Investment & Securities,Agrawal Securities (PVT) Ltd.,10,334.9,3349.0,2025-07-24 11:12:04.538642
2025-07-24,147916,2025072404002562,SJCL,Aryatara Investment & Securities,Arun Securities (PVT) Ltd.,20,334.9,6698.0,2025-07-24 11:12:04.538685
2025-07-24,147915,2025072404002563,SJCL,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,1000,335.0,335000.0,2025-07-24 11:12:04.538731
2025-07-24,147914,2025072404002564,SJCL,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,610,335.0,204350.0,2025-07-24 11:12:04.538775
2025-07-24,147154,2025072404002802,SJCL,Sumeru Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,20,331.3,6626.0,2025-07-24 11:13:20.453961
2025-07-24,138385,2025072404005550,SJCL,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,150,333.5,50025.0,2025-07-24 11:26:42.108887
2025-07-24,138384,2025072404005551,SJCL,Naasa Securities Co. Ltd.,Investment Management Nepal Pvt. Ltd.,20,333.5,6670.0,2025-07-24 11:26:42.108978
2025-07-24,137781,2025072404005775,SJCL,Naasa Securities Co. Ltd.,Investment Management Nepal Pvt. Ltd.,20,335.0,6700.0,2025-07-24 11:27:28.796094
2025-07-24,137780,2025072404005776,SJCL,Naasa Securities Co. Ltd.,Trademow Securities Private Limited,10,335.0,3350.0,2025-07-24 11:27:28.796190
2025-07-24,136662,2025072404006165,SJCL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,40,332.0,13280.0,2025-07-24 11:28:51.862589
2025-07-24,134626,2025072404007066,SJCL,Ashutosh Brokerage & Securities (PVT) Ltd.,Trademow Securities Private Limited,500,335.0,167500.0,2025-07-24 11:31:32.525653
2025-07-24,134476,2025072404007139,SJCL,Arun Securities (PVT) Ltd.,Trademow Securities Private Limited,190,335.0,63650.0,2025-07-24 11:31:42.386086
2025-07-24,134475,2025072404007140,SJCL,Arun Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,40,335.0,13400.0,2025-07-24 11:31:42.386183
2025-07-24,134474,2025072404007141,SJCL,Arun Securities (PVT) Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,40,335.0,13400.0,2025-07-24 11:31:42.386243
2025-07-24,134473,2025072404007142,SJCL,Arun Securities (PVT) Ltd.,Sagarmatha Securities Private Limited,40,336.0,13440.0,2025-07-24 11:31:42.386293
2025-07-24,134472,2025072404007143,SJCL,Arun Securities (PVT) Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,10,336.0,3360.0,2025-07-24 11:31:42.386356
2025-07-24,134471,2025072404007144,SJCL,Arun Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,10,336.0,3360.0,2025-07-24 11:31:42.386404
2025-07-24,134470,2025072404007145,SJCL,Arun Securities (PVT) Ltd.,Aryatara Investment & Securities,500,336.0,168000.0,2025-07-24 11:31:42.386445
2025-07-24,134077,2025072404007268,SJCL,South Asian Bulls Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,10,336.5,3365.0,2025-07-24 11:32:16.992897
2025-07-24,134076,2025072404007269,SJCL,South Asian Bulls Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,10,337.0,3370.0,2025-07-24 11:32:16.993157
2025-07-24,134075,2025072404007270,SJCL,South Asian Bulls Pvt. Ltd.,Sani Securities Company Ltd.,180,337.0,60660.0,2025-07-24 11:32:16.993376
2025-07-24,132832,2025072404007826,SJCL,Asian Securities Private Ltd.,Infinity Securities Limited,30,336.0,10080.0,2025-07-24 11:33:57.633301
2025-07-24,131193,2025072404008519,SJCL,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,10,334.3,3343.0,2025-07-24 11:36:20.234486
2025-07-24,129929,2025072404009065,SJCL,Aryatara Investment & Securities,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,20,335.0,6700.0,2025-07-24 11:38:04.444960
2025-07-24,129928,2025072404009066,SJCL,Aryatara Investment & Securities,Online Securities Pvt. Ltd.,100,335.0,33500.0,2025-07-24 11:38:04.445175
2025-07-24,129864,2025072404009095,SJCL,Sani Securities Company Ltd.,Infinity Securities Limited,470,336.0,157920.0,2025-07-24 11:38:10.754473
2025-07-24,129459,2025072404009283,SJCL,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,40,336.0,13440.0,2025-07-24 11:38:45.242322
2025-07-24,129358,2025072404009321,SJCL,Arun Securities (PVT) Ltd.,Sani Securities Company Ltd.,20,337.0,6740.0,2025-07-24 11:38:51.681550
2025-07-24,129357,2025072404009322,SJCL,Arun Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,40,337.0,13480.0,2025-07-24 11:38:51.681705
2025-07-24,129356,2025072404009323,SJCL,Arun Securities (PVT) Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,20,337.0,6740.0,2025-07-24 11:38:51.681786
2025-07-24,129355,2025072404009324,SJCL,Arun Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,20,337.0,6740.0,2025-07-24 11:38:51.681841
2025-07-24,129354,2025072404009325,SJCL,Arun Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,20,337.0,6740.0,2025-07-24 11:38:51.681888
2025-07-24,129353,2025072404009326,SJCL,Arun Securities (PVT) Ltd.,Primo Securities (PVT) Ltd.,350,337.5,118125.0,2025-07-24 11:38:51.681935
2025-07-24,128641,2025072404009581,SJCL,SUN SECURITIES PVT LTD,Primo Securities (PVT) Ltd.,150,337.5,50625.0,2025-07-24 11:39:38.898097
2025-07-24,128640,2025072404009582,SJCL,SUN SECURITIES PVT LTD,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,20,337.5,6750.0,2025-07-24 11:39:38.898338
2025-07-24,128639,2025072404009583,SJCL,SUN SECURITIES PVT LTD,Kumari Securities Private Limited,150,337.7,50655.0,2025-07-24 11:39:38.898484
2025-07-24,128638,2025072404009584,SJCL,SUN SECURITIES PVT LTD,Sumeru Securities Pvt. Ltd.,40,337.9,13516.0,2025-07-24 11:39:38.898621
2025-07-24,128637,2025072404009585,SJCL,SUN SECURITIES PVT LTD,Sagarmatha Securities Private Limited,20,337.9,6758.0,2025-07-24 11:39:38.898750
2025-07-24,128636,2025072404009586,SJCL,SUN SECURITIES PVT LTD,Aryatara Investment & Securities,20,337.9,6758.0,2025-07-24 11:39:38.898881
2025-07-24,128635,2025072404009587,SJCL,SUN SECURITIES PVT LTD,Sri Hari Securities Pvt. Ltd.,500,338.0,169000.0,2025-07-24 11:39:38.899023
2025-07-24,128634,2025072404009588,SJCL,SUN SECURITIES PVT LTD,Online Securities Pvt. Ltd.,30,338.0,10140.0,2025-07-24 11:39:38.899150
2025-07-24,128633,2025072404009589,SJCL,SUN SECURITIES PVT LTD,Oxford Securities Pvt. Ltd.,70,338.0,23660.0,2025-07-24 11:39:38.899266
2025-07-24,124668,2025072404011011,SJCL,Sani Securities Company Ltd.,J.F. Securites (PVT) Ltd.,40,336.0,13440.0,2025-07-24 11:45:39.943935
2025-07-24,124667,2025072404011012,SJCL,Cristal Kanchanjanga Securites Pvt. Ltd.,J.F. Securites (PVT) Ltd.,460,336.0,154560.0,2025-07-24 11:45:39.944071
2025-07-24,124273,2025072404011209,SJCL,Cristal Kanchanjanga Securites Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,540,336.0,181440.0,2025-07-24 11:46:17.267804
2025-07-24,121954,2025072404011928,SJCL,Sani Securities Company Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,100,335.1,33510.0,2025-07-24 11:50:18.509021
2025-07-24,121795,2025072404011974,SJCL,Sani Securities Company Ltd.,Aryatara Investment & Securities,19,335.1,6366.9,2025-07-24 11:50:35.772225
2025-07-24,121794,2025072404011975,SJCL,Aryatara Investment & Securities,Aryatara Investment & Securities,21,335.0,7035.0,2025-07-24 11:50:35.772359
2025-07-24,121244,2025072404012193,SJCL,Aryatara Investment & Securities,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,90,335.0,30150.0,2025-07-24 11:51:37.929794
2025-07-24,120929,2025072404012312,SJCL,Aryatara Investment & Securities,ABC Securities Private Limited,20,335.0,6700.0,2025-07-24 11:52:11.688681
2025-07-24,120862,2025072404012334,SJCL,Aryatara Investment & Securities,Sweta Securities Private Limited,300,335.0,100500.0,2025-07-24 11:52:20.350531
2025-07-24,120422,2025072404012473,SJCL,Aryatara Investment & Securities,Aryatara Investment & Securities,20,335.0,6700.0,2025-07-24 11:53:03.411720
2025-07-24,119580,2025072404012826,SJCL,Aryatara Investment & Securities,Stoxkarts Securities Limited,95,335.0,31825.0,2025-07-24 11:54:19.273704
2025-07-24,119579,2025072404012827,SJCL,Kohinoor Investment & Securities Pvt. Ltd.,Stoxkarts Securities Limited,50,334.5,16725.0,2025-07-24 11:54:19.273960
