Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-28,168161,2025072801000522,MKJC,Oxford Securities Pvt. Ltd.,Capital Max Securities Ltd,20,556.0,11120.0,2025-07-28T11:06:15.099969
2025-07-28,165450,2025072801001219,MKJC,Oxford Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,10,547.0,5470.0,2025-07-28T11:10:42.918988
2025-07-28,164136,2025072801001547,MKJC,Oxford Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,19,547.0,10393.0,2025-07-28T11:12:17.742837
2025-07-28,164135,2025072801001548,MKJC,Sewa Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,181,542.5,98192.5,2025-07-28T11:12:17.742876
2025-07-28,162863,2025072801001856,MKJC,Naasa Securities Co. Ltd.,Nepal Stock House (PVT) Ltd.,100,544.0,54400.0,2025-07-28T11:13:49.107344
2025-07-28,162603,2025072801001895,MKJC,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,400,544.0,217600.0,2025-07-28T11:14:03.964388
2025-07-28,162060,2025072801002016,MKJC,Nepal Stock House (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,320,544.0,174080.0,2025-07-28T11:14:37.788871
2025-07-28,159604,2025072801002472,MKJC,Indira securities pvt. ltd,Nepal Investment And Securities Trading Private Limited,2000,550.0,1100000.0,2025-07-28T11:16:54.205572
2025-07-28,158438,2025072801002712,MKJC,Indira securities pvt. ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,901,551.9,497261.9,2025-07-28T11:18:13.450583
2025-07-28,157917,2025072801002854,MKJC,Midas Stock Broking Company Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,100,552.0,55200.0,2025-07-28T11:18:48.78346
2025-07-28,157757,2025072801002895,MKJC,Midas Stock Broking Company Private Limited,Naasa Securities Co. Ltd.,21,553.0,11613.0,2025-07-28T11:18:59.714872
2025-07-28,157168,2025072801003018,MKJC,Indira securities pvt. ltd,Online Securities Pvt. Ltd.,10,552.0,5520.0,2025-07-28T11:19:41.024462
2025-07-28,157167,2025072801003019,MKJC,Indira securities pvt. ltd,Secured Securities Ltd.,115,552.9,63583.5,2025-07-28T11:19:41.024546
