Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-29,157494,2025072904000004,NGPL,Kohinoor Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,60,446.0,26760.0,2025-07-29 10:46:00.029993
2025-07-29,157248,2025072904000051,NGPL,Aryatara Investment & Securities,Malla & Malla Stock Broking Company Pvt. Limited,100,454.0,45400.0,2025-07-29 11:00:56.074257
2025-07-29,157174,2025072904000056,NGPL,Thrive Brokerage House Pvt. Ltd,Naasa Securities Co. Ltd.,50,454.9,22745.0,2025-07-29 11:01:09.652075
2025-07-29,157173,2025072904000057,NGPL,Thrive Brokerage House Pvt. Ltd,Primo Securities (PVT) Ltd.,50,454.9,22745.0,2025-07-29 11:01:09.949843
2025-07-29,157172,2025072904000058,NGPL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Primo Securities (PVT) Ltd.,100,454.0,45400.0,2025-07-29 11:01:09.949983
2025-07-29,157117,2025072904000073,NGPL,Trishakti Securities Public Limited,Primo Securities (PVT) Ltd.,50,454.0,22700.0,2025-07-29 11:01:18.773787
2025-07-29,157059,2025072904000079,NGPL,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,50,455.0,22750.0,2025-07-29 11:01:31.111265
2025-07-29,156890,2025072904000102,NGPL,Asian Securities Private Ltd.,Nagarik Stock Dealer ,200,454.0,90800.0,2025-07-29 11:01:55.941138
2025-07-29,156889,2025072904000103,NGPL,Pragyan Securities (PVT) Ltd.,Nagarik Stock Dealer ,300,454.0,136200.0,2025-07-29 11:01:55.941273
2025-07-29,156718,2025072904000126,NGPL,Aryatara Investment & Securities,SUN SECURITIES PVT LTD,410,455.0,186550.0,2025-07-29 11:02:14.236719
2025-07-29,156657,2025072904000136,NGPL,Aryatara Investment & Securities,Sani Securities Company Ltd.,50,455.0,22750.0,2025-07-29 11:02:22.714165
2025-07-29,156651,2025072904000138,NGPL,Online Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,750,459.0,344250.0,2025-07-29 11:02:23.925869
2025-07-29,156633,2025072904000144,NGPL,Aryatara Investment & Securities,Sanima Securities Limited,15,455.0,6825.0,2025-07-29 11:02:25.883228
2025-07-29,156599,2025072904000149,NGPL,Aryatara Investment & Securities,Cristal Kanchanjanga Securites Pvt. Ltd.,525,455.0,238875.0,2025-07-29 11:02:29.356133
2025-07-29,156598,2025072904000150,NGPL,Kalika Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,40,455.0,18200.0,2025-07-29 11:02:29.356290
2025-07-29,156591,2025072904000151,NGPL,Online Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,100,455.0,45500.0,2025-07-29 11:02:29.983204
2025-07-29,156578,2025072904000152,NGPL,Sumeru Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,335,455.0,152425.0,2025-07-29 11:02:33.055879
2025-07-29,156577,2025072904000153,NGPL,Sumeru Securities Pvt. Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,1000,455.0,455000.0,2025-07-29 11:02:33.379491
2025-07-29,156548,2025072904000158,NGPL,Sumeru Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,500,455.0,227500.0,2025-07-29 11:02:36.895134
2025-07-29,156519,2025072904000162,NGPL,Sumeru Securities Pvt. Ltd.,Sundhara Securities Limited,165,455.0,75075.0,2025-07-29 11:02:39.846798
2025-07-29,156402,2025072904000176,NGPL,Online Securities Pvt. Ltd.,ABC Securities Private Limited,750,454.9,341175.0,2025-07-29 11:02:54.280040
2025-07-29,156324,2025072904000186,NGPL,Oxford Securities Pvt. Ltd.,ABC Securities Private Limited,250,454.9,113725.0,2025-07-29 11:03:04.735558
2025-07-29,156309,2025072904000190,NGPL,Oxford Securities Pvt. Ltd.,Sanima Securities Limited,25,454.9,11372.5,2025-07-29 11:03:05.954019
2025-07-29,156259,2025072904000198,NGPL,Oxford Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,25,454.9,11372.5,2025-07-29 11:03:12.201988
2025-07-29,156256,2025072904000199,NGPL,Investment Management Nepal Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,75,454.1,34057.5,2025-07-29 11:03:12.615827
2025-07-29,156255,2025072904000200,NGPL,Investment Management Nepal Pvt. Ltd.,Sundhara Securities Limited,335,455.0,152425.0,2025-07-29 11:03:12.615978
2025-07-29,155988,2025072904000240,NGPL,Investment Management Nepal Pvt. Ltd.,Vision Securities Pvt. Ltd,10,456.0,4560.0,2025-07-29 11:03:40.253974
2025-07-29,155961,2025072904000248,NGPL,Investment Management Nepal Pvt. Ltd.,Naasa Securities Co. Ltd.,80,456.0,36480.0,2025-07-29 11:03:44.024899
2025-07-29,155960,2025072904000249,NGPL,SHUBHAKAMANA SECURITIES PVT. LTD,Naasa Securities Co. Ltd.,100,456.0,45600.0,2025-07-29 11:03:44.025216
2025-07-29,155959,2025072904000250,NGPL,Opal Securities Investment (PVT) Ltd.,Naasa Securities Co. Ltd.,200,455.0,91000.0,2025-07-29 11:03:44.025450
2025-07-29,155958,2025072904000251,NGPL,Sharepro Securities Private Limited,Naasa Securities Co. Ltd.,100,455.0,45500.0,2025-07-29 11:03:44.025725
2025-07-29,155957,2025072904000252,NGPL,Pragyan Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,230,454.0,104420.0,2025-07-29 11:03:44.026007
2025-07-29,155956,2025072904000253,NGPL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,200,454.0,90800.0,2025-07-29 11:03:44.026223
2025-07-29,155955,2025072904000254,NGPL,SHUBHAKAMANA SECURITIES PVT. LTD,Naasa Securities Co. Ltd.,90,454.0,40860.0,2025-07-29 11:03:44.026456
2025-07-29,155882,2025072904000266,NGPL,SHUBHAKAMANA SECURITIES PVT. LTD,Aakashbhairab Securities Ltd.,10,454.0,4540.0,2025-07-29 11:03:53.725837
2025-07-29,155881,2025072904000267,NGPL,Online Securities Pvt. Ltd.,Aakashbhairab Securities Ltd.,80,454.0,36320.0,2025-07-29 11:03:53.725991
2025-07-29,155827,2025072904000283,NGPL,Oxford Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,200,456.0,91200.0,2025-07-29 11:03:59.226227
2025-07-29,155757,2025072904000300,NGPL,Magnet Securities and Investment Company Private Limited,Online Securities Pvt. Ltd.,50,456.0,22800.0,2025-07-29 11:04:07.168861
2025-07-29,155756,2025072904000301,NGPL,Magnet Securities and Investment Company Private Limited,Nepal Stock House (PVT) Ltd.,20,456.7,9134.0,2025-07-29 11:04:07.169014
2025-07-29,155674,2025072904000321,NGPL,Nabil Stock Dealer Ltd.,Nepal Stock House (PVT) Ltd.,30,456.7,13701.0,2025-07-29 11:04:16.116245
2025-07-29,155673,2025072904000322,NGPL,Nabil Stock Dealer Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,170,456.8,77656.0,2025-07-29 11:04:16.116438
2025-07-29,155584,2025072904000338,NGPL,Premier Securities Company Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,100,456.0,45600.0,2025-07-29 11:04:23.370306
2025-07-29,155532,2025072904000344,NGPL,Premier Securities Company Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,100,456.0,45600.0,2025-07-29 11:04:28.779804
2025-07-29,155531,2025072904000345,NGPL,Sani Securities Company Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,500,456.0,228000.0,2025-07-29 11:04:28.779958
2025-07-29,155411,2025072904000373,NGPL,Oxford Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,100,456.0,45600.0,2025-07-29 11:04:39.989206
2025-07-29,155287,2025072904000400,NGPL,Vision Securities Pvt. Ltd,Dakshinkali Investment & Securities Pvt. Ltd.,113,456.0,51528.0,2025-07-29 11:04:51.565421
2025-07-29,155233,2025072904000424,NGPL,SUN SECURITIES PVT LTD,Cristal Kanchanjanga Securites Pvt. Ltd.,100,455.7,45570.0,2025-07-29 11:04:56.189634
2025-07-29,155159,2025072904000444,NGPL,Aryatara Investment & Securities,Trishakti Securities Public Limited,1000,455.0,455000.0,2025-07-29 11:05:04.571241
2025-07-29,155158,2025072904000445,NGPL,J.F. Securites (PVT) Ltd.,Trishakti Securities Public Limited,500,455.0,227500.0,2025-07-29 11:05:04.571409
2025-07-29,155157,2025072904000446,NGPL,South Asian Bulls Pvt. Ltd.,Trishakti Securities Public Limited,1000,455.0,455000.0,2025-07-29 11:05:04.571482
2025-07-29,155090,2025072904000468,NGPL,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,100,455.0,45500.0,2025-07-29 11:05:12.446019
2025-07-29,155007,2025072904000487,NGPL,Vision Securities Pvt. Ltd,Aakashbhairab Securities Ltd.,50,455.0,22750.0,2025-07-29 11:05:19.905225
2025-07-29,155006,2025072904000488,NGPL,Online Securities Pvt. Ltd.,Aakashbhairab Securities Ltd.,420,454.0,190680.0,2025-07-29 11:05:19.905569
2025-07-29,155005,2025072904000489,NGPL,Asian Securities Private Ltd.,Aakashbhairab Securities Ltd.,1000,454.0,454000.0,2025-07-29 11:05:19.905799
2025-07-29,154869,2025072904000522,NGPL,Neev Securities Pvt. Ltd.,ABC Securities Private Limited,500,455.6,227800.0,2025-07-29 11:05:36.640141
2025-07-29,154859,2025072904000526,NGPL,Malla & Malla Stock Broking Company Pvt. Limited,Imperial Securities Company Pvt. Ltd.,50,454.0,22700.0,2025-07-29 11:05:37.740337
