Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-07-29,153796,2025072904000765,PPCL,KALASH STOCK MARKET PVT. LTD.,Premier Securities Company Ltd.,10,383.2,3832.0,2025-07-29 11:07:09.923062
2025-07-29,153199,2025072904000899,PPCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Premier Securities Company Ltd.,125,383.2,47900.0,2025-07-29 11:08:01.407350
2025-07-29,153198,2025072904000900,PPCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,KALASH STOCK MARKET PVT. LTD.,10,390.0,3900.0,2025-07-29 11:08:01.407389
2025-07-29,152915,2025072904000986,PPCL,Oxford Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,120,390.0,46800.0,2025-07-29 11:08:26.909102
2025-07-29,152572,2025072904001086,PPCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Investment Management Nepal Pvt. Ltd.,70,390.0,27300.0,2025-07-29 11:08:54.938704
2025-07-29,152414,2025072904001158,PPCL,Stoxkarts Securities Limited,Oxford Securities Pvt. Ltd.,60,394.0,23640.0,2025-07-29 11:09:05.318019
2025-07-29,152225,2025072904001212,PPCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Nepal Investment And Securities Trading Private Limited,130,390.0,50700.0,2025-07-29 11:09:19.611848
2025-07-29,152224,2025072904001213,PPCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Nepal Investment And Securities Trading Private Limited,300,390.0,117000.0,2025-07-29 11:09:19.611981
2025-07-29,149161,2025072904002050,PPCL,Trishakti Securities Public Limited,Market Securities & Exchange (PVT) Ltd.,30,385.0,11550.0,2025-07-29 11:13:37.089883
2025-07-29,149160,2025072904002051,PPCL,Vision Securities Pvt. Ltd,Market Securities & Exchange (PVT) Ltd.,670,383.0,256610.0,2025-07-29 11:13:37.089977
2025-07-29,148997,2025072904002103,PPCL,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,10,383.0,3830.0,2025-07-29 11:13:52.336006
2025-07-29,148994,2025072904002104,PPCL,Vision Securities Pvt. Ltd,Nagarik Stock Dealer ,500,383.0,191500.0,2025-07-29 11:13:52.946083
2025-07-29,148894,2025072904002127,PPCL,Vision Securities Pvt. Ltd,South Asian Bulls Pvt. Ltd.,10,383.0,3830.0,2025-07-29 11:14:03.560847
