Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-30,141487,2025073003000003,ALICL,Cristal Kanchanjanga Securites Pvt. Ltd.,Capital Hub P. Ltd,10,516.1,5161.0,2025-07-30 10:46:00.031463
2025-07-30,139210,2025073003000469,ALICL,Premier Securities Company Ltd.,Swarna Laxmi Securities Pvt. Ltd.,10,526.4,5264.0,2025-07-30 11:05:48.522817
2025-07-30,138262,2025073003000677,ALICL,Thrive Brokerage House Pvt. Ltd,Swarna Laxmi Securities Pvt. Ltd.,10,536.8,5368.0,2025-07-30 11:07:44.466735
2025-07-30,138261,2025073003000678,ALICL,Thrive Brokerage House Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,10,536.8,5368.0,2025-07-30 11:07:44.466817
2025-07-30,138260,2025073003000679,ALICL,Thrive Brokerage House Pvt. Ltd,Stoxkarts Securities Limited,10,536.9,5369.0,2025-07-30 11:07:44.466864
2025-07-30,138259,2025073003000680,ALICL,Thrive Brokerage House Pvt. Ltd,Sagarmatha Securities Private Limited,300,536.9,161070.0,2025-07-30 11:07:44.466903
2025-07-30,138258,2025073003000681,ALICL,Thrive Brokerage House Pvt. Ltd,Siprabi Securities Pvt. Ltd.,170,536.9,91273.0,2025-07-30 11:07:44.466940
2025-07-30,138147,2025073003000703,ALICL,Dakshinkali Investment & Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,30,536.9,16107.0,2025-07-30 11:08:02.202752
2025-07-30,138146,2025073003000704,ALICL,Dakshinkali Investment & Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,27,536.9,14496.3,2025-07-30 11:08:02.202827
2025-07-30,138145,2025073003000705,ALICL,Dakshinkali Investment & Securities Pvt. Ltd.,Secured Securities Ltd.,23,536.9,12348.7,2025-07-30 11:08:02.202869
2025-07-30,137712,2025073003000792,ALICL,Imperial Securities Company Pvt. Ltd.,Secured Securities Ltd.,25,536.9,13422.5,2025-07-30 11:08:44.976001
2025-07-30,136996,2025073003000959,ALICL,Aakashbhairab Securities Ltd.,Capital Hub P. Ltd,200,540.0,108000.0,2025-07-30 11:10:08.620088
2025-07-30,136847,2025073003000990,ALICL,Thrive Brokerage House Pvt. Ltd,Secured Securities Ltd.,250,540.0,135000.0,2025-07-30 11:10:26.322765
2025-07-30,136846,2025073003000991,ALICL,Thrive Brokerage House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,134,540.0,72360.0,2025-07-30 11:10:26.322859
2025-07-30,136747,2025073003001018,ALICL,Thrive Brokerage House Pvt. Ltd,Capital Hub P. Ltd,116,540.0,62640.0,2025-07-30 11:10:36.690514
2025-07-30,136746,2025073003001019,ALICL,Naasa Securities Co. Ltd.,Capital Hub P. Ltd,40,540.0,21600.0,2025-07-30 11:10:36.690702
2025-07-30,135325,2025073003001355,ALICL,Kumari Securities Private Limited,Trishakti Securities Public Limited,50,535.0,26750.0,2025-07-30 11:13:02.776566
2025-07-30,133045,2025073003001872,ALICL,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,100,532.0,53200.0,2025-07-30 11:16:21.445614
2025-07-30,133044,2025073003001873,ALICL,South Asian Bulls Pvt. Ltd.,Trishakti Securities Public Limited,50,530.0,26500.0,2025-07-30 11:16:21.445746
2025-07-30,133043,2025073003001874,ALICL,Primo Securities (PVT) Ltd.,Trishakti Securities Public Limited,100,530.0,53000.0,2025-07-30 11:16:21.445808
2025-07-30,133042,2025073003001875,ALICL,Trishakti Securities Public Limited,Trishakti Securities Public Limited,200,530.0,106000.0,2025-07-30 11:16:21.445861
2025-07-30,130603,2025073003002374,ALICL,Kalika Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,10,529.2,5292.0,2025-07-30 11:20:27.542911
2025-07-30,130602,2025073003002375,ALICL,Vision Securities Pvt. Ltd,Midas Stock Broking Company Private Limited,200,528.0,105600.0,2025-07-30 11:20:27.543187
2025-07-30,130601,2025073003002376,ALICL,Premier Securities Company Ltd.,Midas Stock Broking Company Private Limited,110,527.0,57970.0,2025-07-30 11:20:27.543351
2025-07-30,130600,2025073003002377,ALICL,Vision Securities Pvt. Ltd,Midas Stock Broking Company Private Limited,180,527.0,94860.0,2025-07-30 11:20:27.543496
2025-07-30,128621,2025073003002827,ALICL,Asian Securities Private Ltd.,Online Securities Pvt. Ltd.,60,529.0,31740.0,2025-07-30 11:24:04.288836
2025-07-30,128493,2025073003002847,ALICL,Asian Securities Private Ltd.,Swarna Laxmi Securities Pvt. Ltd.,30,529.4,15882.0,2025-07-30 11:24:17.110863
2025-07-30,128048,2025073003002953,ALICL,Asian Securities Private Ltd.,Aryatara Investment & Securities,500,529.5,264750.0,2025-07-30 11:25:04.502606
2025-07-30,127931,2025073003002980,ALICL,Cristal Kanchanjanga Securites Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,15,527.1,7906.5,2025-07-30 11:25:14.819847
2025-07-30,127930,2025073003002981,ALICL,Sagarmatha Securities Private Limited,Opal Securities Investment (PVT) Ltd.,261,527.1,137573.1,2025-07-30 11:25:14.819897
2025-07-30,127818,2025073003003011,ALICL,Asian Securities Private Ltd.,Trishakti Securities Public Limited,410,530.0,217300.0,2025-07-30 11:25:27.274730
2025-07-30,127633,2025073003003046,ALICL,Nepal Stock House (PVT) Ltd.,Trishakti Securities Public Limited,90,530.0,47700.0,2025-07-30 11:25:46.750112
2025-07-30,127632,2025073003003047,ALICL,Nepal Stock House (PVT) Ltd.,Neev Securities Pvt. Ltd.,300,530.0,159000.0,2025-07-30 11:25:46.750242
2025-07-30,127631,2025073003003048,ALICL,Nepal Stock House (PVT) Ltd.,Vision Securities Pvt. Ltd,1000,530.0,530000.0,2025-07-30 11:25:46.750301
2025-07-30,127630,2025073003003049,ALICL,Nepal Stock House (PVT) Ltd.,Arun Securities (PVT) Ltd.,16,530.0,8480.0,2025-07-30 11:25:46.750354
2025-07-30,127007,2025073003003182,ALICL,Sagarmatha Securities Private Limited,Opal Securities Investment (PVT) Ltd.,39,527.1,20556.9,2025-07-30 11:26:57.327556
2025-07-30,127006,2025073003003183,ALICL,Vision Securities Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,20,527.0,10540.0,2025-07-30 11:26:57.327600
2025-07-30,126459,2025073003003286,ALICL,Naasa Securities Co. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,10,527.0,5270.0,2025-07-30 11:27:56.081818
2025-07-30,126458,2025073003003287,ALICL,ABC Securities Private Limited,Malla & Malla Stock Broking Company Pvt. Limited,10,527.0,5270.0,2025-07-30 11:27:56.082078
2025-07-30,126022,2025073003003365,ALICL,ABC Securities Private Limited,Nepal Investment And Securities Trading Private Limited,14,527.0,7378.0,2025-07-30 11:28:41.789797
2025-07-30,125016,2025073003003580,ALICL,Imperial Securities Company Pvt. Ltd.,SUN SECURITIES PVT LTD,10,533.0,5330.0,2025-07-30 11:30:34.897223
