Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-07-30,141290,2025073003000057,GFCL,Trisul Securities & Invt. Ltd.,Vision Securities Pvt. Ltd,10,718.0,7180.0,2025-07-30 11:00:40.723370
2025-07-30,140460,2025073003000220,GFCL,INDEX SECURITIES LIMITED,Shree Krishna Securities Ltd.,10,735.0,7350.0,2025-07-30 11:03:06.399952
2025-07-30,140038,2025073003000314,GFCL,Trisul Securities & Invt. Ltd.,Vision Securities Pvt. Ltd,10,718.0,7180.0,2025-07-30 11:03:55.353718
2025-07-30,139915,2025073003000335,GFCL,INDEX SECURITIES LIMITED,Vision Securities Pvt. Ltd,10,734.0,7340.0,2025-07-30 11:04:11.645770
2025-07-30,139822,2025073003000349,GFCL,Trisul Securities & Invt. Ltd.,Vision Securities Pvt. Ltd,10,718.0,7180.0,2025-07-30 11:04:24.697064
2025-07-30,139729,2025073003000373,GFCL,INDEX SECURITIES LIMITED,Naasa Securities Co. Ltd.,10,732.3,7323.0,2025-07-30 11:04:38.263940
2025-07-30,138571,2025073003000606,GFCL,NIMB Stock Markets Limited,Naasa Securities Co. Ltd.,16,731.5,11704.0,2025-07-30 11:07:04.488235
2025-07-30,138570,2025073003000607,GFCL,NIMB Stock Markets Limited,Sumeru Securities Pvt. Ltd.,50,732.0,36600.0,2025-07-30 11:07:04.488305
2025-07-30,138003,2025073003000731,GFCL,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,10,720.0,7200.0,2025-07-30 11:08:16.996096
2025-07-30,137385,2025073003000874,GFCL,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,100,720.0,72000.0,2025-07-30 11:09:25.198758
2025-07-30,133249,2025073003001825,GFCL,Secured Securities Ltd.,Market Securities & Exchange (PVT) Ltd.,200,720.3,144060.0,2025-07-30 11:16:07.126589
2025-07-30,133248,2025073003001826,GFCL,Linch Stock Market Ltd.,Market Securities & Exchange (PVT) Ltd.,200,720.0,144000.0,2025-07-30 11:16:07.126683
2025-07-30,133247,2025073003001827,GFCL,Neev Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,500,720.0,360000.0,2025-07-30 11:16:07.126723
2025-07-30,133165,2025073003001846,GFCL,Neev Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,43,720.0,30960.0,2025-07-30 11:16:13.186425
2025-07-30,130596,2025073003002378,GFCL,Neev Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,20,720.0,14400.0,2025-07-30 11:20:28.196774
2025-07-30,130590,2025073003002380,GFCL,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,15,720.0,10800.0,2025-07-30 11:20:29.053403
2025-07-30,129373,2025073003002634,GFCL,Secured Securities Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,50,720.0,36000.0,2025-07-30 11:22:50.440432
2025-07-30,128153,2025073003002926,GFCL,Midas Stock Broking Company Private Limited,Kohinoor Investment & Securities Pvt. Ltd.,80,720.0,57600.0,2025-07-30 11:24:53.013386
2025-07-30,127309,2025073003003122,GFCL,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,10,715.1,7151.0,2025-07-30 11:26:21.794292
2025-07-30,127126,2025073003003157,GFCL,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,20,715.5,14310.0,2025-07-30 11:26:41.819259
2025-07-30,126819,2025073003003214,GFCL,Nepal Stock House (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,235,722.0,169670.0,2025-07-30 11:27:15.211203
2025-07-30,126052,2025073003003354,GFCL,Nepal Stock House (PVT) Ltd.,Naasa Securities Co. Ltd.,20,722.0,14440.0,2025-07-30 11:28:38.969155
2025-07-30,125109,2025073003003565,GFCL,Nepal Stock House (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,21,722.0,15162.0,2025-07-30 11:30:27.116046
2025-07-30,124937,2025073003003596,GFCL,Nepal Stock House (PVT) Ltd.,Vision Securities Pvt. Ltd,24,722.0,17328.0,2025-07-30 11:30:44.999757
