Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-07-31,167221,2025073103000335,LICN,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,10,947.0,9470.0,2025-07-31 11:03:14.437203
2025-07-31,166107,2025073103000619,LICN,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,239,935.0,223465.0,2025-07-31 11:05:23.382702
2025-07-31,165092,2025073103000840,LICN,Dynamic Money Managers Securities Pvt. Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,100,929.0,92900.0,2025-07-31 11:06:58.100614
2025-07-31,163245,2025073103001251,LICN,Sani Securities Company Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,20,921.0,18420.0,2025-07-31 11:09:46.096569
2025-07-31,163244,2025073103001252,LICN,Thrive Brokerage House Pvt. Ltd,Deevyaa Securities & Stock House Pvt. Ltd,11,921.0,10131.0,2025-07-31 11:09:46.096631
2025-07-31,163243,2025073103001253,LICN,South Asian Bulls Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,100,920.1,92010.0,2025-07-31 11:09:46.096665
2025-07-31,163242,2025073103001254,LICN,Linch Stock Market Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,100,920.0,92000.0,2025-07-31 11:09:46.096710
2025-07-31,163241,2025073103001255,LICN,Midas Stock Broking Company Private Limited,Deevyaa Securities & Stock House Pvt. Ltd,69,920.0,63480.0,2025-07-31 11:09:46.096738
2025-07-31,162654,2025073103001370,LICN,Midas Stock Broking Company Private Limited,Sani Securities Company Ltd.,31,920.0,28520.0,2025-07-31 11:10:33.844622
2025-07-31,162653,2025073103001371,LICN,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,50,920.0,46000.0,2025-07-31 11:10:33.844761
2025-07-31,162652,2025073103001372,LICN,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,100,920.0,92000.0,2025-07-31 11:10:33.844863
2025-07-31,161490,2025073103001581,LICN,Opal Securities Investment (PVT) Ltd.,Sharepro Securities Private Limited,10,915.0,9150.0,2025-07-31 11:12:04.070395
2025-07-31,161489,2025073103001582,LICN,Agrawal Securities (PVT) Ltd.,Sharepro Securities Private Limited,20,913.0,18260.0,2025-07-31 11:12:04.070480
2025-07-31,161488,2025073103001583,LICN,Sani Securities Company Ltd.,Sharepro Securities Private Limited,10,913.0,9130.0,2025-07-31 11:12:04.070514
2025-07-31,161487,2025073103001584,LICN,South Asian Bulls Pvt. Ltd.,Sharepro Securities Private Limited,20,911.1,18222.0,2025-07-31 11:12:04.070548
2025-07-31,161295,2025073103001618,LICN,Malla & Malla Stock Broking Company Pvt. Limited,Sani Securities Company Ltd.,200,920.0,184000.0,2025-07-31 11:12:16.738074
2025-07-31,159820,2025073103001930,LICN,Neev Securities Pvt. Ltd.,Nagarik Stock Dealer ,20,919.9,18398.0,2025-07-31 11:14:22.497258
2025-07-31,159635,2025073103001964,LICN,Capital Max Securities Ltd,Nagarik Stock Dealer ,40,919.9,36796.0,2025-07-31 11:14:33.436952
2025-07-31,159260,2025073103002045,LICN,Capital Max Securities Ltd,Nagarik Stock Dealer ,20,919.9,18398.0,2025-07-31 11:15:00.637696
2025-07-31,158277,2025073103002215,LICN,Neev Securities Pvt. Ltd.,Nagarik Stock Dealer ,20,919.9,18398.0,2025-07-31 11:16:17.301688
2025-07-31,158145,2025073103002238,LICN,Deevyaa Securities & Stock House Pvt. Ltd,Nagarik Stock Dealer ,180,919.9,165582.0,2025-07-31 11:16:27.015747
2025-07-31,158144,2025073103002239,LICN,Deevyaa Securities & Stock House Pvt. Ltd,Sani Securities Company Ltd.,27,919.9,24837.3,2025-07-31 11:16:27.015833
2025-07-31,158143,2025073103002240,LICN,Deevyaa Securities & Stock House Pvt. Ltd,Sani Securities Company Ltd.,43,920.0,39560.0,2025-07-31 11:16:27.015874
2025-07-31,158060,2025073103002256,LICN,Trisul Securities & Invt. Ltd.,Sani Securities Company Ltd.,76,920.0,69920.0,2025-07-31 11:16:32.126974
2025-07-31,158059,2025073103002257,LICN,Trisul Securities & Invt. Ltd.,Aryatara Investment & Securities,20,920.0,18400.0,2025-07-31 11:16:32.127075
2025-07-31,156955,2025073103002490,LICN,Deevyaa Securities & Stock House Pvt. Ltd,Naasa Securities Co. Ltd.,100,930.0,93000.0,2025-07-31 11:17:42.117718
2025-07-31,154303,2025073103003023,LICN,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,20,930.0,18600.0,2025-07-31 11:21:02.314796
2025-07-31,154302,2025073103003024,LICN,Vision Securities Pvt. Ltd,Premier Securities Company Ltd.,350,930.0,325500.0,2025-07-31 11:21:02.314891
2025-07-31,154301,2025073103003025,LICN,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,130,930.0,120900.0,2025-07-31 11:21:02.314932
2025-07-31,153920,2025073103003088,LICN,Sagarmatha Securities Private Limited,Nepal Stock House (PVT) Ltd.,180,929.0,167220.0,2025-07-31 11:21:31.325009
2025-07-31,153866,2025073103003093,LICN,Sagarmatha Securities Private Limited,Sani Securities Company Ltd.,10,930.0,9300.0,2025-07-31 11:21:35.394875
2025-07-31,153816,2025073103003106,LICN,Sagarmatha Securities Private Limited,Aryatara Investment & Securities,10,936.0,9360.0,2025-07-31 11:21:41.407485
2025-07-31,153447,2025073103003144,LICN,Trisul Securities & Invt. Ltd.,Aryatara Investment & Securities,404,936.0,378144.0,2025-07-31 11:22:08.039482
2025-07-31,153069,2025073103003189,LICN,Sani Securities Company Ltd.,Aryatara Investment & Securities,86,936.0,80496.0,2025-07-31 11:22:43.904966
2025-07-31,153068,2025073103003190,LICN,Sani Securities Company Ltd.,Siprabi Securities Pvt. Ltd.,40,938.0,37520.0,2025-07-31 11:22:43.905209
2025-07-31,153067,2025073103003191,LICN,Sani Securities Company Ltd.,Sani Securities Company Ltd.,500,938.0,469000.0,2025-07-31 11:22:43.905354
2025-07-31,153066,2025073103003192,LICN,Sani Securities Company Ltd.,Sani Securities Company Ltd.,374,938.0,350812.0,2025-07-31 11:22:43.905475
2025-07-31,153025,2025073103003195,LICN,Sagarmatha Securities Private Limited,Sani Securities Company Ltd.,80,938.0,75040.0,2025-07-31 11:22:45.759386
2025-07-31,138428,2025073103005188,LICN,Neev Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,9,920.0,8280.0,2025-07-31 11:39:56.349015
