Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-07-31,162956,2025073101001731,SBI,Thrive Brokerage House Pvt. Ltd,Online Securities Pvt. Ltd.,50,436.8,21840.0,2025-07-31 11:10:09.492950
2025-07-31,155386,2025073101004196,SBI,Kohinoor Investment & Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,15,434.0,6510.0,2025-07-31 11:19:41.170509
2025-07-31,152068,2025073101005528,SBI,Nepal Investment And Securities Trading Private Limited,Hatemalo Financial Services Private Limited,1000,432.9,432900.0,2025-07-31 11:24:10.800507
2025-07-31,152067,2025073101005529,SBI,Nepal Investment And Securities Trading Private Limited,Market Securities & Exchange (PVT) Ltd.,2000,433.0,866000.0,2025-07-31 11:24:10.800673
2025-07-31,151776,2025073101005650,SBI,J.F. Securites (PVT) Ltd.,Nepal Investment And Securities Trading Private Limited,10,434.0,4340.0,2025-07-31 11:24:41.433144
2025-07-31,150386,2025073101006284,SBI,Nepal Investment And Securities Trading Private Limited,Nepal Investment And Securities Trading Private Limited,250,434.0,108500.0,2025-07-31 11:26:27.429337
2025-07-31,146906,2025073101007709,SBI,Aryatara Investment & Securities,Linch Stock Market Ltd.,100,432.9,43290.0,2025-07-31 11:30:11.716889
2025-07-31,145164,2025073101008535,SBI,Siprabi Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,500,431.0,215500.0,2025-07-31 11:32:15.975975
2025-07-31,145163,2025073101008536,SBI,Nepal Investment And Securities Trading Private Limited,Opal Securities Investment (PVT) Ltd.,250,430.1,107525.0,2025-07-31 11:32:15.976080
2025-07-31,145162,2025073101008537,SBI,Sajilo Broker Limited,Opal Securities Investment (PVT) Ltd.,111,430.0,47730.0,2025-07-31 11:32:15.976139
2025-07-31,144525,2025073101008801,SBI,Sundhara Securities Limited,Opal Securities Investment (PVT) Ltd.,20,430.0,8600.0,2025-07-31 11:32:53.930532
2025-07-31,144107,2025073101008929,SBI,Linch Stock Market Ltd.,Opal Securities Investment (PVT) Ltd.,30,430.0,12900.0,2025-07-31 11:33:18.735411
2025-07-31,143503,2025073101009209,SBI,Linch Stock Market Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,77,430.0,33110.0,2025-07-31 11:34:07.710090
2025-07-31,142885,2025073101009508,SBI,Linch Stock Market Ltd.,Nepal Stock House (PVT) Ltd.,14,430.0,6020.0,2025-07-31 11:34:50.816703
2025-07-31,141663,2025073101010162,SBI,Linch Stock Market Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,154,430.0,66220.0,2025-07-31 11:36:10.106183
2025-07-31,140617,2025073101010727,SBI,Thrive Brokerage House Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,100,430.0,43000.0,2025-07-31 11:37:31.666710
2025-07-31,140067,2025073101011080,SBI,Thrive Brokerage House Pvt. Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,11,430.0,4730.0,2025-07-31 11:38:06.568871
2025-07-31,139062,2025073101011721,SBI,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Siprabi Securities Pvt. Ltd.,5,422.0,2110.0,2025-07-31 11:39:13.171884
2025-07-31,136586,2025073101013142,SBI,Imperial Securities Company Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,200,430.0,86000.0,2025-07-31 11:42:11.466541
2025-07-31,134369,2025073101014290,SBI,South Asian Bulls Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,100,430.0,43000.0,2025-07-31 11:45:02.097069
2025-07-31,133063,2025073101014884,SBI,Creative Securities Pvt Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,35,429.1,15018.5,2025-07-31 11:46:20.392912
2025-07-31,130299,2025073101016348,SBI,Creative Securities Pvt Ltd,Kohinoor Investment & Securities Pvt. Ltd.,65,429.1,27891.5,2025-07-31 11:49:31.231980
2025-07-31,130298,2025073101016349,SBI,Creative Securities Pvt Ltd,Kohinoor Investment & Securities Pvt. Ltd.,100,429.0,42900.0,2025-07-31 11:49:31.232012
2025-07-31,130297,2025073101016350,SBI,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,85,429.0,36465.0,2025-07-31 11:49:31.232042
2025-07-31,129808,2025073101016599,SBI,Naasa Securities Co. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,115,429.0,49335.0,2025-07-31 11:50:10.731818
2025-07-31,129807,2025073101016600,SBI,Linch Stock Market Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,180,428.3,77094.0,2025-07-31 11:50:10.731891
2025-07-31,129806,2025073101016601,SBI,Creative Securities Pvt Ltd,Malla & Malla Stock Broking Company Pvt. Limited,100,428.2,42820.0,2025-07-31 11:50:10.731933
2025-07-31,129805,2025073101016602,SBI,Imperial Securities Company Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,200,428.1,85620.0,2025-07-31 11:50:10.731974
