Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-03,152282,2025080304000022,CGH,Naasa Securities Co. Ltd.,NIMB Stock Markets Limited,33,1038.0,34254.0,2025-08-03T11:00:23.070091
2025-08-03,151273,2025080304000109,CGH,S.P.S.A. Securities Limited,NIMB Stock Markets Limited,27,1038.0,28026.0,2025-08-03T11:02:17.84634
2025-08-03,151213,2025080304000112,CGH,S.P.S.A. Securities Limited,Siprabi Securities Pvt. Ltd.,73,1038.0,75774.0,2025-08-03T11:02:23.036284
2025-08-03,150519,2025080304000156,CGH,Nepal Stock House (PVT) Ltd.,Siprabi Securities Pvt. Ltd.,67,1038.0,69546.0,2025-08-03T11:03:24.277495
2025-08-03,150481,2025080304000162,CGH,Nepal Stock House (PVT) Ltd.,Midas Stock Broking Company Private Limited,33,1038.0,34254.0,2025-08-03T11:03:27.822726
2025-08-03,149893,2025080304000236,CGH,Aryatara Investment & Securities,Midas Stock Broking Company Private Limited,200,1038.0,207600.0,2025-08-03T11:04:17.865244
2025-08-03,148247,2025080304000444,CGH,Sani Securities Company Ltd.,Siprabi Securities Pvt. Ltd.,140,1040.0,145600.0,2025-08-03T11:06:58.335289
2025-08-03,147991,2025080304000482,CGH,Nepal Stock House (PVT) Ltd.,Midas Stock Broking Company Private Limited,80,1038.0,83040.0,2025-08-03T11:07:27.758781
2025-08-03,146535,2025080304000652,CGH,Nepal Stock House (PVT) Ltd.,Midas Stock Broking Company Private Limited,20,1038.0,20760.0,2025-08-03T11:09:28.36126
2025-08-03,146253,2025080304000688,CGH,Dakshinkali Investment & Securities Pvt. Ltd.,Secured Securities Ltd.,25,1035.2,25880.0,2025-08-03T11:09:52.077733
2025-08-03,145869,2025080304000752,CGH,Capital Max Securities Ltd,Midas Stock Broking Company Private Limited,67,1035.3,69365.1,2025-08-03T11:10:24.80777
2025-08-03,144995,2025080304000870,CGH,Asian Securities Private Ltd.,Siprabi Securities Pvt. Ltd.,20,1040.0,20800.0,2025-08-03T11:11:29.947341
2025-08-03,144994,2025080304000871,CGH,Asian Securities Private Ltd.,South Asian Bulls Pvt. Ltd.,10,1040.0,10400.0,2025-08-03T11:11:29.947514
2025-08-03,144993,2025080304000872,CGH,Asian Securities Private Ltd.,Thrive Brokerage House Pvt. Ltd,200,1040.0,208000.0,2025-08-03T11:11:29.94763
2025-08-03,144992,2025080304000873,CGH,Asian Securities Private Ltd.,Sani Securities Company Ltd.,145,1040.0,150800.0,2025-08-03T11:11:29.947736
2025-08-03,144874,2025080304000892,CGH,Nepal Stock House (PVT) Ltd.,Vision Securities Pvt. Ltd,10,1045.0,10450.0,2025-08-03T11:11:37.865431
2025-08-03,144873,2025080304000893,CGH,Nepal Stock House (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,90,1049.9,94491.0,2025-08-03T11:11:37.865511
2025-08-03,144761,2025080304000903,CGH,Nepal Stock House (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,10,1049.9,10499.0,2025-08-03T11:11:45.351382
2025-08-03,144671,2025080304000919,CGH,Asian Securities Private Ltd.,Online Securities Pvt. Ltd.,50,1040.0,52000.0,2025-08-03T11:11:53.07082
2025-08-03,144562,2025080304000930,CGH,Cristal Kanchanjanga Securites Pvt. Ltd.,Creative Securities Pvt Ltd,200,1050.0,210000.0,2025-08-03T11:12:01.265875
2025-08-03,143868,2025080304001024,CGH,Nepal Stock House (PVT) Ltd.,South Asian Bulls Pvt. Ltd.,100,1049.9,104990.0,2025-08-03T11:12:39.286576
2025-08-03,143639,2025080304001057,CGH,Nepal Stock House (PVT) Ltd.,Sundhara Securities Limited,56,1049.9,58794.4,2025-08-03T11:12:57.750502
