Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-03,146232,2025080301003773,PCBL,Trishakti Securities Public Limited,Kalika Securities Pvt. Ltd.,200,269.0,53800.0,2025-08-03T11:09:54.590952
2025-08-03,145870,2025080301003944,PCBL,Sri Hari Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,500,268.0,134000.0,2025-08-03T11:10:24.796076
2025-08-03,145637,2025080301004069,PCBL,Sri Hari Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,60,268.0,16080.0,2025-08-03T11:10:43.688644
2025-08-03,144775,2025080301004525,PCBL,Sri Hari Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,2600,268.0,696800.0,2025-08-03T11:11:43.803355
2025-08-03,144646,2025080301004590,PCBL,Kumari Securities Private Limited,Kalika Securities Pvt. Ltd.,50,269.0,13450.0,2025-08-03T11:11:54.443447
2025-08-03,141535,2025080301006249,PCBL,Sri Hari Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,40,268.0,10720.0,2025-08-03T11:15:44.44689
2025-08-03,141534,2025080301006250,PCBL,Agrawal Securities (PVT) Ltd.,Opal Securities Investment (PVT) Ltd.,60,267.1,16026.0,2025-08-03T11:15:44.446932
2025-08-03,140860,2025080301006546,PCBL,Agrawal Securities (PVT) Ltd.,Aryatara Investment & Securities,440,267.1,117524.0,2025-08-03T11:16:42.54521
2025-08-03,138192,2025080301007707,PCBL,Premier Securities Company Ltd.,Primo Securities (PVT) Ltd.,100,267.1,26710.0,2025-08-03T11:20:16.971896
2025-08-03,138191,2025080301007708,PCBL,ABC Securities Private Limited,Primo Securities (PVT) Ltd.,31,267.0,8277.0,2025-08-03T11:20:16.972087
2025-08-03,138190,2025080301007709,PCBL,ABC Securities Private Limited,Primo Securities (PVT) Ltd.,24,267.0,6408.0,2025-08-03T11:20:16.972206
2025-08-03,138189,2025080301007710,PCBL,ABC Securities Private Limited,Primo Securities (PVT) Ltd.,62,267.0,16554.0,2025-08-03T11:20:16.972315
2025-08-03,138188,2025080301007711,PCBL,Aryatara Investment & Securities,Primo Securities (PVT) Ltd.,300,266.1,79830.0,2025-08-03T11:20:16.972423
2025-08-03,138187,2025080301007712,PCBL,Primo Securities (PVT) Ltd.,Primo Securities (PVT) Ltd.,283,266.1,75306.3,2025-08-03T11:20:16.97254
2025-08-03,136580,2025080301008478,PCBL,Naasa Securities Co. Ltd.,Elite Stock House Limited,110,267.0,29370.0,2025-08-03T11:21:57.292404
2025-08-03,136071,2025080301008725,PCBL,Capital Max Securities Ltd,Trishakti Securities Public Limited,114,267.0,30438.0,2025-08-03T11:22:31.72491
2025-08-03,135815,2025080301008830,PCBL,Agrawal Securities (PVT) Ltd.,Neev Securities Pvt. Ltd.,500,266.2,133100.0,2025-08-03T11:22:50.204468
2025-08-03,135814,2025080301008831,PCBL,ABC Securities Private Limited,Neev Securities Pvt. Ltd.,100,266.2,26620.0,2025-08-03T11:22:50.20454
2025-08-03,135813,2025080301008832,PCBL,Primo Securities (PVT) Ltd.,Neev Securities Pvt. Ltd.,717,266.1,190793.7,2025-08-03T11:22:50.204598
2025-08-03,135812,2025080301008833,PCBL,ABC Securities Private Limited,Neev Securities Pvt. Ltd.,46,266.0,12236.0,2025-08-03T11:22:50.204641
2025-08-03,135811,2025080301008834,PCBL,ABC Securities Private Limited,Neev Securities Pvt. Ltd.,31,266.0,8246.0,2025-08-03T11:22:50.20468
2025-08-03,135810,2025080301008835,PCBL,ABC Securities Private Limited,Neev Securities Pvt. Ltd.,300,266.0,79800.0,2025-08-03T11:22:50.204719
2025-08-03,135809,2025080301008836,PCBL,Trishakti Securities Public Limited,Neev Securities Pvt. Ltd.,500,266.0,133000.0,2025-08-03T11:22:50.204754
2025-08-03,134219,2025080301009599,PCBL,Malla & Malla Stock Broking Company Pvt. Limited,Neev Securities Pvt. Ltd.,500,266.0,133000.0,2025-08-03T11:24:34.580018
