Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-03,152431,2025080303000039,SAPDBL,Trisul Securities & Invt. Ltd.,Aryatara Investment & Securities,10,1020.0,10200.0,2025-08-03T10:46:00.088909
2025-08-03,152430,2025080303000040,SAPDBL,Hatemalo Financial Services Private Limited,Aryatara Investment & Securities,210,1020.0,214200.0,2025-08-03T10:46:00.088962
2025-08-03,152429,2025080303000041,SAPDBL,Sharepro Securities Private Limited,Aryatara Investment & Securities,10,1020.0,10200.0,2025-08-03T10:46:00.088982
2025-08-03,152428,2025080303000042,SAPDBL,Agrawal Securities (PVT) Ltd.,Aryatara Investment & Securities,10,1020.0,10200.0,2025-08-03T10:46:00.089012
2025-08-03,152303,2025080303000044,SAPDBL,Sani Securities Company Ltd.,Aryatara Investment & Securities,260,1020.0,265200.0,2025-08-03T11:00:17.699304
2025-08-03,152302,2025080303000045,SAPDBL,Sani Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,240,1023.0,245520.0,2025-08-03T11:00:17.699349
2025-08-03,152273,2025080303000049,SAPDBL,Imperial Securities Company Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,10,1023.0,10230.0,2025-08-03T11:00:27.636076
2025-08-03,152228,2025080303000053,SAPDBL,Sharepro Securities Private Limited,Trishakti Securities Public Limited,20,1010.0,20200.0,2025-08-03T11:00:34.915534
2025-08-03,152227,2025080303000054,SAPDBL,Malla & Malla Stock Broking Company Pvt. Limited,Trishakti Securities Public Limited,20,1005.0,20100.0,2025-08-03T11:00:34.915644
2025-08-03,152226,2025080303000055,SAPDBL,Premier Securities Company Ltd.,Trishakti Securities Public Limited,20,1003.0,20060.0,2025-08-03T11:00:34.915715
2025-08-03,152225,2025080303000056,SAPDBL,Sundhara Securities Limited,Trishakti Securities Public Limited,100,1000.0,100000.0,2025-08-03T11:00:34.91578
2025-08-03,152224,2025080303000057,SAPDBL,Vision Securities Pvt. Ltd,Trishakti Securities Public Limited,240,993.0,238320.0,2025-08-03T11:00:34.915846
2025-08-03,152173,2025080303000063,SAPDBL,Agrawal Securities (PVT) Ltd.,ABC Securities Private Limited,20,1020.0,20400.0,2025-08-03T11:00:42.677529
2025-08-03,152152,2025080303000067,SAPDBL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Hatemalo Financial Services Private Limited,10,1003.0,10030.0,2025-08-03T11:00:46.999081
2025-08-03,151964,2025080303000091,SAPDBL,Kohinoor Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,50,1000.0,50000.0,2025-08-03T11:01:05.807574
2025-08-03,151961,2025080303000092,SAPDBL,Kohinoor Investment & Securities Pvt. Ltd.,Trishakti Securities Public Limited,400,1000.0,400000.0,2025-08-03T11:01:06.452296
2025-08-03,151860,2025080303000115,SAPDBL,J.F. Securites (PVT) Ltd.,Aryatara Investment & Securities,10,1003.0,10030.0,2025-08-03T11:01:17.030574
