Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-03,150071,2025080304000215,UNHPL,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,50,407.1,20355.0,2025-08-03T11:04:02.890653
2025-08-03,149650,2025080304000278,UNHPL,Vision Securities Pvt. Ltd,Agrawal Securities (PVT) Ltd.,50,407.1,20355.0,2025-08-03T11:04:37.306368
2025-08-03,149649,2025080304000279,UNHPL,Elite Stock House Limited,Agrawal Securities (PVT) Ltd.,500,407.0,203500.0,2025-08-03T11:04:37.306406
2025-08-03,149648,2025080304000280,UNHPL,Elite Stock House Limited,Agrawal Securities (PVT) Ltd.,240,407.0,97680.0,2025-08-03T11:04:37.306433
2025-08-03,149647,2025080304000281,UNHPL,Sri Hari Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,20,406.0,8120.0,2025-08-03T11:04:37.306456
2025-08-03,149646,2025080304000282,UNHPL,Aryatara Investment & Securities,Agrawal Securities (PVT) Ltd.,190,405.1,76969.0,2025-08-03T11:04:37.306479
2025-08-03,149559,2025080304000294,UNHPL,Aryatara Investment & Securities,Agrawal Securities (PVT) Ltd.,10,405.1,4051.0,2025-08-03T11:04:44.414997
2025-08-03,149558,2025080304000295,UNHPL,Elite Stock House Limited,Agrawal Securities (PVT) Ltd.,500,405.0,202500.0,2025-08-03T11:04:44.415089
2025-08-03,149557,2025080304000296,UNHPL,Elite Stock House Limited,Agrawal Securities (PVT) Ltd.,99,405.0,40095.0,2025-08-03T11:04:44.415153
2025-08-03,148866,2025080304000359,UNHPL,Elite Stock House Limited,Naasa Securities Co. Ltd.,32,405.0,12960.0,2025-08-03T11:05:58.23438
2025-08-03,142476,2025080304001232,UNHPL,Sewa Securities Pvt. Ltd.,Capital Max Securities Ltd,150,407.0,61050.0,2025-08-03T11:14:30.081813
2025-08-03,141813,2025080304001338,UNHPL,Capital Max Securities Ltd,Kohinoor Investment & Securities Pvt. Ltd.,200,406.4,81280.0,2025-08-03T11:15:20.000975
2025-08-03,137497,2025080304002027,UNHPL,Nepal Stock House (PVT) Ltd.,Arun Securities (PVT) Ltd.,100,407.5,40750.0,2025-08-03T11:20:54.638568
2025-08-03,137189,2025080304002088,UNHPL,K.B.L. Securities Limited ,Nepal Stock House (PVT) Ltd.,450,407.6,183420.0,2025-08-03T11:21:17.973682
2025-08-03,137188,2025080304002089,UNHPL,Nepal Stock House (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,500,407.5,203750.0,2025-08-03T11:21:17.973782
2025-08-03,137187,2025080304002090,UNHPL,Property Wiard Limited,Nepal Stock House (PVT) Ltd.,1000,407.0,407000.0,2025-08-03T11:21:17.973863
2025-08-03,137186,2025080304002091,UNHPL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Nepal Stock House (PVT) Ltd.,550,406.7,223685.0,2025-08-03T11:21:17.973939
2025-08-03,136651,2025080304002165,UNHPL,Online Securities Pvt. Ltd.,Kumari Securities Private Limited,50,408.7,20435.0,2025-08-03T11:21:53.581136
2025-08-03,136355,2025080304002202,UNHPL,Imperial Securities Company Pvt. Ltd.,Kumari Securities Private Limited,35,408.7,14304.5,2025-08-03T11:22:10.458542
2025-08-03,136354,2025080304002203,UNHPL,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,65,408.9,26578.5,2025-08-03T11:22:10.458697
2025-08-03,135958,2025080304002273,UNHPL,Sewa Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,80,408.9,32712.0,2025-08-03T11:22:40.715664
2025-08-03,132864,2025080304002831,UNHPL,MILKY WAY SHARE BROKER COMPANY LTD ,Naasa Securities Co. Ltd.,90,409.9,36891.0,2025-08-03T11:26:11.315384
2025-08-03,132500,2025080304002919,UNHPL,Nepal Stock House (PVT) Ltd.,Sani Securities Company Ltd.,200,410.0,82000.0,2025-08-03T11:26:42.146552
2025-08-03,131668,2025080304002981,UNHPL,Trademow Securities Private Limited,Kumari Securities Private Limited,10,409.9,4099.0,2025-08-03T11:27:35.906886
2025-08-03,131667,2025080304002982,UNHPL,Trademow Securities Private Limited,Sani Securities Company Ltd.,10,410.0,4100.0,2025-08-03T11:27:35.906992
2025-08-03,131626,2025080304002986,UNHPL,Nepal Stock House (PVT) Ltd.,Sani Securities Company Ltd.,100,410.0,41000.0,2025-08-03T11:27:39.13406
2025-08-03,131529,2025080304003003,UNHPL,Dynamic Money Managers Securities Pvt. Ltd.,Kumari Securities Private Limited,20,409.0,8180.0,2025-08-03T11:27:49.022826
2025-08-03,131119,2025080304003078,UNHPL,Kalika Securities Pvt. Ltd.,Sani Securities Company Ltd.,25,410.0,10250.0,2025-08-03T11:28:21.713292
2025-08-03,130474,2025080304003179,UNHPL,Linch Stock Market Ltd.,Aryatara Investment & Securities,20,409.0,8180.0,2025-08-03T11:29:22.939083
2025-08-03,127557,2025080304003665,UNHPL,Linch Stock Market Ltd.,Hatemalo Financial Services Private Limited,50,409.0,20450.0,2025-08-03T11:34:03.024753
2025-08-03,127556,2025080304003666,UNHPL,Pragyan Securities (PVT) Ltd.,Hatemalo Financial Services Private Limited,25,409.0,10225.0,2025-08-03T11:34:03.02491
2025-08-03,127555,2025080304003667,UNHPL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Hatemalo Financial Services Private Limited,50,409.0,20450.0,2025-08-03T11:34:03.02498
2025-08-03,127554,2025080304003668,UNHPL,Opal Securities Investment (PVT) Ltd.,Hatemalo Financial Services Private Limited,100,408.6,40860.0,2025-08-03T11:34:03.025029
2025-08-03,127553,2025080304003669,UNHPL,Neev Securities Pvt. Ltd.,Hatemalo Financial Services Private Limited,660,408.5,269610.0,2025-08-03T11:34:03.025078
